feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
LPC 18:1	0.381726201927914	0.5928461535729722	0.3905783035407231	2.2402155615665094	1.038026134612192	0.5093662491185394	3.5956590410506375	0.0011423897600451348	0.6027738695928777	0.5291940604371919	0.31869448267371925	0.0068234678993862475	0.00823613815914831	0.4251017433978627	2.4908494309126485	0.6071165891917615	2.4571653349352838	0.04338335193913744	4.793825049512505	0.11148153783448576
LPC 18:2	1.2795987790844494	0.031436187631217125	0.04521088348175174	1.1728909090537456	1.4212225758105717	2.7914531234840627	0.12739131831695738	1.3223173162648292	2.420533207246271	0.28555892132984106	0.3854823536409562	0.1964876716312912	0.5584157479375176	0.2607809851189124	0.007340201323917854	0.4342322589163808	1.3235535800271083	0.49102369917147815	1.412988360123676	0.4401865301848097
LPC 18:3	1.703180277872841	0.015344990418098633	0.002294558041459366	0.0036693493283387764	3.0659302843272216	0.9974812606089403	0.08824453108866256	0.9329042538887942	0.5759829779354203	0.3158813375707875	0.13893036102607717	3.014631919304879	0.6254806430154315	2.2012971431277015	2.3999176633969648	0.0028445912639935315	3.2316220029372182	1.2367860200644414	0.013944115396900714	0.12253412011184177
LPC 20:3	1.1881439523502568	1.3362363056933435	0.024730386008820573	0.0019897672680444616	0.023426779286634683	2.393582327931625	0.019733357448897995	0.6038610829525488	2.2575784804314223	0.3058267528287753	3.7246733516548245	2.8597581501963525	1.624527400505499	0.4882189637698888	0.3214091678000468	2.2916733595838124	0.09461371609576087	0.14887449275053088	1.3612146418208046	0.08921878470353921
LPC 20:4	0.0027041324289188056	0.025056982122474227	1.970680244049326	0.17710096793877672	5.017555529765908	3.934380836987376e-5	0.1690789791337572	0.05854092184157036	0.4969413565382919	0.028393078348968887	0.9226920266823595	1.077279056442249	4.230491088034843	0.47886543834875706	0.04311321448167302	0.1845219462974926	2.1420231502879017	0.28867721804694874	3.8529652066420965	0.012777875651752828
LPC 22:5	0.5330091165805921	0.24377726079568432	0.006087875720527888	2.2244679325276735	1.093349996174424	0.4885110673452962	2.3366881782903786	0.1782827956096251	2.784058090994898	0.107328509133782	0.21336117005596864	0.8772784175046673	0.47641164453023116	4.330079338414713	0.606730772545766	1.7873885333360343e-6	2.54565732566569	1.0945640818083069	1.2749460234322714	0.11242164763108484
LPC 22:6	0.018919587509672972	0.3964959249056062	0.9945158949074057	1.50651685318067	3.3521036870111534	1.7977402583520363	0.5138797482356697	0.2521738367818125	0.6730864459585042	0.3641073485593529	1.0361364253934733	0.015758809290051145	0.007296987939516766	0.3122526399201517	1.5219758786835345	0.14733451860607674	1.8804567119506943	0.7845046246072	0.5729991090284412	0.12248015298816686
LPC O-16:0	2.5080169222439874	0.015684125827561173	0.6581705756220794	1.9466682117056713	0.013028101811513499	0.6271376277532236	2.1649662793346192e-4	0.7746814779047672	0.8015809648833829	0.3367286072779318	0.5088525108129338	0.012083313017477384	0.2613265616720594	1.2069319059947903	0.06571298160880717	0.019288501946831908	6.188167770244633e-4	0.03946472790797328	0.5298192120616745	2.6144028165533636e-4
PC 30:0	1.2777294164543374	0.006624204176214913	3.5807252352505556	0.1278531433572542	0.20651032521430024	0.7504527598549617	2.024815860987197	0.03708640970333294	0.009131681852338046	0.3109108209209095	0.45753012478872446	0.0029415023894539243	0.8239125975729914	0.452462682824011	0.3269497113575327	0.32333774789120606	0.10537908269354322	0.5169711834224313	0.3360807312968594	0.39170027964288767
PC 32:0	1.1495397352497374	0.3053135393535366	3.9061638743152725	0.03786772076420371	0.23092289340898137	0.15750173565317926	0.21094700146736334	0.18551775055975891	0.24699621571257696	0.2443123923734123	0.774342672761764	0.6570382374549335	0.09887187063813412	0.9553623484303693	1.6684177017783588	0.7625076768019888	1.8460713177443866	0.07896450256317579	1.1563884267022984	0.5732505202591798
PC 32:1	1.4814220040275758	0.019125974347165498	2.92599389334355	0.3740806813988993	0.7351251827075882	0.06887547377707583	0.40068838072395263	0.11029330809425739	1.4580712442375066	0.3007712300252627	0.6987703103485555	0.016276684301409987	0.280503631041933	0.47673090033896326	1.5359720986581535	0.6496967247159445	0.6189488811477014	1.1904190453987613	0.4474545590815454	0.6168124777676721
