feature	mean_exp	mean_ctrl	pval	padj	M	A	negLogP	sig_fc.pval_color
PC 38:4;P/38:5;O	0.12721442900205704	0.19548121910748076	0.05774652644261279	0.40744570379683737	-0.6197676927631832	-2.6647819342582832	1.2384741342440575	none
PC 38:5	0.6379176113162903	0.8526109689185639	0.07340873844909361	0.4262868454475637	-0.4185175075420156	-0.43929923283268546	1.1342522393436831	none
PC 38:6	0.8408962417085613	1.1861144807549517	0.016044727629892962	0.3300833695257137	-0.49624355960768196	-0.0018785179412240949	1.7946676509485664	down-regulated
PC 38:7	0.03519443114096971	0.05695797772191582	0.0041894356072093766	0.3300833695257137	-0.6945507572306207	-4.481233643686072	2.377844480419005	down-regulated
PC 40:3;P/40:4;O	0.008118707744930896	0.016898257645039924	0.24827972579712104	0.5016263847737751	-1.057552483008715	-6.4157579313069615	0.6050587429260115	none
PC 40:4	0.030632926715621442	0.04395752737157403	0.30772703302694415	0.541107338510951	-0.5210270256354702	-4.768259466193756	0.5118343504254743	none
PC 40:5	0.16315822616939563	0.22761086682451379	0.20449806536191031	0.4708211272285842	-0.48029771029665785	-2.3755075121645506	0.6893107962464738	none
PC 40:6	0.4046301035459038	0.5165848456329197	0.22565447062928778	0.49212062975422627	-0.35240166456774735	-1.1291236055328147	0.646556057887699	none
PC 40:7	0.03378634663629464	0.0456338729103179	0.06199780800863126	0.40744570379683737	-0.4336647409999882	-4.670583460920203	1.2076236651240773	none
PC 40:8	0.01630614373099677	0.023468225830381304	0.8772272754416532	0.936312659931684	-0.5252931431104988	-5.675793981354658	0.05688787335835009	none
PC O-32:0	0.029939635278456608	0.05259458159848194	0.9530073141879847	0.9930670509563486	-0.8128575310336741	-4.655370777516431	0.02090376620396982	none
PI 36:2	0.1067349653877728	0.055019644288584954	0.10319788256664572	0.4363903409940687	0.9560141496205692	-3.7059023025504723	0.98632921355237	none
PI 38:4	0.5384841178011823	0.3743989109690949	0.010744728644787748	0.3300833695257137	0.5243275556566163	-1.1551880785634077	1.968804548023577	up-regulated
SM 32:1;O2	0.05745087153110827	0.07273321128287422	0.6550187482925882	0.8005784701353856	-0.34028549614954934	-3.951384662943952	0.18374626922426465	none
SM 33:1;O2	0.031625307851047176	0.04088581961825324	0.4236386200733978	0.6169334841572465	-0.3705210381192453	-4.7975161471763785	0.37300445526844545	none
SM 34:1;O2	1.74075975589237	2.5709343234484607	0.023165582580339263	0.35994155660093524	-0.5625756470075649	1.0810049323521718	1.6351567734558552	down-regulated
