feature	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
PC O-32:0	0,00	3,42	1,25	1,46	1,43	0,82	1,62	0,99	1,46	0,69	1,47	1,46	0,77	1,95	1,95	1,16	4,34	2,10	1,37	1,73
"PC 32:1;O/32:0;P"	0,00	1,92	0,80	1,22	1,29	0,86	1,12	0,44	1,13	0,37	1,20	1,15	0,00	1,04	1,49	1,12	2,42	1,59	1,12	0,99
"PC 34:0;O"	0,00	0,84	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,60	0,00	0,00	0,98	0,00	0,00	0,45
"PC 34:0;P/34:1;O"	1,29	4,99	2,25	3,08	3,45	1,58	2,67	1,66	2,45	1,27	3,78	2,17	1,69	4,13	3,32	2,43	5,59	3,52	3,42	2,63
"PC 34:1;P/34:2;O"	0,89	2,99	2,10	2,43	2,96	1,60	0,86	1,23	2,40	1,14	2,40	1,30	0,99	1,89	3,10	2,37	4,48	2,70	3,30	2,75
"PC 36:1;P/36:2;O"	0,00	1,31	0,82	0,95	1,24	0,00	0,71	0,53	1,03	0,51	1,02	0,68	0,00	0,92	1,23	0,83	1,92	1,09	1,26	1,11
"PC 36:2;P/36:3;O"	1,78	4,03	2,08	2,73	3,10	1,95	1,63	1,55	3,18	1,43	2,20	2,61	1,04	2,09	3,43	2,18	5,32	2,60	3,49	3,32
"PC 36:3;P/36:3;O"	5,91	9,57	5,14	7,89	8,68	5,47	5,48	6,13	9,04	5,16	6,07	10,06	3,21	7,68	11,58	7,59	15,86	6,97	10,05	10,83
"PC 38:2;P/38:3;O"	0,00	1,21	0,00	0,79	0,77	0,00	0,52	0,54	1,00	0,54	0,60	0,91	0,00	0,64	1,33	0,00	1,86	0,65	0,87	1,22
"PC 38:3;P/38:4;O"	3,44	6,11	2,70	4,43	4,31	3,73	3,03	3,30	5,97	3,22	3,93	5,91	2,30	4,48	8,45	4,28	9,21	4,21	5,30	6,95
"PC 38:4;P/38:5;O"	5,62	5,34	3,74	5,25	4,99	5,70	3,65	5,03	7,70	4,04	5,68	7,40	2,48	5,44	9,82	6,11	10,87	5,29	8,72	8,95
"PC 40:3;P/40:4;O"	0,00	0,79	0,00	0,53	0,00	0,00	0,40	0,45	0,84	0,44	0,00	0,80	0,00	0,63	1,22	0,00	1,14	0,61	0,64	0,87
"PC 42:3;P/42:4;O"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,49	0,00	0,00	0,43
PE 38:4	0,00	7,62	7,65	8,14	0,00	0,00	0,00	0,00	0,00	0,00	5,92	6,56	0,00	5,75	5,52	0,00	8,13	5,84	0,00	8,90
"PE 36:3;P/36:4;O"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	4,13	0,00	0,00	0,00
"PE 38:4;P/38:5;O"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,41	0,00	7,45	0,00	0,00	0,00
"SM 32:1;O2"	0,00	2,27	2,75	3,40	4,22	3,55	2,34	2,20	2,79	1,47	2,18	2,23	1,21	2,84	2,98	1,98	4,19	1,89	3,31	4,45
"SM 33:1;O2"	0,00	1,09	1,53	2,11	2,32	1,53	1,18	1,35	1,08	0,83	1,32	1,32	0,00	1,98	1,73	1,13	2,78	1,54	1,89	2,25
"SM 34:0;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"SM 34:1;O2"	51,63	93,43	87,20	114,60	82,62	84,32	56,98	64,38	84,51	46,92	72,98	79,67	45,79	101,68	107,75	86,15	147,96	77,49	85,73	94,96
"SM 34:2;O2"	3,73	6,24	8,38	10,32	8,49	6,97	5,68	6,43	7,63	3,15	6,70	6,42	3,00	11,34	8,86	7,54	10,55	7,20	9,47	9,64
"SM 35:1;O2"	0,00	0,00	0,71	1,00	0,90	0,00	0,48	0,60	0,00	0,00	0,61	0,78	0,00	0,71	0,98	0,00	1,61	0,77	0,80	1,08
"SM 36:0;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"SM 36:1;O2"	6,59	15,72	18,62	29,06	16,48	13,83	10,10	14,33	13,98	9,18	13,92	19,43	6,49	22,39	27,83	13,43	28,55	19,77	17,88	18,99
"SM 36:2;O2"	1,98	4,78	6,28	7,49	4,57	4,36	3,07	5,10	4,01	2,02	4,28	5,89	1,92	6,70	7,72	4,43	7,87	5,94	6,62	7,14
"SM 37:1;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,54	0,00	0,00	0,00
"SM 38:1;O2"	2,74	5,99	8,29	11,89	8,30	6,21	4,57	6,90	5,76	3,95	5,64	8,27	2,48	8,18	10,85	4,62	12,56	7,32	7,56	9,55
"SM 38:2;O2"	0,00	2,09	2,88	3,07	2,58	2,35	1,64	2,73	1,77	0,99	1,95	3,01	0,82	2,90	3,81	1,76	4,00	2,75	3,28	3,68
"SM 39:1;O2"	0,00	0,00	0,96	1,38	1,21	1,10	0,70	1,08	0,00	0,51	0,56	1,40	0,00	0,99	1,53	0,00	2,69	1,03	1,26	1,80
"SM 40:0;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
"SM 40:1;O2"	8,39	16,23	18,69	29,60	17,69	13,58	11,80	15,47	15,83	11,03	13,00	18,19	5,03	18,01	26,45	14,29	33,43	20,73	15,41	20,57
"SM 40:2;O2"	6,29	8,99	11,26	12,77	9,80	10,30	8,30	9,32	8,82	5,59	6,93	10,70	4,07	10,22	14,44	9,37	16,41	12,05	12,19	15,32
"SM 40:3;O2"	0,00	0,00	0,73	0,98	0,93	0,89	0,53	0,65	0,00	0,00	0,55	1,14	0,00	0,84	1,16	0,00	1,25	0,98	0,88	1,13
"SM 41:1;O2"	2,95	4,72	6,29	9,25	5,70	5,76	4,51	6,16	5,45	3,61	3,43	6,78	1,36	6,17	9,36	3,83	14,74	6,39	5,58	7,65
"SM 41:2;O2"	2,56	2,90	3,77	4,15	4,33	4,51	2,98	3,68	3,10	1,94	2,29	4,00	1,10	3,54	5,15	3,07	7,75	4,11	4,59	5,90
"SM 42:1;O2"	5,72	13,58	13,53	20,50	13,04	12,30	10,76	13,79	15,67	9,90	10,20	15,12	3,53	11,15	18,50	12,20	26,82	16,75	11,03	15,61
"SM 42:2;O2"	32,44	48,95	50,12	69,20	54,63	52,01	38,74	43,58	49,71	37,72	42,30	46,29	25,62	56,83	63,83	57,85	74,74	50,60	47,47	64,72
"SM 42:3;O2"	15,61	18,04	25,21	25,12	24,83	20,69	18,46	19,26	18,70	11,07	16,96	22,46	9,50	23,19	28,04	23,15	30,05	26,57	23,57	27,97
"SM 42:4;O2"	0,00	0,84	1,50	1,44	1,72	1,53	1,36	1,26	1,02	0,71	0,91	1,71	0,00	1,15	1,80	1,22	2,73	2,09	1,51	3,75
"SM 43:1;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,48	0,00	0,00	0,00
"SM 43:2;O2"	0,00	0,00	0,00	0,67	0,72	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,36	0,00	0,00	0,66	0,00	0,00	0,74
TG 46:1	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 46:2	0,00	0,00	1,34	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 48:0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 48:1	0,00	0,00	0,20	0,61	0,49	0,00	0,00	0,00	0,00	0,00	0,38	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 48:2	0,00	0,00	2,35	0,99	1,60	0,00	0,62	0,00	0,00	0,77	0,89	0,00	0,00	0,00	0,00	0,00	0,74	0,00	0,00	0,00
TG 48:3	0,00	0,00	0,59	0,00	0,72	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
TG 49:1	0,00	0,67	1,26	0,15	1,13	0,00	0,08	0,49	0,62	0,50	0,70	0,39	0,00	0,35	0,87	0,82	0,74	0,22	0,68	0,25
TG 49:2	0,00	7,31	4,88	5,37	5,35	1,09	4,31	2,70	2,17	2,50	8,63	0,61	1,18	0,64	0,97	4,09	2,58	2,14	1,27	1,87
TG 50:0	0,00	1,84	2,49	2,03	6,22	1,00	1,98	1,37	0,00	1,46	1,87	0,53	0,89	0,36	0,00	1,35	1,00	1,42	0,55	1,29
