feature	BS-082D10	BS-351D10	BS-364D10	JV-138D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-723D10	KT-805D10
"SM 40:2;O2"	4,76	7,35	9,67	9,81	12,60	12,52	11,00	4,80	7,77	9,95	11,82	10,68	8,75	10,51	7,64	8,80	13,82	9,95	8,45	10,30	8,79	12,71	14,20	10,55	9,11
"SM 40:3;O2"	0,00	0,00	0,00	0,00	0,00	0,50	0,00	0,00	0,00	0,00	0,63	0,47	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,82	0,85	0,69	0,00
"SM 41:1;O2"	2,47	3,64	6,19	9,14	8,53	5,53	11,22	2,97	5,49	6,05	7,37	5,73	3,15	4,63	2,72	3,89	7,90	4,04	7,82	6,17	3,74	5,83	9,27	6,51	2,94
"SM 41:2;O2"	1,70	2,92	3,32	4,16	4,57	4,01	4,35	2,13	4,03	3,81	4,40	4,07	2,97	3,13	2,33	3,02	4,71	2,93	2,94	3,94	2,97	5,24	6,06	4,18	2,56
"SM 42:1;O2"	4,61	7,15	16,46	19,85	18,21	11,41	25,46	6,75	12,10	12,16	8,82	13,90	7,96	14,54	6,99	8,53	18,92	11,38	23,20	11,88	9,50	11,04	16,35	15,19	7,77
"SM 42:2;O2"	20,22	33,16	49,77	37,82	49,62	53,38	45,16	28,34	47,60	40,94	56,54	50,92	45,98	44,98	35,59	39,66	65,47	40,78	40,44	44,92	37,55	45,87	46,49	43,12	36,65
"SM 42:3;O2"	8,41	13,48	19,65	15,47	19,94	19,99	18,70	12,10	20,95	16,75	24,94	19,43	17,36	19,80	16,86	15,53	24,51	16,49	15,26	18,70	17,11	22,07	20,95	21,47	16,50
"SM 42:4;O2"	0,00	0,77	0,97	0,99	1,23	0,94	1,29	0,72	1,47	1,10	1,37	0,95	0,91	1,09	0,90	0,82	1,27	0,83	0,71	1,31	1,27	1,60	1,26	1,58	0,88
"SM 43:1;O2"	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,50	0,00	0,00	0,00	0,34	0,00	0,00
"SM 43:2;O2"	0,00	0,00	0,00	0,00	0,00	1,11	0,00	0,00	0,00	0,00	0,00	0,72	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,17	1,02	0,42	0,00
TG 46:1	0,00	0,00	0,00	0,53	0,44	0,00	0,60	0,00	0,00	0,00	0,00	0,36	0,00	0,00	0,36	0,50	0,00	0,00	0,00	0,00	0,00	1,08	0,00	0,00	0,00
TG 46:2	0,00	0,54	0,00	1,45	1,00	0,00	3,57	1,16	0,42	0,37	0,00	0,71	0,00	0,00	0,98	0,89	0,00	0,00	2,46	0,00	0,00	1,58	0,00	0,45	0,00
TG 48:0	0,00	0,00	0,00	2,20	0,92	0,00	3,58	0,71	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	1,49	0,00	0,00	0,00	0,00	0,00	0,00
