feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3
TG 56:8	1,36	0,00	1,40	0,00	1,47	1,89	0,57	0,34	0,37	0,56	1,41	0,00	0,96	0,98	0,97	0,00	0,44	0,85	0,70	0,64
TG 58:7	0,57	0,00	0,83	0,00	0,73	0,93	0,68	0,16	0,00	0,98	0,76	0,00	0,49	0,56	0,52	0,00	0,00	0,45	0,63	0,62
TG 58:8	0,60	0,00	0,81	0,00	0,59	1,18	0,45	0,22	0,00	0,71	1,00	0,00	0,46	0,54	0,53	0,00	0,00	0,39	0,62	0,87
TG 58:9	0,00	0,00	0,00	0,00	0,45	0,66	0,00	0,14	0,00	0,00	0,75	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
FA 14:0	2,72	2,22	6,04	2,78	4,73	6,85	3,28	3,30	1,74	8,64	0,00	2,34	5,63	2,65	0,00	3,01	4,30	2,44	3,15	3,46
FA 16:0	74,65	70,65	186,84	44,40	105,41	160,40	95,44	60,54	54,04	215,53	51,70	77,35	150,46	83,25	47,30	75,80	67,83	48,38	77,97	119,51
FA 16:1	9,12	7,14	30,63	4,69	15,74	15,85	6,61	8,71	3,76	39,56	3,12	8,53	23,69	5,31	2,56	6,82	7,18	4,57	10,79	13,32
FA 18:0	20,64	22,40	59,48	20,32	30,57	51,29	48,12	18,07	21,77	49,40	26,75	30,29	36,52	25,65	15,05	23,97	27,48	16,07	24,60	37,17
FA 18:1	108,78	72,27	458,70	52,10	148,98	271,29	191,56	88,02	98,92	565,91	60,26	109,97	235,82	136,49	31,27	88,78	84,01	65,37	130,92	235,67
FA 18:2	55,75	34,58	151,30	28,07	58,58	123,40	71,71	29,36	32,17	166,35	30,87	52,97	108,16	55,79	24,57	41,85	50,74	29,63	40,07	75,16
FA 18:3	2,70	0,00	10,77	0,00	4,37	6,40	2,16	1,79	0,00	6,25	0,00	2,88	10,50	0,00	0,00	2,39	3,22	0,00	0,00	2,70
FA 20:3	0,00	3,42	3,87	0,00	2,82	2,20	2,25	1,54	0,00	3,81	0,00	2,54	4,98	0,00	0,00	0,00	2,31	0,00	2,85	2,38
FA 20:4	7,73	21,32	14,25	13,63	14,59	8,89	12,70	6,27	6,99	15,29	7,53	14,34	17,21	6,93	8,25	6,62	21,34	11,36	11,33	10,11
PI 34:1	0,00	12,55	4,47	0,00	4,40	0,00	0,00	7,47	4,19	0,00	3,00	0,00	0,00	5,78	4,72	0,00	4,95	0,00	7,31	0,00
PI 34:2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	5,09	2,39	0,00	0,00	0,00	0,00	3,62	3,38	0,00	0,00	0,00	0,00	0,00
PI 36:2	0,00	9,41	8,67	0,00	5,16	6,93	0,00	6,37	9,06	0,00	8,58	6,66	6,29	9,31	9,90	3,79	6,58	4,30	8,76	6,18
PI 36:4	0,00	7,48	8,36	0,00	7,43	3,88	0,00	10,51	2,78	0,00	3,20	5,50	0,00	7,02	6,63	0,00	4,99	0,00	7,34	5,44
PI 38:3	0,00	7,70	6,31	0,00	0,00	0,00	0,00	4,03	5,55	0,00	3,98	0,00	0,00	6,36	16,84	0,00	4,07	0,00	11,84	5,66
PI 38:4	24,21	48,29	41,24	27,64	31,80	39,56	17,98	28,11	29,37	27,29	44,73	30,23	26,86	45,63	53,99	21,73	26,25	41,14	74,70	29,18
