"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42"
"LPC 16:1","LPC 16:1","0.28305","0.13951","0.06625","0.2465","5.65061","0.95471","1.64733","5.02695","0.55593","0.04965","0.5926","0.70867","0.28959","0.81314","0.11709","0.99263","0.04734","0.01512","1.60425","0.16876","3.16615","0.43557","0.23519","0.80827","0.22757","0.08943","0.1587","0.03418","0.68443","0.12363","1.08994","0.27121","0.01271","1.91998","0.39074","0.00049","8.09581","1.72205","0.18825","0.70205","0.21041","0.12135"
"LPC 17:0","LPC 17:0","1.09081","0.00244","0.20926","0.25447","0.22539","0.10789","0.91727","0.91003","5.0181","0.31257","0.80769","0.7848","0.00004","1.31022","2.38178","0.06075","0.59697","0.08434","1.02031","0.32431","2.87127","0.53847","0.22689","2.4939","2.66199","0.46339","2.45464","0.21501","0.53555","3.33406","0.04706","2.2116","0.52536","0.37844","3.60791","0.37374","0.22714","0.13521","0.17992","0.05021","0.11884","0.01269"
"LPC 18:0","LPC 18:0","0.99714","0.25829","0.06715","1.14915","0.2018","0.00805","0.54818","3.98306","0.34901","0.00152","0.97901","0.59871","2.58579","0.18225","0.02053","0.00995","0.00284","0.00028","0.47636","4.10259","0.13439","5.28824","0.29642","1.22406","0","0.41865","0.76999","0.63259","0.04703","0.88659","5.58464","0.04819","0.0733","0.53423","0.00218","4.80368","0.7861","0.13365","0.86175","0.35004","0.09435","1.50253"
"LPC 18:1","LPC 18:1","0.60492","0.39322","0.0118","0.83474","3.50825","0.003","1.40603","5.84007","0.45227","0.03055","0.03211","0.33934","0.17748","0.00379","0.35893","0.06489","0.34694","0.22657","0.5807","0.41073","0.57971","5.37103","0.02236","0.08221","0.8882","0.18123","0.54815","0.65923","0.43466","0.05681","0.15826","0.34579","0.2162","0.00163","0.21091","0.05567","1.84224","0.05253","0.49615","1.20994","0.46149","14.63722"
"LPC 18:2","LPC 18:2","0.10055","1.09059","0.34425","0.06573","4.02294","3.69165","0.04238","4.79453","0.49226","0.04383","2.28905","0.11752","0.10132","0.40453","0.00415","0.16302","0.02343","0.04103","0.9887","0.00296","0.03967","0.3752","0.32216","0.03397","0.40845","0.68167","0.70429","0.39737","0.28187","0.46876","0.00137","0.03735","0.70796","0.00109","0.70021","0.19788","0.00009","0.21553","0.63853","0.58724","0.74711","3.82467"
"LPC 18:3","LPC 18:3","0.80849","0.21683","1.01813","1.72945","0.43717","0.27875","0.28446","1.10527","1.19072","2.49226","1.23642","0.58519","0.63968","0.31499","0.1566","0.22524","0.25633","3.71384","0.13398","1.35304","0.58939","0.06301","0.16284","1.44637","0.05782","0.39692","0.00322","0.49882","0.6644","0.22131","5.74252","0.01253","1.73993","0.07656","2.16095","0.54147","0.1436","6.49977","0.00849","0.05454","0.00999","1.81341"
"LPC 20:3","LPC 20:3","0.89217","0.08051","0.00027","0.81136","0.53364","3.02845","0.23102","3.97146","2.11667","0.07905","0.00321","0.0245","0.16683","1.84578","1.53397","0.34253","0.68352","0.04965","0.94153","0.18945","0.00125","0.28543","0.06619","0.0045","0.06362","0.36695","1.57779","2.26739","0.20047","0.25288","2.02627","0.05025","1.60562","0.14951","0.15561","1.85448","0.4339","0.58333","0.45101","0.10053","0.02749","0.15459"
"LPC 20:4","LPC 20:4","0.67511","0.75025","1.22028","0.30239","1.27612","0.0965","1.70161","3.84972","0.00484","0.00077","0.13344","0.01304","1.09977","1.52579","0.00429","0.24925","0.04591","0.59602","1.05871","0.04308","0.52574","1.51567","1.35825","0.48767","0.00107","2.43533","2.8396","0.00244","1.72068","1.04719","0.93171","0.08683","0.0238","0.96472","2.53133","0.0996","1.3262","2.42374","0.00136","0.01149","0.24433","11.91312"
"LPC 20:5","LPC 20:5","0.10566","0.04933","1.51807","0.01138","0.06555","0.39306","9.21507","0.37429","0.08702","0.01041","4.31782","0.39899","0.09602","4.49543","0.00071","0.46534","0.10186","0.08244","2.77484","4.37604","0.1158","8.07636","0.27242","0.26499","2.404","0.14583","0.96003","0.00151","5.352","1.01994","0.00163","0.8171","0.33146","0.57271","0.61964","0.20433","2.03108","0.01607","0.58614","0.20019","0.01575","0.15815"
"LPC 22:5","LPC 22:5","0.2378","0.01281","3.10351","0.03021","1.99703","1.5149","3.45834","0.06033","0.88753","0.01038","0.82454","0.85861","0.09507","1.67735","0.07795","1.94969","4.08455","0.17286","0.01006","0.12837","0.63472","0.00342","1.72233","2.14971","0.60473","0.46035","0.65347","4.6116","0.00729","0.00503","0.17232","6.46979","0.82312","0.68595","1.43578","0.71736","3.04831","0.82573","0.17209","0.63443","3.74058","0.23787"
"LPC 22:6","LPC 22:6","0.49408","0.10436","2.86583","0.57593","0.23492","0.05262","4.04142","3.76915","0.74451","0.53522","0.00584","1.81016","0.00586","0.00141","0.19145","0.06322","1.47254","0.05921","1.30428","0.2333","0.00277","3.30922","0.45519","0.03831","0.35855","0.08597","0.07816","2.39145","0.03947","0.60377","0.03476","0.0163","3.18504","0.01006","1.12597","0.18289","0.42394","0.04395","0.00548","0.00199","0.68234","0.14927"
"LPC O-16:0","LPC O-16:0","0.28923","0.35231","1.01842","0.30985","1.76367","2.79583","0.19496","0.18114","2.64495","0.09738","6.73792","0.4316","0.00083","1.35998","0.18053","1.81687","0.1276","1.31876","0.19838","0.07966","4.9433","0.04475","0.17308","0.41319","1.12457","0.71835","0.49042","0.41428","1.92887","0.21471","0.38924","1.7814","0.14157","6.29862","0.00071","0.81599","0.09234","1.9417","0.07794","0.32926","2.93595","0.23762"
"PC 30:0","PC 30:0","0.66331","0.27297","4.57266","0.99774","1.09537","0.91596","1.43817","0.10223","0.00118","0.00138","0.04934","0.28997","0.02633","0.11252","0.02811","0.00831","0.0059","0.90613","0.0031","0.13252","0.01065","0.00134","0.88139","0.13864","0.32731","0.09162","0.53221","0.48258","1.2723","0.40927","0.03897","0.35142","0.97589","0.00065","0.01057","0.00307","0.40554","0.02476","0.04276","1.69251","0.18251","0.91118"
