"sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"KT-434_D0_D60","exp","0.94238","1.72844","2.30429","-1.96166","-0.6571","0.27525","-1.23627","-1.37257","-0.2958","1.41266","1.80001","0.00007","1.89957","0.18043","-0.84798","-1.08825","-0.25662","0.44299","0.22047","0.18707","0.19712","0.17969","-0.16638","-0.21366","-0.27717","0.139","-0.64618","-0.08882","0.05715","-0.20852","0.15509","0.03407","-0.08886","0.03528","-0.1864","0.07907","0.00824","-0.04488","-0.00447","0"
"KT-247_D0_D60","exp","-2.93478","1.14313","0.82533","0.89202","-0.91269","-0.24487","-0.407","0.36858","2.02082","-0.68425","1.52647","-0.13973","-0.56109","-0.21594","1.0129","0.1737","-0.52783","0.36733","-0.97196","0.49001","0.29225","0.04925","0.1881","-0.88964","-0.23015","-0.2354","-0.21318","0.15015","-0.13577","-0.11375","0.15337","-0.14791","0.00459","-0.23512","0.05738","-0.14924","-0.05987","0.00241","0.07144","0"
"KT-716_D0_D60","ctrl","1.09058","-1.44111","-2.01924","-2.88074","-0.08109","2.57241","0.53724","-1.15519","0.06571","-0.7213","0.38829","0.52053","-0.07286","1.1448","-1.0497","0.22217","0.60638","-0.9394","-0.35534","-0.09067","0.07255","0.51284","-0.79126","0.12147","-0.1682","-0.15764","-0.41491","0.07579","0.15613","0.26083","-0.19266","-0.22425","-0.08927","-0.11062","0.1419","-0.08172","0.00197","0.06812","0.006","0"
"KT-974_D0_D60","ctrl","0.31783","6.27031","3.18032","-1.07814","1.44943","0.65537","-0.71814","0.56452","-0.3378","-0.31112","0.31276","1.18459","-0.13705","0.69863","0.22474","0.17804","-0.00625","0.26355","0.11018","-0.07406","0.81656","-0.09254","0.84225","0.12479","0.08501","0.22317","0.20075","-0.13789","0.13734","0.62007","-0.08811","0.03089","-0.01129","-0.12287","-0.02343","0.08176","-0.03791","0.08585","-0.01898","0"
"KT-537_D0_D60","ctrl","1.83007","0.68412","-2.26225","0.07547","2.33475","0.1318","-1.09244","-0.58179","0.52381","-0.70457","-0.24795","1.30715","0.15466","-0.03112","0.50132","-0.29987","-0.64272","-0.10254","0.66705","-0.07023","-0.55096","-0.63915","0.22603","0.25219","0.45068","0.19373","-0.27965","0.59208","0.09512","0.21959","0.02692","-0.22305","-0.21857","0.01411","-0.00175","-0.10164","-0.02386","-0.14366","0.00867","0"
"KT-612_D0_D60","exp","3.26514","-1.48806","2.75488","0.874","-0.45778","-0.52818","1.80674","-0.88271","0.13564","1.64147","-0.70599","-0.23721","-0.80664","1.2665","-0.57187","-0.51057","-0.04788","-0.12724","0.31337","0.31932","-0.84783","-0.05488","0.18935","0.10166","-0.30296","0.38973","0.12945","0.1685","-0.14359","0.07377","0.48642","0.01549","0.06314","-0.23069","0.12303","-0.00946","-0.0654","0.00143","-0.05577","0"
"KT-445_D0_D60","ctrl","6.55121","0.59259","-0.54678","-1.74503","0.7713","0.11313","1.05476","0.44496","0.36695","-0.22874","-0.38791","0.46583","-0.2776","-0.65929","-0.21948","0.09735","0.35124","-0.44905","0.39044","0.72746","0.97213","0.81854","0.11254","-0.31672","-0.45379","0.53701","0.39917","0.13773","-0.16474","-0.17145","-0.1093","-0.04507","0.1196","0.20637","0.00009","-0.08912","-0.07995","-0.10163","-0.02573","0"
"KT-525_D0_D60","exp","-6.59718","-0.36858","2.46287","1.77926","0.2749","-1.19997","-2.01399","1.27935","-0.73252","-2.05967","-0.67471","0.40953","-1.13599","1.12609","-0.67363","0.25835","0.73552","0.00392","0.64884","0.6322","0.08258","-0.3832","-0.65683","-0.0131","-0.10982","0.38516","-0.1493","-0.37837","-0.16703","-0.18922","0.05342","-0.05796","-0.07717","0.00092","-0.10182","-0.07104","0.04806","-0.00848","0.01751","0"
"KT-352_D0_D60","exp","-0.84608","-3.11116","-1.47937","0.78479","0.97109","-2.30938","-2.37707","-1.59839","1.39167","0.01451","-0.31557","0.55027","0.9934","0.21746","-0.50697","0.50813","0.35175","-0.06058","-0.0494","-1.22015","0.07614","-0.17937","0.49023","-0.08832","-0.79515","-0.19822","0.34512","-0.0942","-0.40442","0.02201","-0.01946","-0.15838","-0.06697","0.04653","0.04507","0.04065","0.00546","0.02507","-0.02137","0"
"JV-148_D0_D60","exp","-2.1226","-1.58836","-2.70021","0.52366","0.01312","1.63802","-1.0603","1.8122","0.89148","-0.43514","-1.69156","-1.33701","1.69538","0.22762","-1.16992","-0.38858","0.18315","0.63817","-0.3494","0.59723","-0.37966","0.21002","0.335","-0.3552","0.49522","0.18414","0.09715","-0.23549","-0.01995","0.09371","-0.17379","-0.02931","0.08318","-0.15337","0.00709","0.07416","-0.09698","-0.02724","-0.00956","0"
"BS-346_D0_D60","ctrl","4.22863","-1.15328","2.25258","0.78098","-0.79656","2.3645","-0.01788","0.04039","0.58967","0.86343","-0.07127","-0.47402","0.21854","-0.2213","0.3989","-0.14645","0.13642","-0.58584","1.45858","-0.48611","0.19705","-0.75206","0.07056","-0.07984","-0.07181","-0.50251","0.13328","-0.31223","0.23916","-0.25019","-0.35437","-0.03679","0.18657","-0.20225","-0.03203","-0.11871","-0.0139","-0.02032","0.00375","0"
"KT-663_D0_D60","ctrl","5.60169","0.09839","-0.03089","4.77782","1.05811","-0.83297","2.25094","-0.14476","-0.33603","-0.73411","-0.03492","0.71503","0.88776","0.33107","0.17419","0.54295","-0.07162","0.96763","0.55187","-0.59316","-0.07079","0.76072","-0.50192","-0.00905","0.06664","-0.11026","-0.35947","0.19453","-0.2598","0.15361","-0.14083","0.16163","0.11696","-0.0124","-0.11137","-0.01304","-0.05987","0.04314","0.04124","0"
"KT-695_D0_D60","ctrl","3.41323","2.64922","0.39279","0.62186","2.80524","-1.36359","-2.00869","-1.55127","-0.9761","0.22687","0.29878","-0.94603","-0.24887","-0.05102","0.51716","-1.10673","0.60591","-0.83404","-0.53419","-0.49642","-0.02821","0.11165","-0.83145","-0.63467","0.66817","-0.00534","0.41225","0.09229","-0.0317","0.01019","0.03475","0.11371","0.14662","-0.03221","0.02293","0.00744","-0.02128","0.00272","-0.02002","0"
