sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
JV-070-DAV-04-M1	2	-9.117336449949578	3.1803844356925652	-3.3569171682258454	0.17185840516463072	4.120744168417272	1.9477248378728205	-0.924176818056455	-2.0935898366520176	-1.373873022455813	-3.3451900342587924	-3.7548296982012577	-1.016603667807691	-0.6205204601538471	-0.7800110240589754	-1.2856427957773948	0.1732255746226256	0.7130699945615635	1.268386342629704	0.10440762699083321	1.5510256596181706	0.21354381073487963	-0.13220316670709112	0.5437858086914391	0.6385412968202576	-0.130609157651695	0.9694277328653209	-0.3382379061963162	-0.4941421459569668	0.724170219756324	0.5811134726766725	0.6316045126349881	-0.03210376444851897	-0.5674222347353745	-0.30534314918828953	-0.11695519983894914	0.02387481496144406	0.13436701169414764	-0.01897744567905002	0.11169718256877101	4.020320536581477e-15
BS-356-RAN-03-M4	2	-8.380131455346893	-2.2318227280678	-0.12200294558197053	-1.5645511011669018	-2.1888299856036664	1.1624391470750455	-4.717349459020408	2.1198761354569693	1.3022203304081683	2.405463833151412	-0.3139020976505028	0.6955759675024407	1.665189177358463	-0.8094479626405344	-0.7791078186667946	-0.4997110480914596	0.35587000342106523	-0.5191799952104721	-1.0962510942363672	-0.1144498187829587	-0.1972924242630985	0.414772509153647	0.03251355603631541	-0.16877872132906083	-1.3601731628928062	1.3940183170681124	-0.20506633370153915	-0.9181269836889419	-0.7816270161656929	-0.4543606664843768	0.9453985235116131	0.16787702440562993	-0.7266187246149747	0.18080008781758317	0.5116388939544808	0.00899562493068096	0.09110830895740894	-0.26471374856405516	-0.43010718367539075	4.807664174707941e-15
JV-090-MIN-IC-M4	2	-5.076696781574531	-0.4969335545193679	2.9262720894864516	-1.2214110973382908	-3.2571529454056063	-0.19516240048946354	2.46711762457431	-1.883462020914046	-0.37155754810331165	-0.290083364509574	1.6897568138137145	0.9156487368238352	-0.20658919118094174	0.7662790046164312	-0.34232724524146163	0.7018196749778158	-0.3874801388905056	0.6181705792256552	-1.4062344231738058	1.72214642309325	-1.4843387791131828	0.3727315127938747	-1.9201905523341654	-0.2728436444853401	-0.3007980925156337	0.5174537577406003	-0.648831677051215	-0.8205679611453817	1.4912003936373674	-0.07083535564974272	0.4884077828192578	0.5753387555225434	0.6779087787545448	-0.046359092035155244	-0.43282649932381634	0.24862001334129719	-0.3401827726181346	0.05825818956934677	-0.22924022773411737	4.651059012793961e-15
BS-391-RAN-06-M2	2	-6.675169149384527	-1.5227122717810213	-0.31252261358916633	3.3640346479002967	-1.5540703624371657	-0.2116277978431686	3.894426432283488	-1.6862038982780687	0.24189844916633219	-0.08810788650903312	0.4413746923069162	0.1072402670170086	-0.092393166683833	-0.840506084974523	0.7890878743957636	-0.25677974113739477	-0.09860498322430289	0.7242780530575406	-0.6696234410630219	-0.3309393899745274	0.34273650110176973	0.33120721896184213	1.6354002508416192	-0.612872137905398	0.47821168807905323	0.029680986411613028	0.17438242337270551	-1.1135687165728891	-0.3513332633130101	0.08829812837111815	-0.4982530631651126	0.13020086011580906	-0.203521136148831	0.04510410264959349	0.3035435929131061	0.2881296349754167	0.9735943223427245	0.7482916261368645	-0.7029826403650774	4.194402551471915e-15
JV-061-MIN-03-M5	2	-8.304208794393384	-1.227646013602596	-4.017764424626467	4.047343454132954	5.11810908389084	0.2745447622952688	-0.519264115196012	1.3447272635439527	-2.339832308327827	0.19790937285958568	0.6792966939628148	0.3530194834983412	-1.0022032860435839	1.3979098361622022	1.6903714222455106	-2.2208971034789826	2.2980701127736296	-1.5054615725876381	-1.4649843676087375	-0.5532122129510161	-0.3404343653154347	-0.5633048359665304	-1.3700662569043982	0.14081128374022742	-0.7927767333425765	-0.7868168933509262	-0.17376382202541926	-0.18221232193157233	0.12392344593092051	0.006915844845140567	-0.3849483656636103	0.17126674824205457	0.27857128142293647	0.2228551051777515	0.05929020449700697	0.042427974603582386	0.02167379286057126	0.04185946563825912	-0.181957156073935	3.573835668881273e-15
JV-070-MIN-01-M1	2	-7.459135079235565	-0.6663880801279579	-2.0633704524356786	-1.4438691297371211	-3.8424016394508893	2.3269112451417535	-4.164673398345812	0.17336517915212632	0.05158708944970963	-0.9961325793875373	-0.3888104493028205	2.0869309132087235	-1.443165472665977	-0.6236362346319276	1.8336440538094785	-1.4223758435154756	-1.0151668547072168	1.3306290082394832	-0.04438687852862148	-0.23409535169296494	0.36753428103196284	1.785787902464155	-0.011810768501171725	-0.24531264001626135	0.24961896909054274	-0.2461097933289644	0.02438658438617331	0.08323149345761531	0.09043979352139526	1.2459759538164623	-1.1011859338736074	0.028471549004404163	0.647715089437786	0.004218049835391427	0.0772320121434433	0.05261613925044968	-0.05597674309981752	-0.017197453495544933	0.3784949501196127	3.683994082904123e-15
KT-004-SOC-14-M1	2	-8.863268095537043	-2.316012388193301	0.39632617872818576	0.08895858484134152	1.071063816131925	-0.4798839816835358	-2.960797309010306	1.7463589370111943	-0.06088696718291495	0.8290390074678516	-0.38568114055759767	0.1161229011335975	1.9338750990007074	-0.21626903380342075	-0.3685545709492556	1.0558368263028535	0.3872449128296989	-0.41688728835981326	1.311070852313878	0.07611745683755446	-1.1990067864219571	-0.18513667703197845	0.38362829301268575	-0.25566230162406617	1.0646829948921852	-0.8739976600342196	2.03555365855727	-0.3301319859580346	1.0877873927610944	-0.2782195932083936	0.004289541481277867	-0.5604350011128992	0.47324707943647226	-0.2844637449672143	-0.8593558240771012	0.779632627807883	0.309818393965204	-0.09123373684224606	-0.12979623591048056	4.290886206597964e-15
JV-089-SOC-04-M1	2	-8.327826243991703	0.2876094221973918	-0.5190334571671146	0.20300081643373358	3.6121577174136625	-1.1566964222126324	-0.9045305443663781	0.7501816796721975	1.0019993381519308	-0.7579932750658981	0.5999660526254053	-0.03591613877386822	-0.6445386032523722	0.10234206133638087	-0.3148471821625257	1.7435595796420382	-2.555232084277795	-0.05482066774342444	-0.13112167434799069	-1.3954482211404922	-0.209256528485489	1.6777308263333108	-0.1772901055171644	-0.4348543130693456	0.12586777447006825	-1.3864955619057748	-1.3487944495193966	-0.3376968108331296	-0.23747908929422507	-0.47132272722757335	-0.12404490439510049	-0.036589145615110764	-1.1418158644319691	-0.10461007690043159	-0.740504374089812	-0.07349963640750674	-0.502389575377947	0.2759145895335936	-0.13075346775082408	3.6327282584431606e-15
BS-472-RAT-01-M1	2	-6.08146074196368	-3.3182514691713725	-1.067181314131912	4.67435428537438	-1.208372324706504	-0.547740851246319	4.262498740259817	0.06751827728256206	-1.136162354887392	0.7823976780500834	0.24522288215871652	1.2214477852732017	0.18653598142107575	-0.04933120781426804	1.0979720055227002	0.09721294177917832	-0.5675628018856981	0.50791666543294	-0.4970059026594153	-0.5204136707261847	-0.0871403229182779	0.6949769952376543	1.0823290932130576	0.055474437946203214	-0.9792604779587848	0.39128077791336774	0.4484678663877492	0.24674088710270226	0.002177884770702961	-0.03898640022725489	0.7105855835509433	-0.5451533729923724	-0.37453358051513524	0.19399322376836212	-0.6822948718458263	-0.22859459337664884	0.09648702958238793	-0.997478179794038	0.6492992213751849	3.896140107985755e-15
BS-172-RAT-10-M3	2	-5.779267549912002	-2.9235367171154265	5.421675834411858	-0.287278391961292	1.5503376001176274	1.034756150827642	-0.006099615450575597	0.4675028062033663	0.52988925439319845	1.0535327041054168	-0.5612496993469573	-1.0637491477703935	0.471932606456962	0.597508398785718	0.9707999106952789	1.9037099195771428	-0.20703289079685516	-0.1172737505124291	-1.5891220953897773	0.6788220339474696	1.6489112166509732	-0.08596059922895377	-0.19734037781559205	0.22382520232112652	0.78969120099317	-0.7774342621950983	-0.021602351619415552	0.38144953864267744	0.055926640391445716	0.6288845043640132	-0.030005709324282037	-0.07797850301075679	0.4287085567416697	-1.1842227668370089	0.5032436298193872	-0.9482940459027395	0.19173563713821054	-0.5397620722748565	-0.3857868648904324	3.990397573568597e-15
