feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52	PC53	PC54	PC55	PC56	PC57
DG 32:1	0.4007243351407744	2.9856652656425093	0.8135387959395975	0.3017539008293995	0.0697282813434953	3.456791290417181e-4	0.010408885923039393	0.14498592790215978	0.6457833110890863	0.006923604955221274	3.887917453114054e-4	4.6368947674792265e-4	0.025802827638817947	0.11925613339893767	9.127074849734425e-5	0.005777113179229031	0.061287951305354645	0.009749075242179137	0.05719825587126348	0.014789085932074368	0.006328716804956269	0.011678053477960118	0.041250096217871575	0.02047435256175832	0.004522551281074521	0.0065117981788919916	0.006290416541237029	0.15172265285966258	0.07317565358073032	0.018511894806159876	0.004030356673747758	0.05019663262338645	0.021868803748392465	0.018561988804202692	0.10607390273081091	0.016492180554973694	1.272853310574356e-4	0.05729275187253492	0.015654113822694604	2.729593606692475e-4	0.003671745731159544	0.00971742281969251	0.0033078022154469696	0.019697223033414497	3.420836495300379e-4	0.004512064177038517	0.0017628449787247989	0.0028151671529729905	0.017411904478984365	0.014307181310869896	0.09674443848938188	0.16844532104516521	0.01580938634172582	0.3643220070703014	0.08668087638912765	1.8919604573477256	3.0464546854948633
DG 34:1	1.1677144917485873	0.4975852344361352	0.15118190196071413	1.0319822191447765	1.2690274845401968	0.1820238582815946	0.5268219519568175	0.2241673618799011	0.9872861880691404	0.2685575796167591	2.603371096554982	6.617696596847584	0.0036731816073742956	1.325020904050828	1.469905487439413	0.016710168601753277	0.4043787321609274	0.12056138518415464	0.006585657138546894	0.21978430160731577	0.09420041180753715	0.09772285516405516	0.057407103604647514	0.005436609285438114	0.3136095528605535	6.741504115974558e-5	0.024763077735570318	0.0030862439374735083	0.19148398236378325	0.01871490826634162	2.344573519362834e-6	0.023853543026559555	0.0527670373433935	0.4264539679729343	0.05835037639655579	0.33153564825669263	0.12583153172185374	0.10771150107326292	5.2089586859796736e-5	0.21172799965989086	0.013730719479920725	1.4449236927019889e-5	1.4152919918722126e-4	0.11227103364563429	0.009908306672502181	0.009380151388624655	0.00810399739660877	0.1958882190573063	0.003311078925018084	0.010355182830617538	0.17435843374934598	0.010851374937978345	1.0410530828361499e-4	0.05039604578227745	5.018639545372654e-4	0.16730301836790834	0.9405740743758347
DG 34:2	0.405585148282214	2.9677256138542463	0.8121786287936722	0.2998042487442462	0.08510403008461735	1.0675797523703543e-6	0.010393560696842198	0.17612816129654382	0.6804752519333392	0.008777767130751773	0.0010948317843537743	6.441076469876796e-4	0.023123820085351004	0.1226433992425799	3.740708268957338e-5	0.004596785246070932	0.05494608308864296	0.01309712753086034	0.053118754705923255	0.015305488909982267	0.004266999459232095	0.014670289729993409	0.0376581512070022	0.021422396358961798	0.005605194508710419	0.006160864522469494	0.0048458602252916495	0.14503522713714317	0.0740454721828121	0.021171025588823836	0.003439855706387346	0.05011608745203465	0.023524780412075823	0.026449318513092054	0.1027338346143242	0.01666703762129759	6.6777329519275e-4	0.05810041676796032	0.0175295465570845	6.376628413900185e-4	0.0028561709476824784	0.01113617160011401	0.0036266477305954455	0.02076722303029444	1.1370498284515567e-4	0.003432417279314014	0.002845067230495468	0.00272158594353265	0.01814887915366785	0.014113861346388028	0.09181945302791152	0.17036651667898617	0.017725049026518638	0.34380584004572207	0.07987408070586989	1.8221223891863307	9.447537955202842
DG 36:1	0.14189392748001495	0.7341653997528651	0.48287417947683614	0.23177647364662654	0.3605365600540225	0.2061809320994883	0.5009641949458368	0.9373276153488109	1.8397896341677409	0.9582549289358571	0.0014659749827250854	1.6869288326234713	6.873372128692901	0.46332184304897817	0.3043708499320437	2.6377549919852257	13.264533091716132	4.688907314265488	2.5319507226602784	1.063468753895069	2.5473178137696015	4.296419854611743	0.48857262358569487	4.669181924212678	0.9363768147413031	2.758812435408372e-4	0.48853604950043855	1.0493095818155582	1.3435549582684996	0.2615911914901832	3.2311189602261683	0.4140521696899	1.802552765326092	1.3260051041492336	4.444845290308284	0.012780228122538534	0.4128660311507177	0.02180723483031135	1.6487744909484796	3.92176779710812	1.1070510387965793	2.450381724940326	0.2985840564356025	1.000201579046171	0.39328129967271036	5.962222459942338	1.93108254420845	0.7986725705226889	2.4713842124267216	0.014951303327660601	0.02403110389982257	0.4067926417555919	1.0734054798459627	4.761133728041414	1.9066303611838285e-4	0.8288368091112499	4.061931083741417e-5
DG 36:2	1.1700466646784302	0.5029962260346209	0.15185029376484113	1.049875357697532	1.264991845734224	0.18689280865782706	0.5515943383097908	0.22387900774647426	0.9565898831099553	0.26283684023080617	2.5002063679192714	6.510726233552383	0.004101671891240596	1.3078841021263612	1.5083017596479902	0.016229284234411237	0.39513142464487033	0.12998821437079094	0.007893586712358253	0.2159884789327846	0.09360900596409782	0.1025684450501845	0.07235760939304413	0.004355995043267674	0.33016021812789714	3.3724684570646566e-5	0.019146652131266057	0.0027311148571044362	0.1970046999255568	0.016308755403953795	9.54244381576457e-6	0.01902571867280802	0.0505273827952493	0.4077977889052448	0.061151463318065584	0.3151368443152755	0.12704441112884216	0.1047049670429947	1.8456355101543917e-4	0.21618683611385137	0.011850620104341085	1.8190054212133917e-6	1.5185759737702828e-4	0.10940160087923145	0.009512819282658675	0.00883509067753179	0.006695262646038737	0.19081970600495232	0.0033074016999444593	0.01063414663375041	0.18131112758090123	0.010830025161285884	4.6558982803601946e-5	0.0517376897486716	7.18466029184653e-4	0.16900137274364144	0.0022011011825707276
DG 36:3	0.4133354225124292	2.936581080603053	0.8094307421597468	0.296435180546623	0.11349553389975808	7.669501561568898e-4	0.01036179199218516	0.23347306229915873	0.7387289259711252	0.012278221776586455	0.00301966646540191	0.0010025333934087588	0.019043925070015125	0.12820601376671142	0.001008043522587012	0.0029539062362930134	0.04528517304672493	0.019627833988296414	0.04673784317920945	0.016159244091485808	0.0017656264112113644	0.020289489872095834	0.03211197071393208	0.023005275478267802	0.007622424472560025	0.005603892181624726	0.0028859071541303865	0.13432922590184887	0.07543116972818284	0.02589083086421957	0.0025726783900222616	0.04995205107455653	0.02634812785728947	0.04233463424702142	0.0973199530799561	0.016944207255210803	0.0024652972304689143	0.05939589565001134	0.020814102464664336	0.0015623732355127746	0.0017410248146459174	0.013657616789301455	0.004177384570457155	0.022564736294984136	4.638484338073712e-6	0.0019822752521031148	0.0051689227625872185	0.002570185460888557	0.019375357259408556	0.013791390602867827	0.08398274206777508	0.17342174959204126	0.021082698120379256	0.311311566803508	0.0692900953417914	1.7095564763459314	7.996338116985166
DG 38:3	0.3973697285770109	2.997373564234531	0.8143242089266629	0.30303048644706515	0.06014271913746704	9.316185240465411e-4	0.010417521508088723	0.12552897039223393	0.6226192057848463	0.00578798642553076	1.130146074127354e-4	3.5790387013061434e-4	0.027702412038137995	0.11696129725816326	4.080560474160896e-4	0.006654970505333834	0.06578399330908906	0.007754058478637454	0.06004636673403133	0.014440739944884137	0.007959570335248248	0.009837508576943071	0.043776907057895074	0.019838941080867794	0.003852403487373668	0.006754669237200591	0.007378209391457508	0.15632640432205602	0.07257505202845328	0.016803770508116943	0.004457555410965395	0.050242794634182505	0.02077438962225338	0.013994542083183594	0.10835561271715848	0.016371074719952684	1.9266664654683774e-6	0.0567373952072313	0.014437701608782064	1.1209821531499273e-4	0.0042836248793160035	0.008806932026132874	0.003098966387465336	0.018982986916458968	5.672005033143671e-4	0.005328961972214225	0.0011743151218338698	0.0028791707910420595	0.01691690163165778	0.014436830752626062	0.10014753576127436	0.16711732422958786	0.014567578497429106	0.3785384547108464	0.09144967217489422	1.939836890085901	0.025905037646872298
DG 38:4	1.0685082607002157	1.1793394527500631	0.007883097292030003	4.6816370315438905e-4	0.038023652922337024	0.48262616760386173	1.144985040713097	1.6932086929269878	0.021950696990465552	0.015189933771103795	0.5318600791777794	1.112418985318352	0.21166732911138772	0.08798189902396618	1.6187754949943627	0.14114985124011936	0.22413570805246397	4.801319179791693	0.4191729968654508	0.770403389743413	0.010401193248785232	0.00421510536620194	4.025764625503023	7.019994057125923e-7	0.6161524263931312	0.20677879272203206	0.25383155794319157	0.8495071296152324	0.016641633130489487	0.8835060146918584	0.10191608109554887	1.0438185729393747	0.5801634036663235	0.6328850564796982	0.019866959160205092	0.030570052199283323	0.012362725682385313	0.04688857094689398	0.36371043254428126	0.039843824773374954	0.2730600382758107	0.3612531548481434	0.3137630983730216	0.1763199526061095	0.34192570063079697	0.011773675888128127	0.152457934307336	0.4702117622870164	0.820220663402416	1.9887341221994945	0.02973595489811767	8.183284629741059e-4	0.78830700206536	0.28022101832620466	11.766633618384855	1.5882293620704442	0.07892089051465999
FA 12:0	0.008503889603925952	0.5869833120744774	0.06657337515267935	2.1027348865704716	0.5985574645745332	0.152063114941471	0.19927364855070012	8.672694401570123	0.174681018103027	2.338905300081471	0.4272491083932628	0.30838437777429684	0.018114139325292145	0.18601459479989066	4.051519394681397	3.799090186625103	2.7142254051680754	0.19101813374920495	1.807409538296819	5.443238172457222	2.5742046900506153	3.995952764309681	2.4799951336797603	1.4767645481444425	1.576939643262956	0.36972211617254325	0.001085303868285792	2.6066831367041345	0.16765128128839876	0.5071305127142512	1.9194258250515073	2.242423115135601	0.020122341080061574	0.04745529977785963	0.0038378259994129534	0.6576476642315943	1.3776811206866606e-4	0.3487942050743368	1.4609857967883344	0.1293947622454913	9.527627442813591e-4	0.11032671269315533	0.0458321326760711	0.005558513365692794	0.05133427591910315	0.17941800798652371	0.18788289188718316	0.39251065421605846	0.16876288065103168	0.13846801422931512	0.1110127918174971	0.08463002871924503	0.0015477109159587085	0.0012579313201911899	2.488421149604327e-5	0.3770888920826122	0.5307433794597529
FA 14:0	0.04585751846195981	0.12932267337838166	0.1605095535734361	3.9240467052927266	0.8276275902899063	0.7252513130276077	5.479555233604961	0.1920739340846517	1.7445808753050973	0.4219601669006384	1.70063815163934	1.1104032207258547	2.9473142484110184	1.9688841484965063	0.05621892346574439	0.7881837408220781	1.0540732152142074	4.243691784728543	0.12905964517485963	0.016910771609986566	0.6151946114176586	0.956992606237414	0.48288532611418056	0.15782172103052447	0.014729931081742234	4.550369804982803	3.3600597864622848	5.027119475382043	0.3216623410054711	12.519783560849715	0.15187238589146884	1.7033541933528702	1.94027762111103	0.03468017146621611	2.411789714723483	0.04250194125004914	0.7853132039115711	0.0795075793190367	6.987707275244773	1.8484091182120683	0.07870315791840306	4.040648255577395	0.010665799790252945	0.45978974295011793	0.10161962645853923	1.1781879088258253e-6	0.447561463375054	0.48234504805629325	1.0045885527451262	2.712900784198315	0.002701816016177227	1.6470916981227834	5.462869316731429	0.05979079213030552	0.06968249912992418	0.07386608304051126	0.10127655367365546
