family	feature	KT-352D0	KT-522D0	KT-310D0	KT-412D0	KT-525D0	KT-565D0	KT-723D0	KT-771D0	BS-064D0	KT-612D0	KT-515D0	KT-193D0	KT-247D0	BS-377D0	KT-445D0	KT-716D0	KT-805D0	KT-434D0	KT-313D0	KT-539D0	BS-336D0	KT-537D0	BS-671D0	BS-351D0	KT-705D0	BS-346D0	JV-138D0	KT-695D0	KT-663D0	BS-364D0	JV-148D0	KT-974D0	KT-718D0	KT-347D0	KT-926D0	JV-048D0	KT-880D0	JV-157D0	BS-082D0	KT-538D0	KT-417D0	BS-035D0	BS-126-RAT-05-M2	BS-391-RAN-06-M2	KT-004-SOC-14-M1	BS-135-RAN-IC-M3	BS-356-RAN-03-M4	JV-089-SOC-04-M1	JV-070-MIN-01-M1	BS-007-RAN-02-M3	KT-004-SOC-16-M1	JV-015-RAN-IC-M2	JV-036-SOC-10-M2	JV-070-DAV-07-M3	BS-007-RAN-01-M3	JV-061-MIN-03-M5	JV-070-DAV-04-M1
CE	CE 18:2	2.30372281607077e-8	1.532050496384361e-8	1.174812030075188e-8	9.342301943198803e-9	1.410675995937253e-8	1.1101243339254e-8	1.709986320109439e-8	1.469378159163042e-8	1.273301415911174e-8	1.246261216350947e-8	1.356336805555555e-8	1.281394156842644e-8	1.187084520417854e-8	12.66145057128664	1.109139307897072e-8	38.62896663954434	1.275380063258851e-8	12.0041781256611	8.544087491455911e-9	61.76403985507247	1.386577925679423e-8	1.489158923040267e-8	1.544353842352359e-8	1.414187125240412e-8	9.593246354566385e-9	17.67990074441687	7.91640278657378e-9	53.92960462873674	1.325697316788631e-8	16.92307692307692	16.68321747765641	39.17525773195876	8.7490882567469	1.659806134643474e-8	1.136363636363636e-8	9.780907668231611e-9	21.85244587008821	9.130752373995615e-9	18.5614849187935	1.08695652173913e-8	9.97605746209098e-9	1.187084520417854e-8	1.299781636685037e-8	1.037344398340249e-8	1.411153759313615e-8	9.952229299363057e-9	1.286537669822972e-8	1.346257404415724e-8	9.476876421531461e-9	1.045150501672241e-6	1.046901172529313e-8	1.084128360797918e-8	1.045150501672241e-8	1.385655692273584e-8	1.167133520074696e-8	9.177679882525695e-9	9.889240506329114e-9
CE	CE 20:3	2.30372281607077e-8	1.532050496384361e-8	1.174812030075188e-8	9.342301943198803e-9	1.410675995937253e-8	1.1101243339254e-8	1.709986320109439e-8	1.469378159163042e-8	1.273301415911174e-8	1.246261216350947e-8	1.356336805555555e-8	1.281394156842644e-8	1.187084520417854e-8	1.552409339294585e-8	1.109139307897072e-8	1.017087062652563e-8	1.275380063258851e-8	1.322191664903744e-8	8.544087491455911e-9	1.415307971014493e-8	1.386577925679423e-8	1.489158923040267e-8	1.544353842352359e-8	1.414187125240412e-8	9.593246354566385e-9	1.033912324234905e-8	7.91640278657378e-9	1.205400192864031e-8	1.325697316788631e-8	1.131221719457014e-8	1.241310824230387e-8	1.073883161512027e-8	9.117432530999269e-9	1.659806134643474e-8	1.136363636363636e-8	9.780907668231611e-9	2.004811547714515e-8	9.130752373995615e-9	9.667440061871615e-9	1.08695652173913e-8	9.97605746209098e-9	1.187084520417854e-8	1.299781636685037e-8	1.037344398340249e-8	1.411153759313615e-8	9.952229299363057e-9	1.286537669822972e-8	1.346257404415724e-8	9.476876421531461e-9	1.045150501672241e-6	1.046901172529313e-8	1.084128360797918e-8	1.045150501672241e-8	1.385655692273584e-8	1.167133520074696e-8	9.177679882525695e-9	9.889240506329114e-9
CER	Cer 34:1;O2	3.708352350524874e-9	2.356096853704509e-9	2.403135167110322e-9	1.7201227903038e-9	2.37053245805981e-9	2.340149769585253e-9	2.990981041781704e-9	2.673137029116631e-9	2.656530979238189e-9	3.615257643174968	1.980982567353407e-9	2.449871852856927e-9	2.37399561723886e-9	2.44655224330021e-9	2.543832185347526e-9	6.604703005896735	2.979348556077904	2.332089552238806e-9	2.181208053691275e-9	25.58249370277078	2.907496868849525e-9	2.86697247706422e-9	4.068602904356534e-9	7.368325745033113	4.073630136986301	6.845948895737031	1.830161054172767e-9	6.743486661680379	2.458318807739236	13.45425503886181	6.13049095607235	7.660355486862442	7.911033388196567	2.427909756461975e-9	2.086811352253756e-9	1.915370108439415e-9	21.59765835277229	2.020390401591446e-9	5.532459016393442	1.99533398821218e-9	1.555224055224055	1.968503937007874e-9	2.817267683772538e-9	1.918989135569201e-9	2.564709595959596e-9	2.387248420743352e-9	3.26830249396621e-9	2.753303964757709e-9	2.767401392111369	0	1.608910891089109e-9	2.627324171382376e-9	2.355072463768116e-9	2.930568079350766e-9	3.12800769971126e-9	1.995824121837386e-9	1.762664063347435e-9
CER	Cer 40:1;O2	3.708352350524874e-9	2.356096853704509e-9	2.403135167110322e-9	1.7201227903038e-9	2.37053245805981e-9	2.340149769585253e-9	2.990981041781704e-9	2.673137029116631e-9	2.656530979238189e-9	2.332424285919334e-9	1.980982567353407e-9	2.449871852856927e-9	2.37399561723886e-9	2.44655224330021e-9	2.543832185347526e-9	2.337120667337839e-9	2.182672934855608e-9	2.332089552238806e-9	2.181208053691275e-9	2.046599496221662e-9	2.907496868849525e-9	2.86697247706422e-9	4.068602904356534e-9	3.362996688741722e-9	1.391267123287671e-9	2.086543400102722e-9	1.830161054172767e-9	2.025679381700324e-9	2.832490848875719e-9	2.140692925833224e-9	2.209982320141439e-9	2.092993302421432e-9	1.910416176816365e-9	2.427909756461975e-9	2.086811352253756e-9	1.915370108439415e-9	2.915844249057957e-9	2.020390401591446e-9	2.131147540983606e-9	1.99533398821218e-9	1.901251901251901e-9	1.968503937007874e-9	2.817267683772538e-9	1.918989135569201e-9	2.564709595959596e-9	2.387248420743352e-9	3.26830249396621e-9	2.753303964757709e-9	1.885150812064965e-9	0	1.608910891089109e-9	2.627324171382376e-9	2.355072463768116e-9	2.930568079350766e-9	3.12800769971126e-9	1.995824121837386e-9	1.762664063347435e-9
CER	Cer 42:1;O2	3.708352350524874e-9	2.356096853704509e-9	2.403135167110322e-9	1.7201227903038e-9	2.37053245805981e-9	2.340149769585253e-9	2.990981041781704e-9	2.673137029116631e-9	2.656530979238189e-9	2.332424285919334e-9	1.980982567353407e-9	2.449871852856927e-9	2.37399561723886e-9	2.44655224330021e-9	2.543832185347526e-9	2.337120667337839e-9	2.182672934855608e-9	2.332089552238806e-9	2.181208053691275e-9	2.046599496221662e-9	2.907496868849525e-9	2.86697247706422e-9	4.068602904356534e-9	3.362996688741722e-9	1.391267123287671e-9	2.086543400102722e-9	1.830161054172767e-9	2.025679381700324e-9	2.832490848875719e-9	3.103423037727574	2.209982320141439e-9	2.092993302421432e-9	1.910416176816365e-9	2.427909756461975e-9	2.086811352253756e-9	1.915370108439415e-9	3.157897530350989	2.020390401591446e-9	2.131147540983606e-9	1.99533398821218e-9	1.901251901251901e-9	1.968503937007874e-9	2.817267683772538e-9	1.918989135569201e-9	2.564709595959596e-9	2.387248420743352e-9	3.26830249396621e-9	2.753303964757709e-9	1.885150812064965e-9	0	1.608910891089109e-9	2.627324171382376e-9	2.355072463768116e-9	2.930568079350766e-9	3.12800769971126e-9	1.995824121837386e-9	1.762664063347435e-9
CER	Cer 42:2;O2	3.708352350524874e-9	2.356096853704509e-9	2.403135167110322e-9	1.7201227903038e-9	2.37053245805981e-9	2.340149769585253e-9	2.990981041781704e-9	2.673137029116631e-9	2.656530979238189e-9	3.141357636184375	1.980982567353407e-9	2.449871852856927e-9	2.37399561723886e-9	2.44655224330021e-9	2.543832185347526e-9	3.721570018780713	2.182672934855608e-9	2.332089552238806e-9	2.181208053691275e-9	9.60196836061197	2.907496868849525e-9	2.86697247706422e-9	4.068602904356534e-9	3.075603546276573	1.753964514171014	3.592863267383649	1.830161054172767e-9	5.075158033337181	2.832490848875719e-9	14.89181552906436	4.629305051399212	5.526912130847612	3.98626886354015	2.427909756461975e-9	2.086811352253756e-9	1.915370108439415e-9	18.49044630007488	2.020390401591446e-9	4.359974743071334	1.99533398821218e-9	1.901251901251901e-9	1.968503937007874e-9	2.817267683772538e-9	1.918989135569201e-9	2.564709595959596e-9	2.387248420743352e-9	3.239078859544158	2.753303964757709e-9	2.790121479773452	0	1.608910891089109e-9	2.627324171382376e-9	2.355072463768116e-9	2.930568079350766e-9	3.12800769971126e-9	1.995824121837386e-9	1.762664063347435e-9
CER	Cer 42:3;O2	3.708352350524874e-9	2.356096853704509e-9	2.403135167110322e-9	1.7201227903038e-9	2.37053245805981e-9	2.340149769585253e-9	2.990981041781704e-9	2.673137029116631e-9	2.656530979238189e-9	2.332424285919334e-9	1.980982567353407e-9	2.449871852856927e-9	2.37399561723886e-9	2.44655224330021e-9	2.543832185347526e-9	2.337120667337839e-9	2.182672934855608e-9	2.332089552238806e-9	2.181208053691275e-9	2.046599496221662e-9	2.907496868849525e-9	2.86697247706422e-9	4.068602904356534e-9	3.362996688741722e-9	1.391267123287671e-9	2.086543400102722e-9	1.830161054172767e-9	2.025679381700324e-9	2.832490848875719e-9	1.892372546436569	2.209982320141439e-9	2.092993302421432e-9	1.910416176816365e-9	2.427909756461975e-9	2.086811352253756e-9	1.915370108439415e-9	2.607931096357437	2.020390401591446e-9	2.131147540983606e-9	1.99533398821218e-9	1.901251901251901e-9	1.968503937007874e-9	2.817267683772538e-9	1.918989135569201e-9	2.564709595959596e-9	2.387248420743352e-9	3.26830249396621e-9	2.753303964757709e-9	1.885150812064965e-9	0	1.608910891089109e-9	2.627324171382376e-9	2.355072463768116e-9	2.930568079350766e-9	3.12800769971126e-9	1.995824121837386e-9	1.762664063347435e-9
CHOL	Cholesterol	3.708352350524874e-9	2.356096853704509e-9	5.986209701271813	4.06981052185879	2.238730853391685	5.197472638248848	4.659948463095895	8.190491857213358	3.570377636096126	30.74135208841682	9.6216323296355	4.652306648575305	2.37399561723886e-9	6.343909966877447	12.73442391984972	30.89673522220624	10.82387508394896	11.12873134328358	6.94496644295302	83.25566750629721	15.79061549472178	5.194954128440368	4.068602904356534e-9	35.71502483443709	17.0847602739726	34.0315228556754	6.464128843338212	37.57635253054101	25.81248910580442	70.0648794625214	32.39834081327349	31.24839000515198	26.61209734305196	2.427909756461975e-9	11.57136894824708	5.711633663366336	102.2878162569532	3.038667163993535	37.33770491803278	8.563973477406678	9.785743535743535	1.968503937007874e-9	3.490594660194175	5.664855928200284	5.891137941919192	2.387248420743352e-9	36.27815768302494	15.12665198237885	17.75058004640371	0	4.290965346534652	2.336742118027485	2.355072463768116e-9	3.28809738503156	3.206207892204043	7.167004421518054	1.762664063347435e-9
HEX2CER	Hex2Cer 34:1;O2	4.337960491190603e-7	2.644856770833333e-7	2.537080405932865e-7	1.524390243902439e-7	2.564304876124349e-7	2.594603225291393e-7	3.149835239387478e-7	3.389653733833959e-7	2.470731336475596e-7	517.1548821548821	1.842612541104434e-7	2.582644628099174e-7	3.097598170034311e-7	3.19567354965585e-7	3.121398386477141e-7	382.6157742402315	2.454312037456577e-7	3.294809407948094e-7	1.753344842468709e-7	2090.924451787323	2.798828797795383e-7	3.303516974994917e-7	4.723837209302325e-7	393.1328965839962	334.6217105263158	412.1688741721853	1.515858208955224e-7	494.251320845341	409.2050571527537	1347.171208530805	1.734443377094674e-7	286.5347606446957	291.5657576076656	2.824122349669795e-7	1.958539231047366e-7	1.783558336077269e-7	2983.507135016465	1.660874897792314e-7	432.0377184912604	1.984611626770884e-7	140.1196603190942	1.663765741783557e-7	3.034547152194211e-7	1.868030808138866e-7	2.986583348649145e-7	2.512368583797155e-7	501.5819390819391	2.955082742316785e-7	1.736111111111111e-7	0	1.594700686947988e-7	2.353707995365005e-7	2.209381373215499e-7	2.944907575208409e-7	2.54861982434128e-7	1.786695986805937e-7	1.448306595365419e-7
LPC	LPC 16:0	3.859857482185273e-9	2.311850903400199e-9	3.126305970149253	1.949069656488549	2.223384030418251	2.219642125392705e-9	2.671379253657734e-9	2.605837075048107e-9	2.194463200540175e-9	2.793187123725274	1.600985221674877e-9	2.307255430924322e-9	2.09731543624161e-9	2.49424405218726e-9	2.209902475618905	3.123871841155235	1.967842652466083	1.95429945880938e-9	1.596267190569745e-9	6.55760293958716	3.557676586003924	3.021007622234616e-9	4.098360655737704e-9	3.941073219658977	2.06402207001522	4.023792574745372	1.830084405144695	5.740371845949534	2.461002574587308e-9	10.26683667199213	14.37069922308546	3.102137631458619	7.864227086183311	2.363980215304044e-9	1.977366755901679e-9	1.725602633535096e-9	17.21059113300492	1.510223048327137e-9	4.474768518518519	1.752021563342318e-9	1.707829742511823e-9	1.633822642268248e-9	2.665682414698163e-9	1.465360791132363	2.543035993740218e-9	2.417075710248401e-9	4.867178822658274	2.66648590021692	3.182312203012839	9.581367924528302e-8	1.439326837909655e-9	2.665245202558635e-9	2.415279429250892e-9	3.394610403175266e-9	3.649225241410285e-9	1.991177551770616e-9	1.546146527117031e-9
