"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"PC 30:0","PC 30:0","1.41989","0.00294","0.31886","0.34168","0.00471","0.6231","5.95181","0.62354","0.66418","1.07027","0.94432","1.05884","0.03536","5.81436","0.57337","0.00048","0.37968","0.81415","2.4145","1.26377","1.26321","3.14111","3.14409","0.59548","0.02146","1.00499","0.07657","0.39759","2.17445","2.54421","0.10604","0.23321","3.65899","1.39138","0.22642","0.03676","0.02527","1.81839","0.1184","0.01579","0.26297","0.12162","0.12102"
"PC 32:0","PC 32:0","1.79545","0.10315","0.0846","1.15143","0.02488","1.71889","3.88065","2.12797","0.92897","0.01051","0.0404","0.10286","1.72721","0.16785","0.23196","0.48977","0.00299","0.55375","0.51381","0.15539","0.79506","0.0037","0.3384","0.38751","0.7337","0.54545","0.37632","0.02514","0.24812","2.51701","0.76335","0.24129","0.00836","0.88489","4.19752","0.11906","0.57815","0.86526","0.00444","0.00007","0.23127","0.27693","3.34763"
"PC 32:1","PC 32:1","1.67119","0.62956","0.08709","1.83489","0.03756","0.02478","3.43807","0.6701","0.39908","0.00012","0.16282","0.67107","0.04047","1.25932","0.63061","0.30096","0.0377","1.6989","0.83353","1.42238","0.53245","2.13199","1.04414","0.01246","0.07336","0.87212","0.16159","0.04875","1.03486","0.23393","0.85587","0.14161","1.1155","0.03362","1.83052","0.23282","2.17469","0.01103","0.62543","4.01541","0.03004","0.00334","0.83263"
"PC 34:1","PC 34:1","2.58742","0.39357","0.17729","0.49212","0.16255","0.08583","0.93795","0.20933","0.00034","0.00225","0.00106","0.16279","0.0074","0.1384","0.5107","0.01189","0.50338","0.4401","0.07999","1.00748","0.00001","1.27593","1.44224","0.00037","0.01236","0.11297","0.10131","0.0268","0.07141","0.00754","0.37047","0.13427","0.11522","1.01189","0.0895","1.33383","0.44493","0.31036","0.03746","0.72518","1.62615","1.18708","6.60237"
"PC 34:2","PC 34:2","2.08393","0.56068","0.07714","0.42818","1.23518","0.52684","0.00188","0.92556","0.01613","0.29967","1.04281","0.13189","0.03683","0.09598","0.38798","0.59109","0.74289","3.38416","0.44699","1.47069","0.75096","0.33009","1.77951","0.11424","0.40334","0.132","0.00392","0.60277","0.18784","0.7443","0.75521","0.05011","1.50393","2.04355","0.46295","0.65181","1.80734","1.18717","1.58045","0.56944","0.90615","3.2169","0.54203"
"PC 34:3","PC 34:3","1.72629","0.11097","0.84541","0.18965","0.78692","0.82807","0.92727","1.7961","1.44082","0.96241","0.3129","0.956","0.66689","0.48887","0.97182","1.69008","0.00694","2.62041","1.58207","0.05178","1.34798","0.97368","1.33499","4.50962","0.77702","0.26149","0.00014","0.19199","0.01812","0.0921","0.00962","0.6824","0.47541","1.61851","3.22605","0.39931","0.17873","2.06357","1.1217","2.32261","0.28123","0.45261","0.27839"
"PC 36:1","PC 36:1","1.34128","0.02691","2.13726","0.3514","0.05591","1.66987","2.53982","3.73527","0.45895","0.02804","0.07357","0.02509","0.04035","2.76623","0.1632","0.0015","0.00906","0.01439","0.00718","0.41603","0.171","0.21994","0.65452","0.13064","2.89393","3.03003","2.2935","0.11749","1.59184","0.24141","2.13121","3.80438","1.52091","1.11828","3.15551","0.00405","0.03682","0.40261","0.39309","0.9038","0.39322","0.30789","0.16803"
"PC 36:2","PC 36:2","2.15108","0.39784","0.78139","0.18313","0.52835","0.00603","0.29552","0.05632","1.0231","0.00903","1.09438","0.18874","0.05323","1.18265","0.01222","0.39808","0.27661","1.75729","1.33322","1.28931","0.16085","0.00362","0.00476","0.00361","0.15174","1.9206","1.4212","0.88737","0.09456","0.49386","1.07177","10.74958","0.13365","1.04667","0.01462","0.20307","0.96424","0.81889","0.3417","0.00422","1.75385","0.66764","1.75716"
"PC 36:3","PC 36:3","1.71434","0.03169","2.89148","0.10812","0.07539","1.12523","0.11782","0.02699","0.01462","0.37705","0.12171","0.4976","0.54474","3.6782","0.06195","0.01271","0.85369","0.29774","0.78218","1.36714","0.56588","0.04618","3.21181","0.00781","1.38625","2.41646","0.70271","0.09018","1.09435","0.73011","0.57256","0.03698","0.02681","0.93635","0.25926","0.98647","0.52054","0.05247","0.35118","0.22563","0.6566","0.12033","0.18414"
"PC 36:4","PC 36:4","2.21881","0.03769","0.24801","0.03312","0.00112","3.22578","0.09451","0.26367","0.51702","1.02285","0.79087","0.0112","0.06008","0.34939","0.04978","1.12644","0.66426","0.65417","0.17609","0.02538","0.61772","0.07022","7.55033","1.76085","0.12171","0.69927","1.57482","0.30165","1.58192","2.76418","0.21552","2.67991","0.44962","0.09836","0.05173","1.905","1.17112","0.00363","0.46884","0.51206","1.42498","0.46899","0.64324"
"PC 36:5","PC 36:5","1.54022","0.26998","0.7796","0.14522","0.21067","2.38694","1.41804","0.00785","0.04547","3.38918","0.04309","0.01457","1.44842","0.52646","0.88718","1.14552","0.13418","0.03979","0.20244","0.05652","0.31626","0.93087","6.88592","0.65399","8.26573","0.2105","4.60029","0.06204","0.2124","2.83035","0.62895","0.83357","0.67796","0.64218","0.07314","0.21748","0.04063","2.24994","8.638","2.08728","0.54303","5.15974","0.19013"
"PC 38:2","PC 38:2","0.19079","0.60469","1.67802","0.01458","0.58171","2.61403","1.70329","0.21986","0.96329","3.165","1.25905","4.10468","2.91762","9.73153","3.71471","1.30738","0.00071","0.84054","0.72098","0.01793","0.01416","0.18602","0.23728","0.28669","0.24319","0.56381","0.0357","3.66003","0.84226","0.52022","5.95134","2.4792","0.06573","1.76665","3.27306","0.01134","2.04245","1.98131","1.44104","1.47863","0.01241","0.15685","0.00085"
"PC 38:3","PC 38:3","0.26413","0.4725","4.87009","0.50617","0.57314","2.79254","0.00204","3.56945","0.30799","0.41116","0.0929","0.1966","0.31459","4.03028","0.36343","0.95072","0.01523","0.41774","0.00845","0.12409","0.15352","0.01503","2.23514","0.42586","0.27064","0.64062","1.32247","0.65453","1.24023","2.01116","0.03051","0.00004","0.50864","1.12097","1.99407","0.48824","0.0392","1.12568","0.01789","0.32336","1.37205","0.37115","1.8292"
"PC 38:4","PC 38:4","1.56927","0.02743","1.35059","0.86806","0.59692","2.43333","0.00558","1.18594","0.01683","6.84811","0.10585","0.06022","0.00288","0.02709","0.19563","0.03924","0.21985","0.3188","0.44154","0.06959","0.00069","0.35147","5.07209","0.1144","0.02801","0.07147","1.17021","0.55728","0.01707","1.46351","0.00891","0.06572","0.09507","0.12426","0.58941","0.87432","0.79542","0.78929","0.81857","0.13615","0.92716","0.62613","0.92582"
"PC 38:5","PC 38:5","2.07219","0.07445","1.66138","0.64419","0.29616","0.71851","0.04966","0.06945","0.43844","0.27358","0.6432","1.05818","0.00225","0.05316","0.32319","0.79549","1.69591","0.53769","0.36034","0.09976","0.74651","1.34221","0.00572","2.99236","0.20252","0.05454","0.61088","0.00633","1.44854","0.07503","0.13063","0.54838","0.26273","0.7273","0.97057","0.37013","1.29004","0.65575","0.23816","0.14318","0.14402","0.11853","0.01663"
"PC 38:6","PC 38:6","1.65557","0.11022","0.59321","1.23283","0.23657","5.53048","0.36612","0.35344","0.64889","0.12003","0.14806","0.00048","0.06874","1.01405","0.14639","0.01773","1.10986","0.00115","1.31935","0.12933","0.65542","0.55295","0.26327","0.09632","0.91973","1.39665","1.18849","3.67655","0.13355","0.28613","0.00035","0.06629","3.32347","0.22411","0.01203","1.08445","1.92191","0.02155","1.09307","3.88661","1.98724","0.9685","0.22168"
"PC 38:7","PC 38:7","1.01882","0.13051","0.09572","0.03977","2.07477","4.41013","0.20621","0.05078","1.65441","1.99162","3.90462","0.33605","0.4626","0.26736","2.10476","10.86336","0.94184","0.80628","0.67397","0.0108","0.99763","0.34084","0.50711","0.12237","1.87787","0.07931","1.0261","0.60343","0.33486","0.05014","3.68189","1.12982","0.2497","0.33194","0.0828","2.32199","0.62507","2.62268","3.00038","0.12174","0.01153","1.92036","0.00162"
"PC 40:4","PC 40:4","0.13267","1.56159","3.3891","0.00687","2.67651","0.86104","0.0067","2.46406","0.00069","2.14971","0.00195","0.00122","0.15621","0.62428","0.38159","0.01317","0.01963","4.86243","2.12702","0.19906","0.03978","0.01736","0.11002","0.37465","0.03064","2.83943","2.08679","0.01197","0.00885","1.08707","0.0421","0.02665","0.00862","0.01829","3.11154","0.2992","0.35008","0.02119","0.09257","0.71618","0.64392","1.20304","0.09309"
"PC 40:5","PC 40:5","0.90986","0.70445","2.71286","0.30964","2.27449","0.00439","0.02867","1.77027","0.23195","2.79846","0.01644","0.4455","0.00332","0.0603","0.00302","0.23483","0.57341","7.72784","0.10328","0.14098","0.37197","1.01787","0.63087","0.77342","0.00071","2.34712","0.00963","0.20486","0.16768","0.85312","0.08951","0.29517","0.15721","0.08055","0.41212","0.03094","0.45453","0.19236","0.62335","0.80557","0.44738","0.60771","0.22924"
"PC 40:6","PC 40:6","1.26605","0.00574","1.23344","0.90596","1.68449","3.04489","0.04921","3.11611","0.72442","1.30793","0.26353","0.26679","0.05969","3.55741","0.97485","0.07447","0.01348","0.17234","2.62781","0.31976","0.50165","0.45071","0.00096","0.18258","0.02689","0.01209","0.0885","3.10364","0.08951","0.04046","0.07056","0.68115","0.00466","1.30083","0.88617","1.14826","3.05728","0.72303","0.32091","0.56951","0.10936","3.16469","4.63532"
"PC 40:7","PC 40:7","0.69017","0.00133","3.96435","0.74416","0.11134","0.26623","1.15895","2.27648","1.02998","1.16107","0.57717","0.46467","0.78381","0.13211","0.48306","0.19823","0.03741","11.55023","0.18433","1.27492","0.27661","0.70431","0.13358","1.35424","1.39714","4.47708","0.93438","0.06228","0.63807","6.14744","4.23401","0.23176","0.48036","1.93275","1.02956","0.15564","2.31853","0.29401","1.81374","0.04646","1.53265","0.3077","0.00004"
"PC 40:8","PC 40:8","0.75291","0.01757","1.291","1.24899","0.72167","3.56058","0.28801","1.19651","1.24583","2.79665","0.12451","8.42063","0.00004","0.10181","0.49276","2.87958","0.00178","2.61975","0.05311","1.39155","0.82819","2.07519","2.21786","3.30612","0.45637","0.09355","0.41118","0.01177","1.08637","2.62937","0.84057","0.00637","0.18537","0","0.04822","0.89101","0.34679","1.30494","0.07189","0.13695","2.29991","0.22933","0.04498"
"PC O-32:0","PC O-32:0","1.19834","0.04868","0.0083","4.96539","0","0.23028","2.15305","0.26815","0.94045","0.00915","2.61001","0.28096","6.64563","0.03202","0.18121","0.34811","0.51567","0.01025","0.00167","0.53446","0.24347","1.32726","0.0005","0.57269","0.7693","0.01446","0.00766","0.56869","1.12265","0.39064","0.65907","0.49874","0.00026","0.89302","2.68999","0.8878","0.1946","1.95868","4.58698","0.04709","2.20402","0.29987","0.03679"
"PC 32:1;O/32:0;P","PC 32:1;O/32:0;P","0.80534","0.30472","0.32025","1.48632","0.08496","0.99192","2.62231","0.7046","2.08234","0.06465","0.08348","2.70508","6.19809","1.347","0.57527","6.31244","0.00039","0.11169","3.73725","0.63272","1.22804","5.63302","0.0132","5.5567","2.62766","1.00477","0.06255","1.15141","0.49512","0.36222","2.57519","0.64707","0.06045","1.36429","1.43838","2.24944","0.7529","0.23194","0.38334","2.3604","0.25717","1.63034","0.09303"
"PC 34:0;P/34:1;O","PC 34:0;P/34:1;O","1.55942","0.03697","0.17422","4.62216","0.15626","0.22507","1.2981","0.02154","0.74752","0.1121","0.56361","0.5429","2.76284","0.06669","0.3064","0.04682","0.00712","0.18556","0.43371","0.87902","0.00107","0.26504","0.0698","2.07916","2.09286","0.02985","1.16063","2.12483","0.55306","0.82794","1.57274","2.38301","0.74476","0.04076","5.18203","0.24341","0.00527","0.35592","3.38229","1.19419","2.40555","5.23829","0.00011"
"PC 34:1;P/34:2;O","PC 34:1;P/34:2;O","0.47851","1.22794","3.66093","0.92613","0.04423","0.20019","0.09931","1.83653","0.15464","1.05385","0.01429","0.74199","1.5811","4.1837","0.10265","0.27272","0.81013","0.22345","0.24273","0.27475","0.24714","1.0971","1.38016","0.42763","0.36661","0.27623","1.80021","1.26423","1.09181","1.25667","4.47153","0.39523","0.17653","1.45204","0.16703","0.40482","0.01593","0.07733","0.00202","2.24443","0.51855","1.39638","0.14107"
"PC 36:1;P/36:2;O","PC 36:1;P/36:2;O","0.90499","0.90657","2.38982","2.72597","0.01533","1.10366","0.10106","1.68211","0.05026","0.08303","0.01377","0.27906","0.00238","0.94827","0.17066","0.03343","0.03499","0.57361","0.32793","0.14894","0.68521","0.11756","3.11552","0.54489","0.02081","1.69928","0.00816","0.45635","2.25757","0.69795","0.05309","0.82915","6.22138","1.31197","1.6201","1.24166","1.23726","2.20111","2.66673","0.09069","0.28841","0.52173","0.02334"
"PC 36:2;P/36:3;O","PC 36:2;P/36:3;O","0.48542","2.20049","3.02481","1.03178","0.10256","0.72083","0.16481","1.79824","0.0752","0.00454","0.00193","0.02569","0.28798","0.05614","0.14127","0.23408","0.05107","1.68558","0.00522","0.99305","0.40611","0.05351","0.03653","0.00015","0.02965","0.42932","0.02408","0.18611","0.08933","0.00261","0.86771","0.50798","0.02979","1.29847","0.17426","1.20272","0.04732","0.24249","0.06446","0.00151","2.08575","1.65119","0.91425"
"PC 36:3;P/36:3;O","PC 36:3;P/36:3;O","0.37091","2.7981","2.06285","0.73168","0.33591","0.03196","0.52308","1.86216","0.14165","0.4879","0.21312","0.00125","0.9814","0.03299","0.35513","0.34101","0.32127","1.1948","0.0017","1.20429","1.0143","0.01776","0.08861","0.84315","0.28757","0.00008","0.53188","0.10039","0.40816","0.67184","0.08983","0.11061","0.68696","0.10076","0.06479","0.46737","0.00022","0.61215","0.17881","0.09473","0.03826","0.27732","1.28211"
"PC 38:2;P/38:3;O","PC 38:2;P/38:3;O","0.04964","2.39195","1.68031","1.21849","0.85919","0.71058","0.42428","0.6894","0.13463","0.30738","0.71329","0.00232","0.30864","1.01277","2.44921","0.06889","0.20441","0.75362","0.52659","0.38596","4.10913","1.23712","0.84242","3.07842","3.11801","0.59387","0.71684","6.14776","14.30457","0.42281","2.30006","0.06847","2.91828","0.14996","0.75908","2.72934","0.0917","1.35525","1.66812","0.00028","0.20015","0.76123","0.21673"
"PC 38:3;P/38:4;O","PC 38:3;P/38:4;O","0.28873","2.38305","1.79719","1.86347","0.97804","0.12521","0.51889","2.01394","0.02095","1.26538","0.44467","0.49456","0.16038","0.52527","0.00434","0.02545","0.13373","2.05372","0.05747","0.91797","0.08844","0.83861","0.01366","0.04182","0.00089","0.00198","0.57962","0.57151","0.12896","0.40103","0.00022","0.31269","0.83492","0.21763","0.31709","0.32053","0.91124","0.46751","0.00523","2.22305","0.013","2.57411","0.58378"
"PC 38:4;P/38:5;O","PC 38:4;P/38:5;O","0.07969","3.40127","1.33541","0.42143","1.26274","0.01074","0.53395","1.46852","0.13861","0.81805","0.004","0.2228","0.44211","0.0277","0.20802","0.04478","0.53897","2.97086","0.00115","0.80286","1.48052","0.01029","0.03699","0.39092","0.8807","0.7528","0.22348","0.10992","0.00542","1.24156","1.63886","0.00804","5.97685","0.91853","0.05679","0.27783","0.03335","0.56941","0.0628","0.59314","2.15278","0.12796","1.52513"
"PC 40:3;P/40:4;O","PC 40:3;P/40:4;O","0.06829","2.57556","0.39153","0.74401","1.50195","0.98517","0.93543","1.62889","0.10871","0.47063","0.39341","0.37428","0.75492","0.32687","4.66201","0.85279","1.0337","1.0065","3.42619","1.28722","2.40378","3.96335","0.15947","3.757","0.00003","0.7662","0.69766","0.03406","0.95095","1.81398","0.38424","1.34912","2.38573","2.0295","7.12528","0.546","3.67211","2.18737","1.31157","0.16471","3.9484","0.06189","0.00051"
