"","sample_name","group","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"BS-364D0","BS-364D0","2","0.82968","4.36993","-4.17238","-1.01144","0.81733","2.72318","1.50949","-0.17993","-2.03377","3.00979","-1.06869","1.96871","-0.63048","-0.76674","-1.40871","-0.1184","0.3142","-0.96832","0.04903","-0.0148","0.38028","1.48166","-0.46697","0.41774","-0.62047","0.33725","0.45324","0.00742","-0.92691","0.26445","-0.51551","-0.39854","0.70994","0.14963","0.16985","-0.40761","0.48253","-0.26347","0.17842","0.41441","-0.30142","0.1689","0"
"BS-377D0","BS-377D0","3","-6.12874","0.61231","-0.31252","1.29197","1.78342","-0.881","-2.27478","-0.42986","0.30822","-2.23264","-1.38346","0.06364","-0.66323","0.14812","0.32861","0.14671","-0.66063","0.85139","-0.82333","0.18746","-0.37936","0.54489","-1.5742","0.77436","-1.08942","-1.14556","0.03476","0.57307","-0.24291","0.54299","0.57868","0.00118","-0.95261","0.48216","-0.19334","-0.30365","-0.26493","-0.66797","0.41783","0.15774","-0.14419","0.2394","0"
"JV-138D0","JV-138D0","3","-7.61856","4.15402","2.81341","-0.58379","-3.71222","0.38462","2.20062","-1.83301","-0.51355","-0.28605","0.56714","0.73313","-1.37007","0.66036","-1.34385","-0.44818","0.25307","0.11587","-0.08333","-1.68798","-0.22134","-0.44459","-1.05251","-0.10231","-0.21482","0.50337","0.52453","-0.32129","-0.64755","0.14146","-0.22923","-0.14585","-0.17994","-0.04821","-0.29217","0.71333","-0.34808","0.14041","-0.29652","-0.67155","0.231","0.54844","0"
"KT-313D0","KT-313D0","2","2.39966","1.49963","-1.51612","5.18185","2.89261","2.4913","3.30086","-2.3091","1.777","-0.58352","1.64598","0.8262","0.84862","-1.48858","1.00655","-0.21419","0.90429","-1.33832","0.31524","-0.39766","-0.74908","-0.48605","1.12617","-0.29004","-0.48651","-0.29865","0.15485","0.49596","0.25062","0.33463","-0.51117","0.50557","-0.46907","0.00262","-0.70535","-0.25059","-0.17459","0.4184","0.40517","0.05569","-0.13985","0.22527","0"
"KT-412D0","KT-412D0","2","4.99806","6.50218","2.60082","3.10085","-0.37982","-1.13836","-0.55968","0.13149","-1.99936","1.07254","0.00362","0.50766","-1.00493","-0.01963","-0.42258","-1.39243","0.75213","0.08454","-1.12304","-0.25959","0.04387","-0.32481","-0.67386","-0.927","0.81428","-0.01471","-0.52447","-0.99042","0.32431","-1.46682","0.29811","0.16991","-0.71793","0.26","-0.03097","-0.2648","0.56235","0.12334","0.65946","0.0636","0.06526","-0.04132","0"
"KT-445D0","KT-445D0","2","7.17577","0.92339","2.07397","0.84701","0.09635","2.5745","-3.63981","-3.0203","-3.29317","0.71361","0.16987","-3.22752","2.18217","1.1347","-0.04014","1.61112","0.10718","-0.25857","0.55153","0.33331","0.83468","1.33028","-0.11436","-1.18128","-0.32663","-0.08045","0.18499","0.27041","0.22452","-0.11361","-0.29903","0.02543","0.02484","0.29235","-0.32969","0.13754","-0.33267","-0.10297","0.00176","-0.28437","0.10672","0.00692","0"
"KT-537D0","KT-537D0","2","7.29746","0.67113","-1.93153","-0.99621","-1.56819","-1.37237","1.44354","0.14056","-0.89139","-0.85683","-0.58069","-1.90664","-1.11888","-0.19685","-1.27664","0.59677","-1.30281","-2.24938","-1.22885","0.21328","-0.84114","-0.45728","0.84814","0.15684","-1.11632","0.23696","-1.16328","-0.19477","0.62943","0.57361","-0.01484","0.15421","-0.01216","0.41451","0.7764","0.65087","0.09254","-0.09971","0.20546","0.07728","0.21048","0.13489","0"
"KT-538D0","KT-538D0","2","4.36759","-0.04074","3.29717","-1.08506","-5.2072","-0.6007","-1.15888","4.03272","0.12186","0.02426","-1.14991","0.45694","1.42232","-1.62","1.47103","1.03394","0.05464","-0.45646","-1.27185","-1.0637","-0.92156","0.4037","-0.67003","-0.3008","-0.52566","0.6231","0.95601","0.65455","0.31685","0.33612","-0.09757","0.46781","0.2332","-0.27632","-0.64759","-0.17511","0.39872","0.10944","0.04228","0.01755","0.21555","-0.14305","0"
"KT-539D0","KT-539D0","3","-2.1025","6.30097","2.37137","-3.52267","4.8249","-0.87987","-0.80201","0.59498","1.94373","-0.39462","-0.28621","-0.58893","1.40521","0.07511","2.52643","-0.14419","-1.12689","-1.61022","0.65275","-0.15041","-0.42659","0.69105","-0.23152","-0.18098","0.68218","0.25861","-0.8018","-1.0605","-1.39812","0.04398","0.1133","0.22854","0.11055","-0.14995","-0.17605","0.42239","0.14759","-0.07166","0.05967","-0.04455","0.04156","0.05229","0"
"KT-663D0","KT-663D0","2","5.69128","7.84735","1.23299","-2.51091","-4.32796","2.1827","2.61728","-0.33439","1.54659","-0.01006","0.24726","0.11245","1.07114","0.49167","1.31638","-1.60986","0.79914","1.49043","0.24519","-0.03711","0.17127","0.76321","0.13806","0.05697","-0.04349","0.19618","-1.14286","0.75427","0.03993","0.10426","0.39772","0.4327","-0.15186","0.94697","0.57202","-0.2225","-0.19263","-0.0157","-0.51301","0.09864","-0.18144","-0.08284","0"
"KT-695D0","KT-695D0","2","6.94862","1.56761","2.45341","1.0203","2.09701","-1.56602","-0.1142","0.70581","1.09317","1.20107","0.17605","1.56336","-1.57712","1.16956","-0.4184","1.41401","0.17185","2.20795","0.70409","0.40902","-0.95425","-0.93475","-0.07102","-1.24521","0.09131","0.5727","-0.79577","0.60331","-0.34147","0.71584","-1.05954","-0.06278","0.21916","-0.09793","-0.00474","0.24565","-0.04991","-0.53945","0.38996","-0.10302","-0.01402","-0.2296","0"
"KT-716D0","KT-716D0","3","-5.89705","3.3655","-2.35471","3.99019","0.49093","-1.07931","-2.62856","2.1491","-1.56314","-0.74382","0.65757","0.86428","-0.23218","-0.87832","0.554","-0.94037","0.14142","-0.81165","0.20984","0.46633","0.69437","-0.79369","-0.69964","-0.90599","0.9613","0.28581","0.07032","0.33192","0.32142","0.42738","-0.19311","-0.22635","0.52594","0.66117","0.01018","0.43686","-0.71464","0.18063","-0.40324","0.73468","0.20324","0.1498","0"
"KT-723D0","KT-723D0","2","5.57451","4.7764","-1.77563","0.03654","-1.81216","-0.01548","-1.764","0.69179","0.30023","-1.70817","2.1708","-1.54437","-0.17551","-0.60067","-0.13015","-2.08964","-0.35243","0.42562","0.63477","0.18089","0.5502","-0.20018","-0.26273","-0.20615","-0.13784","-0.73472","0.8896","-0.12499","-0.48047","1.07769","0.02933","-0.42426","0.28074","-0.61947","0.78519","-0.31885","0.0668","0.52251","0.61975","-0.3665","0.03932","-0.21872","0"
"KT-771D0","KT-771D0","3","-6.88104","3.92105","0.93381","-0.5769","-1.08985","-0.24679","-0.21115","1.94585","0.63055","-1.19885","-1.81309","-1.51509","0.78391","0.67452","-1.08359","0.92984","1.63551","-1.11344","1.99777","1.0739","0.38657","-0.90551","-0.27597","-0.00788","-0.06023","0.54693","-0.15199","-0.08053","0.37727","0.19812","-0.55527","-0.2103","-1.05753","-0.42556","0.20235","-0.52747","0.54082","-0.00033","-0.35457","0.03204","-0.24363","0.1635","0"
"KT-805D0","KT-805D0","3","-8.35629","1.50642","0.36373","3.31176","0.97342","-0.88249","-4.40308","0.24739","-1.96652","-0.06069","0.20767","1.22048","-1.52385","-0.89762","-0.05562","-0.27858","-0.28098","0.26229","0.59562","-0.63794","-0.21473","0.70615","0.66659","0.73289","-0.85909","-0.02827","-1.31154","0.44292","0.25879","-0.22582","0.01033","0.76238","0.448","-0.40994","0.09034","0.09542","0.28603","0.45579","-0.36627","-0.48559","-0.48735","-0.11855","0"
"KT-880D0","KT-880D0","3","-0.79934","0.81325","-1.89997","-2.92544","1.13339","-2.68727","0.83402","1.36107","-0.62932","1.80652","3.51667","-0.01838","2.2795","0.08743","-1.4498","0.07197","-0.66032","0.14729","1.91832","-0.60839","-1.12989","-0.25498","-0.29046","0.21356","-0.71127","-0.40701","-0.14412","0.82927","0.28343","-0.67624","0.87961","-0.70031","-0.11244","0.18822","-0.40825","0.23099","0.17059","0.10853","0.07967","0.17706","0.11221","-0.02681","0"
"KT-974D0","KT-974D0","2","11.37526","-2.84055","0.31947","-1.84669","3.42235","1.97849","-1.76348","2.60346","0.20346","0.65292","0.98277","-0.01892","-1.41106","-0.98665","-0.45013","-0.23005","0.55215","-0.97872","-1.10882","-0.1194","-0.20514","-0.71404","0.15572","0.11744","-0.26757","0.58901","-0.11966","-0.05515","-0.46048","-0.39752","0.39342","-0.63284","-0.40156","-0.07351","-0.07782","-0.69159","-0.90303","-0.16416","-0.54454","-0.44445","-0.21746","-0.03729","0"
"BS-671D0","BS-671D0","2","3.27558","3.07206","-0.85009","-0.50556","0.77237","-1.24944","1.71639","0.35077","-2.20107","0.62782","-1.87062","0.17217","1.80021","1.91404","-0.12638","0.19875","-0.48506","0.99462","-0.71506","0.09691","0.33264","-1.56443","0.28648","0.41403","0.02136","-0.99857","-0.43314","-1.08546","0.31349","0.93331","0.386","0.07037","0.76007","-0.01438","-0.84653","-0.57015","-0.05399","0.31115","-0.22629","-0.09399","-0.20586","0.167","0"
