feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
FA 16:1	0.30531306859211943	0.6490931573158215	5.148515162556987	3.1897287024410788	0.47236726317340466	0.047828200259504364	2.4955368225205468	0.23232536003691512	0.039726443453540865	0.7320032191997085	0.025635691694442648	0.01218418029602581	0.4242993042061264	1.7706075874753284	0.10646747924029774	0.7813816000219647	1.8188690055880927	0.54880247335429	0.49557178926998213	0.1066237453811093	0.7660821141286662	0.018487223332912243	0.4448624730701202	2.326293446258171	0.47369809203733415	1.7136412584623997	0.016286033342374114	2.9381933318722373	0.11025138381129351	0.142413550004382	0.43997453521467444
FA 18:0	0.6605278385483321	0.32469914463337296	4.1711134453804695	2.9063342524160967	0.018507265109708675	1.633693586096176e-4	0.09404866573060056	0.05931941424872436	1.8704285118471136	1.0435594216745736	0.05903141251981905	0.04158618928418961	2.1577482944850557	0.4351269287811523	1.5811897261282497	0.018687233450190275	0.024915763696541266	0.04609175076951307	1.885339467271634	0.5497555290340252	0.540981529146473	0.19798222915978758	4.276952086492977	0.3469381600355989	2.3872870974311593	0.7547107240338563	1.709310547415195	0.4852267283106142	0.043680217690074	0.8105843934807534	0.03603530570380291
FA 18:1	0.24740777915196144	0.7306679052012713	7.318501295780495	1.9547788286639756	0.1519804113025626	0.12192444580342018	1.444138350947323	0.04007908902712787	0.3749619664414373	0.13580471998570412	0.0740875721741347	0.07471502405929392	0.8685358174255015	0.9023556007663355	0.15135446096250918	1.6259776158889202e-5	0.211025746609057	0.008821229411306615	0.7625478473149606	0.16667193727142443	0.008720031097033148	0.8562601758697952	0.2955188230148062	0.3041477744570948	0.01305525425772459	0.24987929147001814	1.1810381270660206	0.057556615813602066	0.012978036961451212	0.054615044370752486	0.014343454465514802
FA 18:2	0.24786368053429825	0.4640790382876741	7.474444812343144	2.867028069024485	0.10191244353834267	0.24668470365665207	0.9270155691148008	0.047919784851539304	0.2657990350623208	0.06936352036434418	0.34170408744190367	0.7614323361461431	0.35151270672535034	0.09499561733501755	0.020505115427583386	0.24484710161181045	0.0019982028569367595	0.5632924658799838	9.336996544416817e-4	0.2363726670908682	1.277650987366885	0.162748502600464	0.3628490402037279	0.09409398830311168	0.0013949726471633261	0.2345946904642252	3.2243573811790465	0.017155903104432258	0.8824283812093578	0.2654879526290376	0.1168242772462804
FA 18:3	0.004003711371434716	0.7829046477676755	3.4521742093953054	8.390522310303549	1.0720503406488615	0.005108216041679636	0.19782093248168658	1.2289956684342176	0.019164640632485592	0.9866916692030834	3.098129737303055	0.22080543172534717	0.06676493189022545	0.31197132915084336	0.48199426538294754	0.44792202128755426	0.13169004011292443	2.1144686664288006	0.8311822327827891	0.3757883667566737	0.6813932115746519	1.1778485737393645	0.0014283689536617819	4.523621126727487	2.3611537127869417	0.0788517420118563	0.04165161278379248	3.1900952342246836	2.710905213495978	0.41297653797598094	0.07806801908245409
FA 20:4	1.6979928400861848	0.13472289554644806	0.01226255946530055	0.19674339014347683	0.12499173486276353	0.04233783843451637	0.21067250786675554	0.3899696233943795	0.5733905347270107	1.0731885650875492	0.049519170169200086	0.055403510165485864	0.15320498883473976	0.7674200203835779	0.5616200065845618	0.0011577844333099884	0.11586565769469187	0.006140807472447273	0.018519443520718326	1.3543663035909653e-4	2.681487445289608	0.7112501875941954	0.05763792541625024	2.768077017871269e-4	0.2710367067307058	0.058161944401762145	0.0014636488913679193	0.7197195447608299	4.387086969220899e-4	2.5132499193669724e-5	0.22852147838157394
LPC 14:0	0.20716482455933166	0.8933571037788074	2.0513126021278296	1.6882479090171856	4.099242965020828	0.7860489075841817	1.4956534226405984	3.5319644143107585	3.440229641901787	0.037232414279487126	2.5644251948201333	0.6463644223040996	0.8603388383171224	0.004884799175249664	0.7174847116102314	2.7359134791377775	0.6444696936174137	0.26656729912962224	2.0209864763254672	0.5482085106749174	0.23688879650177455	0.47437911350227796	0.009007593828610806	0.8830938560465973	0.6477324312625323	0.10904181722829845	0.09510805843775214	0.014910971739573104	0.22466325570822487	5.972125899224447e-5	0.17176454009265682
LPC 15:0	1.8448237631317739	9.839159188751523e-4	0.06834441893344705	0.02365397061804052	0.027934769626272803	0.04844182424278226	0.010346116331349544	0.002219658751001253	0.17514131699223473	0.3004794550424283	0.5551729721929085	0.051863827661863066	0.14086689311413444	0.22791206796243896	0.002180093404481599	0.02383047907233474	0.22169778985843028	0.027678591967100995	0.006859335314686658	0.004586897978518859	0.14441064412750934	1.6002281496443833	0.020832512225487976	7.936789504981264e-5	0.09812701217013009	0.7302666359462471	0.3531205664713241	0.0837452792451833	0.00951123453639862	1.0735824150452167	1.3022625290989338
LPC 16:0	1.843863810276329	9.26942514263595e-4	0.09983405824443178	0.04346164139965052	0.011748828833667346	0.014936680717291753	0.16748424993067565	0.01897066503729271	0.031043672877273217	0.7558141048739828	0.17266322081729718	0.1754073193958087	8.957213401132439e-5	0.014220478651300352	0.21102492915149276	0.0821200756489041	0.007644241162393017	0.01088409424694405	0.02328049950096904	0.08708035321491671	0.17421155666567023	0.19428116774667656	0.023718786526793247	0.15460998562656383	0.9941825334128347	0.16032607879613076	0.47336382566508756	0.9140790141687438	0.040272188194131885	0.08445681858654382	0.04189362543810912
LPC 16:1	0.4172569615885049	0.2929635547590984	1.659134248059376	0.6893586931222243	0.5430418133935769	9.472769142621868	0.14957111565451509	0.013316748994562689	4.400268886109833	0.07422096383663038	0.1693062142977987	1.1453194767196229	5.563617878577789	7.921864243457359e-4	0.4064277856165313	0.29138734725885823	0.023005373431499578	0.1629853820463404	0.07742677317754332	0.059634956994530454	3.46983596472724	0.19710109404896992	0.0694224735050112	0.31869113063451804	0.8248206008949122	2.1141619952393773	1.4734915126617392	0.01068469823344246	0.019256066218395436	0.21506254319698656	0.013235158717730698
LPC 17:0	0.25375379725172936	0.5494447322650395	1.4942739319648952	2.6144246478496713	3.0985052420902512	1.0543654795831423	3.267894385080646	4.376920447233926	3.2407159985902063	0.20874336609766636	0.9208037315030898	1.0562865315777568	2.2577798163272513	0.24704967295686572	0.3899815003717807	0.9237444293496064	0.14897781633289708	1.2436784145861057	0.936244267139016	0.2543114315767658	0.181155311945124	0.0176801536987555	0.0028682377451254236	1.000907595398633	0.7787475580889137	0.2677065286417085	0.7984864684054485	0.5286973704691874	1.8396353756217638	0.005544030588956929	0.019545628521771982
LPC 18:0	1.826916908053735	4.99943673862605e-8	0.049755662917603416	0.15920999730684368	0.022805821949992748	0.03926959485925777	0.28348550722401916	0.04769720178124032	0.0227420941226117	0.43535443861901907	0.06764070207871647	0.003732326198787061	0.04787358547289269	0.3016184612981461	0.3160516956536984	0.799349304511684	0.0128755437894169	0.10595406137857787	0.03866491222826221	0.008825566304628033	0.11747479303905171	0.834389273643574	0.001011237939722361	0.363857749111465	0.21403260428072796	0.2866786909137879	0.11964499912491611	0.001580406271552293	0.09107772708244628	0.22869380688811553	0.0013547359694398734
LPC 18:1	1.845070112740578	0.001463749484343911	0.12458826110895291	0.011858184397842253	0.028627534203571715	0.2510906227934348	0.1665772989034732	0.02794841796284604	0.037918571905751694	0.08383551705666122	0.14906604182589006	0.023939432402087815	0.00607948529516943	0.33005801361152426	0.3633991831099096	0.1579476529959614	0.060034167916993376	2.927014539362572e-4	0.10371296354831572	0.040896011612792715	0.011790038500753422	0.2166610436669981	0.0011170051177982162	0.3001492563127777	0.3105347170021612	0.05300744704757525	0.11711632693922246	0.19836789012636502	0.6870270712239824	0.13620593817331808	0.01153135690693239
LPC 18:2	1.6901323793732586	0.03791590363067978	0.12138063339497644	0.0014411711477441973	0.14591189108330735	1.041507466131471	0.07028922101709568	1.2984049450932942e-4	0.010834566032849576	0.003952294356209958	0.0010630274889775468	0.05806964707401878	0.0020232960508001054	1.2702717820986344	1.2539699714405483	2.854200628811424	0.10175017712593266	0.053265260945102935	0.4065274168532278	0.052065696185586194	0.02618184652328101	0.7350468599291007	0.0033916642518342136	1.6555699794497307	0.2637735396123462	0.20971081182146706	0.6922982135020096	0.05185906484885827	0.0202772770882139	0.04760423376861251	0.001232528154799617
LPC 18:3	1.860880979690748	2.681964970339823e-5	0.007241909827432767	0.029514477789861195	2.9048556636396322e-5	0.032433728724748485	0.0971840949634721	8.267757071059863e-4	0.02093016920382388	0.1485675262729719	0.4629708036770389	0.09492600946108426	0.03791669520206685	0.03166646119565671	0.01050886885656694	0.055294652108608656	0.28750761162478294	0.6796857161453869	0.0028944786260297023	0.4861135046675248	0.058029724482070444	0.5146547089396848	0.0017153154221784608	0.07952833411776497	1.5876892268853136	0.005194377150578651	6.4334272986284e-5	0.9257238789604042	0.20731394163536085	0.0038200024052026777	0.054876025139743344
LPC 20:3	1.7550033464882904	0.050573191011952984	0.425465451422648	0.05448815318694813	0.04786149685968137	0.3729311427291882	0.09178690333596295	0.002258997660475883	0.019044817184316536	0.09837589806324737	0.4350179097499494	8.16713585395586e-4	0.030326171138973165	0.530338932158915	0.5393991403532388	0.16519930160051213	0.177243501546392	0.06462969803730403	0.02232884083292262	0.4734265438831845	0.23370888468295994	0.07151073661978558	0.1926106311134777	0.09608277269624263	0.40254152641550833	0.023832867163484192	0.0940006425351678	0.17645405030706077	0.5957889278028808	0.0744842833486106	0.004276265212066317
LPC 20:4	1.8175878248018749	0.020786332723252754	0.08290405346325647	0.0302772579697781	0.05089781460197975	0.22693494263183359	6.796695628220669e-4	0.225256988183871	0.012381377959250211	0.11335869827300452	0.2447825551379687	0.014373870060826547	0.03579011327848883	0.09277272025831346	1.2611120742987172	0.21715005839601811	0.07542927599202764	0.08319033623011356	1.0173788808047417	0.006162404412125586	0.08821452363717733	0.42541822957544106	0.003633969092219182	0.0056598473872861484	0.006812170767919285	0.0033950664849915413	2.9086705742111865e-5	0.1495538537810517	0.18230535976682194	0.569427788424271	0.02528088448417271
