feature	BS-082D10	BS-364D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-412D10	KT-417D10	KT-445D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-663D10	KT-695D10	KT-705D10	KT-723D10
SM 42:3;O2	8.41	19.65	19.94	19.99	18.70	12.10	20.95	16.75	24.94	19.43	17.36	19.80	16.86	15.53	24.51	16.49	18.70	17.11	22.07	21.47
SM 42:4;O2	0.00	0.97	1.23	0.94	1.29	0.72	1.47	1.10	1.37	0.95	0.91	1.09	0.90	0.82	1.27	0.83	1.31	1.27	1.60	1.58
SM 43:1;O2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
SM 43:2;O2	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.42
TG 46:1	0.00	0.00	0.44	0.00	0.60	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.36	0.50	0.00	0.00	0.00	0.00	1.08	0.00
TG 46:2	0.00	0.00	1.00	0.00	3.57	1.16	0.42	0.37	0.00	0.71	0.00	0.00	0.98	0.89	0.00	0.00	0.00	0.00	1.58	0.45
TG 48:0	0.00	0.00	0.92	0.00	3.58	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TG 48:1	0.78	0.76	1.36	0.82	2.71	1.14	0.00	0.44	0.00	0.38	0.74	0.68	0.65	1.25	0.00	0.79	0.00	0.00	1.19	0.45
TG 48:2	1.07	1.23	5.31	2.01	14.51	2.56	1.12	0.75	0.00	2.14	1.23	2.48	1.51	5.11	0.00	1.20	0.00	0.00	4.77	1.82
TG 48:3	0.00	0.00	0.77	0.00	2.90	0.71	0.00	0.00	0.00	0.84	0.00	0.00	0.73	1.33	0.00	0.00	0.00	0.00	1.50	0.35
TG 49:1	1.34	0.00	0.00	0.00	0.00	1.22	0.68	0.56	0.58	0.76	0.92	0.02	1.08	2.65	0.00	0.44	0.00	0.00	0.63	0.59
TG 49:2	5.39	10.33	10.07	5.82	23.46	4.96	2.96	3.12	2.08	4.82	4.84	6.50	1.74	8.95	3.00	6.15	6.26	1.65	7.87	7.11
TG 50:0	2.29	3.14	4.87	4.20	12.63	2.49	2.19	1.77	1.04	2.36	3.46	3.23	2.45	5.26	1.50	2.26	5.50	1.18	5.09	4.33
TG 50:1	0.00	0.00	0.84	0.62	2.06	0.64	0.40	0.00	0.00	0.61	0.00	0.00	0.81	0.93	0.00	0.00	0.78	0.00	0.94	0.39
TG 50:2	0.00	0.87	0.68	0.79	1.63	0.00	0.00	0.00	0.00	0.00	1.77	1.65	0.00	0.81	0.00	0.86	1.04	0.00	0.76	0.65
TG 50:3	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.00	1.01	0.00	0.00	0.00
TG 50:4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
TG 51:1	12.27	21.81	17.13	17.61	42.84	8.02	13.99	11.07	8.25	15.72	32.03	25.57	7.01	21.76	12.84	17.15	24.43	9.28	11.59	24.57
TG 51:2	13.30	20.68	24.06	16.77	51.42	7.79	11.16	8.64	7.69	14.48	23.83	18.28	6.53	23.95	11.33	13.64	30.43	7.77	10.04	23.63
TG 52:1	3.39	4.59	7.18	3.46	14.99	2.58	2.32	3.15	2.04	4.12	4.87	4.33	2.88	7.65	1.81	2.92	8.78	2.42	3.38	5.99
TG 52:2	0.00	0.00	1.39	0.00	1.99	0.00	0.00	0.00	0.00	0.72	0.00	0.50	0.44	0.90	0.00	0.00	1.23	0.00	0.44	0.00
TG 52:3	0.31	0.00	0.25	0.32	0.58	0.00	0.00	0.00	0.00	0.25	1.16	0.49	0.00	0.31	0.00	0.42	0.53	0.00	0.23	0.00
TG 52:4	0.70	1.02	1.11	0.77	2.57	0.00	0.00	0.44	0.00	0.71	2.71	1.92	0.00	1.61	0.00	1.01	2.43	0.00	0.73	0.67
TG 52:5	3.33	0.00	0.00	0.00	2.66	1.72	0.00	0.37	1.63	0.00	0.00	1.58	0.00	1.42	0.00	2.10	0.44	0.00	1.27	0.00
TG 54:2	25.73	48.77	40.46	28.96	59.46	9.45	20.38	31.59	18.59	27.91	52.49	57.54	21.11	50.48	20.06	19.76	44.91	21.34	18.44	52.09
TG 54:3	4.63	20.71	25.87	5.88	9.55	3.08	12.69	1.75	8.41	19.97	21.33	40.30	9.93	17.11	7.13	11.15	19.34	1.85	8.25	25.47
