feature	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
PC 36:3	38.88	75.61	58.06	27.57	26.35	26.61	34.85	38.32	33.84	24.77	40.7	52.34	56.19	58.78	59.77	78.44	26.9	43.77	42.48	45.83
PC 36:4	52.93	66.03	65.8	47.0	35.87	55.5	76.21	103.09	38.62	59.58	75.92	146.34	67.35	115.81	113.18	69.28	68.98	82.7	103.36	90.3
PC 36:5	3.92	4.8	4.02	3.06	2.1	3.68	3.77	4.03	3.32	2.98	2.94	6.88	4.04	5.2	5.3	4.65	2.63	4.01	7.4	4.35
PC 38:2	0.54	2.37	1.51	0.7	0.9	0.59	0.09	1.05	1.1	0.51	0.92	0.96	1.03	0.4	0.37	0.79	0.3	0.02	0.5	0.82
PC 38:3	13.02	35.05	29.51	14.84	13.09	12.55	4.63	13.33	14.78	7.19	15.77	7.29	16.37	14.65	15.07	23.32	6.35	12.72	12.71	7.39
PC 38:4	37.87	43.01	56.98	44.35	35.14	55.1	31.66	62.06	32.44	40.57	51.82	57.79	45.49	67.88	60.49	52.24	48.73	55.52	68.41	51.49
PC 38:5	17.87	24.73	31.49	19.21	15.32	15.41	15.97	30.93	15.09	23.78	23.62	40.04	21.92	27.9	30.25	33.11	17.75	24.54	29.54	28.32
PC 38:6	22.64	22.37	34.07	26.17	21.55	28.5	23.46	31.77	14.14	27.42	25.0	53.37	27.95	30.08	38.13	27.16	21.72	42.57	58.23	42.84
PC 38:7	1.44	1.53	1.74	1.28	1.52	1.42	1.19	2.33	0.91	1.61	0.97	2.53	0.98	1.98	2.56	1.79	2.25	1.23	2.96	1.39
PC 40:4	0.82	2.41	2.93	1.17	1.19	0.88	0.24	2.1	1.43	1.39	1.42	0.59	0.74	0.68	1.22	2.63	0.43	0.75	0.96	0.72
PC 40:5	4.09	7.09	10.99	5.62	4.64	3.83	2.24	8.52	5.46	7.53	6.36	6.95	5.26	4.83	7.84	10.31	3.81	5.84	8.08	6.73
PC 40:6	9.19	12.51	16.67	12.27	9.94	13.95	6.07	16.39	8.18	13.39	11.21	20.11	12.16	14.07	16.03	11.37	8.95	16.98	30.11	18.05
PC 40:7	1.12	2.03	2.1	1.04	1.42	1.42	0.75	1.55	0.73	0.46	1.05	1.79	1.28	1.43	1.49	1.19	0.0	1.6	1.83	1.37
PC 40:8	0.77	1.08	1.22	0.75	0.0	0.65	0.67	1.0	0.36	0.94	0.34	1.2	0.57	0.9	1.09	1.13	0.59	0.74	1.09	0.85
PC O-32:0	0.93	2.17	0.76	1.11	0.99	1.55	1.1	1.95	1.52	1.2	0.8	1.77	1.31	1.13	1.85	1.66	1.48	1.01	1.98	1.72
"PC 32:1;O/32:0;P"	0.88	1.47	1.03	1.17	0.0	1.13	0.92	2.23	1.43	0.76	1.05	1.36	1.04	0.85	1.19	1.52	0.78	0.75	1.65	1.29
"PC 34:0;P/34:1;O"	1.75	3.3	1.77	1.95	1.69	2.59	2.55	3.29	2.62	1.81	2.34	2.86	2.63	2.13	3.32	3.12	2.85	1.68	3.25	3.84
"PC 34:1;P/34:2;O"	2.06	4.4	1.51	2.41	2.0	2.53	2.1	2.5	3.42	2.06	3.62	2.78	1.44	1.44	2.17	3.29	0.9	0.82	2.41	3.71
"PC 36:1;P/36:2;O"	0.87	1.64	0.81	0.74	0.82	1.03	0.8	1.52	1.18	0.68	1.23	1.1	0.92	0.49	0.96	1.36	0.69	0.55	1.0	1.22
"PC 36:2;P/36:3;O"	2.72	5.53	2.82	2.81	2.24	3.04	2.37	5.47	4.17	1.9	3.98	2.66	2.19	1.66	2.62	3.74	1.48	1.8	2.51	4.03
"PE 36:3;P/36:4;O"	0.0	6.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PC 38:2;P/38:3;O"	0.8	1.67	0.87	0.81	0.76	1.08	0.72	2.18	1.27	0.58	1.26	0.71	0.73	0.42	0.78	1.34	0.0	0.0	0.74	0.99
"PC 38:3;P/38:4;O"	4.55	8.35	4.42	5.13	4.71	6.1	4.94	13.3	6.09	3.7	7.39	4.25	4.21	2.74	5.04	6.79	3.1	4.06	4.57	6.24
"PC 38:4;P/38:5;O"	7.09	11.33	7.65	8.45	7.26	7.41	6.36	18.51	8.85	6.36	10.75	5.87	5.21	3.9	7.15	7.06	4.34	5.09	6.06	8.6
"PC 40:3;P/40:4;O"	0.61	1.02	0.61	0.55	0.7	0.78	0.61	1.79	0.73	0.57	0.92	0.0	0.55	0.0	0.6	1.2	0.0	0.47	0.0	0.73
"PC 42:3;P/42:4;O"	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.66	0.33	0.0	0.41	0.0	0.0	0.0	0.0	0.61	0.0	0.0	0.0	0.0
"PE 38:4;P/38:5;O"	0.0	8.33	0.0	0.0	0.0	0.0	3.56	8.69	7.75	0.0	5.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SM 32:1;O2"	1.86	2.56	3.14	3.1	2.93	2.18	2.33	3.72	3.64	1.72	2.98	3.15	4.0	3.24	1.66	2.85	1.89	2.92	2.79	3.52
"SM 33:1;O2"	1.23	1.27	1.5	1.73	1.55	1.19	1.5	2.0	2.07	1.26	1.6	1.55	2.27	2.08	1.29	1.25	1.22	1.57	1.59	1.96
"SM 34:1;O2"	60.68	79.89	68.91	94.54	78.3	82.55	84.47	129.11	93.62	67.63	72.78	79.56	115.4	73.98	82.18	80.59	80.46	73.24	118.16	84.95
"SM 34:2;O2"	5.68	7.05	6.81	8.93	5.78	6.01	7.92	10.78	8.5	6.77	7.56	8.05	11.22	6.4	5.55	7.5	5.47	8.8	10.37	9.53
"SM 35:1;O2"	0.63	0.58	0.58	0.86	0.0	0.0	0.72	1.18	1.14	0.8	0.77	0.77	1.04	0.83	0.65	0.59	0.0	0.64	0.0	1.0
"SM 36:1;O2"	11.26	16.66	10.21	20.81	15.52	13.64	20.17	29.67	18.87	19.33	13.13	19.55	28.91	15.22	14.59	15.7	18.59	14.64	19.84	21.02
"SM 36:2;O2"	3.61	5.82	3.93	7.42	3.56	4.27	6.37	10.11	6.75	6.61	5.71	6.14	9.15	4.16	4.15	4.75	5.12	5.25	6.23	8.03
"SM 37:1;O2"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39
"SM 38:1;O2"	4.88	8.5	6.12	10.92	7.59	5.64	8.07	12.84	9.77	7.02	7.48	8.32	10.64	6.62	5.57	6.7	6.41	5.85	7.63	9.06
"SM 38:2;O2"	1.78	2.86	2.53	4.49	2.05	2.01	2.93	4.71	3.5	3.09	3.56	3.11	3.73	2.18	2.0	2.37	2.33	2.65	2.62	3.67
"SM 39:1;O2"	1.03	1.2	1.45	1.9	1.27	0.61	1.14	2.35	2.41	1.13	1.63	1.05	1.28	0.96	0.76	0.88	0.0	0.79	0.91	1.63
"SM 40:1;O2"	14.46	22.38	13.11	23.33	20.34	11.13	17.84	29.2	27.0	18.01	15.22	17.57	21.89	12.94	14.45	15.36	12.87	13.84	21.06	17.71
"SM 40:2;O2"	9.78	11.35	10.81	14.87	11.01	9.07	10.53	18.83	13.78	12.04	13.09	11.47	13.24	8.88	9.19	11.15	8.64	11.49	13.71	13.76
"SM 40:3;O2"	0.75	0.51	0.73	0.99	0.0	0.7	0.79	1.18	0.91	0.94	0.85	0.89	1.17	1.07	0.71	0.66	0.0	0.78	0.0	1.08
"SM 41:1;O2"	5.11	9.21	6.38	9.8	7.59	3.28	6.55	11.74	13.47	5.87	6.19	5.95	6.71	4.3	4.81	4.85	3.46	4.35	5.93	6.86
"SM 41:2;O2"	3.95	4.43	5.61	6.29	4.49	2.9	4.11	7.86	6.73	4.41	5.59	4.29	4.33	3.4	3.5	4.02	2.55	3.71	4.34	5.25
"SM 42:1;O2"	9.43	22.07	13.21	21.25	18.07	9.97	13.73	21.68	17.15	14.14	12.45	11.85	14.0	9.45	11.64	11.94	9.15	13.9	19.01	14.65
"SM 42:2;O2"	40.55	48.82	44.34	63.9	61.5	46.79	45.4	70.14	50.44	48.43	42.76	57.05	65.86	45.36	52.38	50.51	46.42	47.15	75.76	47.09
"SM 42:3;O2"	19.1	21.56	21.49	26.18	20.39	21.2	19.87	32.82	23.92	23.02	23.79	25.19	26.57	18.97	20.94	20.48	18.03	23.48	32.65	24.94
"SM 42:4;O2"	1.56	1.05	1.6	1.96	1.2	1.3	1.22	2.2	3.22	1.99	1.91	1.5	1.67	1.62	1.08	1.45	0.97	1.56	1.98	2.02
"SM 43:1;O2"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
"SM 43:2;O2"	0.0	0.0	0.55	0.68	0.0	0.0	0.47	0.58	0.6	0.0	0.57	0.0	0.55	0.45	0.0	0.0	0.0	0.0	0.0	0.49
TG 46:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 46:2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 48:0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 48:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TG 48:2	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	0.0	0.0	0.0	0.7	0.0	0.0	0.0	0.46
TG 48:3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0
TG 49:1	0.73	0.61	0.0	0.0	0.0	0.0	0.25	0.53	0.37	0.0	0.0	0.13	0.65	0.24	0.72	1.68	0.0	0.7	1.28	0.39
TG 50:0	0.79	0.6	1.16	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.39	1.27	1.06	1.11	0.0	2.14	0.0	1.28	1.26	0.71
TG 50:1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.0	0.0	0.0	0.0
