feature	JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	BS-082D03	BS-364D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-412D03	KT-417D03	KT-445D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-663D03	KT-695D03	KT-705D03	KT-723D03
"SM 34:1;O2"	113.3	216.53	113.4	155.12	126.62	182.1	106.63	146.98	127.8	117.29	235.92	137.02	103.9	142.08	204.72	117.16	153.02	198.78	177.78	98.22	51.63	93.43	87.2	114.6	82.62	84.32	56.98	64.38	84.51	46.92	72.98	79.67	45.79	101.68	107.75	86.15	147.96	77.49	85.73	94.96
"SM 34:2;O2"	16.08	24.17	12.0	15.78	16.32	15.03	9.42	16.62	11.77	10.72	19.75	12.88	11.28	18.63	18.87	9.97	15.52	22.36	21.3	9.26	3.73	6.24	8.38	10.32	8.49	6.97	5.68	6.43	7.63	3.15	6.7	6.42	3.0	11.34	8.86	7.54	10.55	7.2	9.47	9.64
"SM 35:1;O2"	1.38	1.82	1.15	2.47	1.33	2.1	1.03	1.85	1.04	1.0	2.21	1.24	1.04	1.97	4.18	1.19	1.84	2.18	1.66	0.7	0.0	0.0	0.71	1.0	0.9	0.0	0.48	0.6	0.0	0.0	0.61	0.78	0.0	0.71	0.98	0.0	1.61	0.77	0.8	1.08
"SM 36:1;O2"	19.78	37.59	14.13	33.76	19.88	29.45	20.99	23.85	20.48	24.46	35.83	22.28	20.8	29.24	37.24	16.43	22.94	26.89	33.89	16.43	6.59	15.72	18.62	29.06	16.48	13.83	10.1	14.33	13.98	9.18	13.92	19.43	6.49	22.39	27.83	13.43	28.55	19.77	17.88	18.99
"SM 36:2;O2"	8.98	13.93	5.78	12.77	9.77	10.35	7.83	11.07	8.38	8.45	14.23	9.23	7.61	12.74	13.56	6.2	8.58	11.86	14.62	6.33	1.98	4.78	6.28	7.49	4.57	4.36	3.07	5.1	4.01	2.02	4.28	5.89	1.92	6.7	7.72	4.43	7.87	5.94	6.62	7.14
"SM 37:1;O2"	0.6	0.9	0.0	0.87	0.0	0.87	0.0	1.0	0.5	0.0	0.89	0.0	0.0	0.96	1.6	0.0	0.74	0.81	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.0	0.0	0.0
"SM 38:1;O2"	12.46	26.58	9.59	15.89	10.19	16.58	11.33	17.58	11.96	12.26	20.33	12.39	12.32	17.62	25.36	7.51	15.14	15.01	19.95	10.04	2.74	5.99	8.29	11.89	8.3	6.21	4.57	6.9	5.76	3.95	5.64	8.27	2.48	8.18	10.85	4.62	12.56	7.32	7.56	9.55
"SM 38:2;O2"	5.06	8.18	3.91	6.58	4.44	5.87	4.77	7.46	4.19	4.98	8.05	5.17	4.31	6.68	6.05	3.49	5.04	6.71	7.69	4.08	0.0	2.09	2.88	3.07	2.58	2.35	1.64	2.73	1.77	0.99	1.95	3.01	0.82	2.9	3.81	1.76	4.0	2.75	3.28	3.68
"SM 39:1;O2"	3.58	5.8	2.09	3.14	2.54	4.53	1.82	4.59	2.42	1.47	3.95	1.85	2.26	4.72	6.9	1.18	3.51	3.54	4.0	1.69	0.0	0.0	0.96	1.38	1.21	1.1	0.7	1.08	0.0	0.51	0.56	1.4	0.0	0.99	1.53	0.0	2.69	1.03	1.26	1.8
"SM 40:1;O2"	38.27	58.17	24.28	30.49	26.78	42.04	21.66	36.7	28.83	25.95	48.27	27.85	30.2	39.17	54.69	16.24	34.69	33.83	46.59	23.07	8.39	16.23	18.69	29.6	17.69	13.58	11.8	15.47	15.83	11.03	13.0	18.19	5.03	18.01	26.45	14.29	33.43	20.73	15.41	20.57
