"","KT-522_D0_D60","KT-539_D0_D60","BS-377_D0_D60","KT-193_D0_D60","JV-035_D0_D60","JV-138_D0_D60","BS-082_D0_D60","KT-723_D0_D60","KT-663_D0_D60","KT-313_D0_D60","KT-347_D0_D60","KT-537_D0_D60","KT-352_D0_D60","KT-695_D0_D60","BS-336_D0_D60","KT-412_D0_D60","KT-445_D0_D60","KT-771_D0_D60","KT-612_D0_D60","KT-434_D0_D60","BS-364_D0_D60","JV-148_D0_D60","KT-880_D0_D60","KT-515_D0_D60","BS-671_D0_D60","BS-346_D0_D60","KT-525_D0_D60","KT-417_D0_D60","KT-805_D0_D60","JV-157_D0_D60","KT-718_D0_D60","BS-064_D0_D60","BS-351_D0_D60","KT-312_D0_D60","KT-705_D0_D60","KT-247_D0_D60","KT-926_D0_D60","KT-716_D0_D60","KT-538_D0_D60","KT-974_D0_D60"
"KT-716_D0_D60",0.362873999703451,0.277317754682389,0.434362928385295,0.319172746933468,0.206983135378728,0.348757369654724,0.227568490801329,0.399631871208698,0.118263455813743,0.274512397035374,0.529105223789214,0.420625195177125,0.378157919630114,0.219062602536587,0.252894565211671,0.396602601796267,0.400474059544265,0.407240618349775,0.301738680252174,0.194441061344284,-0.00878200117448071,0.124247775808616,0.207929336965986,0.164387243636487,0.42486718360028,0.285884063945367,0.153342444950304,0.222241504465258,0.247132777688072,0.0945045995756534,0.0553125018198683,0.160659164243486,0.293226712326561,0.399954251469735,0.473801322119425,0.250485827296433,-0.157732470779627,1,0.342324965370293,0.193195751545965
"KT-247_D0_D60",0.55614088881384,0.562492024830755,0.453593371136173,0.665638524799916,0.365515757660174,0.372062486674005,0.288964659758801,0.135298457560267,0.240882230838053,0.169098912304187,0.396614225155546,0.210698546582998,0.34580475644701,0.277632046507886,0.372242193906613,0.286287204923283,0.352186039753198,0.447941781902352,0.344100753669611,0.252645540270783,0.101824856568052,0.0811783103637296,0.240876907844225,0.190194529103713,0.369989743696111,0.326102659798836,0.528317382375382,0.53256259295894,0.531254054755417,0.4729237346578,0.570902664995346,0.593105132923176,0.608178814437691,0.51009674532119,0.465292134262724,1,0.0604664678869289,0.250485827296433,0.426217262783886,0.494769757182792
"KT-434_D0_D60",0.122169680522022,0.336274065494038,0.17269060137995,0.347333335992345,0.119804707758228,0.142576102598921,0.387240293842412,0.361177035571627,0.166114580309237,0.119704176280411,0.35314387076041,0.302156846711509,0.0962961370094367,0.455148174687507,0.15567845848302,0.208207462458647,0.245879675476859,0.317349246576806,0.344496547388795,1,-0.0583397240504066,-0.0981598729558443,0.241255505725394,0.31111175434893,0.210576943549248,0.265242776727493,0.0294769944758421,0.208451115206186,0.0606585371668761,0.184269818315041,0.365791214640829,0.255414532579052,0.368915053926813,0.200725982327704,0.28872029474984,0.252645540270783,-0.0843044835835818,0.194441061344284,0.336815576767167,0.532046010930585
"JV-035_D0_D60",0.286635839348177,0.329066816126074,0.0296197197948308,0.586992384554884,1,0.0399001531681042,0.369480020549545,-0.0727895975031117,-0.0291688596269793,-0.285107602757216,0.34709123558687,0.26191336210241,0.299525103902214,0.0657295737980584,0.0467096389646884,0.0510975383834845,0.0689388830238378,0.156827243424814,-0.137603022452466,0.119804707758228,-0.187927248174669,0.319498868488402,0.123342053872388,0.0680479854418124,0.127418138499089,-0.0863407068167023,0.407135140814712,0.477004657901007,0.287798955913748,0.493087225765349,0.526639956511251,0.29324633953207,0.395541438947748,0.422460949662541,0.351898784325097,0.365515757660174,0.415698441398844,0.206983135378728,0.221294659171786,0.326499259477863
"KT-193_D0_D60",0.442908968335753,0.561049524018924,0.235092351597851,1,0.586992384554884,0.272144057192377,0.404031481012355,0.0712299196576002,0.0836834865686406,-0.0910877682243762,0.456175318480482,0.228042629046072,0.290969044790249,0.233151171973768,0.0689258152524486,0.184753367438417,0.277229993015761,0.489012225200161,0.144173195907625,0.347333335992345,-0.0772292899645496,0.0974688646250809,0.303050929995697,0.171264036106485,0.177998863800733,0.132760825607168,0.547367437140961,0.661613223152644,0.558362256655107,0.485675295774532,0.732927456208848,0.523167805298282,0.657075155682519,0.560620132099569,0.535062709285319,0.665638524799916,0.059715236388497,0.319172746933468,0.275282984394699,0.510766198013015
"KT-538_D0_D60",0.395752747944953,0.449215866310047,0.403386365260432,0.275282984394699,0.221294659171786,0.397680393818383,0.380970487424102,0.404495965758155,0.566918748548144,0.398353265446474,0.516665520114495,0.555805363322107,0.214088575629198,0.595530850099729,0.501366811844614,0.643651421624118,0.55792416825726,0.40926258947454,0.533249775804603,0.336815576767167,0.137369244963369,-0.0350487883407477,0.476988186485251,0.510919984004018,0.500683488633148,0.486960449125028,0.178372072845554,0.293059162551148,0.163391600406099,0.212791626061619,0.20620660264161,0.371676950873661,0.45619044214441,0.205002490928588,0.468930147435325,0.426217262783886,-0.0949317232702615,0.342324965370293,1,0.472805764449972
"JV-157_D0_D60",0.402492136258001,0.476989316662235,0.193250004974883,0.485675295774532,0.493087225765349,0.154102480940616,0.172384696817306,-0.147486911708844,-0.00314759166903357,-0.0533370275389204,0.243213133932959,0.135491428452177,0.368042967008309,0.144560079338743,0.0564264912968032,-0.0636177536113571,-0.0640170663211636,0.286788439791053,0.0436338738723499,0.184269818315041,-0.0102298580758423,0.185794566745162,9.43006911196215e-05,-0.0557757450355402,0.0982139921064363,-0.00644315202551747,0.652560340381329,0.679223229802423,0.399168609836243,1,0.486377915075446,0.551557231261339,0.511746180469403,0.34647859916572,0.26880696256819,0.4729237346578,0.205666254433685,0.0945045995756534,0.212791626061619,0.275012478124012
"KT-312_D0_D60",0.407253758647018,0.227912293372296,0.311058285564334,0.560620132099569,0.422460949662541,0.253204836433862,0.366288443941244,0.0917783307976414,-0.0186167627573582,-0.0199763256784072,0.487559195376586,0.248584610683025,0.358544825037538,0.150609634739999,0.195219048889706,0.167250584197422,0.183369455181573,0.400619150371135,0.0555941033667203,0.200725982327704,-0.142446396047366,0.197393930608731,0.238682295146023,0.101039326772128,0.264090369746609,0.0370164740243596,0.445874780592524,0.317710446739769,0.306859525960721,0.34647859916572,0.49035432368873,0.19756774673891,0.278222878283885,1,0.506897282735245,0.51009674532119,0.120699927535053,0.399954251469735,0.205002490928588,0.383330344703998
"KT-522_D0_D60",1,0.500742453648644,0.334290180574615,0.442908968335753,0.286635839348177,0.454570044032891,0.147709223417468,0.135497410218681,0.272258806760358,0.171940603143619,0.402937725344025,0.294475666941176,0.394870961113388,0.199484181754579,0.121394307967693,0.227980187248737,0.198025654680192,0.381603823949466,0.3485868059632,0.122169680522022,-0.0478004394175047,-0.04347908727204,0.235232709087978,0.10863430871327,0.310729275445913,0.0487791414162742,0.480816863204012,0.405460928458508,0.376330403686493,0.402492136258001,0.318753251848541,0.44935176314656,0.451129806244024,0.407253758647018,0.418219453274745,0.55614088881384,-0.11247660840097,0.362873999703451,0.395752747944953,0.244441702641386
"KT-417_D0_D60",0.405460928458508,0.654711109811074,0.266868850935994,0.661613223152644,0.477004657901007,0.175129875322498,0.268639436151933,-0.0825464682319163,0.0489280721001792,0.0419744347296256,0.330147740918201,0.278398036610338,0.443345010426043,0.32737063089987,0.0415594855780058,0.0879117549621504,0.117651782747817,0.376182512457688,0.130866686765473,0.208451115206186,0.0611411066446664,0.117792005937854,0.138977967871805,0.130146662229437,0.0343924458565075,0.0584085682634226,0.596855393941122,1,0.560829542932185,0.679223229802423,0.553760325040703,0.599954190316392,0.713073827546485,0.317710446739769,0.373503704343664,0.53256259295894,0.0801533727075532,0.222241504465258,0.293059162551148,0.458378321784404
"KT-718_D0_D60",0.318753251848541,0.431288942434383,-0.0404628163901501,0.732927456208848,0.526639956511251,0.0891113728264936,0.466693574867228,-0.143278396446385,0.00144517341533424,-0.225686115436646,0.359414275720059,0.101148997462029,0.0342363719858099,0.273430358325626,0.0695719267565109,-0.027524039825965,0.0295041226671911,0.236699741557306,0.0113149255600486,0.365791214640829,-0.224577357727238,0.0147644852858274,0.328050039304167,0.195540852513561,0.0278633278209668,-0.0220825773082172,0.445388883153768,0.553760325040703,0.34859115594878,0.486377915075446,1,0.359094168229025,0.513460952046738,0.49035432368873,0.394892737951736,0.570902664995346,0.288150617731456,0.0553125018198683,0.20620660264161,0.626768098884356
"KT-723_D0_D60",0.135497410218681,0.225937909830239,0.414376643798016,0.0712299196576002,-0.0727895975031117,0.392710575187585,0.345115607313015,1,0.542434475693113,0.393978649343655,0.321427826101959,0.482806168175792,0.184807351752199,0.416937107173605,0.362609710616525,0.535301976916401,0.564989029058656,0.366977834857169,0.520839453687596,0.361177035571627,0.164816752107456,0.00123448103488656,0.153133053450223,0.335841686877997,0.487065177042491,0.480111427400012,-0.0900351937898534,-0.0825464682319163,-0.139078642930835,-0.147486911708844,-0.143278396446385,0.139134690717917,0.194729608255439,0.0917783307976414,0.413938479221416,0.135298457560267,-0.377233958534081,0.399631871208698,0.404495965758155,0.145737277695081
"KT-771_D0_D60",0.381603823949466,0.396449489245983,0.593170204610692,0.489012225200161,0.156827243424814,0.518457645398788,0.348678003920655,0.366977834857169,0.295156417448413,0.245648124917108,0.394799432001706,0.334667709257349,0.317562143473726,0.285240769930796,0.287395677665627,0.512518050777836,0.482372894175192,1,0.435058458632304,0.317349246576806,0.164574013111327,0.133316997810318,0.249572683652683,0.19614049411691,0.421611828994088,0.379194522377817,0.270509035557399,0.376182512457688,0.343415186718939,0.286788439791053,0.236699741557306,0.467635767695787,0.487961261534603,0.400619150371135,0.585073659819763,0.447941781902352,-0.339465126861301,0.407240618349775,0.40926258947454,0.298235449122782
"KT-515_D0_D60",0.10863430871327,0.248733378505175,0.234799643254212,0.171264036106485,0.0680479854418124,0.309775323526071,0.513741146430396,0.335841686877997,0.64727104374432,0.415139637543453,0.323121075555469,0.477307274664378,0.111197230006589,0.574633773395151,0.466786833488066,0.617318680720928,0.606435315860785,0.19614049411691,0.265296937528497,0.31111175434893,0.0120353181848804,0.0112426084466835,0.471795210843541,1,0.431980166719578,0.284761590444947,-0.196546050753396,0.130146662229437,-0.0752718845219015,-0.0557757450355402,0.195540852513561,0.0931953742532861,0.259603344718419,0.101039326772128,0.437588148814225,0.190194529103713,-0.0470130687033704,0.164387243636487,0.510919984004018,0.454312439881428
"KT-412_D0_D60",0.227980187248737,0.31691883165,0.662990164718409,0.184753367438417,0.0510975383834845,0.482763342409926,0.461982773308213,0.535301976916401,0.608527711772297,0.505204407401819,0.377756836004833,0.520657348561296,0.257224175006112,0.455955933355107,0.562886072418206,1,0.812666721505434,0.512518050777836,0.457244914499224,0.208207462458647,0.152502577263204,0.0673970829041784,0.400044829691419,0.617318680720928,0.662236993202641,0.539235309844961,-0.0983955302232153,0.0879117549621504,0.158138674422487,-0.0636177536113571,-0.027524039825965,0.166760365349724,0.264649414947583,0.167250584197422,0.538008302921178,0.286287204923283,-0.224401569744817,0.396602601796267,0.643651421624118,0.362730589877195
"JV-138_D0_D60",0.454570044032891,0.247650894381122,0.520111390409992,0.272144057192377,0.0399001531681042,1,0.307854560089476,0.392710575187585,0.554298703112245,0.424292984208134,0.411005321724376,0.374661651591787,0.318062274950759,0.404426259258861,0.29343198377496,0.482763342409926,0.461625156989541,0.518457645398788,0.400042626932117,0.142576102598921,0.16465705478655,-0.128840696379014,0.369483182526539,0.309775323526071,0.49585140301764,0.220501707468152,0.124661390868905,0.175129875322498,0.168487529096872,0.154102480940616,0.0891113728264936,0.322117179130596,0.362736244159751,0.253204836433862,0.499379619914315,0.372062486674005,-0.299186036500172,0.348757369654724,0.397680393818383,0.0781143007340029
"KT-880_D0_D60",0.235232709087978,0.211240444125221,0.0828784864791754,0.303050929995697,0.123342053872388,0.369483182526539,0.421216576286717,0.153133053450223,0.304568136624339,0.123605165436484,0.307914939733622,0.253916568394585,-0.107376315341029,0.340411245289289,0.241912921891418,0.400044829691419,0.391758861201188,0.249572683652683,0.0543906632135741,0.241255505725394,-0.047762403412192,-0.1272696004255,1,0.471795210843541,0.296938370194268,0.157780582484791,-0.0844393899209534,0.138977967871805,-0.0579524036144113,9.43006911196215e-05,0.328050039304167,0.0826771309751376,0.253231005942328,0.238682295146023,0.455245679152015,0.240876907844225,-0.0332406206164747,0.207929336965986,0.476988186485251,0.443996235377438
"BS-364_D0_D60",-0.0478004394175047,0.183460770567467,0.193176049282407,-0.0772292899645496,-0.187927248174669,0.16465705478655,-0.19608261089061,0.164816752107456,0.203206261508255,0.200200300183485,-0.0908280008386193,0.0406562177237016,0.180284017028344,-0.029324921607108,0.21844580010571,0.152502577263204,0.1619392025399,0.164574013111327,0.322965644598964,-0.0583397240504066,1,0.0560241719526412,-0.047762403412192,0.0120353181848804,0.164174905244764,0.316375773017767,0.0259533929786195,0.0611411066446664,0.0307541830816045,-0.0102298580758423,-0.224577357727238,0.315246102434888,0.163521973482342,-0.142446396047366,-0.045299532777287,0.101824856568052,-0.299994703007816,-0.00878200117448071,0.137369244963369,-0.145515730473322
"KT-313_D0_D60",0.171940603143619,0.276687295689071,0.52571366671105,-0.0910877682243762,-0.285107602757216,0.424292984208134,0.0909176683041037,0.393978649343655,0.438474057520735,1,0.215758790885813,0.37536187134928,0.341304443490645,0.437864761367221,0.438647260961374,0.505204407401819,0.460049161131085,0.245648124917108,0.4214349454104,0.119704176280411,0.200200300183485,-0.124944255958585,0.123605165436484,0.415139637543453,0.413206980064558,0.390606714227782,0.0400175043840001,0.0419744347296256,0.0779997001493956,-0.0533370275389204,-0.225686115436646,0.254707432037488,0.173141689284777,-0.0199763256784072,0.197167109596893,0.169098912304187,-0.21891066975203,0.274512397035374,0.398353265446474,0.0514689169848646
"BS-377_D0_D60",0.334290180574615,0.389684822367745,1,0.235092351597851,0.0296197197948308,0.520111390409992,0.255044662690837,0.414376643798016,0.335342090477962,0.52571366671105,0.348525210181713,0.328288375303354,0.550980907693818,0.262358268321089,0.433180569360989,0.662990164718409,0.571430364051619,0.593170204610692,0.432997980733549,0.17269060137995,0.193176049282407,0.13967287205877,0.0828784864791754,0.234799643254212,0.626748223142595,0.492324909321373,0.254266409890943,0.266868850935994,0.342621704176176,0.193250004974883,-0.0404628163901501,0.372427507588529,0.339743779779676,0.311058285564334,0.495485046415115,0.453593371136173,-0.244401044772433,0.434362928385295,0.403386365260432,0.195065648773287
"KT-347_D0_D60",0.402937725344025,0.371019223114297,0.348525210181713,0.456175318480482,0.34709123558687,0.411005321724376,0.341154135459851,0.321427826101959,0.310296227989209,0.215758790885813,1,0.519865965050183,0.304978485476688,0.418387360878762,0.337067074171524,0.377756836004833,0.335410979198488,0.394799432001706,0.358071483320466,0.35314387076041,-0.0908280008386193,0.0453933431625044,0.307914939733622,0.323121075555469,0.423553371326654,0.249081523725418,0.262614521847142,0.330147740918201,0.20959301822601,0.243213133932959,0.359414275720059,0.265038554725121,0.466562380285697,0.487559195376586,0.446588217304456,0.396614225155546,0.0292776988351676,0.529105223789214,0.516665520114495,0.441010672111621
"BS-351_D0_D60",0.451129806244024,0.69808013507938,0.339743779779676,0.657075155682519,0.395541438947748,0.362736244159751,0.215326854405786,0.194729608255439,0.327788540382597,0.173141689284777,0.466562380285697,0.292655524318814,0.335539642132044,0.400581705992452,0.24659108619059,0.264649414947583,0.343179645608189,0.487961261534603,0.427766211253242,0.368915053926813,0.163521973482342,0.000855698587409771,0.253231005942328,0.259603344718419,0.274497826755329,0.304518697767597,0.497208468229248,0.713073827546485,0.523493836903716,0.511746180469403,0.513460952046738,0.750121831404334,1,0.278222878283885,0.335114810547145,0.608178814437691,-0.0884680930408574,0.293226712326561,0.45619044214441,0.512486570162291
"BS-082_D0_D60",0.147709223417468,0.259960903906153,0.255044662690837,0.404031481012355,0.369480020549545,0.307854560089476,1,0.345115607313015,0.353496806725147,0.0909176683041037,0.341154135459851,0.503257013965181,0.134127637955307,0.511103433533326,0.31429899859864,0.461982773308213,0.427622155052904,0.348678003920655,0.0589703011319359,0.387240293842412,-0.19608261089061,0.0838198370216554,0.421216576286717,0.513741146430396,0.368461498055105,0.202099728892794,0.0345828053609477,0.268639436151933,-0.0385865405532851,0.172384696817306,0.466693574867228,0.0604293426165366,0.215326854405786,0.366288443941244,0.677378688897894,0.288964659758801,0.136330415141246,0.227568490801329,0.380970487424102,0.517461862657697
"BS-336_D0_D60",0.121394307967693,0.291032124833138,0.433180569360989,0.0689258152524486,0.0467096389646884,0.29343198377496,0.31429899859864,0.362609710616525,0.482266412454768,0.438647260961374,0.337067074171524,0.355105537051298,0.282012423687548,0.425811572670131,1,0.562886072418206,0.555452035380804,0.287395677665627,0.393397961966468,0.15567845848302,0.21844580010571,0.0401361019738408,0.241912921891418,0.466786833488066,0.570702178177133,0.565457558862936,0.0703399053430913,0.0415594855780058,0.0935081949614329,0.0564264912968032,0.0695719267565109,0.286828591499458,0.24659108619059,0.195219048889706,0.301822843447211,0.372242193906613,0.0503090900980795,0.252894565211671,0.501366811844614,0.377133497359218
