sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj
yes	FA 16:1	0.2036080782278113	0.3898487344647002	0.7790131077666436	0.19110468443599815	0.324043145574926	0.48747770998543727	One-way ANOVA	12.549537071850533	6.912849141362879e-5	4.160342920593124	1.2239142742085098e-4	3.9122490001169417	yes
yes	FA 18:0	0.5423274022401552	0.8889081031354032	1.1746059077460531	0.2746085024364144	0.2585338828981865	0.4634319143874451	One-way ANOVA	13.782894221105764	3.362686715197591e-5	4.473313591858326	6.155426529514234e-5	4.21074184801352	yes
yes	FA 18:1	2.9189584150874137	4.327775590534231	9.25072812527309	2.696482415732296	2.892819993685196	4.378552003436176	One-way ANOVA	11.407624674358077	1.3826473371555544e-4	3.8592885784289077	2.3050674909553696e-4	3.6373163542134272	yes
yes	FA 18:2	1.1358131347503113	1.5905365938427367	2.862007056862824	0.8282924244938381	0.8680188126013078	0.8586293240616214	One-way ANOVA	11.214826612478511	1.5583778500084385e-4	3.807327233262863	2.550072845468354e-4	3.593447413317782	yes
yes	FA 20:3	0.03004373776939299	0.016205692411749517	0.07328381674728976	0.030122547083401396	0.027750014356164907	0.04201848107771545	One-way ANOVA	4.6717576195153985	0.015521579008322581	1.8090641001062242	0.01972153568116281	1.7050592703335672	yes
yes	FA 20:4	0.2054399736266972	0.004256211445139577	0.039481163743362545	0.08412581209471695	0.013008229829454779	0.03122617685004928	One-way ANOVA	55.382128834807396	7.493730370934833e-12	11.125301937145847	2.24811911128045e-11	10.648180682426185	yes
yes	LPC 14:0	0.016051792754308177	0.1028226411284223	2.522306451606359e-4	0.007460210319504241	0.18261163401530112	4.244319732736202e-5	One-way ANOVA	17.08708629995152	5.543282252574035e-6	5.256233007459393	1.108656450514807e-5	4.955203011795412	yes
yes	LPC 16:0	1.7869430716419914	31.064209416895448	22.15085450795076	0.3648658487018329	5.566522750844114	6.12435097842042	One-way ANOVA	688.0579122471762	5.4130662113083224e-30	29.266556660692057	5.846111508212988e-28	27.233132905205107	yes
yes	LPC 17:0	0.014657622830455826	0.059212009082450015	2.522306451606359e-4	0.006991895509755313	0.10105154034887912	4.244319732736202e-5	One-way ANOVA	19.197362133387337	1.9095198886122102e-6	5.719075813871154	4.2087377136758916e-06	5.375848138412718	yes
yes	LPC 18:0	0.5784901941847311	10.847603403725984	7.162016851163311	0.14167658969096183	2.3453983482148972	2.7066153210750397	One-way ANOVA	405.57757798898507	6.838151595690899e-26	25.165061275513356	1.2308672872243618e-24	23.90978877041005	yes
yes	LPC 18:1	0.3203095553087992	6.8104189574414065	6.071611538427955	0.059057046823889583	2.099565367771884	1.5281414782888405	One-way ANOVA	656.5042464570657	1.2603948882450942e-29	28.899493366852727	6.806132396523509e-28	27.16709960702976	yes
yes	LPC 18:2	0.3254419915721379	4.4622170244853905	4.888950068593803	0.09796909351232715	2.302319692144951	2.1250653776228288	One-way ANOVA	191.52969392168606	3.0233194306660643e-20	19.519515964748507	2.968349986472136e-19	18.527484894419782	yes
yes	LPC 18:3	0.09660223346415953	1.9096086702501145	1.4060348184310625	0.022584007970192516	0.3816443076760506	0.4879307182805318	One-way ANOVA	502.8369142803696	1.4996335548545118e-27	26.824014850642378	5.398680797476243e-26	25.26771234987509	yes
yes	LPC 20:3	0.049324107736905445	0.8668734245497799	0.5446360212552992	0.010267608031197256	0.35325239062700503	0.3542018007062025	One-way ANOVA	17.446941356106176	4.601834832534417e-6	5.337068972935119	9.557656959879174e-6	5.019648561082969	yes
yes	LPC 20:4	0.12174541045857061	2.6908290368905408	2.360371870843005	0.036500178387446014	0.9213089460722489	0.8625390563191899	One-way ANOVA	456.20462000725	8.488735349944204e-27	26.071157006040014	2.2919585444849353e-25	24.639793241881026	yes
yes	LPC 22:6	0.029568453625002267	0.7063786559218179	0.9215211910941136	0.012131546814852534	0.28222451886521727	0.3850657215556034	One-way ANOVA	281.9128876346877	4.026091290710302e-23	22.39511638180647	6.211683705667324e-22	21.206790666333777	yes
yes	LPC O-16:0	0.018921609925729697	0.5303616440436634	0.1279509749906032	0.0072613869657928935	0.1869666600483469	0.1630462792054667	One-way ANOVA	19.114168610043315	1.98918344372251e-6	5.7013251641240466	4.2966362384406215e-6	5.366871412973116	yes
yes	PC 30:0	0.09552976480155971	0.019193760284412918	0.022809314123033442	0.04933983894829986	0.01526692536607087	0.006393746059041705	One-way ANOVA	17.361653824823822	4.808572486522902e-6	5.317983832823737	9.798600538574969e-6	5.008835946937577	yes
yes	PC 32:0	0.7575896321219912	0.2925543117708523	0.3578363715419543	0.22391681353869683	0.08341668581206399	0.09284404912199909	One-way ANOVA	60.50795671078256	2.1665395175443302e-12	11.664233385053368	7.090492966508717e-12	11.149323569444306	yes
yes	PC 32:1	0.5671440076653558	0.16868128174357105	0.2985802296279084	0.2063385222302896	0.07016074697664837	0.0956245065820969	One-way ANOVA	36.09436127095976	2.020425649219812e-9	8.694557126774258	5.455149252893493e-9	8.26319336261527	yes
yes	PC 32:1;O/32:0;P	0.13109064719941918	0.03518889494386473	0.028908594903253322	0.07224915200358475	0.018129664644094077	0.008230542299820542	One-way ANOVA	17.834336122465274	3.774055049013453e-6	5.423191769431178	7.99211657438143e-6	5.097338190042165	yes
yes	PC 32:2	0.0572845054006854	0.005098830882407066	0.0023244148872059644	0.018254264260512656	0.0066582679298007605	0.006222017604637632	One-way ANOVA	65.41718066468707	7.102898528955234e-13	12.148564389555679	2.474558197184404e-12	11.606502327903002	yes
yes	PC 34:0;P/34:1;O	0.3397452686456172	0.07514832246698919	0.0717874629981076	0.3600711593891174	0.020660310009308236	0.020010035583393045	One-way ANOVA	49.6661705851542	3.323933910517223e-11	10.4783476198407	9.702293576644866e-11	10.013125588420747	yes
yes	PC 34:1	13.029431079318929	4.1857719082235025	6.237358041824184	2.4838614970300177	1.1843961570830048	1.5055170320068234	One-way ANOVA	93.52182248141628	3.3929561577176823e-15	14.469421752080288	1.526830270972957e-14	13.816209238304944	yes
yes	PC 34:1;P/34:2;O	0.43362769949207414	0.08348777298422039	0.05264222646033935	0.19242555306331247	0.025772405201834794	0.02689072796027509	One-way ANOVA	119.93830132903898	6.752057513712582e-17	16.170563867066402	3.8380116393734676e-16	15.41589371253228	yes
yes	PC 34:2	15.631062303618695	4.101531552255309	6.968107785919318	2.4443040804142924	1.5810266774061248	2.8130324269335683	One-way ANOVA	71.19700442719008	2.0715007635235374e-13	12.683714902291346	7.990074373590787e-13	12.097449178146615	yes
