JV-015-RAN-IC-M2	BS-007-RAN-01-M3	BS-007-RAN-02-M3	KT-004-SOC-16-M1	BS-135-RAN-IC-M3	JV-070-DAV-07-M3	BS-129-RAT-10-M5	JV-036-SOC-10-M2	BS-126-RAT-05-M2	JV-017-RAN-10-M3	JV-070-DAV-04-M1	BS-356-RAN-03-M4	JV-090-MIN-IC-M4	BS-391-RAN-06-M2	JV-061-MIN-03-M5	JV-070-MIN-01-M1	KT-004-SOC-14-M1	JV-089-SOC-04-M1	BS-472-RAT-01-M1	BS-172-RAT-10-M3	BS-082D0	BS-364D0	KT-313D0	KT-412D0	KT-445D0	KT-537D0	KT-538D0	KT-539D0	KT-663D0	KT-695D0	KT-723D0	KT-193D0	KT-247D0	KT-312D0	KT-347D0	KT-417D0	KT-522D0	KT-525D0	KT-565D0	KT-705D0
-1.4357431244768053	-1.6227974904160216	-1.6003678539212405	-1.7890275183858764	-1.4765666391040717	-1.5048749043720588	-1.4156652380921004	-1.5106103913857953	-1.5655083935043033	-1.6118624855132717	-2.0644572551247395	-1.3946028934127257	-1.1351122671031928	-1.295855943672277	-1.4855271681039284	-1.219281815677676	-1.3036678970429934	-1.4846839885656289	-1.1646732485014955	-1.2016963224179131	-1.6411522084713521	-3.6254431312967847	-3.6312519470842317	-3.603153036762823	-3.490771493052708	-3.43552425833916	-1.887355632229481	-3.4690189332658865	-3.474752243168445	-3.4064771605840503	-3.464765178820196	-1.3796219123997648	-1.7571008539809185	-1.7349867102519145	-1.6824724223618586	-1.6059442152401011	-3.5549347343348727	-3.512470931242651	-1.549447197828711	-1.6696063419157368
-1.5158695166687428	-1.5768090535686474	-1.5427262857297255	-1.5181499399519944	-1.3324538946611593	-1.7031229013033364	-1.628827808523364	-1.477971978756439	-1.6235003404819899	-1.7683313545297288	-3.7720274312226763	-1.535932046209195	-1.355752964530581	-1.5934617863926217	-1.6555076502160109	-1.4952679412908758	-1.3260159515978693	-1.5998941219803597	-1.38800604221427	-1.4276422201753147	-1.7972263540051463	-3.6254431312967847	-2.099773030041977	-3.603153036762823	-3.490771493052708	-3.43552425833916	-3.4894156235574436	-3.4690189332658865	-3.474752243168445	-3.4064771605840503	-3.464765178820196	-1.6428633471743461	-3.701583526131087	-2.0311642031214836	-3.508547225062685	-1.9023293058583188	-3.5549347343348727	-3.512470931242651	-3.6861677649851177	-3.6140890140659057
-0.7521479817077407	-1.0336324795592455	-0.7054089738614671	-0.8932816561343253	-1.0179287900784224	-0.9108470082280864	-0.6946294571295146	-0.9426950468094961	-0.7443225108954578	-0.8600401738519773	-1.2443975303513373	-0.7186024914081459	-0.6077804148207402	-0.7030612526973411	-1.0573661319238943	-0.8154329473951181	-0.9459241692411366	-1.0167958342823133	-0.7931733061225821	-0.6101614451972194	-0.9852168363605353	-1.4493518722411034	-1.494531379927825	-1.758054996748566	-1.4493788078944827	-1.3421025731769247	-1.1333897663643206	-1.5396000075515937	-1.711324249605508	-1.309567147575994	-1.5616751918282523	-0.6462543977251246	-1.1275522584033684	-1.1645487231211087	-0.8781193500376613	-0.9309744873078487	-1.393566732099898	-1.1042309659308012	-0.9410929734030604	-1.0553804435327399
-1.0293881047712583	-1.238943943022589	-0.9865601197561816	-1.105146184844081	-1.1501549122511334	-1.1668149409930437	-1.1648018518938492	-1.2870701323987792	-1.0546702664400789	-1.2757897409425725	-1.584506710386213	-0.9931675380508669	-0.9717050268142376	-1.0737780753579644	-1.4279750130442332	-1.3610688435633715	-1.2671291053093008	-1.273506401897937	-1.2453810145105928	-1.0107730766212222	-1.7026702463905672	-3.6254431312967847	-3.6312519470842317	-3.603153036762823	-3.490771493052708	-3.43552425833916	-1.9096320269406333	-3.4690189332658865	-3.474752243168445	-3.4064771605840503	-3.464765178820196	-1.2853519955579167	-1.8564854861168303	-1.8990468818860604	-1.6277336327818936	-1.5967035585051883	-3.5549347343348727	-1.8790024756630643	-1.6217097757581993	-1.65030118672035
-1.8197473552055503	-2.045696990960626	-1.749306866933307	-1.8395185106491372	-1.9597620415359274	-1.9865677221662048	-1.6161158430072262	-2.023023702987968	-1.9168435074796804	-2.064160156507902	-2.0644572551247395	-1.7322266913531632	-1.7506874630628935	-1.7473903552755417	-1.9861295186731138	-2.0412119906399067	-1.8679393274815559	-1.9790072733929136	-1.6693155768724208	-1.5935621833777576	-3.3654280780721413	-3.6254431312967847	-3.6312519470842317	-3.603153036762823	-3.490771493052708	-3.43552425833916	-2.2852956409015186	-3.4690189332658865	-3.474752243168445	-3.4064771605840503	-3.464765178820196	-1.7977653071600894	-2.068115070551501	-2.3226488808792345	-3.508547225062685	-1.9723671724660738	-3.5549347343348727	-3.512470931242651	-3.6861677649851177	-2.0577865132986184
-1.0711513483836228	-1.0976147902261197	-0.8679740940982722	-1.1358150046105329	-1.0271168109822677	-1.0599966393247382	-0.9573708406319215	-1.0812126535897646	-0.8754508223214552	-0.8460499764509477	-1.2279593868724004	-0.9138412612849455	-0.9626654586529556	-0.8443003682835981	-1.5127361364726946	-1.2037000733246714	-1.3450605822012183	-1.2458829928225892	-1.1448163279137562	-0.8245543124339837	-1.18933681901646	-1.557257269550623	-1.7447612219117499	-3.603153036762823	-1.4864501192700652	-1.1974781552103644	-1.1489715087173251	-1.3354800248956689	-1.718877387495954	-1.3457793202304387	-1.4394593135554257	-0.6748995791746546	-1.0681150705515006	-1.3519382569812222	-0.9438811608105957	-0.9241196406620997	-1.3020817033549794	-1.0892250573058428	-0.9227397714221806	-0.9194838151323368
-1.2263446834100864	-1.3014591178541273	-1.0960943531579634	-1.2650908079492051	-1.4765666391040717	-1.1741849636124446	-1.2676611974151069	-1.5301081810850736	-1.2286735672340954	-1.0985777213115953	-1.3991154282525695	-1.2394816481499666	-1.1498772408906381	-1.10808230652795	-1.7415035542071875	-1.4043898930527325	-1.6227671492825757	-1.4006112002627447	-1.4891843400149996	-0.9680210962002723	-1.3697928834745914	-2.0456595346799746	-1.9877992705980443	-3.603153036762823	-3.490771493052708	-1.4764828660180662	-1.4981895478649485	-3.4690189332658865	-3.474752243168445	-1.4474357682629568	-1.8737005717936968	-0.9961329609269227	-1.5909938158318382	-1.4775508408649776	-1.2780983036844111	-1.2261223007458755	-3.5549347343348727	-1.5881916451807692	-1.3618853096874253	-1.3422474075294064
-1.265992043452143	-1.5506023652290628	-1.0096626134704003	-1.2587965748515169	-1.136159249517191	-0.950217700127361	-1.1172753385943275	-1.3038503125636622	-1.4321691148695719	-0.7508957044269092	-3.7720274312226763	-1.3220522262641141	-0.9396983208301658	-1.4512492797035417	-3.878224121363594	-1.081159434923951	-1.173990124520588	-1.411161382596053	-1.5014187964320111	-1.2128485766802306	-0.8115450514282669	-1.192473840422379	-0.7163801295441814	-1.1131945573379882	-1.0859377764327698	-1.1174609233763981	-1.3018949027209803	-0.7691812073986407	-1.2468655385547718	-0.9767248805816424	-1.073830071716817	-0.957619367345085	-1.017636395379575	-1.0292382820854453	-1.1301493241145475	-0.9522131408277409	-0.6379546870144904	-0.8719894942722289	-0.8435585253745558	-0.9647541553537636
0.1724688645747025	-0.047843173495123945	0.4807703065242131	-0.05545840065497333	0.21186142307702804	0.41929609232835824	0.34658124835627885	-0.04032183582099548	0.05999697719782138	0.6460982820116524	-0.058536888128733464	0.19719223436112943	0.4872143418016568	0.04588908853800803	-0.20336298062578273	0.31994327511425924	0.023963236964847735	-0.11388534490892141	-0.10780181600093666	0.32547957092509067	0.5452496766705639	0.2664844029238905	0.5524733109613464	0.23588483662548304	0.30967062828354874	0.09068574550250458	0.3106825566173322	0.5441976063585543	0.08611045155901953	0.48243209867948095	0.04618176985277669	0.5417965433199226	0.6035743026553987	0.4521218912598718	0.2406478171569873	0.46668906417544886	0.7101898188243082	0.5399536568994108	0.6216918156133486	0.4942053368741828
-0.7405661091579255	-1.043257127903527	-0.3045525552849594	-1.03166852805451	-0.6140156622319569	-0.5858790050660162	-0.8129477228203663	-0.8823460974338864	-1.0975305182245105	-0.09015316398066073	-1.2778728372042332	-0.7603190525067339	-0.31564165495874685	-1.1494006325588804	-1.4699841560517448	-0.7259415558613154	-0.9513341358578741	-1.138635008864932	-0.966707905538701	-0.6274204506387251	-0.08667447711931231	-0.674105612500867	-0.16423612864579637	-0.5527732805013649	-0.9132796932154825	-0.7960377690705737	-0.6040544035259314	0.013711766814056505	-0.9306841988181696	-0.2859032293782005	-1.0254324849899334	-0.14195633543384303	-0.28577579849554385	-0.2525306711981019	-0.6038316797840041	-0.20576845140180927	0.2935622837554939	-0.03506024333539915	-0.060649536013480256	-0.2340587660980749
