sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
BS-082D0	1	7.513485825131492	0.6698736452004176	2.7885694431760797	0.7349779016043605	0.2107192457270309	-1.3568645570661362	-1.413495246403677	-1.0403515883081973	0.07083349926797466	1.6523740159654519	0.9580852776638367	-2.357439316890763	1.315886860390572	-1.1112341470435956	1.27264534481642	0.9424974799086974	1.9594800119988427	-0.07384689390309301	-0.6412938242886314	-0.1674477737307508	0.787542618842019	0.08425726038907856	-0.6890453934433665	-0.8389853043676925	-0.34451308650524654	-0.6044316477448427	-0.22990191004446117	0.026663135064374142	0.12826169114682276	-0.1537262349556152	-5.189674118319862e-15
BS-364D0	1	7.77826468834985	4.542163306606046	-2.842658073127709	2.5011975159162088	0.23327617484479327	-1.0534359265812487	4.342951064214504	-3.307322992318183	2.75901756350495	-0.475451475691271	1.7397921421896552	0.3040822738415487	-1.4772045412900643	-0.893805083650251	-0.36330607528601994	-1.293666365057836	0.5630886791567694	0.47206805430555326	0.1980536225615563	0.20338073299678516	0.15050664984420278	-0.34022372487605496	0.3268830601591148	-0.05196022058271976	0.24854983327059296	-0.11378918170772465	0.043194953419012215	-0.20994070338376966	0.3259895282202514	0.0651362170094214	-5.869631429030189e-15
KT-313D0	1	8.956374464557532	8.40087162554737	-2.916542887254323	2.0411097638806015	3.6849362069888176	-1.1872900027833628	-0.9059599687551542	3.163491915838225	-1.1046591913212276	-0.3297604024275362	0.7730103251749886	-0.6640703894704502	-0.31432955223266246	2.1866412948211895	-0.9395121000894977	0.039057033128951965	1.1840108551255957	0.002300682562047635	-0.7369901586092532	0.34851525462021776	-0.7193221480202071	-0.19493415371205852	-0.28573816986957673	0.4176370928035867	0.3220089763977005	0.24030091740165127	-0.08934329519025447	0.19801664604195793	-0.1155682998156173	-0.0224414868740475	-5.1302399768404e-15
KT-412D0	1	13.24190748815128	-0.5202887504148809	-2.218041654745844	0.22903544760499012	-0.01999010505830795	1.880680215560198	-1.3771531692358372	-2.0696439768077957	1.5806659067488245	-1.9900016059142933	-3.8713187446073802	0.9823263572686673	0.6516843266323178	1.800106585216653	0.9567971206368318	0.10490357642018901	0.3056185674339413	0.3088958120632245	0.5779370421048721	-0.22638589329646047	0.3580303998263893	0.8303323866249839	-0.38059833393408204	-0.03725505694564246	0.10720550713760536	-0.18961025417490146	-0.2193318757665893	0.07661617873867504	0.05273638411243379	-0.10558052272410412	-5.223682065449429e-15
KT-445D0	1	11.90019555148764	1.5091878558138963	0.3746498266256598	-3.2578329896836955	1.0642313007218334	6.373006704720475	2.709411024995902	0.41924525102242477	-2.9080009323315057	0.3293576722441776	0.0024984693635142015	-0.1398215241074616	0.0511332512296083	-1.563064025684053	-1.2389247824000529	0.42338122083876545	-0.03352617799144214	0.3462895241933308	-0.13110882475002217	0.4379723144584958	0.28244174430184404	0.5551376743135275	0.09925773210741996	-0.14524897181765292	0.16356442584639444	0.0031538408949999945	0.10236870614850571	-7.81928562217929e-4	0.12024561851330998	0.08611281224962436	-6.19600741866567e-15
KT-537D0	1	9.076874602266617	1.823498015176389	-1.0155423371007002	-0.8957494264580529	-5.896188479823307	1.6739965045410417	0.12057472807101174	1.6968605409168822	0.27791344195027423	0.15379398464057137	0.6484933368374909	0.3899309458836824	1.2255646741177153	-0.4768816464498297	2.0836496773622564	-1.425017067099816	-0.03682599678359892	-0.3779571782778544	-0.6916229885353827	-0.23677332513497978	-1.056098260529504	-0.9500241379443991	-0.0815824315990649	0.5491746688760141	-0.2907397256327886	0.3190563892664507	-0.26687190424681573	-0.04299773118573704	-0.15907642149897722	-0.005781159589367458	-4.362329422368726e-15
KT-538D0	1	10.51179904371767	-0.5685312548046679	1.2070706138246097	-3.465149335264706	-3.5847613171981014	-5.002122226752003	-2.01727358940514	0.8354705502872868	-1.8088530518652122	-0.6716766533098707	-0.23270021691054518	-0.6059467274591871	-0.6956983598026922	-0.5574273351798956	-1.256486445360545	-0.6582604855027006	0.15743477700274527	-0.1719456682192709	1.639238131161398	0.20943046993679906	0.5265835787770633	0.37921089187037477	0.22868421663635471	0.20199430393482357	0.5239624867171079	0.04119163090901107	0.05975760152177103	-0.023903151056702862	0.2967938270282377	-0.0012443744086585134	-6.08007904725227e-15
KT-539D0	1	7.40984153284431	-8.419110763239763	5.4487714641847695	0.7887954768862865	2.2139534754311145	1.5396922524358252	-0.8138637409820612	-0.1445852389708784	-0.7007589921444651	1.515717284878656	1.5131605766288334	1.4302942476925218	-2.4716878377839757	1.3965961660983972	1.2145023283100624	-0.6793368431818656	0.2656339946034942	-0.23659202487529643	0.6086508672559021	-0.7576239872179662	0.500051204908866	-0.6365042764099962	-0.13868086186839643	0.2385472397349563	0.16614597976366088	0.24213153119713143	7.888639117558432e-4	0.10953313415874148	-0.07784181193502993	-0.04705874154679115	-4.318183761560783e-15
KT-663D0	1	9.076088305924296	-5.868241155745346	-2.9616399557378488	0.18846052250009165	1.4369597359892836	-3.742200151595841	0.04481054755824827	-1.789637179506877	-2.17472985721729	0.5422408710732467	-0.42640216346446047	2.909906174166026	0.8731861202119796	-0.7189754229090985	-0.4848492211240951	0.6643860455546905	-0.5113938404767836	-0.3691226855593057	-1.568649552377397	-0.1672696208496324	-0.8531267749130773	-0.26484851453138397	0.2889322692752131	-0.429298262231073	-0.14025420189461968	-0.10650891625305899	0.10996494276231904	-0.1157360301600299	-0.2173339065582195	0.12372810022138583	-6.006072837762856e-15
KT-695D0	1	9.57157908844576	-1.6346017491019362	3.168060108120511	1.1561002005165097	-1.1570936423895712	0.3880477197054019	-0.9955713546607391	-1.5195212597069394	1.8989442133178434	0.9270905559937082	0.08057168271427051	-2.4592263288093106	0.4022160917505128	1.1953588388135268	-0.6961897855857869	1.4778260597908077	-1.5925041498636696	0.15243683399329175	-0.1373613455473221	1.2890646669197334	-0.387670011194201	-0.5293091792233283	0.8725709812837749	0.3213963315406113	-0.11779166713969452	0.2306795133483802	0.45211130124417315	0.05065406429169752	-0.243339748789727	0.18939382275348254	-5.301779806140629e-15
KT-723D0	1	8.193370916752515	-1.5514722218730737	-2.6331927847363237	0.46708688133657084	2.2662785111929318	-1.0496119910531672	1.0946754420589129	4.065255287795913	2.5945724519494076	0.05521590926410358	0.4980909290269579	-0.09032118980423787	0.08350824581258447	-1.212334039356603	0.07243805965863932	0.4851481660836737	-2.013486480907212	-0.06136461649234432	0.7682880683470301	-1.0894930120551274	0.656121029931775	0.4700410046954019	-0.2818274610103511	-0.12012738758282383	-0.6864026535488441	-0.16482610141430767	0.09442883496889633	-0.020980825106575077	-0.1154961933690476	-0.15353817146103949	-5.27980884092102e-15
