"","KT-718D10","KT-347D10","KT-565D10","BS-064D10","JV-157D10","KT-247D10","BS-671D10","KT-771D10","KT-538D10","KT-805D10","KT-412D10","KT-445D10","KT-539D10","KT-352D10","BS-336D10","KT-695D10","BS-364D10","KT-663D10","KT-525D10","KT-193D10","BS-346D10","KT-312D10","KT-417D10","JV-048D10","KT-705D10","KT-716D10","KT-537D10","KT-723D10","KT-926D10","JV-148D10","KT-522D10","JV-138D10","KT-612D10","BS-377D10","BS-082D10","KT-434D10","KT-313D10","KT-880D10","KT-974D10","JV-035D10","KT-515D10","BS-351D10"
"KT-538D10",0.834640311033515,0.866586891104306,0.867205741391599,0.880691497451857,0.849841703368013,0.867996436201273,0.795725005576849,0.900052535207806,1,0.847772790536633,0.816577827620253,0.887156831420356,0.811769386511234,0.869546583594348,0.915020330543284,0.844993248755588,0.904885598209287,0.879698982475975,0.900183258500001,0.866620275857371,0.85610488560729,0.85076007078428,0.801746861747004,0.849689397104726,0.825550779928949,0.740205716813724,0.80958166984994,0.826037266321353,0.825672204881166,0.889324462783291,0.843697484158982,0.884410253889449,0.894769989847337,0.858159547275543,0.848218263152358,0.845799826465789,0.767024638197494,0.825915981066166,0.771195344950476,0.84127939931865,0.883603255978378,0.877988534367438
"KT-537D10",0.884942103921081,0.883476652626599,0.859903255489169,0.823191918819528,0.870031060194103,0.879110463902077,0.925145469408172,0.82148348753463,0.80958166984994,0.917294295656195,0.921545766387508,0.868348814811629,0.83127212958723,0.90087282179008,0.813939341808349,0.864363924599159,0.857618172773158,0.848442302760017,0.87598656823258,0.862130410208802,0.869851734884197,0.811188445959669,0.854833432421208,0.876596215321322,0.902163944954282,0.884900452079638,1,0.900617673679399,0.832869170637226,0.848477866155449,0.816884922312195,0.802404941375125,0.803706332162816,0.867381062470205,0.770070430649378,0.909205420768946,0.81278648947198,0.801896168500843,0.836558918453259,0.803280829009177,0.815765219143189,0.887948951544573
"KT-445D10",0.860706643544034,0.903389130145323,0.852858406862143,0.836569671257053,0.933297285839812,0.903416335124619,0.861680965300742,0.908674760980166,0.887156831420356,0.862365858982801,0.905617597816836,1,0.860103165317411,0.889872517439847,0.868197870632108,0.924536591136759,0.888387775645191,0.911069567675179,0.923762621104543,0.906554775719935,0.909619889563342,0.789324599995085,0.842472150382419,0.837845933590582,0.872625525009952,0.821828839678522,0.868348814811629,0.817852808802766,0.832486420724064,0.843025961877697,0.836248874801564,0.873901676211075,0.886296780457978,0.875293398382776,0.789964270027722,0.851833759659683,0.792395500419055,0.851633496996089,0.815927077444884,0.803716783437944,0.855192637672698,0.850473434242185
"KT-412D10",0.898719029919327,0.877297842836636,0.852384829264073,0.751041105030932,0.891161321748166,0.885010169158264,0.904562721899266,0.868739919204088,0.816577827620253,0.923542839253554,1,0.905617597816836,0.832790571942872,0.917895694091152,0.844342991971674,0.91114750018925,0.864325730102468,0.86469070185818,0.871617272751889,0.869710548105525,0.90447977169857,0.837051260391975,0.829095199069307,0.868749135935527,0.910599953318654,0.904818814425382,0.921545766387508,0.89522080284122,0.811683743225693,0.84826979175728,0.766451815090537,0.818686922998072,0.803356728442564,0.879336088116102,0.770531742340104,0.89296801916048,0.828274557984292,0.76824056753402,0.799557596894663,0.762695644033899,0.857997164306905,0.842760059360092
"KT-313D10",0.75821986417214,0.814086060582944,0.787505971813386,0.747662000997606,0.829957418406207,0.822326611730525,0.800978823029358,0.75006874226618,0.767024638197494,0.822883783922019,0.828274557984292,0.792395500419055,0.712586311614284,0.818342135481821,0.789402779245516,0.771471407869838,0.774503599287329,0.80406861630799,0.767338367853798,0.736077188057708,0.783413161092015,0.824419378157786,0.787843689816024,0.855990095061245,0.805054556467533,0.746383546185438,0.81278648947198,0.79655781048906,0.782859153078812,0.804744817171866,0.731758796390096,0.761557521544156,0.767197043335821,0.810821480822762,0.794291727265326,0.861939610680959,1,0.789720839436898,0.733718084874178,0.803362294713393,0.722676579956346,0.822018836269349
"JV-138D10",0.856924728838341,0.795139118240305,0.847595669378426,0.875992522194053,0.843317823694952,0.832501267304502,0.791465372246286,0.898514881903311,0.884410253889449,0.828947732241076,0.818686922998072,0.873901676211075,0.787034903551213,0.890473140182712,0.88070188374444,0.814932925340943,0.832333581679972,0.863743333251407,0.86257148694481,0.888639013443631,0.908031551711268,0.844884422542827,0.761731254891521,0.826334271388896,0.831501752761183,0.736999840243813,0.802404941375125,0.823018786774802,0.789272372010716,0.882745282976435,0.822552896036718,1,0.887623983669074,0.891361184162017,0.793819912322447,0.81914176214633,0.761557521544156,0.838539714545565,0.742735701821221,0.823991963048194,0.916339600218029,0.84701407708039
"BS-377D10",0.872639183525276,0.813315964995975,0.879281158601027,0.866391804521194,0.870709823301739,0.87806110693359,0.843324449505495,0.893886560817952,0.858159547275543,0.866355143062243,0.879336088116102,0.875293398382776,0.796179381073322,0.915478094168281,0.854773721911142,0.842764339292935,0.865634912719735,0.847283837589402,0.877651526207923,0.926146444421983,0.910811911007452,0.859545124978495,0.81207565024974,0.823452515545506,0.937803577996963,0.835125470051859,0.867381062470205,0.819464200682833,0.744469978125691,0.843746399731868,0.778189967960367,0.891361184162017,0.876267486748203,1,0.754563022089786,0.840105378820737,0.810821480822762,0.833636458611488,0.72926395408853,0.836090403430824,0.873578509016341,0.872366310916208
"BS-364D10",0.836963667983477,0.891344954504695,0.942652401334136,0.868303338273457,0.899526264374533,0.952517154590433,0.8785587666936,0.856206268874444,0.904885598209287,0.836959310105335,0.864325730102468,0.888387775645191,0.908434293861105,0.870355179941283,0.910684276677191,0.869415079110843,1,0.926601586811581,0.925110138929951,0.883548849929274,0.89970168879167,0.848713123765723,0.907857001317509,0.833330517140317,0.903775639920531,0.833216844992296,0.857618172773158,0.798411042845823,0.837047903602618,0.823193998123689,0.835718136950926,0.832333581679972,0.850330877613092,0.865634912719735,0.819429275404694,0.859507395014986,0.774503599287329,0.853220972690673,0.809496232698555,0.876165137731556,0.821076142291615,0.919920551950213
"BS-351D10",0.856504487812307,0.875377310548732,0.944733236267965,0.90335781406037,0.895812371664039,0.896132942955383,0.878343940289584,0.825580502267547,0.877988534367438,0.880280803121922,0.842760059360092,0.850473434242185,0.875776893691478,0.881521443601936,0.877083566962263,0.813000874066026,0.919920551950213,0.893305252955474,0.883185430194609,0.846826434331029,0.86858190056804,0.83509834284236,0.882619141315693,0.870773347605026,0.881434509714106,0.823648054972015,0.887948951544573,0.837435828116999,0.841748235006397,0.837627056703084,0.845635109638216,0.84701407708039,0.858527563471096,0.872366310916208,0.823585615789447,0.88911657944878,0.822018836269349,0.860311647519922,0.830809477302515,0.899032088126317,0.827780978057307,1
"BS-346D10",0.90013149082754,0.856321697833214,0.894936213037253,0.822444377542299,0.901965603479547,0.911398432882535,0.861637055720601,0.903965468254362,0.85610488560729,0.870375746740259,0.90447977169857,0.909619889563342,0.858599962827262,0.9434434111706,0.876249243481151,0.919476984444249,0.89970168879167,0.917489381648618,0.894484758743138,0.920827227303656,1,0.873375371555906,0.838956741870025,0.802052243113302,0.904672736492141,0.825124616941303,0.869851734884197,0.824340661137414,0.803941658546621,0.830495118253494,0.789853102242571,0.908031551711268,0.836685632480953,0.910811911007452,0.756860630695044,0.822572766415324,0.783413161092015,0.846477490749832,0.776325471018005,0.816965081202511,0.894511760551179,0.86858190056804
