feature	mean_ctrl	mean_exp	sd_ctrl	sd_exp	FC	log2FC	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_pval	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
32:1	0.3180812251722807	0.23461635219009344	0.1528200740820366	0.047698801887816764	0.7375988697950323	-0.43909164972525144	t-test	-1.5382192790603524	0.14138862183677878	0.8495855387168201	0.43790641390622065	0.35861869375813815	no	no	32	1	ns	ns		-0.43909164972525144
33:1	0.04088581961825324	0.031625307851047176	0.03330469633651093	0.006555972872610184	0.773503090957439	-0.3705210381192453	t-test	0.8187467444683297	0.4236386200733978	0.37300445526844545	0.564851493431197	0.24806571866014557	no	no	33	1	ns	ns		-0.3705210381192453
34:1	8.694470707927975	6.5009359014992745	3.814161745476201	0.8570178447814041	0.7477092188684303	-0.4194507740505432	t-test	-1.77966691676242	0.09201988351444268	1.03611832083287	0.4174980805318178	0.3793455168662618	no	no	34	1	ns	ns		-0.4194507740505432
34:2	6.387645115280322	5.920292340836757	2.571254908493645	1.5746183011870285	0.9268348873475174	-0.10961574462510894	t-test	-0.26533394041867153	0.7937671181772592	0.10030689571601842	0.8917234385723307	0.049769817961874185	no	no	34	2	ns	ns		-0.10961574462510894
34:3	0.0800113381675087	0.06139555601830969	0.03528925135964369	0.00905666186507783	0.7673356979703837	-0.38207022140623914	t-test	-1.736849611240632	0.09949582730169385	1.0021951324989826	0.4213940921012916	0.3753115574459882	no	no	34	3	ns	ns		-0.38207022140623914
35:1	0.016491903417946478	0.012133259870859957	0.021623651407782347	0.007407353563915823	0.7357100974564618	-0.4427907027271736	t-test	0.5984232524118579	0.5570136196948843	0.2541341856413183	0.6684163436338612	0.17495293959369346	no	no	35	1	ns	ns		-0.4427907027271736
36:1	1.184492755796363	0.8911797223013594	0.6748055000006808	0.22967211481930977	0.7523724547409307	-0.41048106385733363	t-test	-1.3444622386937504	0.1954983557570105	0.708856890895532	0.4540606972420889	0.3428860882985363	no	no	36	1	ns	ns		-0.41048106385733363
36:2	3.4756441445304254	3.1361856355740625	1.1548270972141539	0.44800114247441336	0.9023322023658366	-0.1482694214160315	t-test	-0.5125382795745954	0.614506391197711	0.21147359585732467	0.7253190191186097	0.1394709344368232	no	no	36	2	ns	ns		-0.1482694214160315
36:3	1.527984988331933	1.1982755645421062	0.5309995560313	0.20912549767195146	0.7842194613771938	-0.3506706503243892	t-test	-1.6759257497110973	0.11103552783774291	0.9545380385544173	0.43790641390622065	0.35861869375813815	no	no	36	3	ns	ns		-0.3506706503243892
36:4	2.6764590314544936	2.0261293971841714	0.7565061270163664	0.5740141241145565	0.7570186479122353	-0.4015992558135505	t-test	-2.316673253726186	0.03251095872552632	1.4879702232732839	0.3986058814574622	0.399456297543015	yes	no	36	4	*	ns	*	-0.4015992558135505
36:5	0.12502339914413882	0.09796076235777822	0.029833363271660692	0.028227404293193595	0.7835394256465525	-0.3519222257367492	t-test	-2.221269204183087	0.03939976155763275	1.404506406461677	0.3986058814574622	0.399456297543015	yes	no	36	5	*	ns	*	-0.3519222257367492
38:1	0.21276139210353426	0.14921655991793004	0.12753232908620912	0.04403894008273749	0.7013328801934049	-0.5118287282339145	t-test	-1.5262372017108585	0.1443305720408886	0.8406416670883047	0.43790641390622065	0.35861869375813815	no	no	38	1	ns	ns		-0.5118287282339145
38:2	0.09167553407526603	0.0694640523786127	0.05283731622929183	0.01891821956383303	0.7577163643419016	-0.40027018888623617	t-test	-0.7211650608790287	0.48007088580262613	0.3186946312911185	0.6284564323234378	0.20172482435409392	no	no	38	2	ns	ns		-0.40027018888623617
38:3	0.47491568186869965	0.32273887783883687	0.2916589383839135	0.12115411217061425	0.6795709010258895	-0.5573040167096015	t-test	-1.1470584802368033	0.2663763637797394	0.5745043137939343	0.4875001735275691	0.31202522537661914	no	no	38	3	ns	ns		-0.5573040167096015
38:4	1.9967452580992158	1.7850553243745788	0.6078932991865081	0.39912615856784156	0.8939825033433892	-0.16168149903440596	t-test	-0.938223472494516	0.3605493638851641	0.4430352663252366	0.5326476871294367	0.2735599544384487	no	no	38	4	ns	ns		-0.16168149903440596
38:5	0.8526109689185639	0.6379176113162903	0.35822197108433546	0.1815936741045777	0.7481930617493853	-0.4185175075420156	t-test	-1.9011963470155655	0.07340873844909361	1.1342522393436831	0.3986058814574622	0.399456297543015	no	no	38	5	ns	ns		-0.4185175075420156
