"feature","KT-539_D0_D60","BS-671_D0_D60","BS-064_D0_D60","KT-805_D0_D60","KT-926_D0_D60","KT-705_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","KT-347_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-515_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-538_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-612_D0_D60","KT-445_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60"
"CAR 16:0","1.22","1.099099099099099","0.8849557522123894","1.330357142857143","1.12","0.8547008547008548","1.026086956521739","0.8897637795275589","0.9444444444444444","1","1.22","1","1.028985507246377","1","1","1.102564102564103","1.22","0.9743589743589746","0.9758064516129032","0.8771929824561403","1.23","1","1","0.8547008547008548","1.19","1","1.1","1.13","1.11","1.241666666666667","1.26","1.12","1.17","1.155963302752294","0.9826086956521739","1.2","0.9174311926605504","1.016393442622951","1.13","1.22"
"CAR 18:1","1.318965517241379","1.23728813559322","1.008547008547009","1.67741935483871","1.079646017699115","1.05","1.075757575757576","0.9444444444444444","0.9777777777777777","1.17","1.53","1.13","1.041379310344828","0.8771929824561403","1","1.395161290322581","1.261261261261261","1.040322580645161","1.140740740740741","0.944","1.48","1.32","1","0.8931297709923663","1.47","1.12280701754386","1.22","1.4","1.31","1.343511450381679","1.52","1.38","1.184210526315789","1.247787610619469","1.023255813953488","1.63","1.045045045045045","1.107692307692308","1.23","1.5"
"CAR 18:2","1.2","1.091743119266055","1","1.256880733944954","1.1","0.9646017699115046","1","0.9416666666666667","0.8333333333333334","1","1.17","1","1.008264462809917","1","1","1.41","1.22","0.8620689655172414","1.090163934426229","0.8620689655172414","1.15","1","1","0.8695652173913044","1.14","1","1","1.14","1","1.15702479338843","1.25","1.16","1.18","1.18","0.9478260869565219","1.17","1","1.026548672566372","1.11","1.27"
"CAR 2:0","1","1","1","1","1","1","1.12","1","1.18","1","1","1","1","1","1","0.8695652173913044","1","1","1","1","1.14","1.48","1","1","1","1.12","1","1","1","1","1","1","1","1","1","1","0.9090909090909091","1","1","1.13"
"CAR 3:0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.8695652173913044","1","1","1.15","1.25","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"CAR 8:0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.33","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0.7874015748031495","1","1","1"
"CE 16:1","1","1","1.48","1.95","1","0.7518796992481203","1","0.4651162790697674","1.91","1","1.63","1","3.14","1","2.128048780487805","0.5780346820809249","1","1","0.5263157894736842","1","1.66","1","0.7194244604316546","1.67","1","1","1","1","1.83","0.5","1","0.6369426751592357","1.44","0.6535947712418301","1","1","1","1.71","3.1","1"
"CE 18:1","1.36","0.6993006993006994","1","0.6666666666666666","0.5780346820809249","1.47","0.3875968992248062","1.188524590163935","1.28","1","5.25","1.23","1.139130434782609","1","1","1","1.63","1","1","1.31","1.87","1","1","1","0.9594594594594594","1.42","0.2325581395348837","1","1.308411214953271","1","1.19","0.8695652173913044","4.418181818181817","0.7633587786259541","0.6756756756756757","1","1","1.46","1.28","1.042735042735043"
"CE 18:2","1.735449735449735","1.289340101522843","3.089552238805971","3.825892857142857","0.1519756838905775","0.8804347826086957","1.905660377358491","0.692929292929293","2.352631578947369","1","2.641148325358852","1.885106382978723","1.12094395280236","1","2.436781609195402","1.443971631205674","2.526946107784432","1","0.3338509316770186","1.040229885057471","1.957446808510638","1","0.5019157088122606","1.040462427745665","0.8986784140969163","1.893854748603352","0.3505338078291815","1","1.199619771863118","0.3224299065420561","2.428571428571429","0.447986577181208","1.18421052631579","2.856733524355301","0.4098360655737705","0.5470588235294117","0.2873563218390804","1.180981595092025","1.542124542124542","0.5806451612903226"
"Cer 34:1;O2","1","1","1.79","1.38","1","1.47","1","1","1.43","1","1.3","1","1","1","1.46","1","1","1.47","1","1","1.34","1.76","1.3","1","1.63","1.32","1.43","1","1.64","1","1","1.31","1","1","1.34","1","1","1","1","1.28"
