sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26
JV-015-RAN-IC-M2	1	4.286303227226768	-2.4495700347512184	1.452106794015639	0.5729305949989941	0.6867154820810784	0.8500379325037363	-0.12019361901698605	-0.10206592895849087	0.2059004955766761	1.0510263695483497	0.3866068725054018	-0.6848546324842647	1.9167225301107365	1.5537195882263943	0.041281488341145575	-0.2662953981750747	0.3712642209318324	0.16392077387902554	0.26493907948279927	-0.8952242248018951	-1.245545863885786	0.6545028671166705	-0.06276994316305051	0.4586432293233259	0.43388372486492377	1.8041124150158794e-15
BS-007-RAN-01-M3	1	4.260477593397129	-3.2930940220927294	0.7309441567042573	2.210837509884322	0.6802411982945485	0.21553342848695134	-0.6991639426826033	0.8025623349318527	0.26046179497951383	0.08500426502140665	-0.38482500214338783	0.14331939498506177	-0.8283107090985484	-1.1113676075804377	-0.5552542410623781	0.7802622897460247	1.8031484960331372	-0.6626130450455238	0.01428696229828526	-1.669340934524438	-0.31333092080703	-0.3907818236751089	-0.27012329689106324	-0.18130501687833933	-0.453582333979994	1.8110513089197866e-15
BS-007-RAN-02-M3	2	-22.654961013559394	-12.296762069494715	-4.154308326258689	-3.6970455277476213	3.944783305644089	0.6898951491413776	-0.40592079751719723	-0.40385576588697103	-0.6360956781320272	0.12283157266302464	-0.07412383237380708	-0.009666590043044543	-0.05986119350572839	0.028972424287832185	0.051607633223810984	-0.004787927866878864	0.07657450918544523	0.12542537109721105	0.017078359438013016	-0.03947887525423077	0.013699308056067571	-0.00774844694381137	-0.015323400320674564	0.0013184606509379256	-0.0042233064359801335	9.992007221626409e-16
KT-004-SOC-16-M1	1	3.1144790442562957	-2.301398734741719	-6.6827245779888305	2.1239950416939815	-2.931115532602194	-3.1541075245392087	1.9257922703549166	-2.606296589282148	2.514385151344666	-0.6422294100256888	-0.06322185964146995	1.6645912089696435	-0.0061154677683008165	1.2421189553127308	0.33087125162067227	1.5508109081710224	-0.5189636774416326	-0.546621212033095	-0.11085257388624299	-0.09463869005492574	-0.015177403577625445	0.05565239007804007	0.1250506479709556	0.0780009228510053	-0.0027677003846752297	1.0547118733938987e-15
BS-135-RAN-IC-M3	1	4.074930848912196	-4.227513643699443	-0.44562359944668084	4.017228378693998	0.7650964438789655	-0.02143665395002385	-1.649704660644699	1.76274018665812	-0.05292441806438451	-0.1329726194447311	0.3727213496332395	0.06532558138540066	-0.15126953824904196	-0.43601480692976513	0.2898666202958434	0.6072113490293545	1.3270576357980512	0.5197912902446492	-0.5629095954783983	1.1870480452302785	0.0733119619243775	1.0986976040011682	0.22175557437810928	-0.6238328419703564	0.08378687236913386	1.1934897514720433e-15
JV-070-DAV-07-M3	1	3.9675961433365194	-1.9730875017782898	2.8665218405897064	-1.5271135256722277	0.5405702745098588	2.005916203258467	0.8417992561026413	-0.5772107791437686	0.4888227680563128	1.9229031919817068	0.013145231016626912	0.14868244109234985	1.6759671051433416	0.97851959391071	0.3724732115434941	-0.28099792178493144	-0.7877881038297918	-0.7498651581157794	-0.037030412720033615	0.3969683912311775	0.10137220052257963	0.34735921983870766	0.7498147448761239	0.02169504751017651	-0.7144938025336406	3.0531133177191805e-16
JV-036-SOC-10-M2	1	4.360472997973096	-3.2888960895747728	0.8735959186732712	2.418331772361749	1.2596820381277856	0.40921000289461507	-1.1928399533603529	1.1273303653948794	0.7752976453810664	0.9814352381412867	0.7518417807644664	-0.7581181778432762	1.4614810282326252	0.9687021015953645	0.676156545211527	0.6007058238010398	0.5591469726520405	0.7299196891000789	-0.9158878302324265	0.6667299304955439	0.6414914445772631	-1.2185509980425098	-0.3665529375918577	0.46001842328467457	0.06754776920978939	1.7763568394002505e-15
BS-126-RAT-05-M2	1	3.6369934670497344	-2.493034119521402	1.3902695687780395	0.14324072013214578	-1.1018719082586546	0.6266147611437595	0.6764992733274979	0.1134711084128285	-0.6444389502692031	0.7962295280116147	-1.0210669477493781	2.813965056405813	-0.9879004029366575	-1.2932718795358076	2.073225301570434	-0.4029907962128363	-0.6940465724867121	2.2427921203612375	0.37650038066910363	-0.3867025680139929	-0.08353342638320435	0.003889197172301847	-0.01839182754713148	0.1473551417812529	-0.033796594400506606	1.908195823574488e-15
JV-070-DAV-04-M1	1	3.8257014171456505	-4.786418024377807	-1.0668584530328953	5.119498103436189	1.5890655988389923	-1.0104468499914174	-2.7835342396238447	2.334750568098196	0.4428102841514858	-0.9829850638271044	0.8151103849502958	-0.8784149096154827	-0.7465350724005685	-0.4071233045617997	-0.3769890653927301	-1.2606215669483747	-2.386295357956004	-0.6363564874890185	0.6776195092395083	-0.21523368754805286	-0.01002140360243356	-0.09858846130657882	-0.025921982180955695	0.001628197079108875	-0.011931348891080266	1.1726730697603216e-15
BS-356-RAN-03-M4	1	-1.1249896769814003	6.762442641161822	-1.0028325145252572	-3.0202272734318165	1.2069961749957885	-0.12588567038785506	-1.622722802788246	4.030254954572971	1.7700570749704034	-0.8248296995214411	-1.0522231231617516	2.6835233998968815	-0.6911147563446265	2.090483925972425	-0.7674125064647137	-1.209634871390677	0.5071551308231985	-0.09782474817998811	-0.4893702741041027	-0.09550350482979919	0.14793986815224613	0.03474378868989318	0.014174434365439399	0.03773887130921109	0.006060175534748642	1.2212453270876722e-15
