feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34
DG 32:1	1.331103239729973	1.5261062168436443	0.03270487496884761	0.6979856730065651	0.7952857270696646	0.007799523462379524	0.04023715982909008	0.2992495863812758	0.11314073934568511	0.02481570897563561	0.05155666097416036	0.008865218277607546	3.8787142401209036e-5	0.004943826170762268	0.21839944107929035	0.0013301889084150415	0.0055332234171533426	0.013688448280210383	0.031271091407888786	0.008499582673267796	0.010866983672741234	0.09301555908126957	0.024286895078429578	4.68869684791179e-4	9.885325508665742e-4	0.013546405811990696	0.005442397129486405	0.006308020355629641	0.09564955488286023	0.02924664612433146	0.03171022388104611	0.01546593286054297	0.09798199926164236	7.030443907439682
DG 34:1	1.5903866978015806	0.39119340155254106	0.6182601104150882	0.17880482793859184	0.2161582121445861	0.1977077529552325	3.42272685536241	0.12043046515839485	0.012117275810710001	0.0021464824361197127	0.03590014292869183	0.043727927690362274	9.20001313800881e-4	0.010520395138520797	0.05380585556453597	0.0037308993049126995	0.059716139381632796	1.0020228262881472e-4	0.011067998868737446	0.014248074768796274	0.020135766086555786	0.0987956499746382	0.021561555482635268	0.012442881650412633	3.710262439645906e-4	0.022964464545428873	1.4078384552118075e-4	4.2303367384133116e-4	0.04962505186970375	0.05763952450243505	0.0024935972071937706	0.003924430689631994	0.15588343933947135	1.4595925359393784
DG 34:2	1.333523166116485	1.50154818353265	0.03948038965739422	0.6777455409152577	0.8729843620932857	0.008699965928600766	0.045746314769493306	0.30896809552453125	0.11076667803622134	0.023915423440197814	0.04924317854411284	0.008207797150917961	9.964999031541857e-5	0.005326154754707733	0.2278748002455471	0.0011570295455616436	0.005904573227697032	0.014898689712350753	0.03229086276256418	0.008547833086538016	0.01204550082981273	0.095564104150256	0.023856265527188274	4.200266935659684e-4	0.0011491154082575454	0.015505538130161294	0.004247681675849877	0.005553575050942116	0.09755657307205642	0.02845154888985462	0.030767393639817796	0.014370909757650124	0.09781227190148163	0.7112083359802102
DG 36:1	1.1621664618097926e-4	1.7961279001442536	0.23128132672754712	0.016189832214179852	0.36298428763792395	2.314797807083089	0.14371817140751494	0.3864944103054446	2.198026877275389	5.520278173793802	0.5376174306300764	1.7014423392349276	2.315426672286475	7.1678457099835295	6.0074907196615985	0.03548790494494674	0.8758623679594553	6.895991222668613	0.009080202215118724	5.777555472826956	7.210103856882981	1.0988001379218313	0.11733880139220146	0.015552495636227216	0.27926943066647963	1.7466460425867585	0.02918138888778534	0.7825795030195901	0.4105512503839042	18.756018904946327	6.528173342578057	5.05280560557074	0.2753285027794937	0.6012431143577747
DG 36:2	1.5866447939301678	0.3831671069884902	0.623243204454673	0.18780384267407885	0.23019454216415175	0.19971302307134914	3.4651539694679325	0.118247557934211	0.012981145287727293	0.00205694039480564	0.03716623655338264	0.044688990347925686	9.160129747476176e-4	0.010508365448331225	0.052261271921347816	0.003812424385142741	0.06020811286514106	7.463509195178094e-5	0.010842825039191734	0.014251144498002657	0.020060991573038638	0.0983027739028467	0.021478304306111244	0.012604461416094746	3.9476986815602363e-4	0.022821174626641464	1.4687835883758099e-4	4.110017802877089e-4	0.048976489994525675	0.05780619657480002	0.0023790511959124977	0.0038706830609857505	0.15591268980145553	3.554930573608863
DG 36:3	1.3365676056294529	1.460843023221012	0.05188965903125783	0.6448677426577634	1.0070670340437624	0.010270331376507258	0.0554722186751273	0.32496231379199136	0.10686790301016333	0.022464561867435045	0.045545509731732846	0.007183003705564339	2.596230509809884e-4	0.005977528207039393	0.24362614936326046	8.994097044667002e-4	0.006532935393230997	0.016975232118598173	0.03396938086722692	0.008621077824551975	0.014092403253009549	0.09973490768117467	0.02314495767761578	3.4574991423427223e-4	0.0014365661845807246	0.01897894617410171	0.0026117136630027815	0.004420994718364889	0.10064471986236637	0.02715715912339339	0.029237190169454773	0.012659241453481402	0.09746848384401931	0.9298626351427782
DG 38:3	1.3292169713636124	1.5426432579970386	0.028455413993331322	0.7117931519812788	0.7443712385198018	0.00721386057384835	0.03668524634345017	0.29267491978247673	0.11474902795916124	0.02543293629978355	0.053150900638386775	0.009325150284792093	1.3497354696591029e-5	0.004691061820678254	0.21203104387059077	0.0014545986573123576	0.0052865734991654634	0.012892227545591722	0.03058126753287875	0.00846530387988986	0.010098219166171768	0.09128521267885142	0.02457752963045403	5.035342754432134e-4	8.860509151979634e-4	0.01228721092793337	0.006338340782346878	0.006847371829570314	0.09434607256464937	0.02978829265642677	0.03235375673426286	0.01623075314659568	0.09807970157856691	5.321591151260206
DG 38:4	0.5466829476100661	2.8972367819083242	0.0024193999394374072	0.06093993852394422	1.0828778983537777	0.06695651798756043	0.8755155500482112	0.052873969679905194	0.04103445897790399	1.0571813017678344	2.1859677468947583	0.35987779290952554	0.0780387365709132	0.018317484322322223	0.23023167475502201	0.569737083080853	0.1074038471599769	0.544197284209325	0.07599886155247895	0.4587267367665558	0.09036330190828576	0.36598350099652543	0.17260207416597736	0.09589945697180054	6.425213703707351e-5	5.125736388503226e-4	0.821042889442765	0.1213354153822484	0.0015927253229519613	0.05338077552611615	2.3153360631277864	1.5699210987404855	1.2420199823453535	0.4831160489690056
FA 12:0	0.16148148536566764	0.16760345844912652	3.1458134776216125	1.2852789112920477	0.752240450725983	0.13109473145001127	0.46511248865598886	2.3699854281397448	13.237955236562298	0.5823322536703891	3.597763374011727	2.8223641801158794	0.03937148879588024	0.5500342709645246	0.3267338969037185	0.15866431481400825	0.9293167713947368	0.663992138948504	0.0327398743860198	0.477432081069773	0.4458449987374216	0.05211989944032481	0.28504609347292104	0.3903043385935684	0.10238864356480622	0.03539172131851426	5.451665369141074e-4	0.3191599291513409	0.614015514504572	0.6369732210040582	0.19351235416098303	0.5585982507928523	0.0013553855037408604	4.293585030953632
FA 14:0	0.022714251008642404	0.0012657118566178093	5.980912920412521	0.38809641305921616	0.061588787898168025	1.0484333426894525	0.8977409957680016	1.0002643544623107	5.6920433876570975	2.694222266185446	0.25437151362015364	1.9752919047926674	2.8111302441190404	0.004553212134989187	1.9361761495128444	0.037103894879381434	2.2002567722452064	0.15112915859111892	7.869507394844375	1.541296419738693	0.21570495496646097	9.302169600339997	0.5375417514616553	0.1805918148013433	4.32251207235003	2.238514202421648	2.7404607448334	0.2873771078136299	0.22766282910423405	3.082882017112896	0.0678030776768997	7.251748874106015	0.37541425621132607	0.003658489009799637
