"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43"
"PC 34:1","PC 34:1","1.89371","0.18887","0.85742","0.00113","2.60042","0.13235","0.07631","0.58479","0.10978","0.0279","0.024","1.30739","0.1462","0.39522","0.16924","0.07236","0.04584","3.49666","0.21104","0.90023","0.22445","0.21035","0.22316","0.21641","0.87442","0.00874","0.6951","0.28214","0.22877","0.32743","0.03376","0.17001","0.04261","0.00372","0.00073","0.10094","0.31469","0.40934","0.50854","4.45753","0.27253","0.15313","7.04497"
"PC 34:2","PC 34:2","1.60707","0.25332","1.25017","0.0261","1.54644","1.63924","0.00537","0.96741","0.18209","0.14794","1.00764","1.14389","1.00597","1.08574","0.15767","0.0229","1.18787","0.00067","0.01384","0.00386","1.28719","0.13241","0.25607","3.54921","0.0711","0.1442","0.13567","0.39215","0.01319","1.95943","0.00134","0.00323","2.62692","0.22415","3.41382","0.39119","0.17862","0.23063","0.21249","1.33035","0.98948","2.59863","3.71365"
"PC 34:3","PC 34:3","1.61453","0.88174","0.79251","0.25988","0.62352","0.00111","0.19904","0.37356","1.49459","2.85139","0.26322","0.02283","0.23705","1.87052","0.04612","0.64687","0.1496","0.2791","1.66409","0.43228","0.72246","0.20352","0.36783","1.9625","0.66716","1.0509","0.01365","1.07073","0.64134","0.22558","3.38288","0.02444","0.50176","0.59528","0.34763","0.82137","0.35327","0.2945","0.41984","0.25363","0.20679","3.01561","0.2486"
"PC 36:1","PC 36:1","1.13213","0.99457","0.53169","0.21162","1.43908","0.47658","0.80357","0.6955","0.11978","0.6475","0.16199","3.78441","0.7923","0.01714","0.86896","1.08248","2.65662","0.0899","1.40491","0.60119","6.005","1.19431","3.43172","0.16734","0.28129","0.75543","0.95563","0.57083","0.07267","3.09589","2.25197","5.82129","0.98461","0.55428","2.84225","0.80453","1.32516","1.12659","0.63053","0.06408","1.07774","0.07195","0.36772"
"PC 36:2","PC 36:2","1.95309","1.07344","0.03026","0.0522","0.42016","0.87515","0.07914","0.40637","0.34457","0.49144","0.34984","1.71707","0.01199","0.41002","0.03709","0.00477","0.11151","0.00316","2.9947","0.02367","1.57437","0.01942","0.74182","1.0395","0.10057","0.61082","0.03045","3.12416","0.00616","0.49317","0.37111","0.01785","0.00482","0.03408","0.39034","0.31933","0.20706","0.01683","0.43814","0.16858","0.71026","2.07684","3.48814"
"PC 36:3","PC 36:3","1.50586","0.58804","1.24182","0.19441","0.80792","0.00002","0.74549","1.27438","0.03059","0.68318","1.7423","0.21978","0.13603","5.0302","0.09705","0.58994","0.89144","0.05014","0.01544","0.28133","0.00407","0.5353","0.51595","0.03813","2.39706","0.5799","1.21577","1.2942","0.20932","0.10723","0.90657","3.24272","1.43767","0.66752","0.00677","1.43642","0.00355","0.85769","0.80541","0.02977","1.0732","2.42052","1.51412"
"PC 36:4","PC 36:4","1.71759","0.0059","0.21814","0.1926","1.80354","0.03298","0.22326","0.0011","5.50992","0.46453","0.17215","0.06875","0.26849","0.27288","0.15692","0.71482","0.23834","1.44685","0.22834","3.99317","0.03034","0.0551","4.8586","3.42819","0.45282","0.94223","0.00001","0.71432","0.01691","1.73372","1.03503","0.07832","0.00401","0.32786","0.04475","1.03096","1.3435","0.07249","1.16617","0.0232","3.86956","0.09","0.17926"
"PC 36:5","PC 36:5","1.11008","0.55393","0.14681","0.67151","1.89988","0.43097","0.07985","0.93265","4.15658","0.16449","7.12437","0.06108","2.08798","0.07068","0.0897","1.06071","0.03404","0.05543","0.03307","0.0928","0.45893","0.16749","1.42313","2.15689","0.01493","0.01132","0.00038","0.07391","0.09539","2.08836","1.3709","0.03297","0.19065","2.0738","0.14409","0.0002","1.00158","1.76542","0.99446","0.85823","0.29707","0.06182","1.63363"
"PC 38:2","PC 38:2","0.74524","0.53649","2.65349","0.0578","0.20849","3.28335","0.49993","0.24876","0.69658","0.6032","0.56212","0.63258","0.95956","0.52137","2.3447","0.23448","5.90364","0.40234","5.67936","0.87948","0.06583","0.14076","2.62698","0.88375","0.08861","0.5377","1.38255","0.69314","1.52526","1.52934","1.31856","1.21543","16.06915","0.20303","0.45688","0.11191","0.09477","0.55767","0.13155","1.10376","0.03094","0.12321","0.8962"
"PC 38:3","PC 38:3","0.37351","0.24151","5.57327","1.41984","0.01682","1.086","0.54685","2.62428","0.72228","0.41572","0.00205","1.167","1.54908","0.35449","0.10844","0.71497","0.30974","0.11136","0.4247","0.41294","1.12346","0.73854","0.02689","0.97588","0.69833","0.13849","0.54406","3.23354","2.06403","0.00116","0.20243","1.79942","1.23516","0.52923","2.48564","0.27955","0.01865","0.05502","1.71147","0.01067","2.3952","1.20238","0.80054"
"PC 38:4","PC 38:4","1.67468","0.00116","0.72008","0.02069","1.1073","0.25368","0.00251","1.0145","1.65287","0.47329","1.02252","0.04155","0.00131","5.8174","0.06937","2.3578","0.03725","0.212","0.01915","0.20921","0.45044","4.53781","3.37072","0.00147","0.04146","0.48546","2.5982","4.10613","0.68642","4.89014","0.40513","0.07403","0.77787","0.0827","0.12568","0.09211","0.4018","0.12701","0.00007","0.35737","0.54013","0.06912","0.13252"
"PC 38:5","PC 38:5","2.34404","0.00038","0.34622","0.00313","0.64716","0.51772","0.10221","0.00263","0.39559","1.1815","0.03413","0.1752","0.92254","0.22857","0.16452","1.51081","0.23566","0.00046","0.17332","0.01624","0.01722","0.78656","1.13416","0.3806","0.2243","2.95625","0.54684","0.17035","0.02688","0.04841","0.1046","0.49091","0.00957","0.44158","1.98953","1.21497","0.1976","0.60427","0.47891","0.06952","1.83298","6.46285","0.58028"
"PC 38:6","PC 38:6","1.54278","0.06017","0.00111","1.25928","0.96443","0.51608","0.90695","0.25687","0.07774","1.21957","0.41566","0.23286","0.31158","1.52502","4.94654","0.92878","1.79657","0.80331","0.04134","0.78611","2.08048","0.1643","0.19749","0.41745","2.04725","4.0285","0.71333","2.8741","1.62812","0.49198","4.55647","0.00105","4.46568","1.24274","1.41464","0.153","3.19825","0.00006","0.23639","0.27015","1.08093","0.28968","0.24207"
"PC 38:7","PC 38:7","0.08482","0.00976","0.03149","1.18547","3.4518","0.06053","1.62585","1.1685","12.20621","5.4945","0.5918","2.82642","0.87686","0.3456","0.39083","0.04397","1.24466","0.16694","1.35693","1.09966","0.65231","0.01689","1.08182","0.81131","3.7016","0.4604","0.07251","0.34353","0.14916","0.22055","1.39789","0.20638","2.0291","3.53452","0.02176","6.50654","0.80722","5.09741","4.84562","0.32811","0.10478","0.30353","2.01632"
"PC 40:4","PC 40:4","0.74927","0.01154","2.51635","1.56124","0.09384","2.78941","1.02904","1.10183","0.02954","2.67941","1.19485","0.63741","0.00016","0.77583","4.16486","3.59037","1.02332","0.00449","0.90372","0.01107","0.04447","0.13785","0.00459","0.13924","2.43381","0.96715","1.7226","0.02201","0.35195","0.43269","0.01711","1.05952","0.1971","2.80441","0.00007","0.02213","0.02857","1.7645","0.11178","0.12131","1.90633","0.16043","0.20715"
"PC 40:5","PC 40:5","1.69158","0.01119","1.15306","0.24904","0.78897","1.75835","0.02352","0.16917","0.67851","0.65977","2.52319","0.25981","0.32792","4.22264","0.16261","0.94349","0.63393","0.01009","0.02804","0.02265","0.56162","0.02993","0.61901","0.29152","0.06978","0.17175","0.09739","0.01489","0.02832","2.44901","1.11987","0.0255","0.15069","1.04256","2.58833","0.05437","0.21683","3.33922","0.31601","1.06161","3.91479","0.23984","0.02841"
"PC 40:6","PC 40:6","1.49481","0.30174","1.04166","0.05906","0.49614","1.5023","1.66941","0.52501","0.02843","0.55316","0.01315","0.05827","0.01967","7.51757","1.63412","0.0298","1.42879","0.00311","0.48264","1.36528","0.68329","2.61289","0.25995","1.46516","0.03518","0.03936","0.14651","0.04765","1.59944","0.08033","1.44833","0.5308","0.03175","0.06841","0.54107","1.37824","0.00194","0.01534","0.00096","1.08234","8.97404","0.01887","0.02259"
"PC 40:7","PC 40:7","0.64381","1.94673","3.38864","0.00009","0.00299","3.0963","0.29786","0.04891","1.29034","0.01008","0.50552","0.08525","0.00049","0.0619","2.89587","0.06791","0.46025","0.01147","0.00098","1.18463","0.41439","0.06918","1.18482","0.02762","2.07315","0.02819","0.85882","0.04094","1.97825","0.0485","1.29953","1.84166","0.00018","0.31729","0.88467","0.98264","0.21878","0.00255","0.01138","0.0054","0.11793","0.00307","0.00952"
"PC 40:8","PC 40:8","0.57549","0.01475","0.79714","0.46039","1.69045","0.08681","0.27227","0.66371","0.17101","6.77957","0.88178","7.1818","0.68602","0.23863","0.09999","4.75399","4.57573","0.07665","6.07439","0.62956","2.45517","0.26791","3.78727","7.02687","1.7794","2.77878","0.11466","0.29232","1.76611","0.21268","1.02299","0.00409","0.15892","0.62977","0.82319","0.77275","0.00587","0.35933","1.19629","4.10461","0.75214","0.00629","0.00366"
"PC O-32:0","PC O-32:0","1.47521","0.00289","0.93056","2.66899","0.79314","0.11742","0.00613","0.00032","0.18695","0.6184","1.1803","1.6723","0.01228","0.60314","0.03231","0.62272","1.94113","0.07509","0.62688","4.34026","0.83161","1.07648","0.00207","0.27682","0.46783","0.12609","0.00438","0.60728","0.65776","1.28942","0.14936","0.194","0.11286","0.08353","2.73068","0.84403","0.17223","1.02899","0.00993","0.01318","0.76149","1.01599","0.15192"
"PC 32:1;O/32:0;P","PC 32:1;O/32:0;P","1.33434","0.01589","0.55443","2.22879","0.07115","0.06993","0.00863","0.37399","0.69767","0.07376","0.51564","2.4748","0.14317","3.12158","0.45464","1.50628","0.02111","6.52692","1.04308","6.89164","0.99496","0.04445","0.00351","1.75944","1.34889","0.10275","2.72597","0.2275","0.68469","4.05535","0.37964","0.45223","2.2493","1.51925","1.63496","1.5089","0.13382","0.13814","0.05031","1.71124","1.35701","1.66605","0.65779"
"PC 34:0;P/34:1;O","PC 34:0;P/34:1;O","1.57627","0.09725","1.81242","1.09164","0.83481","0.2398","0.01129","0.08916","0.00214","0.77327","0.11682","4.45663","0.32254","0.22303","0.10747","0.13255","0.1482","0.09237","0.06127","0.23702","1.23674","1.44675","0.04266","0.18459","1.43526","0.98458","0.86341","2.01666","0.03264","0.81436","0.02442","2.24782","0.07015","0.1044","0.21563","0.01258","0.60452","1.92885","0.1869","1.01755","4.30456","1.23988","0.00359"
"PC 34:1;P/34:2;O","PC 34:1;P/34:2;O","1.80524","0.02031","0.28018","1.17003","0.09207","0.03883","0.89938","0.75364","0.2414","2.0498","0.57388","0.41856","0.18362","1.33053","0.63685","0.25063","0.0454","3.58884","0.16451","0.1059","2.8594","0.00818","0.08272","0.37599","3.42216","1.07091","0.02575","0.11133","0.40868","0.11119","9.50553","0.06352","0.27808","2.98938","0.65939","0.11353","1.35679","0.07282","5.55935","0.19619","2.75088","0.34363","0.09906"
"PC 36:1;P/36:2;O","PC 36:1;P/36:2;O","1.49556","0.10546","0.32214","1.58971","0.00104","1.52464","0.68813","4.0717","0.81794","0.16343","0.06341","2.46943","0.07712","0.08447","0.87218","0.03979","0.25845","0.56259","0.08992","1.94076","0.78285","0.09761","0.89046","0.79122","0.94058","0.31881","0.14266","0.2068","0.04577","2.10959","0.50277","0.08775","0.0709","1.98268","0.92805","1.01304","0.02965","0.02559","0.32698","0.04718","0.62987","1.42123","0.08683"
"PC 36:2;P/36:3;O","PC 36:2;P/36:3;O","2.0584","0.12548","0.03153","1.73245","0.00683","0.00132","2.53791","0.10833","0.63409","0.24767","0.1303","0.05443","0.00104","0.40099","0.05271","0.04446","0.05048","2.01625","0.10139","0.03019","0.48852","0.00235","0.00172","0.0041","0.0018","0.00313","0.00121","0.33116","0.06842","0.18002","0.37506","0.00046","0.67289","0.26537","1.4128","0.45856","4.42033","0.00417","0.00582","0.45035","0.67446","0.07224","0.0473"
"PC 36:3;P/36:3;O","PC 36:3;P/36:3;O","1.74636","0.49926","0.36377","1.64888","0.09778","0.02368","3.60062","0.6958","0.64821","0.03702","0.05983","0.03912","0.00143","0.00013","0.11448","0.12448","0.07785","0.70066","0.08533","0.47246","0.00618","0.14193","0.03376","0.0325","0.39172","0.04196","1.42992","0.00387","0.02524","0.16047","0.23761","0.04036","0.07075","0.01707","0.2291","0.03716","0.79898","0.01938","0.01944","0.69026","0.30563","0.15514","0.01786"
"PC 38:2;P/38:3;O","PC 38:2;P/38:3;O","0.99718","0.10366","0.05015","3.5166","0.0666","0.11046","4.26789","1.87047","0.01873","0.10161","0.47584","0.91252","0.02492","0.42603","1.97217","1.13862","0.34229","0.39474","0.50543","3.63137","0.09007","0.27249","1.91718","0.09414","0.64112","0.017","0.00015","1.98496","6.71516","0.01547","0.80389","1.65588","3.336","0.00138","1.64336","2.45579","0.0001","0.00107","0.00277","0.09129","0.46105","1.23969","3.22784"
"PC 38:3;P/38:4;O","PC 38:3;P/38:4;O","1.51189","0.52107","0.1377","1.89584","0.05084","0.06027","5.89766","0.38628","0.8926","0.00219","0.14297","0.0102","0.04809","0.03086","0.02586","0.51792","0.0697","0.00723","0.00001","0.20637","0.00173","1.14096","0.03186","0.00488","0.07208","0.4124","0.33717","0.00141","0.13634","0.26245","0.77627","0.25296","0.00363","0.14204","0.33132","0.20367","0.04594","1.44655","0.01939","0.00805","0.52309","0.33473","0.53675"
"PC 38:4;P/38:5;O","PC 38:4;P/38:5;O","1.21628","0.47921","0.58038","1.14386","0.54777","0.59567","5.68447","0.68899","2.79772","0.01897","0.09891","0.06236","0.0767","0.02733","0.04536","0.17075","0.05393","1.14721","0.10342","0.37478","0.03831","0.30092","0.02071","0.63764","0.23122","0.12362","1.39553","0.98806","0.81344","0.012","0.28666","1.12409","1.01421","1.92916","2.75405","1.30282","0.9781","0.09028","4.03233","1.81656","0.07995","0.69527","2.03555"
"PC 40:3;P/40:4;O","PC 40:3;P/40:4;O","0.3785","0.34172","0.02364","3.50225","0.05654","0.2845","5.78157","0.45024","0.15581","1.67991","5.17679","0.1198","0.00698","0.02141","0.97312","1.39342","0.51447","11.44697","0.08075","0.01329","0.13345","0.31296","0.99825","0.03635","5.4276","0.01392","0.21311","1.57141","0.72423","1.2063","0.68468","0.06773","2.42987","0.0477","1.29999","0.55074","0.03402","0.01509","0.67857","0.34838","0.12386","0.04149","0.03418"
"SM 32:1;O2","SM 32:1;O2","1.72981","0.58103","0.01052","0.0368","0.1677","0.36579","0.73188","0.40418","0.01167","0.09119","0.92273","0.28005","0.18477","5.65412","5.82301","0.07455","1.28428","0.73689","0.83004","1.80254","0.00763","0.01163","0.56116","1.72402","0.5762","0.36687","3.43503","1.55571","0.78838","0.42403","2.1334","2.25586","0.41618","0.92501","3.35219","0.54342","0.55156","0.09586","1.01118","0.04931","1.49913","0.00046","0.03407"
"SM 33:1;O2","SM 33:1;O2","1.77142","1.0482","0.33449","0.01354","0.28144","0.04519","1.81865","1.45342","0.00024","0.06996","0.04324","0.00656","0.10076","0.06666","1.84847","0.0371","2.04728","0.06453","0.05762","0.85732","0.14887","0.36487","1.26707","5.22836","0.16161","0.01409","0.91849","0.20032","1.76764","0.74878","0.09438","0.4205","0.96381","0.06881","0.12103","0.82903","0.02396","0.44596","1.0648","4.26709","0.13259","1.80562","0.12485"
"SM 34:1;O2","SM 34:1;O2","1.98754","1.42496","0.45787","0.02035","0.0136","0.00075","0.00829","0.29266","0.07878","0.58606","0.13073","0.01798","0.0206","0.84428","0.04584","0.00855","0.6645","0.11478","0.00025","1.10015","0.42074","2.23913","1.11326","0.85658","0.09395","0.00997","0.18385","0.04554","0.52725","3.14446","0.90375","0.51739","0.17092","0.03798","2.11489","1.87145","1.64506","0.21078","0.08113","2.74504","0.47506","0.00098","5.51819"
