"","KT-612_D0_D60","BS-346_D0_D60","BS-671_D0_D60","BS-336_D0_D60","KT-313_D0_D60","BS-377_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-412_D0_D60","KT-445_D0_D60","JV-138_D0_D60","KT-352_D0_D60","BS-364_D0_D60","JV-148_D0_D60","KT-515_D0_D60","KT-663_D0_D60","KT-537_D0_D60","KT-695_D0_D60","KT-705_D0_D60","BS-082_D0_D60","KT-880_D0_D60","KT-716_D0_D60","KT-522_D0_D60","JV-157_D0_D60","KT-247_D0_D60","KT-926_D0_D60","JV-035_D0_D60","KT-312_D0_D60","KT-718_D0_D60","KT-193_D0_D60","KT-805_D0_D60","KT-417_D0_D60","KT-525_D0_D60","KT-539_D0_D60","BS-064_D0_D60","BS-351_D0_D60","KT-347_D0_D60","KT-538_D0_D60","KT-434_D0_D60","KT-974_D0_D60"
"PC 38:4;P/38:5;O",0.548099985306891,1.35610037026552,0.373273396775759,0.218308258896857,1.64922470134901,0.578892630224387,0.419401251025798,0.636555797332668,0.921887127810826,1.53450883542098,0.0479300663976669,0.325804116789684,1.56769255900813,0.492818566551956,-0.163045898020012,-0.531574929250962,0.00364710571393271,-0.891763814083515,-0.0807091224970595,-0.797559612230027,0.00870474882491459,1.81444722757182,-0.397861560175405,-0.818163585581198,-0.775672453136595,-1.51287527467278,-0.794890151948278,-0.578694585559455,-3.64553234370184,-0.494259103228095,0.582839107636714,-0.138240938654602,-1.3931826145587,0.743722198693919,0.0479300663976669,0.35137699878669,0.105810753591599,-0.326006403093152,-0.194205573345071,-0.794737906636644
"SM 42:4;O2",0.731809079551302,0.320738490212226,-0.00238292190038442,-0.800915103448543,0.522785837752959,0.678465394395798,-0.881066154415253,-0.0012419805638949,2.19778276845248,0.88292333081424,-0.044102457273479,-0.0688648640360914,-0.73473154931098,-1.76838518597702,-0.0296452095937113,1.76873786531398,0.0921726626489055,0.0921726626489062,0.208355696385782,0.50472217348025,0.917158518460785,0.160817277826543,1.84755653181702,-0.00626293250708877,-0.289898075135967,-1.85147002982571,-1.64251419223556,-0.74425098092689,-2.48088187062498,0.062410617370443,-0.102907574344927,-0.204236055281955,-1.35039077303685,0.545702047323721,0.687785338486491,0.301404949494416,-0.992361750165273,-0.160686856136512,1.59036552952084,0.0433297447839847
"SM 37:1;O2",1.65280350881292,-0.154281243127745,-0.154281243127745,-0.143961926349836,-0.17117962372989,-0.9173632087944,2.13660009627051,0.0562244778035835,2.32957320541845,1.10382838970382,2.18449033217309,-1.61658609581946,-0.256006387679724,-1.28819291386912,0.345129053195274,1.65280350881292,-0.154281243127745,-0.154281243127745,0.398731329711615,1.48143861653139,0.446271090763806,-0.154281243127745,-0.397570671372263,-0.154281243127745,-1.83805016408963,-0.154281243127745,-0.160698177739483,-0.154281243127745,-0.154281243127745,-0.0760806829650685,-1.16650998917117,-1.18922946071466,-1.10107372969658,-0.569888288146238,-1.12680064563673,-0.319718322243428,-0.154281243127745,-0.154281243127745,-0.104331558694584,0.352441911920081
"CAR 18:2",0.480161746869103,-0.204616081436709,0.0980424729811771,-0.322218430244127,-0.351741598411409,-0.389390602515505,-0.538182549118825,0.319263837557247,4.0497260754571,1.84483935880347,-0.547283683194139,-1.14784105450642,-0.403297209755547,-0.236073540026006,1.18573714353949,0.179561847265881,0.396135364366961,0.841457488965561,0.430778162114389,1.14542515912918,0.318010182000591,0.383511926667139,-0.597309064232789,-1.02040100401294,-0.333411843131027,0.135078071466177,-0.340372323182497,-0.333411843131027,-1.06295905062902,-0.248587316786256,-0.307552990172766,-0.769036026265478,-1.62379151099516,0.111964879631181,-1.38830834908083,-1.40904994142003,-0.333411843131027,0.31064758043341,0.364828245051409,1.31307831308006
"CAR 16:0",0.504188055634803,-0.299567258114076,0.147189849609162,-0.232355933505505,-0.413723419021676,-0.218484292234955,0.0689226689531807,-0.267006947018317,3.29537269576968,2.02075749782299,-0.640906316243349,-1.19405559169276,-0.357447362673718,-0.771481931331752,1.37253591947949,0.305531778824967,0.25476884816802,0.743168200317405,-0.195382728379828,1.00192570184409,0.364401402867354,0.843699296378921,-0.699026341973904,-1.28904348002326,0.203550638514017,0.25476884816802,0.143782148765795,-0.392427712194226,-1.14070287756779,-0.293877665170471,-0.0379294433207855,-0.514477086966382,-1.68578810435951,0.219411161432087,-2.31597730959374,-0.927334936077487,-0.392427712194226,0.600983459292905,0.368479457709486,1.56598682010535
"CAR 18:1",-0.0663760951431109,-0.39421190383965,0.148814351640297,-0.526610109918678,-0.314655937354991,0.364534521845123,-0.178199301405392,-0.0219370848358012,3.42832398530846,1.55287720809698,-1.10973173624094,-0.0820253053422303,-0.80736352541267,-0.582755189014097,0.783882535162034,0.119819283311323,0.684568825728331,1.09379798855038,0.283172633319434,0.59484482106169,-0.88883561733017,0.553052495509476,0.202910063029837,-1.45089521250533,0.429081054577153,-0.520078231014153,0.0728046800387938,-0.896186959640581,-1.17902527255384,-0.243000399841073,0.546169432872404,-0.0929775315975391,-1.80877641835874,0.0124343174859206,-1.90770059392894,-1.18565761743572,-0.1256271982876,0.994644984578839,0.809285216498555,1.70760884238622
"PC 36:0",0.0521591196219956,0.0521591196219956,0.0521591196219956,-1.79168706430517,0.0398223547648358,2.95991747403879,0.405357741352828,0.580765980513946,1.86551206701834,0.970649658461,-0.0917864246619859,-1.01540537320589,-0.0221059367727617,0.117672255975042,-2.36740453623443,-2.09392335391502,-0.381322372138923,0.0521591196219956,0.0550947658493769,1.24632628604502,0.490595979465132,0.0521591196219956,-0.12545579740174,-2.33877289592779,0.0521591196219956,0.0521591196219956,0.0474743977381288,0.0521591196219956,0.0521591196219956,0.109249911049824,1.12652835517021,-0.703411079695552,-0.639052455636452,0.539483558108432,-0.657834546058377,-0.0686192195430292,0.0521591196219956,0.71001846464969,0.0886251885341267,0.422095420542433
"PE 38:4;P/38:5;O",0.282884934579042,0.282884934579042,0.282884934579042,0.28513183070162,0.279205533445229,0.11673382721731,-0.0829299540319241,2.20256355359443,-1.20433907925409,0.556821835308709,0.239953630871938,-0.0355128018461686,0.519185302256607,-1.58024266830325,-1.48957667951242,0.26279323506603,0.282884934579042,0.282884934579042,0.471843988261031,-1.53549761670568,0.413647342543408,2.21550329538856,0.229911846849319,0.282884934579042,0.282884934579042,-2.30039748197268,0.281487731081149,0.282884934579042,-2.11747500746748,-1.62572329357964,-1.63559041835078,0.0575385102746911,0.0767332665236346,0.0672786121234877,0.0711315674077025,0.246863176589063,0.282884934579042,1.78001441260132,0.293760824397363,0.393217267310131
"PI 36:2",-0.890020664270433,-1.2996431701855,-1.23161056479206,-1.26434678363673,0.311276387641087,0.613322433087965,0.222677404845632,0.354338762689257,-1.08137099572974,-1.17287508142408,0.277139152198619,1.81444004357705,-1.01990767881782,0.753228662884204,-1.09792867462379,-0.90465403806121,0.31447634928773,0.31447634928773,0.1200466104302,0.624224421531767,-1.59689101803242,-1.00802623860607,0.268405849531251,1.707500905781,0.308064448567978,1.31260171113057,0.224919283725279,0.925820789751098,0.31447634928773,0.262222078809737,0.197462046069052,1.84523472834876,1.53830722756758,0.23577492603036,-1.30401288010577,0.00389622009227186,-1.29833405924687,-1.41912085877198,1.31397759048705,0.410431973663525
"FA 20:3",-0.97205348340918,-0.97205348340918,-0.97205348340918,1.02892775025794,0.809403297295401,0.870648729082735,0.0216262898504034,-0.896239655300451,-0.0774910298281085,-0.518944147361523,0.559738165223372,0.331931809398443,-1.00868988734765,-1.89903277374039,-0.792190407984669,-0.97205348340918,-0.97205348340918,-0.97205348340918,1.83818021816451,1.01150247452403,-0.755764010560113,-0.97205348340918,2.03978426672649,0.74294169173172,1.89404513485958,0.207440014118009,0.585079489876227,1.35837925041827,0.64898471961172,1.26469178193107,0.361176739127552,0.300248363797014,0.549183142766635,0.719498758348483,0.328677708656521,-1.03163579890823,-0.97205348340918,-0.97205348340918,-0.954064058832276,-0.789556675220101
