"","KT-522D0","KT-193D0","KT-705D0","KT-974D0","BS-082D0","KT-539D0","KT-538D0","KT-695D0","KT-434D0","KT-880D0","KT-663D0","KT-537D0","KT-612D0","KT-723D0","KT-515D0","BS-671D0","KT-525D0","BS-351D0","KT-352D0","JV-148D0","KT-347D0","BS-064D0","JV-157D0","KT-417D0","JV-071D0","KT-716D0","KT-805D0","BS-364D0","KT-412D0","KT-926D0","KT-445D0","BS-346D0","KT-312D0","KT-313D0","JV-138D0","JV-035D0","BS-336D0","BS-377D0","JV-048D0","KT-718D0","KT-771D0","KT-247D0","KT-565D0"
"KT-538D0",0.830253951504933,0.843949990583157,0.883937652834054,0.911314470946846,0.898558638583697,0.882827173606486,1,0.896829825919459,0.835970152392202,0.850065408125911,0.915830310486528,0.91780554764211,0.919640553338157,0.922103873569964,0.919451528764949,0.879089820826077,0.849516791535599,0.835710106666028,0.882956188830282,0.883876949114821,0.918317871432589,0.850123764236713,0.822685076839067,0.888228816977028,0.836040144620394,0.920247589215528,0.884974736883305,0.883073202637911,0.891941924976936,0.86306125204787,0.887948777955799,0.906518810587072,0.887121357608022,0.86916238365793,0.907603820066313,0.876424788854663,0.872478569910886,0.906293504888863,0.905593293584707,0.822988643697729,0.923322492005631,0.856608789350945,0.78937641017215
"KT-537D0",0.821493400734763,0.830548038106991,0.875462051749796,0.953353075947911,0.932861681927528,0.892278612044401,0.91780554764211,0.949705216104126,0.863486891468738,0.892920043361414,0.909190739717195,1,0.90671515292644,0.945027018537683,0.959635873863954,0.955049235236128,0.852859637452573,0.851921415198502,0.942621401465411,0.928456557890545,0.955411604842885,0.873175795689117,0.798757857157168,0.886557975161327,0.847999975997312,0.923050150771493,0.875265907210225,0.954505768167635,0.941865140103488,0.875882098795065,0.918381613889731,0.946714351738327,0.883098257714065,0.918281867017635,0.909284295563245,0.851582377226249,0.952516396951988,0.903989534863368,0.920157339075299,0.808512553405981,0.918252108542327,0.848142169690115,0.789014002529827
"KT-445D0",0.848718241077172,0.827964248136583,0.85308510479089,0.924906237877526,0.901889011585533,0.928861605669469,0.887948777955799,0.904804766962502,0.839267551377494,0.874407426536632,0.876582325990907,0.918381613889731,0.920765699607253,0.915734045491855,0.92722853977694,0.935964020116103,0.828454242967128,0.915135240556783,0.902800530462595,0.875094886485203,0.884275650196543,0.885911879870172,0.857699208506604,0.87570545192973,0.786828485279348,0.901246347068954,0.89480095533457,0.907109038866586,0.917033961113422,0.831821659494586,1,0.894229471048565,0.86643104029211,0.877329420871987,0.89463925135344,0.809166054099863,0.893361096696721,0.912114156801982,0.857569338613426,0.830825544941407,0.881467301961312,0.903789781338838,0.813487110571028
"KT-412D0",0.805899349220978,0.768854111715876,0.83991010940803,0.951090495074369,0.934535471617089,0.909013990696965,0.891941924976936,0.964961760377348,0.803292608283427,0.833010792374381,0.932176182920561,0.941865140103488,0.915397747937554,0.945356732483712,0.949809324678655,0.934850703346092,0.813106825246331,0.824521293527479,0.894897282575219,0.872721217430961,0.883474201227532,0.850084309963879,0.754648312449203,0.834915510597308,0.752737823076674,0.904801480983271,0.850917066471272,0.939161638562493,1,0.811541761942519,0.917033961113422,0.94880826659418,0.85940083113039,0.928776740993049,0.893321771899716,0.754511032315396,0.958255823722141,0.887940113148978,0.906574134919215,0.780080049459879,0.875337167824253,0.826763479267188,0.741121228971351
"KT-313D0",0.850139068499937,0.816906395086975,0.876663706362717,0.916582404958414,0.929854512500634,0.869747457962391,0.86916238365793,0.918635666766889,0.787971436300904,0.826624941120889,0.910905883200115,0.918281867017635,0.902867498586367,0.935584046186631,0.933933816804739,0.895539673826606,0.831237060832872,0.816290220046066,0.899502236820511,0.865615530034488,0.873182133227649,0.827601622660805,0.813688338451942,0.895083620012182,0.831508107065152,0.929308022156456,0.878693866288171,0.925005475732886,0.928776740993049,0.892106621285279,0.877329420871987,0.943407322216872,0.918603151084637,1,0.913177713119145,0.820184702962228,0.955777251059844,0.90710575989901,0.937084632260308,0.776151242809998,0.896903288141359,0.863115383692182,0.764516506583315
"JV-138D0",0.874596073705297,0.900196822108898,0.939176822882007,0.894358949776547,0.902683808674561,0.8659587810164,0.907603820066313,0.908116882146827,0.832033172113342,0.859777191707216,0.896600558088693,0.909284295563245,0.944453612368701,0.914476625428223,0.921077503345254,0.893608084169774,0.874272409778812,0.890961133429784,0.91084421215377,0.871458060799539,0.887257681729573,0.93057780819812,0.880393527620804,0.920035043991177,0.878065611757994,0.917376002500431,0.930733203120985,0.912518414732289,0.893321771899716,0.871575845965514,0.89463925135344,0.908015697823541,0.930340989251447,0.913177713119145,1,0.859205386251045,0.890492421060212,0.925756462030631,0.930763206931469,0.878848704162912,0.933856599792377,0.93473551563386,0.796135555621144
"BS-377D0",0.90710303822383,0.931565951297176,0.947929324300615,0.930724409977633,0.934371043330593,0.883517954026756,0.906293504888863,0.913326292561209,0.867159723403315,0.855580958614726,0.835307072249726,0.903989534863368,0.916715672891965,0.907699554891872,0.909883825741811,0.88923159085786,0.922681108364835,0.900950203576245,0.943584681501315,0.911816858975715,0.921210702929281,0.917734033013729,0.915138495527974,0.961100993406646,0.873542216105487,0.966234218249838,0.974277964870011,0.885486174467481,0.887940113148978,0.924562777346892,0.912114156801982,0.874782102560501,0.961793950158717,0.90710575989901,0.925756462030631,0.904508591440538,0.908786510485516,1,0.941628112185043,0.901172227776883,0.946770719013019,0.928780382530787,0.874634711279396
"BS-364D0",0.790135976875357,0.799959195584721,0.853148112036724,0.950742596606021,0.941358432161349,0.882389121916386,0.883073202637911,0.947100757889431,0.840347682073313,0.874266409050461,0.915671290290956,0.954505768167635,0.895070359211151,0.933676377996373,0.941282366775462,0.941466619899703,0.838508459527377,0.880190221879477,0.912779708005545,0.904993504218083,0.921972324584846,0.880826295027892,0.802102648112477,0.895447603825087,0.849793726282347,0.907442078165223,0.86961583237887,1,0.939161638562493,0.881030318490592,0.907109038866586,0.935411959941522,0.87069151746563,0.925005475732886,0.912518414732289,0.825478930080674,0.947814685581221,0.885486174467481,0.908773687953666,0.791380008704563,0.903036976601355,0.834646000075817,0.765811770932131
"BS-351D0",0.866678868178154,0.883083606878226,0.885405165378522,0.896483853550268,0.878519758657648,0.902920835900192,0.835710106666028,0.869983048054442,0.840741207477617,0.870936383337661,0.776979345494791,0.851921415198502,0.856863821801778,0.811960119026473,0.824342691614585,0.888292158984843,0.891321175914804,1,0.895473979511674,0.851995535488525,0.858253848750462,0.93624285920023,0.918075578695682,0.916441142777632,0.840268110028323,0.868203843445904,0.910625185684353,0.880190221879477,0.824521293527479,0.847150880898661,0.915135240556783,0.79722650602399,0.876155500953547,0.816290220046066,0.890961133429784,0.844072536124046,0.833546358485307,0.900950203576245,0.849456784305308,0.881954778935241,0.890639767447937,0.924324616318983,0.867778587869983
"BS-346D0",0.796525600533681,0.760936093609361,0.83334433451446,0.905839606792184,0.889303598274625,0.868456661811314,0.906518810587072,0.935261943589734,0.817093514532465,0.844261090120354,0.964397799096544,0.946714351738327,0.942576051910144,0.967725094949898,0.96873921765897,0.925940594059406,0.779961355728005,0.79722650602399,0.868546671622387,0.883748979949391,0.902155748012526,0.820736998136577,0.762971163887768,0.843420342034203,0.793104069045596,0.904694611749325,0.839358526324966,0.935411959941522,0.94880826659418,0.837652791210948,0.894229471048565,1,0.849783527707178,0.943407322216872,0.908015697823541,0.769683586474022,0.942351543440722,0.874782102560501,0.89938942988563,0.740436486280875,0.886481945523476,0.808157362699736,0.709105037822087
