"","BS-671D0","KT-974D0","KT-880D0","KT-805D0","KT-771D0","KT-723D0","KT-716D0","KT-695D0","KT-663D0","KT-539D0","KT-538D0","KT-537D0","KT-445D0","KT-412D0","KT-313D0","JV-138D0","BS-377D0","BS-364D0","BS-351D0","BS-346D0","BS-336D0","BS-082D0","JV-071D0","KT-718D0","KT-705D0","KT-612D0","KT-565D0","KT-525D0","KT-522D0","KT-434D0","KT-417D0","KT-352D0","KT-347D0","KT-312D0","KT-247D0","KT-193D0","JV-157D0","JV-148D0","KT-926D0","KT-515D0","JV-048D0","BS-064D0","JV-035D0"
"PC 32:1",-0.760093958700776,-1.35107210075309,0.367905511279083,0.14490051166767,-0.550336903624989,-1.54416136116686,-1.08377437581653,-1.23342580727076,0.108373954299217,-0.121287553674828,-0.409733430597903,-0.803822750232964,-2.0033685389951,-1.92369546776368,0.0215252744004619,1.18023152643082,0.0442156626538806,-0.0651323184267445,1.00766827227096,0.499095111222873,-0.506314956056693,-0.318288293971616,1.93747885884177,-0.0844573136916795,0.351015950180599,-0.421513658048294,1.46306439846184,0.322492800877482,0.423035438929282,-0.559918580127435,1.0633991314019,0.49736395205924,1.0294152412349,0.393852868465933,0.213664259946067,1.3748967219882,1.19414857998411,0.330145345132405,-0.00842696856699154,-2.46875397392318,-0.337880605734775,1.46898151376099,1.11858803165523
"PC 34:1",-0.466107427871421,-1.95680878350318,0.334328278899818,0.980433460349222,0.216641529998176,-1.25483525053565,0.0103417254573819,-1.61997034428316,-0.608723548522614,-0.0538650439583178,-0.597261220876397,-1.08076923790832,-1.86719199064713,-1.6668601913018,-0.467734322836616,0.984030963085881,0.526268272022108,-0.0502910949542439,0.303339020504006,0.395979111756627,-0.303377496445799,-0.830438079271194,2.21863911843658,0.359765415087537,0.562485311205407,-0.386211690842241,1.39191987190044,-0.0862858586677538,0.000969988442548007,-0.77151266849944,0.78872321536949,0.842577819153946,0.520814367074371,0.0906799620434239,0.565868885022533,1.4107827119159,0.962754521396222,0.103721316019963,0.0303967902849109,-2.11632595442812,-0.384499418888905,1.36874610084207,1.59886186797375
"PC 34:2",-0.151036116468778,-1.84811244756252,0.0896269733138241,0.825840930106639,0.737286101130535,-1.32355163374806,0.267267991937572,-1.05880007804173,-0.528904338074364,-0.452769903476779,0.287681708358021,-0.936028670666408,-2.00371458740375,-1.02072076000537,-1.66674172432299,0.683317777750089,0.832193718504917,-0.466658768828478,0.032820580450176,-0.685589273940416,0.0221255334226928,-1.09546404933212,2.2429765402408,1.01061663632533,0.969999713401142,-0.380317157048716,1.1867274725473,0.169995163999381,-0.736165111682504,-0.467871400146373,1.24547088251651,-0.0388312871058306,0.419449173680223,-0.782829475441375,0.410458899572025,1.48334530963378,1.2250838629513,0.226509940543274,-0.305787122753611,-1.4457094131268,0.579953309229765,0.536155006853405,1.91070009270827
"PC 34:1;P/34:2;O",0.69347250125396,-0.375389253477703,0.85358557694939,0.0295296194790934,0.997501593716109,0.784500270266988,1.35741538302883,-0.516622792272002,0.653334011994637,-0.0698475898008333,-0.472238636700412,-0.0423175819409483,-0.58484169856257,-0.15446458116759,-1.23344960724332,0.822439288322468,0.563895802723257,1.23484295378782,1.14935521917002,1.16562723693787,0.521417825215439,-0.516622792272002,1.66869976269688,-1.40801357061332,0.841177455881007,-1.39158713145037,-0.15446458116759,-2.64256541995139,-2.42772157087404,-1.40801357061332,0.563895802723257,-0.242302432658944,-0.396562841985631,-1.34299786394801,-1.34299786394801,0.175160052654537,0.158496406547602,0.456197960474936,0.962355153681307,0.175160052654537,-0.272340665274697,0.926665190498807,0.240636925263936
"PC 36:2;P/36:3;O",0.421680815807687,-0.36902505852653,0.780745088387652,0.250693122510089,1.33312286262628,0.7072425810956,1.53483820507144,-1.28628368181136,0.832970229737039,1.56457422656878,-0.690361903891719,-0.0191357467794067,-0.84245646718838,-0.231241279439493,-0.221663867527583,0.0508951676843051,0.39138792836573,1.59398584863444,1.35452010682981,1.26238519831765,0.603668822092652,-0.319004354344668,1.88485865666916,-1.88788731350515,0.740901427985232,-0.0280189133595083,-0.535628704099467,-1.43205099832228,-1.95978593751219,-1.92359695632696,0.539559202787126,-0.75949488708386,-0.419991389473738,-1.65034671777377,-0.903317711178743,-0.379141538006262,-0.338901408623811,0.306283517083653,0.575363694722136,-0.231241279439493,-0.589876784172825,0.617710721637204,-0.32893452622646
"PC 36:3;P/36:3;O",0.443841924445984,-0.634133280514959,0.4657708477071,0.23799188762769,1.59449940329423,0.960830406063483,1.91153874874712,-0.951731706283512,0.593716215927113,1.96069395222156,-0.20613137407327,-0.379864758281387,-0.523205829685385,0.230056668658862,-0.265988069965852,-0.184410536733372,0.331431532724865,1.02466045990806,0.954767912531415,1.63878511786888,0.94666326512172,-0.488377431522497,1.24229746459597,-2.21379342203034,0.713636707008123,0.0718513488009444,-0.272366992868553,-0.976512662739121,-1.85723193194699,-1.66291619978507,0.323767732546107,-0.667214261981293,-0.281963843303444,-2.01735707676497,-0.886744500529386,-0.491840039524993,-0.60145437360438,0.494733943668206,0.411847687293151,-0.353407327159284,-0.615929319694636,0.759711281703626,-0.780519569471494
"PC 38:2;P/38:3;O",0.305858917559181,0.305858917559181,0.499039368718452,0.463074686412382,0.665512777555016,0.510641842179393,0.405544510877627,-0.051949293259584,0.516374197099162,0.908172648168067,0.104842541573311,0.398861153695543,0.144048798884486,0.190251628527336,0.242069318862648,0.153527876622925,0.52770472639,0.714922165706305,0.592204028222293,0.487248228905183,0.364487935846292,0.181243573293981,0.641890521957903,-2.99633536912335,0.335765800261308,0.343053691968676,0.124710609634579,-2.99633536912335,-2.99633536912335,-0.220037711942078,0.555279878604549,0.114844619061129,0.162884640264577,-0.286004907233279,0.114844619061129,0.0947005703605336,0.0844147366096233,0.350269066137999,0.274665328748426,0.181243573293981,0.00801370488895318,0.475262185416214,-2.99633536912335
"PC 38:3;P/38:4;O",0.290568392791406,-0.0368830868520935,0.479110906424332,0.737711233289357,1.6033985913449,0.843605157633791,0.977542748636968,-1.05298893740989,0.313169966911887,2.45464263775394,-0.26059029071685,0.317668007975725,-0.391300588310558,-0.157123090231268,-0.565521532764253,-0.540822668293888,0.521160126641399,1.17844174888457,0.941983814167041,1.30045146764965,0.566681337809554,-0.486050594127705,1.07812975120256,-2.9830901513333,0.379877769194879,0.033805499116386,-0.474026209003572,-0.798435095174571,-1.53805427816347,-1.72089237694866,0.61145903632583,-0.141137299087998,-0.205647461643357,-1.87648336850446,-0.698972358301691,-0.673047291227785,-0.322327002946233,0.729988536877358,0.0635514192828462,-0.480031809243949,-0.345125931953845,1.05074819611595,-0.72514492379093
"PC 38:4;P/38:5;O",0.321562596235455,-0.0018736310873845,0.231539956251114,0.520751669603172,1.52705638467511,1.01836535575668,1.83781242085578,-0.415655617078102,0.487002590092433,2.50300678637192,-0.415655617078102,0.00181591255256912,-0.054057336316227,0.360639877191343,0.0889023817543918,-0.529692672678489,-0.212877910385448,1.16193297155814,0.604823122883591,1.87707018809459,0.765581644295996,-0.118793205353171,0.214538615451526,-2.36144933879077,0.408713375266983,0.20770834526865,-0.547667123366774,-1.02423386729256,-1.45974118175592,-1.95534620858673,-0.130378127234984,-0.472079205340204,-0.0957696984561482,-1.75179735830107,-0.960570249273276,-0.634698834896904,-0.743902690442759,0.793319005887908,0.278588465888478,-0.134250709953063,-0.705421678945845,0.757205224908272,-1.24202462823017
"PC 40:3;P/40:4;O",0.435474037212274,0.450847230946812,0.604290303143143,0.542276383344322,0.542276383344322,0.535711900833788,0.427638977301058,0.245018432936707,0.395246832734267,0.939868340985944,0.286200904726607,0.435474037212274,0.369765805187789,0.22333010178226,0.286200904726607,0.212188344810917,0.686843750758187,0.598366268659739,0.649710251861149,0.567846844386541,0.386871407282156,0.286200904726607,0.411658878250398,-2.20995754514389,0.395246832734267,0.395246832734267,-2.20995754514389,0.127885645087358,-2.20995754514389,-2.20995754514389,0.697049179528219,0.419701495407946,0.276164168475574,-2.20995754514389,0.22333010178226,-2.20995754514389,0.25557885073657,0.542276383344322,0.343168470828268,0.177481257607094,0.315352521171988,0.781913849415195,-2.20995754514389
