"feature","BS-064D60","JV-035D60","JV-048D60","KT-515D60","KT-926D60","JV-148D60","JV-157D60","KT-193D60","KT-247D60","KT-312D60","KT-347D60","KT-352D60","KT-417D60","KT-434D60","KT-522D60","KT-525D60","KT-565D60","KT-612D60","KT-705D60","KT-718D60","JV-071D60","BS-082D60","BS-336D60","BS-346D60","BS-351D60","BS-364D60","BS-377D60","JV-138D60","KT-313D60","KT-412D60","KT-445D60","KT-537D60","KT-538D60","KT-539D60","KT-663D60","KT-695D60","KT-716D60","KT-723D60","KT-771D60","KT-805D60","KT-880D60","KT-974D60","BS-671D60"
"LPC 16:1","21.45","25.19","0","20.9","23.8","24.61","20.81","45.53","28.04","36.77","41.66","12.42","35.56","33.89","10.52","13.11","0","23.28","41.43","28.3","49.37","51.68","52.88","51.43","66.64","18.74","19.99","21.7","27.11","71.47","47.63","33.87","17.97","16.84","22.37","28.65","54.56","42.28","50.07","27.77","0","33.72","20.13"
"LPC 17:0","0","12.04","0","16.77","8.89","21.28","0","18.37","10.83","16.59","0","0","0","0","0","0","0","9.94","31.58","16.8","10.49","20.28","15.01","15.01","12.24","7.38","7.86","0","0","43.33","18.43","0","0","0","15.79","0","32.2","18.92","20.46","7.11","0","13.89","10.22"
"LPC 18:0","681.51","809.49","0","569.78","512.1","348.69","586.51","954.21","783.16","723.89","677.85","467.8","593.86","477.86","232.32","407.52","0","529.25","730.58","761.2","714.37","771.17","509.73","1351.02","771.19","615.52","536.22","493.4","527.16","868.01","531.26","472.83","503.58","693.49","531.34","679.75","1030.74","750.1","813.71","483.31","304.69","548.62","562.78"
"LPC 18:1","468.45","391.69","0","264.61","271.88","278.02","279.57","619.39","390.97","401.79","449.58","276.17","366.46","428.38","114.31","222.15","0","272.02","588.6","364.79","400.44","412.01","516.25","492.32","457.56","381","234.87","246.85","313.9","795.75","479.72","460.64","384.33","470.96","290.55","356.93","539.04","423.43","521.67","333.19","184.63","423.52","258.71"
"LPC 18:2","623.33","771.63","0","370.23","405.76","269.46","338.3","691.84","464.52","369.23","464.62","352.34","507.59","558.61","99.43","306.06","0","335.64","448.32","398.72","447.26","309.55","418.09","539.77","444.55","334.45","288.95","326","194.05","822.42","418.9","616.68","479.8","677.08","321.87","478.55","463.6","363.44","392.28","373.18","81.94","620.91","280.24"
"LPC 18:3","106.42","75.1","0","81.74","67.28","36.06","91.86","122.03","92.35","120.7","108.06","54.99","94.38","93.63","38.24","75.29","0","82.39","120.16","117.96","68.73","116.17","121.17","141.75","112.75","86.4","76.74","95.78","88.5","109.74","107.94","59.92","90.69","84.2","73.89","132.25","133.91","96.25","115.89","66.12","95.69","75.94","90.58"
"LPC 20:3","34.74","62.69","0","36.09","24.61","34.5","44.37","78.84","84.39","92.41","44.82","38.46","69.59","45.72","14.26","26.1","0","42.14","74.04","29.6","84.62","63.32","53.61","56","73.92","39.52","44.36","57.89","62.26","120.33","38.92","47.48","47.68","49.89","38.72","38.65","82.67","39.42","79.69","61.12","38.48","87.59","33.53"
"LPC 20:4","183.31","134.02","0","118.41","148.81","122.42","122.24","200.78","151.88","143.55","96.01","91.23","117.95","106.3","40.39","85.69","0","91.28","206.6","199.81","150.89","249.95","155.23","175.77","118.5","73","121.62","110.66","81.64","275.3","139.27","182.29","140.78","171.95","96.61","176.22","134.73","142.41","301.94","129.5","81.94","204.13","87.36"
"LPC 20:5","11.86","22.88","0","0","0","5.8","0","12.88","7.65","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.33","0","0","20.55","19.93","31.74","7.83","0","0","0","0","0","9.48","6.88","0","0","0"
"LPC 22:5","7.85","20.83","0","8.42","9.14","7.94","12.55","10.05","11.73","11.22","0","0","14.69","0","0","0","0","10.08","15.88","8.56","20.51","16.15","6.4","14.74","0","4.86","12.02","9.54","11.71","31.64","8.26","0","8.5","0","7.73","0","8.8","7.18","28.94","14.06","10.98","12.9","6.68"
"LPC 22:6","38.47","58.76","0","24.65","31.53","39.83","21.15","52.02","32.72","56.48","17.56","25.24","16.34","19.91","10.51","13.31","0","24.35","34.19","37.31","37.55","58.08","49.55","36.51","17.08","18.66","31.83","27.16","22.58","74.05","28.84","36.27","27.98","26.05","25.99","21.57","33.83","24.62","36.6","27.49","28.89","28.73","19.26"
"LPC O-16:0","20.88","17.75","0","12.93","18.19","9.92","13.41","18.36","43.93","28.98","0","0","9.45","0","0","12.92","0","11.54","22.59","18.66","12.29","26.87","25.55","53.02","21.07","25.39","7.64","0","16.34","18.65","21.62","0","8.57","17.84","12.79","0","24.13","27.98","26.01","8.86","11.41","15.03","15.31"
"LPC 16:0/16:1","20.74","15.65","0","9.9","13.35","11.67","10.96","18.37","28.16","19.59","0","0","9.14","0","0","0","0","13.77","27.41","23.12","10.77","23.5","23.35","43.7","13.26","22.14","7.84","0","13.12","19.45","12.49","0","8.28","0","10.74","0","27.73","20.78","23.1","9.97","0","11.4","11.92"
"LPC 16:1/16:2","34.43","47.71","0","27.69","30.13","21.18","30.55","43.76","34.94","39.63","24.65","13.26","26.3","23.72","9.87","16.78","0","26.11","60.41","41.33","34.61","47.43","53.6","73.69","38.38","37.05","20.73","23.68","22.83","62.07","53.26","25.62","29.52","23.4","30.45","35.11","63.49","55.54","56.09","34.5","25.57","23.66","35.08"
"LPC 18.0/18:1","16.04","11.18","0","8.66","12.57","8.65","9.59","11.61","32.33","24","0","0","0","0","0","0","0","11.82","20.11","13.8","8.49","18.37","18.54","43.46","13.44","18.22","0","0","0","15.93","16.05","0","0","0","8.66","0","18.5","21.83","18.29","7.75","0","9.49","9.69"
"LPC 18:1/18:2","10.69","9.82","0","0","8.06","7.72","8.69","10.67","13.68","0","0","0","0","0","0","0","0","0","19.24","12.4","10.88","12.39","11.8","23.84","10.53","9.49","6.56","0","0","19.72","13.41","0","0","0","8.13","0","14.47","13.18","10.2","8.62","0","0","9.51"
"PC 30:0","0","1.28","0","0","0","0.56","0","4.56","0.9","1.88","1.36","0","0.46","1.44","0","0","0","0","2.03","0.88","0.7","1.86","0","0.69","1.16","0.65","1.02","1.58","0.91","1.78","1.01","0.58","0","0","0.58","0","0.85","0.76","2.34","0.48","3.45","1.88","0.49"
"PC 32:0","10.8","12.05","0","9.2","7.5","8.44","6.29","14.73","10.14","9.56","10.37","5.28","7.41","8.34","4.23","6.55","0","6.02","13.01","12.13","8.2","12.97","11.77","15.1","9.61","7.93","7.59","11.17","7.96","17.07","9.96","8.38","9.04","8.83","9.73","10.08","7.2","6.09","14.14","8.81","18.51","12.64","8"
"PC 32:1","3.58","5.28","0","2.89","3.51","5.34","2.74","15.62","6.35","8.5","15.66","2.79","9.24","11.72","3.43","2.69","0","3.5","10.11","5.74","10.73","10.33","5.73","7.62","11.49","4.37","6.01","11.83","10.59","12.94","7.78","6.28","4.33","3.67","5.34","5.71","6.72","5.83","11.12","6.48","24.96","12.16","3.78"
"PC 32:2","0","0.68","0","0","0.37","0.33","0","2.82","0.51","0.77","1.7","0","0.55","1.24","0","0","0","0.39","1.82","0.91","0.79","0.83","0.49","0.6","0.86","0.52","0.58","0.91","0","0.96","0.64","0.53","0.46","0","0","0","0.95","0.86","0.9","0.47","1.44","0.95","0"
"PC 34:0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PC 34:1","147.78","156.43","0","129.54","129.03","117.31","139.95","284.82","189.58","131.34","230.5","72.55","196.13","193.59","97.19","113.05","0","124.08","229.91","184.83","197.04","229.62","200.36","272.85","202.92","181.99","148.4","231.17","163.63","333.24","202.87","132.74","183.97","180.96","148.92","174.42","180.65","159.92","220.18","224.62","379.86","243.98","137.87"
"PC 34:2","257.93","315.48","0","254.29","260.87","159.37","175.95","422.8","301.15","166.76","393.37","143.27","253.29","336.63","106.41","176.56","0","220.33","274.08","318.28","291.4","170.79","280.15","387.57","243.21","244.21","233.09","236.88","119.05","468.51","241.64","235.68","312.95","240.24","217.42","204.71","238.22","169.18","236.41","278.03","326.67","344.56","257.98"
