"feature","BS-064D10","JV-035D10","JV-048D10","KT-515D10","KT-926D10","JV-148D10","JV-157D10","KT-193D10","KT-247D10","KT-312D10","KT-347D10","KT-352D10","KT-417D10","KT-434D10","KT-522D10","KT-525D10","KT-565D10","KT-612D10","KT-705D10","KT-718D10","BS-082D10","BS-336D10","BS-346D10","BS-351D10","BS-364D10","BS-377D10","JV-138D10","KT-313D10","KT-412D10","KT-445D10","KT-537D10","KT-538D10","KT-539D10","KT-663D10","KT-695D10","KT-716D10","KT-723D10","KT-771D10","KT-805D10","KT-880D10","KT-974D10","BS-671D10"
"TG 54:6","-0.11919","-0.83876","-0.00877","0.50786","-0.70014","0.43775","-0.42899","-0.67153","-0.69686","0.66652","-0.25964","-0.42022","-0.7608","-0.37675","-0.41219","-0.64201","-0.76498","0.7839","-0.77174","-0.59279","-0.13077","0.3927","-0.73564","-0.88892","-0.32818","-0.7468","0.26717","-0.58955","-0.837","-0.72784","-0.80583","0.64738","-0.6597","-0.43891","-0.53471","-0.72886","0.68842","0.47276","-0.64681","-0.46031","-1.3293","-0.63973"
"TG 56:5","-0.36653","-0.29852","0.63548","1.34005","-0.46537","0.8169","-0.67515","0.46389","-0.61979","0.44248","0.2014","0.16732","-0.50578","-0.37675","-0.43114","-0.11351","-0.58354","0.42975","-1.04666","0.935","0.09691","0.93044","0.39794","-0.10237","-0.35524","-0.60206","0.79518","-0.73167","-1.30103","-0.77563","-0.69558","0.34635","-0.00436","-0.22185","-0.76531","-0.09691","0.74194","1.20493","-0.23657","0.17026","-0.11351","-0.396"
"TG 56:6","-0.07572","-0.50591","0.81757","1.15381","0.2878","0.63548","0.18752","0.40824","0.01703","0.91751","0.24055","0.75282","-0.16115","0.04532","-0.04096","0.76567","-0.20761","0.6902","-0.3279","0.99651","0.43933","0.40483","1.0249","-0.35655","0.39794","0.13988","1.05614","-0.284","0.21748","0.67394","0.62221","0.87852","0.03342","0.19312","0.13988","-1.31918","0.63448","0.78533","0.68842","0.10721","-0.49262","0.0086"
"TG 56:7","0.64048","-0.12494","0.71349","1.04415","-0.42022","0.89042","0.27416","0.63849","-0.68194","0.9722","0.35411","0.7679","-0.94209","0.24797","-0.11919","0.15836","-0.23657","1.08171","-0.35655","0.67117","0.29885","0.79727","-0.07058","0.61384","0.0607","0.36922","0.52634","0.14922","0.50106","0.7185","-0.08619","0.71181","-0.20066","0.61278","0.11059","-0.30103","0.88252","1.08386","0.51322","0.47276","-0.11351","-0.22185"
"TG 56:8","-0.98327","0.01284","0.44871","0.64542","0.0086","0.72997","0.07555","0.42651","-0.34679","0.63448","-0.04096","0.31806","-0.54306","-0.02687","-0.29983","0.15229","-0.14267","0.7332","-0.3279","0.5172","-0.42288","0.52763","0.34635","0.26717","-0.31013","0.07918","0.61384","-0.16115","0.1038","0.33244","-0.05061","0.26717","-0.14267","0.32428","0.06819","-0.68198","0.55509","0.74507","0.45484","0.49276","-1.39357","-0.47858"
"TG 58:11","-0.73866","-0.48142","-0.61979","-0.24413","-1.03197","-0.48149","-0.46528","-0.49485","-0.71715","-0.58503","-1.23697","-0.55284","-0.41648","-0.75073","-0.36688","-0.36653","-0.4489","-0.00436","-0.72324","-0.5376","-0.50704","-0.09691","-0.74029","-0.4318","-0.53694","-0.77339","-0.24413","-0.7472","-0.67778","-0.88606","-0.67778","-0.65975","-0.71033","-0.91262","-0.61194","-0.52102","-0.55284","-0.01323","-0.4437","-0.55284","-0.78566","-0.33191"
"TG 58:5","0.11394","-0.16749","0.17319","0.47567","-0.08619","0.39794","-0.06048","0.16435","-0.92244","0.02531","-0.10237","0.26482","-0.38771","-0.14267","-0.09691","0.4609","-0.52174","0.45788","-0.84087","0.0607","-0.23657","0.52244","0.07188","0.02119","-0.33059","-0.04576","0.49276","-0.4524","0.08636","0.23553","0.10721","-0.03621","-0.30103","0.02119","-0.03621","-0.43993","0.38202","0.52375","0.36173","0.37107","-0.18046","-0.4776"
"TG 58:7","0.29447","-0.08092","0.48572","0.71933","0.28556","0.63649","-0.00877","0.48144","-0.13668","0.14922","0.11727","0.37291","-0.19382","0.18469","0.26007","0.42813","-0.42175","0.5611","-0.34679","0.36736","0.11727","0.69984","0.33646","0.02531","-0.07572","0.08991","0.66839","-0.25181","0.20683","0.43457","0.25768","0.21748","-0.00877","0.22272","0.1959","-0.56571","0.69285","0.70415","0.66276","0.53908","0.11727","-0.20066"
"TG 58:8","0.17609","-0.59391","0.44871","0.62118","0.06819","0.68305","-0.48091","0.36922","-0.25181","0.13672","0.00432","0.24304","-0.85422","0.01284","0.22272","0.22272","-0.43301","0.54158","-0.91129","0.33445","0.12385","0.64048","0.13988","-0.07572","-0.31073","-0.01773","0.56229","-0.20066","0.08279","0.31175","0.09691","0.02119","-0.81608","0.11394","0.0607","-0.45717","0.58659","0.52504","0.57634","0.35411","-0.07058","-0.59979"
"TG 58:9","-0.82582","-0.26393","-0.08619","-0.0655","-0.62512","0.10037","-0.3793","-0.20761","-0.6355","-0.43389","-0.787","-0.39794","-0.50487","-0.82026","-0.15692","-0.72491","-0.43921","0.0086","-0.85302","-0.19382","-0.46848","-0.05061","-0.72458","-0.79916","-0.32932","-0.65819","0.0086","-0.80258","-0.4437","-0.25181","-1.02423","-0.646","-0.5003","-0.47646","-0.70728","-0.56465","0.01703","0.08636","-0.01773","-0.5115","-0.93444","-1.35433"
