"feature","BS-064D10","JV-035D10","JV-048D10","KT-515D10","KT-926D10","JV-148D10","JV-157D10","KT-193D10","KT-247D10","KT-312D10","KT-347D10","KT-352D10","KT-417D10","KT-434D10","KT-522D10","KT-525D10","KT-565D10","KT-612D10","KT-705D10","KT-718D10","BS-082D10","BS-336D10","BS-346D10","BS-351D10","BS-364D10","BS-377D10","JV-138D10","KT-313D10","KT-412D10","KT-445D10","KT-537D10","KT-538D10","KT-539D10","KT-663D10","KT-695D10","KT-716D10","KT-723D10","KT-771D10","KT-805D10","KT-880D10","KT-974D10","BS-671D10"
"PC 38:2;P/38:3;O","-0.04576","-0.14874","0.07188","-0.12494","-0.49857","-0.09151","-0.07572","0.09342","-0.00436","-0.0655","0.14301","-0.04576","0.20683","-0.19382","-0.11693","-0.02228","-0.00877","0.05308","0.09342","0.06446","-0.21467","-0.08619","0.21219","0.05308","0.17609","-0.03152","-0.12494","-0.92364","-0.11919","0.24797","0.0086","-0.30103","0.14301","0.0607","-0.11919","0.16137","-0.08092","0.17609","-0.20066","0.08991","-0.04096","-0.04096"
"PC 38:3;P/38:4;O","0.72591","0.64444","0.87737","0.65801","0.61805","0.69197","0.74819","0.81023","0.83059","0.63144","0.85065","0.65225","0.95809","0.55509","0.51851","0.82672","0.71096","0.77232","0.82995","0.83187","0.53403","0.71349","0.96284","0.75435","0.88081","0.68485","0.64048","0.3075","0.68395","1.03583","0.75128","0.64542","0.92531","0.8169","0.71767","0.88309","0.7767","0.94052","0.64048","0.84942","0.80618","0.76418"
"PC 38:4;P/38:5;O","0.86864","0.76193","1.02857","0.81023","0.85974","0.90091","0.91803","0.98498","0.9345","0.77743","1.02531","0.7839","1.07004","0.70757","0.76567","1.031","0.8055","0.93802","1.0249","0.96848","0.69108","0.88874","1.16584","0.84323","1.03141","0.69548","0.84198","0.55509","0.97128","1.19673","0.90687","0.92065","1.11361","0.93146","0.97267","0.97359","1.01452","1.07737","0.8791","0.98318","0.90634","0.9284"
"PC 40:3;P/40:4;O","-0.73388","-0.85578","-0.1549","-0.38722","-0.27572","-0.284","-0.90424","-0.16749","-0.22915","-0.4333","0.01284","-0.87345","0.04922","-0.26761","-0.80921","-0.77658","-0.44126","-0.14874","-0.14267","-0.02687","-0.50679","-0.22185","-0.51997","-0.16115","-0.02228","-0.23657","-0.45835","-0.45931","-0.25181","0.13672","-0.16115","-1.12511","-0.07058","-0.16115","-0.29243","0.0569","-0.21467","-0.09151","-0.80369","-0.05061","-0.14267","-0.17393"
"PE 38:4","0.95521","-1.16775","-0.52738","0.63448","-0.32055","-0.55013","-0.93589","0.98588","-0.60657","-0.83476","-0.51723","0.69548","-0.83233","-0.84421","-0.25474","-0.87925","-0.47774","0.94201","-0.79365","0.59439","-0.51751","-0.76364","0.83696","-0.8123","-0.54234","0.70243","1.13258","-0.66412","-0.98078","0.85187","-0.69111","0.77743","-0.42157","-0.42886","0.72997","-0.66486","-0.66034","1.15076","-0.58347","1.17114","-0.56661","-0.68921"
"PE 38:4;P/38:5;O","-0.62284","-0.80308","-0.63526","0.65128","-0.61468","-0.47485","0.90902","1.01452","-0.62489","-0.65064","-0.74196","-0.84761","-0.6878","-0.79924","-0.34883","-0.77863","-0.52786","0.90146","0.74036","0.76492","-1.70236","-0.90213","0.83569","-0.69619","-0.52412","0.68574","0.95036","-0.66929","0.8202","1.0187","-0.77293","-0.81211","0.88024","-0.70732","-0.5235","0.71433","-0.70449","0.98632","-0.57862","-0.38078","-0.62608","-0.74957"
"SM 32:1;O2","0.48714","0.46538","0.64444","0.45939","0.14613","0.42488","0.27416","0.64444","0.55267","0.77379","0.37475","0.39967","0.4843","0.21219","0.44716","0.52634","0.35793","0.3483","0.65706","0.74974","0.17319","0.40824","0.40654","0.26951","0.46538","0.37475","0.42651","0.29003","0.39794","0.44248","0.38021","0.24304","0.50243","0.55991","0.20683","0.66839","0.44871","0.53148","0.24055","0.70157","0.24055","0.37291"
"SM 33:1;O2","0.19312","-0.07058","0.22011","0.16435","0.07188","0.32222","0.0086","0.32428","0.27646","0.42488","0.17319","0.13033","0.1271","-0.11351","0.18752","0.3032","0.13988","0.10037","0.38202","0.49136","-0.05552","0.18752","0.27646","0","0.15229","0.02938","0.23805","-0.07058","0.10037","0.19033","0.09342","0.07918","0.25527","0.26482","0.0569","0.33041","0.22272","0.29885","-0.0655","0.3483","0.10721","0.18184"
"SM 34:1;O2","1.90504","1.85528","2.04415","1.81431","1.86159","1.82834","1.78796","1.99651","1.91046","1.95904","1.87495","1.74593","1.88593","1.66633","1.92241","1.89911","1.89916","1.80625","1.85327","2.00104","1.59306","1.82769","1.94096","1.80318","1.95871","1.77539","1.86028","1.69205","1.8072","1.8721","1.85733","1.80868","2.00587","1.98998","1.77967","1.91434","1.81291","1.9609","1.75159","2.05392","1.7965","1.91761"
"SM 34:2;O2","0.92221","0.84448","0.99211","0.80003","0.84073","0.8657","0.78176","0.99607","0.92065","0.92169","0.81425","0.76864","0.89982","0.65706","0.79169","1.02531","0.90849","0.82866","0.95809","1.09621","0.50515","0.90417","0.91169","0.77379","0.92117","0.83123","0.93752","0.59218","0.83569","0.80956","0.80686","0.83315","0.97818","0.93702","0.81358","0.943","0.83632","0.96755","0.83632","1.06333","0.77159","0.90091"
"SM 35:1;O2","-0.09691","-0.93575","-0.09691","-0.07572","-0.47875","0.04139","-0.63337","0.01703","-0.00436","0.08279","-0.10791","-0.18709","-0.21467","-0.73839","-0.00877","-0.01323","-0.10791","-0.20066","0.14613","0.0569","-1.14493","-0.08619","-0.10791","-0.27572","-0.48712","-0.09691","-0.03621","-0.51747","-0.24413","-0.14267","-0.24413","-0.73158","-0.01323","-0.04096","-0.22915","0.06446","-0.08092","0.1038","-0.93274","-0.01323","-0.17393","-0.09151"
"SM 36:1;O2","1.26951","0.99695","1.3438","1.04179","1.07115","1.08314","1.07482","1.35488","1.344","1.26245","1.08422","1.03822","1.18441","0.87216","1.21827","1.19005","1.10449","1.07004","1.26553","1.27807","0.80754","1.16524","1.13162","1.03503","1.1878","1.1878","1.22814","0.83948","1.05423","1.12905","1.08672","1.07628","1.33885","1.18298","1.09307","1.2783","1.18099","1.31323","1.09517","1.3516","0.99564","1.28691"
"SM 36:2;O2","0.81224","0.56467","0.84386","0.59329","0.62325","0.68753","0.67394","0.89982","0.86747","0.68215","0.60314","0.62941","0.65031","0.46982","0.76118","0.78319","0.68395","0.65321","0.87332","0.94498","0.39094","0.72509","0.64933","0.5966","0.69897","0.78032","0.86213","0.27416","0.62737","0.60853","0.67578","0.65706","0.82995","0.70757","0.6902","0.84634","0.74273","0.87679","0.76193","0.86688","0.57749","0.76567"
"SM 38:1;O2","0.89098","0.71684","1.03503","0.79449","0.63749","0.72754","0.70329","1.06145","0.98677","1.06781","0.78604","0.70501","0.90255","0.51455","0.81491","0.85187","0.79588","0.8739","0.91803","0.94498","0.45179","0.87332","0.84572","0.67025","0.8537","0.79029","0.94743","0.44871","0.84136","0.89597","0.76042","0.79727","1.04454","0.88762","0.72591","1.0162","0.90037","1.03543","0.75435","1.08707","0.68124","0.89763"
"SM 38:2;O2","0.54531","0.27646","0.54033","0.37291","0.30963","0.37107","0.35218","0.57634","0.54283","0.34439","0.38202","0.30103","0.3962","0.22789","0.47276","0.45179","0.39445","0.40483","0.56348","0.59218","0.03743","0.4609","0.40312","0.31387","0.45637","0.43933","0.54033","-0.04096","0.41996","0.38917","0.39794","0.42651","0.58659","0.39445","0.32838","0.57634","0.46687","0.60959","0.48001","0.60097","0.29885","0.45025"
"SM 39:1;O2","-0.51517","-0.35305","0.19312","0.02938","-0.36978","-0.02687","-0.67275","0.21219","0.12385","0.33244","0.00432","-0.12494","0.02531","-0.38722","-0.79003","-0.06048","-0.06048","-0.08619","0.23045","0.22789","-0.59911","0.07555","0.0607","-0.16115","-0.09691","-0.16749","0.17898","-1.12705","0.06446","0.09342","-0.14874","-0.09691","0.13672","0.08279","-0.13077","0.37475","0.11394","0.24304","-0.22185","0.23805","-0.12494","-0.08619"
"SM 40:1;O2","1.19618","1.05231","1.44483","1.16879","1.02979","1.08849","1.07846","1.41681","1.276","1.47611","1.19756","1.03583","1.31785","0.81358","1.06183","1.22531","1.22063","1.33846","1.18526","1.21192","0.89376","1.30728","1.2403","1.03463","1.26998","1.16167","1.37658","0.82995","1.20439","1.26529","1.00518","1.12418","1.42226","1.28691","1.11893","1.32572","1.24452","1.38382","1.05881","1.39863","1.05614","1.20656"
"SM 40:2;O2","1.0141","0.92891","1.12516","0.97909","0.8451","0.89042","0.90037","1.10037","1.0976","1.04139","0.89042","0.86982","1.07262","0.77305","0.94201","1.0216","0.99782","0.92686","1.10415","1.18921","0.67761","1.00389","0.99388","0.86629","0.98543","0.91803","0.99167","0.68124","0.99782","1.02857","0.88309","0.94448","1.14051","1.01284","0.94399","1.15229","1.02325","1.10003","0.95952","1.12287","0.93601","1.03342"
"SM 41:1;O2","0.60206","0.5302","0.9489","0.70243","0.54033","0.60423","0.48001","0.93095","0.74273","1.04999","0.73957","0.50379","0.86747","0.26245","0.49831","0.66558","0.60638","0.89321","0.76567","0.7007","0.3927","0.86982","0.72754","0.5611","0.79169","0.56348","0.96095","0.47276","0.78176","0.75815","0.43457","0.58995","0.89763","0.79029","0.57287","0.96708","0.81358","0.90363","0.46835","0.99078","0.53275","0.65418"
"SM 41:2;O2","0.50379","0.4133","0.65418","0.53403","0.40993","0.52504","0.34635","0.65992","0.60314","0.63849","0.60531","0.41996","0.64345","0.27184","0.47276","0.49554","0.46687","0.46835","0.71933","0.72263","0.23045","0.57978","0.57749","0.46538","0.52114","0.37475","0.61909","0.32838","0.58092","0.60959","0.36736","0.48001","0.67302","0.5955","0.47276","0.78247","0.62118","0.71181","0.40824","0.75128","0.48572","0.55991"
"SM 42:1;O2","0.99695","0.87679","1.33304","1.08279","0.79588","0.9952","0.90363","1.26031","1.05729","1.40586","1.08279","0.8488","0.94547","0.63949","0.90091","1.16256","1.05614","1.36549","1.04297","0.97405","0.6637","1.23855","1.07151","0.85431","1.21643","0.92583","1.29776","0.8293","1.08493","1.14301","0.84448","0.93095","1.27692","1.07482","0.97772","1.21352","1.18156","1.24551","0.89042","1.24204","0.92686","1.02284"
"SM 42:2;O2","1.69338","1.58331","1.7113","1.59395","1.59129","1.50745","1.54679","1.69566","1.72738","1.65475","1.67761","1.48714","1.75236","1.40381","1.66257","1.65302","1.61045","1.60681","1.66153","1.59362","1.30578","1.59693","1.64972","1.52061","1.69697","1.48586","1.57772","1.4524","1.61215","1.70689","1.55133","1.59835","1.81604","1.65244","1.57461","1.66736","1.63468","1.70381","1.56407","1.84782","1.56972","1.74757"
