feature	log2FC_Percentage	pval_Percentage	padj_Percentage	log2FC_PQN	pval_PQN	padj_PQN	log2FC_none	pval_none	padj_none
SM 40:1;O2	0.7100774964862717	0.2312801150106854	0.9295887507225228	0.033931050945314026	0.4494866147999441	0.8277609851666285	1.2411336060314297	0.12408117572546244	0.49025582483352703
PI 38:4	1.9454692253264594	0.25195938876127866	0.9295887507225228	0.006439210296764031	0.46518799166389047	0.8277609851666285	3.496463628329083	0.10392532760813529	0.49025582483352703
PC 38:6	0.17523976723766888	0.25619194085991814	0.9295887507225228	-0.08419363654623037	0.4391042782235304	0.8277609851666285	1.5845025507648205	0.12260526233108901	0.49025582483352703
PC 42:3;P/42:4;O	-1.0079201233141868	0.25738402853535786	0.9295887507225228	-0.792112901040024	0.4068773859078092	0.8277609851666285	2.012387716342122	0.09946549687641733	0.49025582483352703
TG 49:1	-6.149188424648169	0.2595125501186098	0.9295887507225228	-26.52695600812578	0.08280477214540913	0.6180682405353307	0.03854509087840446	0.7011367697814572	0.7607148398607915
TG 50:1	0.8788085223512867	0.2640926431959273	0.9295887507225228	1.065785252007003	0.4546908387634997	0.8277609851666285	2.928708976613817	0.13116686047155343	0.49025582483352703
CE 18:2	-0.7732484100819618	0.28090784942884794	0.9295887507225228	23.98036887806104	0.2770167843184982	0.7763585014809091	26.56190784899028	0.07647058834302452	0.49025582483352703
SM 32:1;O2	1.8740151646895402	0.3002835811040708	0.9295887507225228	0.6203654416345141	0.5236380127645361	0.8745130885304825	3.1267239570562895	0.12289193268472029	0.49025582483352703
TG 58:8	-1.4383471248116586	0.3061689365630194	0.9295887507225228	22.599769391109728	0.3167168531964507	0.7763585014809091	26.213254454262486	0.0830094793397259	0.49025582483352703
TG 46:1	-1.281982987003677	0.3112855499173203	0.9295887507225228	-1.4027337132416435	0.1479304524027751	0.6180682405353307	0.14077315441780655	0.6840644711286724	0.7524709182415397
TG 46:0	-2.4767974780281587	0.32011342837268053	0.9295887507225228	-2.054523939906364	0.15464355772040675	0.6180682405353307	0.47409094823725656	0.7104196438369375	0.7607148398607915
SM 42:2;O2	0.26312928693000753	0.3487854229710271	0.9295887507225228	-0.26525921049630363	0.6669282549026394	0.9228090892734984	1.2419151467010403	0.19511072242799044	0.5008455928644817
