"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"Cer 42:1;O2","Cer 42:1;O2","0.10965","1.58105","0.15861","0.67174","0.07559","0.30027","1.06282","0.0012","1.11479","1.02616","1.32309","0.00776","0.04698","0.00596","0.00555","0.70446","0.62216","1.30486","1.60433","0.0748","1.0877","1.85345","1.79496","0.86184","0.62469","3.4589","0.40237","1.62638","0.96438","3.31252","0.13178","0.4112","0.45226","0.57224","0.5541","0.78994","1.03981","1.66627","1.16152","2.71575"
"Cer 42:2;O2","Cer 42:2;O2","0.32829","0.4067","0.07034","0.00032","0.81406","0.17707","0.26637","0.02008","0.04888","0.56783","1.15515","1.63653","0.00909","0.416","14.54474","0.37951","0.0018","0.12586","0.43479","0.56919","0.04887","3.21093","0.04441","0.67068","0.21594","2.06646","0.64424","2.31619","0.70681","2.10905","0.83142","0.6306","2.17843","0.04692","0.67619","1.75183","2.82644","0.03401","0.82033","1.45284"
"Cer 42:3;O2","Cer 42:3;O2","0.93161","1.61549","0.85478","0.52232","0.02408","0.00514","0.12473","0.00622","0.10627","0.0872","1.33528","0.0748","0.97942","0.0142","0.00165","0.37091","0.11285","0.00001","0.74575","0.10984","0.19279","0.2653","0.20613","0.71288","1.66799","0.23644","0.00041","0.02615","0.15611","0.6652","0.17746","0.94342","0.05047","0.06203","0.09693","0.08496","0.24805","0.00258","4.80699","2.27421"
"LPC 13:0","LPC 13:0","0.01403","0.74297","0.32259","0.04081","0.18559","2.30174","0.65858","0.52844","0.2976","0.88467","0.00395","2.31902","0.25541","1.88863","0.12721","0.0769","0.07069","0.23418","0.27944","0.99529","2.95857","2.97728","4.04222","0.00947","0.90714","1.9147","0.03902","2.82396","2.79454","0.00636","2.22233","0.09518","2.0058","0.03234","2.79511","0.29497","0.11548","3.21127","0.84237","0.1901"
"LPC 14:0","LPC 14:0","0.03564","0.14615","1.72353","0.39015","2.16408","0.02571","0.99961","0.00355","0.67658","3.26915","0.24066","0.63971","0.4903","0.03551","1.28408","0.00528","0.43776","1.7618","0.28174","0.02983","0.10148","0.10495","1.46184","0.34132","0.52082","0.01486","0.02082","0.20186","4.63081","0.85875","1.95084","0.04229","0.48021","0.15764","1.12136","0.00873","0.26489","2.18743","0.04708","0.50469"
"LPC 15:0","LPC 15:0","0.39892","0.06647","0.17839","0.7627","1.06078","0.07053","1.16152","0.34723","0.17703","0.26757","0.38831","0.3376","0.72986","4.10582","4.90847","0.259","0.06748","0.35174","0.87598","1.43716","1.68232","1.22169","1.2293","3.34117","0.0989","0.80423","3.31249","1.40311","0.66889","0.82266","1.63537","0.37813","0.09531","2.38411","0.2316","0.38835","2.19908","0.19732","0.21994","0.38063"
"LPC 16:0","LPC 16:0","0.07418","0.29947","0.98421","2.81659","0.47461","0.01772","0.02562","1.1451","0.00416","0.51152","2.18255","0.71364","0.4058","1.76918","0.84556","0.00155","2.143","1.75899","0.07855","0.01718","0.80761","0.07637","0.35723","0.08401","0.03405","1.21967","0.30068","0.8608","0.02711","0.69155","0.3699","0.22076","0.01515","0.08181","0.01122","0.1066","0.42021","0.3774","0.15012","1.91762"
"LPC 16:1","LPC 16:1","0.00094","0.01497","0.50634","0.29792","0.26475","0.35483","0.95552","0.1586","0.70067","0.03512","3.71349","1.12622","6.41463","2.31665","0.87796","2.03083","0","0.06486","1.60189","2.2387","1.03955","0.35248","0.21672","0.60807","0.13805","0.23937","2.92362","3.16258","0.00224","0","1.05529","1.25945","3.0921","3.11465","0.14148","0.20065","0.24714","0.2663","1.53842","0.47423"
"LPC 17:0","LPC 17:0","0.17023","0.34993","0.51617","0.23589","0.54892","0.0582","2.67224","0.85778","1.15605","3.17365","0.20621","0.61674","0.00759","1.83563","0.52866","0.00293","1.71598","3.8168","0.32811","1.12181","0.52344","0.28267","0.16156","0.22749","2.20983","0.14911","0.34701","0.06472","1.03226","0.65736","0.26522","0.36814","0.41499","0.68793","2.36808","0.41384","0.78589","0.23239","1.33042","0.81856"
"LPC 18:0","LPC 18:0","0.28898","0.02947","1.20689","3.236","0.01605","0.00961","0.00453","2.03561","0.37817","0.1854","1.23499","0.06007","0.91867","0.6329","0.1175","0.01671","0.41247","1.54518","0.06049","0.3827","0.75009","0.24386","0.11331","0.37683","0.36235","0.48328","0.5462","1.16499","0.23066","0.0169","1.165","0.00573","0.01644","2.2753","1.15254","0.00676","0.1163","1.84249","1.47182","0.14938"
"LPC 18:1","LPC 18:1","0.03447","0.45456","0.00874","2.9392","1.39648","0.26502","0.09066","3.11577","0.63631","0.10313","0.78426","0.12181","0.73055","1.65822","0.10511","0.04542","0.29972","0.28977","0.97268","0.07897","1.5485","0.55435","0.04175","0.62699","0.56094","0.49142","0.08993","0.00007","1.12505","0.00324","0.00066","0.04495","0.05443","0.00407","0.0535","0.03347","0.49974","0.18401","0.68791","0.68242"
"LPC 18:2","LPC 18:2","0.13019","0.08446","0.68156","2.72398","0.30571","0.60622","0.36438","3.20074","2.61068","1.30646","0.01103","1.10867","0.05945","0.10954","0.02437","0.07394","0.10549","0.00383","0.52155","0.00625","0.16712","0.00544","0.04267","0.21011","0.33814","0.00659","0.00335","0.06005","0.31315","0.47401","0.51772","0.03983","0.01971","0.14463","0.10697","1.64362","0.03317","0.00045","0.47303","1.39132"
"LPC 18:3","LPC 18:3","0.03774","0.00288","1.20457","2.63876","0.06062","0.01308","2.10341","0.63157","1.04647","0.80644","1.65656","0.50662","0.02962","1.02044","0.38873","0.30304","1.0634","0.01328","0.10207","0.24609","2.7121","0.46858","0.71338","0.06242","0.47431","1.01639","0.01266","0.61095","0.04715","0.421","0.01355","0.43197","0.01886","0.02793","0.01856","0.36334","1.41839","0.44728","1.22699","1.34359"
"LPC 20:3","LPC 20:3","0.07251","0.04105","0.40937","2.32245","2.47386","0.34807","0.00826","3.56312","0.0315","0.84284","0.06395","0.05251","0.64918","0.81866","1.08119","0.05529","0.66885","0.02831","0.02995","0.19973","0.71822","0.17488","0.14263","0.24054","0.00759","0.11611","1.94441","0.04203","0.51318","0.01994","0.0006","0.06952","1.26887","2.50186","0.10506","0.7501","0.42544","0.04812","0.03185","4.15635"
"LPC 20:4","LPC 20:4","0.24854","0.67803","0.00505","2.21856","0.76481","0.22795","0.28448","1.61219","5.48509","0.07371","0.13854","0.0032","0.11527","0.7005","0.48323","0.16127","0.01948","0.03488","0.8931","0.01514","0.00162","0.4211","0.02805","0.08946","0.90787","0.22726","0.02701","0.00012","0.32165","0.00938","0.06376","0.0984","0.03248","0.18683","0.23043","0.50079","0.06692","0.13142","0.01656","0.64939"
"LPC 20:5","LPC 20:5","0.05411","0.03478","0.27085","0.18506","0.04835","0.10534","4.47544","0.22325","0.42465","0.36208","4.07287","0.14582","0.0391","1.39504","0.00166","0.08786","2.69419","5.58719","2.78735","0.93405","0.05094","2.0983","0.01194","0.01046","2.01958","1.13435","0.01349","0.092","0.01204","2.24556","2.35948","0.70157","0.33158","0.00245","2.76989","0.00733","3.49279","0.87671","0.3066","0.9433"
"LPC 22:5","LPC 22:5","0.04438","0.78856","0.00125","0.02962","0.94074","0.00359","1.39824","0.19189","3.11733","0.48388","0.47648","0.38027","0.00304","0.32453","2.65943","3.16842","4.32727","0.0226","2.64231","0.9228","1.80233","0.09084","0.10144","1.16456","2.60621","0.01739","0.00013","1.53168","0.00524","2.39349","1.34908","1.23483","0.93653","0.54571","0.53443","0.39223","0.58615","0.00002","0.22421","3.24441"
"LPC 22:6","LPC 22:6","0.11041","0.77668","0.3412","1.19891","0.8076","0.05168","0.38665","3.59258","0.44571","0.46687","0.09301","0.10246","1.09009","1.24401","1.61466","0.21614","1.0319","0.16895","0.0144","0.12372","0.22611","0.16001","0.40821","1.69072","1.32773","0.14267","1.12565","1.19179","0.12437","0.05942","0.05368","5.19647","0.0023","0.57294","0.54136","0.96007","0.62685","1.0757","0.54916","0.29692"
"LPC O-16:0","LPC O-16:0","0.55481","0.04427","0.76213","0.00308","0.14678","0.11656","1.29464","1.08087","0.25887","1.10689","4.91121","1.18606","0.45109","0.11332","1.26816","1.33214","1.82816","0.00922","0.30897","0.20589","0.23062","0.3565","0.73936","1.74674","0.94593","0.03434","6.28179","0.02803","0.30011","0.81874","0.19669","0.20852","0.07044","0.10167","0.01329","0.84656","1.336","0.02679","0.94358","0.61315"
"PC 30:0","PC 30:0","0.10206","1.09075","1.21256","0.01815","3.13128","0.33271","0.05588","0.06426","0.1969","0.24417","0.11582","0.55635","1.24333","0.63098","0.17545","0.46779","1.15291","0.80042","2.0799","0.0003","0.96046","0.01617","0.12482","0.03196","0.17203","0.0339","0.07295","0.27157","0.00575","0.29984","0.284","0.68837","0.37863","0.09278","0.33419","0.00357","0.77158","3.85894","1.4402","0.09807"
"PC 32:0","PC 32:0","0.07453","2.34531","0.18019","0.43006","0.39092","0.48759","0.10024","1.20077","1.7414","0.06731","0.70446","0.22396","1.42383","0.09983","0.0603","0.05286","0.28453","0.01246","0.13385","0.03245","1.67758","0.14592","0.42862","0.00358","0.0243","0.00431","1.83905","0.1171","0.03023","0.13887","0.70363","0.03755","0.00152","0.86726","0.41564","0.25779","0.33293","0.01493","1.27925","0.57747"
"PC 32:1","PC 32:1","0.86241","1.26987","0.00002","0.01818","1.60464","0.91217","0.02025","0.00481","0.42846","0.43793","0.15313","1.63294","0.23019","0.39264","2.12603","0.41853","0.4869","1.03585","0.58649","0.00507","0.00767","0.03903","0.0803","0.14785","0.52268","0.28669","0.33828","0.54794","0.64842","0.22618","0.34784","0.06153","0.71327","0.05083","0.01606","0.33958","0.72962","0.10833","0.37358","0.07338"
"PC 32:2","PC 32:2","0.06133","0.16941","1.29741","0.14111","3.03981","0.12554","0.00925","0.09088","2.95313","1.39114","0.20088","2.17437","0.33201","0.06923","0.02328","0.44081","0.15407","0.05689","0.02495","1.98141","0.08204","0.37532","0.29274","0.61468","3.23588","0.09904","0.10307","0.70656","2.57016","0.04265","0.26103","0.09711","1.78968","1.18655","0.03716","0.22686","1.53074","3.24962","0.01879","0.06894"
"PC 34:0","PC 34:0","1.13172","1.44544","0.09693","0.4629","0.10604","0.00599","0.68945","0.0195","0.65412","0.02357","0.76374","0.20001","0.68865","0.01078","0.36731","0.00146","1.01903","0.31845","0.03154","2.24415","0.28867","0.139","0.17038","0.07148","1.04614","1.33537","0.55127","1.34285","0.33902","0.72139","0.26539","0.41874","0.12804","1.52625","0.00557","0.69551","0.11239","0.00194","0.01783","0.15054"
"PC 34:1","PC 34:1","0.88253","1.64063","0.11995","1.05698","0.25318","0.56498","0.05109","0.17548","0.05925","0.72707","0.03129","1.60913","0.00316","0.20103","0.6969","0.38625","0.06102","0.21128","0.65743","0.70081","0.03137","0.34292","0.01618","0.08465","0.04562","0.17534","0.25849","0.15243","0.10353","0.01287","0.5746","0.32065","0.14658","0.75498","0.00807","0.06592","0.26515","0.57656","0.00062","0.00018"
"PC 34:2","PC 34:2","0.46311","0.93575","1.37218","1.4275","0.03265","0.63849","0.00014","0.03311","0.00056","0.37148","0.00717","2.03888","0.54727","0.08392","1.33534","0.2041","0.58228","0.05579","0.09953","0.25251","1.11179","0.00882","0.54624","0.0265","1.71866","0.16359","0.04587","0.02845","0.01115","0.00029","0.00019","0.21173","0.00094","1.6402","0.77576","2.61029","2.13685","0.52586","0.06234","0.21129"
"PC 34:3","PC 34:3","0.82802","0.58263","0.01266","0.95847","1.20336","0.89505","0.05662","0.07105","1.22278","0.18512","0.62622","0.64146","2.01571","0.00226","1.6272","0.44323","0.09872","0.09604","0.07531","1.03044","1.15043","0.40826","1.30485","0.04595","0.22578","0.1665","0.23736","2.87361","0.11802","0.00137","0.86758","1.45901","0.01929","0.02834","0.06063","0.04959","0.3583","0.73279","0.78007","0.07596"
"PC 34:4","PC 34:4","0.0067","0.00756","1.25571","0.28545","2.67517","0.0031","0.39042","0.10011","1.42456","2.68256","0.0269","0.29916","1.22507","0.86889","0.00084","0.00072","2.41531","2.4062","0.00002","0.58225","2.92771","1.40064","0.02949","0.95532","1.32475","0.108","0.39962","0.64166","0.72901","2.68488","0.19263","1.03479","0.06347","0.17645","1.21732","3.27784","0.49764","0.22272","0.22201","0.92208"
"PC 36:0","PC 36:0","0.35415","0.00413","0.28555","0.27701","0.5694","1.71233","0.55205","0.05673","0.00633","0.43829","0.39133","0.98575","0.94084","5.62976","0.7001","0.78622","2.23503","2.23892","0.67624","0.14692","2.64094","3.36767","3.11835","0.01644","0.11586","1.84393","1.29642","0.11022","0.91788","0.31731","0.04163","0.01798","2.47177","0.00357","2.41129","0.27558","0.10684","0.35385","0.08089","0.43271"
"PC 36:1","PC 36:1","0.64038","0.53398","0.54692","1.04763","0.3786","2.17384","0.24136","0.00001","0.56536","0.00021","0.78789","0.05565","1.266","0.42428","0.03571","0.94628","0.00012","0.30925","0.07222","0.00103","0.03365","4.86915","0.00496","0.65088","0.88081","0.16729","0","0.25713","0.31417","1.80229","0.55519","0.21624","1.02995","0.25819","0.7748","0.95011","0.58859","0.98147","0.12775","0.48426"
"PC 36:2","PC 36:2","0.41761","0.95013","0.25932","3.73296","0.1965","0.64357","0.25857","0.02608","0.05137","0.73823","0.26356","0.0385","0.31288","0.00008","0.39598","0.10193","0.05935","0.54178","0.62142","0.01739","0.57298","0.25288","0.0028","0.00408","0.87386","0.12379","0.20888","0.33037","0.00188","0.11136","0.01927","0.07898","0.19231","0.44423","1.38444","0.28594","0.2001","0.96437","0.00931","0.49316"
"PC 36:3","PC 36:3","0.56598","0.83773","0.44912","2.88161","0.06556","0.25475","0.44348","0.17318","0.57107","0.00005","0.48848","0.10525","1.07239","0.04199","0.16315","0.00044","0.87908","1.91245","1.75254","0.47694","0.17722","0.00035","0.23539","0.28606","0.11007","0.05032","0.58424","0.03656","0.16391","0.00163","0.5781","0.22755","0.04875","0.00633","0.15688","0.00982","0.70556","0.02449","0.10941","0.1889"
"PC 36:4","PC 36:4","0.22681","2.17094","0.04948","1.19451","0.00322","0.08452","0.00019","0.05089","2.05573","0.29875","0.57703","0.378","1.5318","0.00327","0.16163","0.11925","0.00986","0.86623","0.64206","0.06832","3.63131","0.01667","0.38046","0.00116","0.04787","0.01653","0.16182","0.42766","0.33865","0.54466","0.01948","1.9878","0.06007","0.24285","0.19029","0.10843","0.03579","0.35819","0.67756","0.04647"
"PC 36:5","PC 36:5","0.45473","0.46204","0.1507","0.51588","0.38818","0.0208","0.93724","2.51105","0.01809","0.0017","2.4118","0.13295","1.44601","2.1984","3.59024","0.04757","0.24391","0.45395","0.01079","1.19911","0.10115","0.45918","0.96384","0.80098","1.54795","0.26269","0.3892","0.75834","0.68717","0.19093","0.30944","2.11658","0.60862","0.74782","0.3387","3.59301","0.71431","2.25866","0.10961","0.01393"
"PC 38:2","PC 38:2","0.00338","0.09978","0.52727","2.45405","0.32532","0.05025","0.85659","0.0044","5.08252","0.66293","0.1674","1.5433","0.02116","0.00697","0.14557","0.00181","0.51092","0.24215","0.11254","0.04385","0.18187","3.5469","0.23768","2.61888","0.01329","0.02108","0.48948","0.01838","3.07095","2.52922","0.18742","3.33417","0.51462","0.92103","2.09641","3.37393","0.21719","0.00941","1.01644","0.3146"
