"","feature","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40"
"TG 51:2","TG 51:2","2.39643","0.09979","0.63677","0.21168","0.09937","0.07836","0.45995","0.03877","0.17891","0.24739","0.17221","0.11243","0.03795","0.5728","0.0218","0.32295","0.2962","0.29085","0.19096","0.421","0.09593","0.75689","0.05368","0.01171","0.80476","0.0102","1.57983","0.04466","0.46182","0.44499","0.01055","0.09953","0.04434","0.25946","0.00101","0.28234","0.25394","0.0462","0.03117","0.02091"
"TG 52:1","TG 52:1","2.6026","0.0021","0.20731","0.31314","0.03058","0.00272","0.38054","0.03197","0.03436","0.33215","0.07261","0.0019","0.3731","0.37639","0.23703","0.00005","0.76344","0.07728","0.14208","1.27011","0.54188","0.50936","0.24138","0.01763","0.25742","0.41193","2.43248","0.24908","1.05527","0.04906","0.00424","0.00001","0.9349","0.0024","0.17806","0.00458","0.90006","0.0073","0.04829","0.0772"
"TG 52:2","TG 52:2","0.68509","0.45643","1.54783","0.20983","1.75144","0.04551","0.00099","0.0053","0.8686","0.16038","0.02741","1.42941","0.08588","1.76593","0.0397","0.03665","0.03213","0.19181","0.06709","0.36966","0.19491","0.45589","0.81361","0.00373","0.0427","0.06298","1.06604","0.03949","3.65949","1.28182","1.55117","0.97444","1.96456","0.02468","4.42305","1.04989","0.19026","0.00028","0.25943","0.13278"
"TG 52:3","TG 52:3","0.0385","1.64033","0.17284","0.12517","1.21289","2.98027","0.03664","0.10877","0.06023","0.19661","0.04803","2.91152","0.0778","0.6053","0.0016","0.01627","0.17604","0.89403","0.56696","0.00864","0.18217","0.69172","0.03613","1.25115","0.84543","0.36017","0.38256","0.19626","0.21166","1.10839","0.00361","0.59064","0.1825","0.20366","0.06015","1.09953","0.00197","0.27441","0.11929","0.19067"
"TG 52:4","TG 52:4","1.89427","0.03816","0.12582","0.1227","0.36986","1.04307","0.01384","0.03292","0.03118","0.00001","0.19796","2.13936","0.01304","0.02749","0.00059","0.00555","0.00647","0.05765","1.92679","0.03526","2.06662","0.03611","0.57606","0.17708","0.20028","7.53017","0.57307","0.19996","0.75341","0.20895","0.4255","0.15559","0.52944","0.03478","0.26756","3.50736","0.03397","3.08188","0.20354","0.35776"
"TG 52:5","TG 52:5","0.04577","0.20479","0.29866","0.30119","1.76712","1.48352","0.0367","0.91335","0.42806","0.75053","0.38636","0.66999","1.07744","0.18544","0.00325","0.00714","0.50631","4.57278","0.12762","1.82524","5.96519","4.84181","0.30838","1.87984","0.54345","0.54356","0.77754","2.84381","0.24688","2.64762","1.27025","0.04044","0.06011","0.00203","0.08652","0.05551","2.79015","0.70334","0.19195","1.15068"
"TG 54:2","TG 54:2","1.92791","0.14894","1.13516","0.00636","0.24045","0.00023","0.23991","0.06186","0.22228","0.31448","0.17667","0.0332","0.01943","0.13523","0.33338","1.67163","0.13999","0.0878","1.58889","1.23987","0.08493","0.04741","0.01408","0.31951","0.84512","0.733","3.81384","0.05346","0.00164","0.51901","0.11131","0.0465","0.00244","0.00215","0.3404","0.01849","0.43854","0.30623","0.0064","0.27194"
"TG 54:3","TG 54:3","1.4493","0.07208","1.26515","0.043","0.00027","0.05871","0.0689","1.25574","0.14724","0.69127","0.65151","0.0479","0.92042","0.4413","2.63935","0.04176","0.04613","0.19302","2.93246","0.43401","0.20257","0.00003","0.44991","0.00747","0.03512","0.14343","0.00166","2.01733","0.3775","0.26045","0.21453","0.25434","0.59854","0.96448","2.91622","0.2542","0.12613","0.67978","0.02561","2.52053"
"TG 54:4","TG 54:4","0.81359","0.52522","0.58577","1.79323","0.5308","0.2377","0.02684","1.21831","0.01383","0.73299","0.0771","0.12588","0.00009","0.37488","1.01915","1.45182","0.03009","1.35789","0.02946","0.03065","1.94464","0.48693","0.76761","0.06343","0.02721","1.07074","0.24183","0.00766","0.18576","0.17369","0.94595","0.05064","0.73218","1.55436","0.15105","1.31725","1.06878","0.11088","0.23789","0.0883"
"TG 54:5","TG 54:5","1.30165","0.18705","0.31799","0.30113","0.05604","0.26101","0.09242","0.66904","0.04834","0.36007","0.0401","1.05221","1.88948","0.29022","0.0048","6.25748","1.3549","0.1291","0.54022","0.07274","0.09886","0.79161","3.46048","1.07453","0.66565","1.3163","0.3972","0.00392","0.01124","1.89265","0.14609","0.80534","0.05759","0.85072","0.09353","0.81355","0.16963","1.79188","0.06841","0.00555"
"TG 54:6","TG 54:6","0.23481","0.40544","1.1831","1.2043","0.05137","0.90218","0.02514","1.3406","0.66056","0.99131","0.34848","1.20975","0.96609","0.06584","0.71037","0.0216","0.65241","0.00157","0.06078","1.13522","0.74781","1.01919","0.148","0.33591","0.03578","0.13916","0.10877","0.06802","6.74206","1.11171","0.08945","2.62339","0.60119","3.33272","1.47635","0.4785","0.24941","0.00166","4.78426","0.18345"
"TG 56:5","TG 56:5","0.40015","0.09522","0.42996","1.054","0.08059","0.62457","0.07862","0.89548","0.04558","0.88566","0.09276","0.4832","3.3642","0.87795","5.29859","0.82959","1.65007","1.87521","0.81238","0.00025","0.94161","0.37516","0.55136","0.40124","0.35866","3.56873","0.72224","0.00075","1.51447","0.71011","0.91659","0.3107","0.04576","1.5864","4.45766","0.89481","0.95846","1.15155","0.00007","0.12569"
"TG 56:6","TG 56:6","1.35095","0.04674","1.66517","0.24571","0.00654","0.2832","0.06584","0.7551","0.00416","0.07087","0.16772","0.1027","0.00138","1.38952","0.91741","0.46009","0.1137","0.26922","0.16587","0.11048","0.00973","2.93631","0.73634","2.23196","0.07386","2.91739","1.03313","0.1118","0.33312","0.22647","0.28864","0.03387","4.27711","0.20803","0.1712","0.00056","0.05019","0.11091","0.70552","0.03799"
"TG 56:7","TG 56:7","0.96638","0.66267","0.22461","1.09942","0.01705","0.01773","1.09674","0.26751","0.10039","0.00752","0.81594","0.00667","0.19128","2.01669","0","0.52045","0.0001","1.71376","1.9525","1.94328","0.30977","1.50443","0.03632","0.16932","0.91764","2.79637","0.05196","0.08096","0.0156","0.36838","2.63413","1.99842","0.10607","0.00013","0.01881","0.20614","1.62907","0.19663","4.83841","0.24362"
"TG 56:8","TG 56:8","1.48017","0.24306","0.13513","1.07008","0.00176","0.0114","1.7423","0.0002","0.2515","0.03388","0.61696","0.52237","0.03118","2.02056","0.04152","3.01047","0.08576","0.23023","0.5655","0.47222","0.1755","0.11449","0.63169","0.31954","0.09195","0.00024","0.91244","0.00631","0.01708","1.61995","0.04672","0.50806","0.12878","0.0586","0.19151","2.94334","0.11395","0.36363","1.27376","0.08968"
"TG 58:11","TG 58:11","0.13871","0.00357","2.12502","0.05606","0.00912","0.21238","2.01467","0.23696","3.00249","0.13419","0.06098","0.02214","0.2279","0.03163","0.87892","0.13208","4.41629","5.85307","0.51518","0.11553","0.17233","0.01172","0.01733","0.09294","0.02389","1.81406","0.00171","0.47253","3.05246","0.08593","0.00074","0.30519","2.58462","0.04135","0.06937","1.51645","0.89634","0.19956","0.83013","0.07473"
"TG 58:5","TG 58:5","1.34862","0.4145","1.28669","0.41573","0.01632","0.03313","2.76846","0.05951","0.00057","0.00989","0.03935","0.00172","0.116","0.13355","0.25075","0.30115","0.3959","0.00791","0.01347","0.12874","0.10427","0.37201","0.03646","0.65719","0.51331","0.13677","0.13417","0.43648","0.02966","0.37086","0.86914","0.00411","0.79837","1.80639","0.00001","0.01499","0.9396","0.16291","1.25778","0.04578"
"TG 58:7","TG 58:7","1.45866","0.20785","0.73293","0.62785","0.07165","0.02191","2.12795","0.06736","0.40512","0.27002","0.15033","0.23587","0.0489","1.24653","0.01411","0.5039","0.2001","0.01385","0.96595","0.52681","0.95674","0.90387","0.4798","0.34923","0.8289","0.51979","0.01254","0.12593","0.07647","0.15695","1.87795","0.12205","0.04399","0.5685","0.4686","0.43791","0.0038","0.13674","1.95375","0.76454"
"TG 58:8","TG 58:8","1.63472","0.18687","0.37067","0.60653","0.34083","0.21863","1.39708","0.00082","0.2949","0.48414","0.5577","0.88915","0.50709","1.51498","0.16516","0.87645","0.47486","0.03288","0.05574","0.29188","0.00029","0.41195","0.01067","0.00236","0.45526","0.02974","0.18978","0.17421","0.50681","0.42903","0.5096","1.56194","0.00312","0.36537","0.25994","0.04644","0.01397","0.73796","1.11361","0.04187"
"TG 58:9","TG 58:9","1.04747","0.02803","0.3716","0.03449","1.35395","0.00063","0.02187","0.50498","0.98496","0.72104","0.85259","0.1856","0.08009","3.96238","0.00486","0.16775","0.00033","0.6389","3.92979","2.10335","0.255","1.51126","1.5648","0.36628","1.26553","0.80649","0.04415","1.7395","0.57954","0.12634","2.82111","0.16035","0.78069","2.20017","0.29803","0.01404","0.70189","0.13419","2.41907","0.65182"
"FA 14:0","FA 14:0","0.00795","0.26653","0.0215","0.00659","3.50126","4.3753","0.09755","0.00078","0.06249","0.40884","0.00017","0.19728","0.00507","0.04331","1.60261","1.2931","0.6613","0.11186","0.00143","0.03166","0.34733","1.09443","3.60469","0.05169","0.45065","0.59758","0.66254","0.74191","0.41265","0.74736","0.00848","0.3765","0.40059","0.11893","3.60922","1.36812","2.0012","0.24767","0.67964","0.10094"
"FA 16:0","FA 16:0","0.05263","0.12709","0.79129","0.24404","1.86967","5.04183","1.01706","0.09947","0.5418","0.64398","0.09601","0.8697","0.12441","0.15586","0.25881","0.00606","0.02796","0.07075","0.03135","0.0348","0.52465","0.3565","0.01815","0.00004","0.00546","0.34136","0.30973","1.28536","0.0199","0.04459","0.06356","0.12277","1.81353","0.00964","1.13451","0.04168","0.03177","0.00133","0.02949","0.27293"
"FA 16:1","FA 16:1","0.10034","0.44857","0.23825","0.06717","2.01481","3.86032","1.41836","0.67071","0.34162","0.00226","0.47264","0.18595","0.15811","0.39951","1.38534","0.40997","1.12845","0.4278","0.00361","0.23409","0.41255","0.00659","0.27019","0.12665","0.64828","0.00367","0.12262","0.1358","0.26261","0.0345","0.96966","0.05369","1.89062","1.62821","0.52086","0.06715","0.46299","0.5212","1.76458","3.4986"
"FA 18:0","FA 18:0","0.01411","0.10172","0.92697","0.08886","1.25751","4.18731","1.29059","0.70253","0.0083","0.77553","0.01454","1.82953","0.40672","0.69592","0.19489","0.09286","0.06462","0.03099","0.0075","0.11462","0.66412","0.4182","0.59595","0.06513","2.02835","1.58506","0.10174","0.27754","0.29069","0.11831","0.39443","0.89886","0.64228","0.29897","0.44249","0.04689","1.45519","0.01445","2.49513","0.13132"
"FA 18:1","FA 18:1","0.12198","0.17116","1.33331","0.14174","1.41644","4.34394","1.70483","0.00264","0.2145","0.53068","0.17844","0.17289","0.47194","0.02568","0.91869","0.00477","0.00241","0.29774","0.07472","0.05708","0.03166","0.29017","0.00021","0.04583","0.0011","0.06819","0.28586","0.46295","0.16805","0.44241","0.07305","0.04149","0.01122","0.23059","0.00363","0.07219","0.05871","0.20679","0.03742","0.08462"
"FA 18:2","FA 18:2","0.04575","0.12751","1.12379","0.08493","1.68821","4.53262","1.63373","0.10248","0.15424","1.11392","0.3377","0.20547","0.48933","0.04862","0.67458","0.09566","0.05441","0.21305","0.1599","0.004","0.0078","0.00481","0.02363","0.00457","0.01911","0.21638","0.01794","0.96634","0.25005","0.05238","0.0012","0.02745","0.09257","0.79186","0.00863","0.16674","0.03881","0.04702","1.24295","0.81875"
"FA 18:3","FA 18:3","0.23681","0.21208","0.34901","0.04781","2.09253","1.82408","1.27852","0.02838","1.62572","0.15798","0.1821","1.11433","0.02196","0.23847","0.01784","0.15713","0.15234","0.57491","0.09902","0.09221","1.30383","0.38838","0.33053","0.29214","6.74414","0.05242","4.4669","1.64646","0.80914","2.65679","0.97626","0.14751","0.7852","1.06664","0.20476","4.65796","2.4665","0.09176","0.92088","0.0005"
"FA 20:3","FA 20:3","0.16437","0.3516","1.88149","0.58862","0.63071","1.05073","0.33928","0.06679","1.28811","0.15492","2.40624","0.01519","0.07109","0.11366","0.10148","1.19816","0.5292","0.00037","2.38914","0.32913","0.26753","0.00908","0.20174","4.07763","0.11808","0.17157","0.23753","0.51489","1.00891","2.03234","1.73712","0.02978","0.00769","0.00372","0.51482","1.10325","0.00435","0.54876","0.12373","0.36139"
"FA 20:4","FA 20:4","0.08623","0.04613","1.65245","0.8314","0.02652","1.19418","0.02592","0.44687","0.00208","0.01722","5.1193","0.01221","0.40178","0.04911","1.17809","0.0413","0.00206","1.82524","0.49452","1.21699","1.44753","0.00018","0.42914","2.68112","1.30478","0.07106","0.48833","0.51566","6.81648","0.51463","0.08054","2.49831","0.07277","1.87051","0.06337","0.09248","0.94811","2.95747","0.45334","0.02486"
"FA 22:6","FA 22:6","0.00104","0.60377","1.45686","0.37336","0.31511","1.39514","1.38349","0.00144","0.09946","0.00499","1.3831","0.35879","0.06014","0.26145","2.31955","3.56787","0.86961","0.1271","0.07482","0.47638","3.38436","0.0996","1.00965","0.06361","0.86145","0.59444","0.17736","0.43031","0.48625","0.58969","0.10656","1.47405","0.02905","0.04219","0.08032","1.92706","0.03662","1.65923","0.2319","0.12598"
"PI 34:1","PI 34:1","0.04245","0.04182","0.18384","0.0695","0.01608","0.06398","4.05264","0.01796","0.36156","0.29195","3.22005","2.60188","0.15646","0.01003","3.22459","2.99832","0.08774","0.05357","5.66756","0.96683","1.03907","0.00122","0.43955","4.82242","0.12235","1.92009","1.35716","0.00446","0.07025","0.04166","1.69427","1.83141","0.00139","0.49989","0.34334","0.4844","0.13258","0.70176","2.72155","0.07755"
"PI 34:2","PI 34:2","0.3152","0.00528","0.00079","0.01281","0.00143","0.47829","0.7578","0.19549","0.38612","3.61625","2.16899","0.12422","0.86739","0.20538","0.33469","10.01471","4.20548","1.43862","0.07507","4.45356","0.02502","1.98759","0.01383","0.04917","0.02662","1.25082","1.32383","0.25036","0.11983","0.02013","0.05423","1.36142","0.08753","2.9572","0.53001","0.09102","0.23848","0.00014","4.31118","0.0429"
"PI 36:2","PI 36:2","0.8891","0.19501","0.17428","0.09905","0.01256","0.37986","0.84979","2.45418","1.43988","0.2571","0.03624","2.03189","0.03277","0.71048","1.85584","0.00057","0.83022","0.15491","0.50199","3.41202","1.2168","0.1329","0.67591","0.80795","0.51682","0.00943","0.11752","0.32415","0.00303","1.58236","0.13485","0.91648","6.01321","0.10741","0.3356","0.80694","4.5321","1.94941","1.9781","0.00053"
"PI 36:4","PI 36:4","0.109","0.00235","1.14979","0.00734","0.44524","0.08284","3.49707","0.1198","0.69598","4.87761","1.85939","0.03027","0.52882","0.9335","0.00019","0.03677","2.48279","0.23408","1.10715","0.23712","1.64287","0.06367","0.16128","1.03333","0.2143","0.9241","1.11922","0.41268","0.74093","0.39741","0.34131","0.19716","0.1943","0.54383","0.72614","0.03066","0.55063","0.21646","0.01345","0.1651"
"PI 38:3","PI 38:3","0.01547","0.03609","0.18361","0.04323","2.15576","0.35949","0.17419","1.9836","1.232","8.12856","1.24789","0.69645","0.04983","0.48706","0.07362","0.00372","0.10009","0.41778","0.02013","0.02587","0.92264","0.23809","0.16927","1.38013","0.00294","3.65401","0.00144","0.0047","0.42912","0.906","1.7294","2.22323","0.12305","3.13083","0.10767","0.06622","0.09195","0.33152","0.57927","0.00043"
"PI 38:4","PI 38:4","0.3977","0.45639","0.04758","1.8195","0.31742","0.13384","0.28776","0.07341","0.17063","0.35582","0.5303","0.07969","1.34428","0.49404","5.01218","1.66131","0.26328","0.37457","1.6458","2.4838","0.30078","0.70608","1.13394","1.6389","6.90518","0.16836","1.11696","0.22039","0.37527","0.5068","0.1215","0.6168","0.95334","1.19426","1.05416","0.00005","0.22219","0.01568","0.00675","2.08939"
