feature	BS-007-RAN-01-M3	BS-007-RAN-02-M3	BS-082D0	BS-126-RAT-05-M2	BS-129-RAT-10-M5	BS-135-RAN-IC-M3	BS-172-RAT-10-M3	BS-356-RAN-03-M4	BS-364D0	BS-391-RAN-06-M2	BS-472-RAT-01-M1	JV-015-RAN-IC-M2	JV-017-RAN-10-M3	JV-036-SOC-10-M2	JV-061-MIN-03-M5	JV-070-DAV-04-M1	JV-070-DAV-07-M3	JV-070-MIN-01-M1	JV-089-SOC-04-M1	JV-090-MIN-IC-M4	KT-004-SOC-14-M1	KT-004-SOC-16-M1	KT-193D0	KT-247D0	KT-312D0	KT-313D0	KT-347D0	KT-412D0	KT-417D0	KT-445D0	KT-522D0	KT-525D0	KT-537D0	KT-538D0	KT-539D0	KT-565D0	KT-663D0	KT-695D0	KT-705D0	KT-723D0
30:0	-0.9128783057768706	-1.2178279498910518	-1.594576066429997	-1.3760531728906404	-1.2676611974151069	-0.9823604937196828	-1.1825507658579615	-1.142264821648469	-1.701163845234903	-1.2420378614556251	-0.9105309834164629	-1.1690820304440868	-1.3181935894956598	-1.0780712693188734	-0.6918329056681011	-1.106446440204723	-1.0423985068913568	-1.0144188140519703	-0.7777757207412245	-1.1823508439856811	-0.6622621739859925	-1.0400835390880192	-1.486516146314422	-1.8954035521472	-1.612494709590702	-1.3173847267150784	-1.6109201337722436	-3.603153036762823	-1.5025451564879109	-3.490771493052708	-1.6573076430444311	-1.7343196808590071	-1.6720962647762225	-1.9842656452375373	-1.5196289266209735	-1.756748839270825	-1.4924810101288768	-3.4064771605840503	-1.6646990074209926	-1.6452212432783273
32:0	0.014788038176230296	-0.18003938900165214	-0.3645603565409144	-0.041376076668238865	-0.05646237710501093	-0.14468964595303407	-0.10132577730035032	-0.10411858541991313	-0.5038832871092837	-0.1196882982859261	-0.031947442145812494	-0.10297544573413706	-0.16145810565779004	-0.10361351770188441	-0.041393834874715374	0.5422401674060464	-0.07241772852584394	0.013957762576003617	-0.016365342442765912	-0.09680987338130521	0.07970844079459989	-0.023140989897629017	-0.28514019624530473	-0.5617044397298506	-0.4445768984497288	-0.5758736157092318	-0.2684974529500374	-0.662138793057253	-0.3943012886299822	-0.5588053783245353	-0.2615721796234272	-0.5168357366451009	-0.3752042296508746	-0.5564348016342452	-0.2717383751402671	-0.3493079440683085	-0.5138060474346139	-0.39958345263614997	-0.4548226829724113	-0.5749034575620077
32:1	0.046242290389224935	-0.26604383973375495	-0.4406320822742291	-0.2798456177500923	-0.32629543361299784	-0.009822555795853786	-0.1573111663129094	-0.1922687200941038	-0.6373302910284326	-0.1946132115274871	-0.027295073264246576	-0.24617348033938657	-0.3574017460330433	-0.0382464359786264	0.02611267083890071	-0.3240945656304958	-0.34625984205631277	-0.2630607402562632	-0.15067944362854976	-0.10655460713946814	-0.004274691564832509	-0.2580161712598454	-0.28344950999563967	-0.6071123974894423	-0.569099125500926	-0.58946462811248	-0.32670363711791256	-0.8596432720343931	-0.3409234034529018	-0.7697857488989688	-0.497649089916658	-0.43692396985012	-0.5998336868467342	-0.5756017711737267	-0.44126172857533286	-0.3806014514698138	-0.41141888421669565	-0.6773123708912804	-0.5119984885540687	-0.6851686875623716
32:2	-1.1246336329567816	-1.2319909815583663	-3.3654280780721413	-1.373865286742465	-1.5576022209134759	-1.1530089935978902	-1.1932161049398415	-1.2487883146098082	-1.935247051268271	-1.2789989318147752	-1.2609487917372426	-1.2036312994131269	-1.5260414446708277	-1.2235737456784346	-0.9644102689798777	-1.5119560432376011	-1.1668149409930437	-1.3529000544859446	-1.1997607021716672	-1.283666535247557	-1.1484937374357396	-1.2698720798951875	-3.597105856613671	-3.701583526131087	-3.6843767168968276	-1.8250719731003446	-3.508547225062685	-3.603153036762823	-1.723168815074961	-3.490771493052708	-3.5549347343348727	-3.512470931242651	-3.43552425833916	-3.4894156235574436	-3.4690189332658865	-3.6861677649851177	-1.8312995666822578	-3.4064771605840503	-3.6140890140659057	-1.9084626780529088
33:1	-1.2230133410456137	-1.374059044753251	-1.2755229666327432	-1.264478397840322	-1.306813321377255	-1.2694411463084219	-1.5965886380079455	-1.331432601334369	-1.5216394103408277	-1.1763946080169594	-1.358255239717512	-1.141852376953176	-1.3053924043309342	-1.2117040893516697	-0.9991282418635216	-1.0713237140776568	-1.178453248405118	-1.1849775845076904	-1.0867439798935912	-1.3322718686810582	-1.2000035568855059	-1.0544813597886615	-1.4067741584433795	-1.3455576689379645	-1.3663133819340658	-1.4551606880285506	-1.3979575147634362	-1.3651069336340274	-1.4775171507859797	-1.3004397948824165	-1.4685749036601243	-1.316571278833417	-1.359977296946629	-1.3133243645017623	-1.167988937601905	-1.4847706406646664	-1.1587818977115276	-1.3061066154664875	-1.3218329427094295	-1.2606451961642713
34:1	1.3169314771756686	1.0949499709043664	0.9227093168099252	1.2200160739482324	1.161359776906568	1.2643586601428283	1.2469054982479622	1.1960284403827508	0.7995854222233202	1.1784256853754151	1.2556058817766915	1.1624762552141004	1.1386134966413526	1.2796198321308327	1.2618626214411959	1.1407152538718446	1.1322059786967822	1.169503674410064	1.1560723473370031	1.1260611053008998	1.1959373200452417	1.141666869278659	1.0462678500601517	0.8570650548333799	0.7535164739726861	0.7190154589636862	1.001823496217429	0.6663132066128632	0.9726333830605293	0.7200551456255478	0.8789470579522727	0.8990309268965732	0.8687507921379686	0.8771567426256761	1.0284221618110851	0.9877190232140921	0.9030819813021034	0.8024476704962137	0.9055289980874931	0.7961167716433905
34:2	1.2014772434778414	1.0977046156455146	0.6986928277574805	1.321585588876667	1.2658281678043561	1.130659957036399	1.2739830488711485	1.1962423175586385	0.5810049330697387	1.2497090043996602	1.2139849237232077	1.2009573100410103	1.055755253750089	1.1711160666284468	1.2956087351125494	1.1977564503516773	1.225044332568254	1.1461976213712335	1.1147804148719347	1.179365263694183	1.1877947939766487	1.2362183849188975	1.0539879309239535	0.7102213046843363	0.45177286919170345	0.3113513017579247	0.8957561233950984	0.4874576710655839	1.0207713430411076	0.3739175410841431	0.5867658226625176	0.8409259121548907	0.6634308020993095	0.8886186988998881	0.750408401241795	0.8991350105365886	0.7218660281617988	0.668083307218845	0.9209644680343656	0.5551815028586462
34:3	-0.4294952301724375	-0.4176035650128051	-0.9276775152517532	-0.4356775717729808	-0.5909675877902404	-0.44534524979908496	-0.42661430376194615	-0.45071883539165725	-1.0914170252406497	-0.4468467824534168	-0.4962110374975369	-0.46076112903924304	-0.7468929619732353	-0.4190721072832954	-0.3187963216041045	-0.7030998195406042	-0.5255983258248664	-0.4645565790860392	-0.5515605096932324	-0.48500235173336737	-0.3783525717674779	-0.5737963108816351	-0.8567431671194272	-1.2916504027997926	-1.2280106837677844	-1.2333119384121942	-1.0143926310442422	-1.5539350140926411	-0.9079091832391554	-1.4493788078944827	-1.2924836446044432	-1.0843361372138618	-1.2050753369608858	-0.8895325514837555	-1.0924419762093744	-1.144588521038537	-0.9792079056219968	-1.042865180691906	-1.0638606610108114	-1.2217271301339017
35:1	-1.6368839516946265	-1.7300017117379205	-1.5660875286185596	-1.6556850238533913	-1.6203119576008342	-1.6871687492879168	-1.9068266354587504	-1.5978463985120217	-1.8620151377338474	-1.5800289274787565	-1.7796212621815566	-1.5606818610851052	-1.6874094469058025	-1.5551925240385358	-1.2570478395885591	-1.4276351575375652	-1.4636889768858672	-1.4841789691252636	-1.4600947153301775	-1.6731733763827317	-1.542640757090638	-1.3101444175099275	-1.710615131441189	-1.6845501868323067	-1.7652986245207536	-1.8678239535212946	-1.6956338684198295	-1.6686545855192552	-1.8035751521518921	-3.490771493052708	-3.5549347343348727	-1.7062909572587637	-3.43552425833916	-1.632083127126175	-1.397136925959761	-3.6861677649851177	-1.4178473918319727	-1.503387173592107	-1.6140890140659054	-1.5782744536477142
36:1	0.21191398943653042	0.529197306723356	-0.05729069943410271	0.3153498402404636	0.5294450921364151	0.5524223510241394	0.5396661501849939	0.6646238294571197	0.1822947907173162	0.5437398281164146	0.5906331369306497	0.39166829467651487	0.39862988436223673	0.6809360409597219	0.34115080326266184	0.33426548095298136	0.3613660282920563	0.4331808877055182	0.4147539972280112	0.3399475552405904	0.5236446462763247	0.33450543279849687	0.09670899727574574	0.045517405233899154	-0.16232391602800492	-0.10207834382250887	0.05789026713238518	-0.1280632333738162	0.08889676983417615	-0.017576583847770107	0.01665764902643444	-0.10610109577338322	0.01564789917338007	-0.11320377327477062	0.21654367789234347	-0.021901964837442826	0.11664630811280342	0.06098294892321352	0.043731441949791734	-0.09240559629587233
