sig_pval	feature	mean_ctrl	mean_mild	mean_severe	sd_ctrl	sd_mild	sd_severe	method	statistic	pval	negLog10pval	padj	negLog10padj	sig_padj	Chain	DB	p.signif	p.adj.signif	star	color
yes	38:5	3.0145666598969285	0.6770789969476048	0.7101332047711425	0.42247699700403285	0.19561306777222415	0.20157309394940712	One-way ANOVA	232.5278750039921	1.1164027706009496e-21	20.952179094384043	1.6076199896653675e-20	19.793816602288793	yes	38	5	*	*	*	20.952179094384043
yes	38:6	4.837715548651197	0.812943215358667	0.9541936068749506	1.2120382579517472	0.2144200811430843	0.3250782940603061	One-way ANOVA	179.9995156123297	8.592650076558857e-20	19.06587287387189	6.186708055122378e-19	18.208540377440624	yes	38	6	*	*	*	19.06587287387189
yes	38:7	0.1678248343989029	0.04697320320261628	0.049637969021517896	0.03198941579465896	0.01570319101836977	0.018603064674750702	One-way ANOVA	98.8141202799393	1.4444304753642155e-15	14.84030335717204	5.199949711311176e-15	14.284000856404752	yes	38	7	*	*	*	14.84030335717204
yes	39:1	0.05328827628529546	0.04684062965517174	0.022422076251557024	0.017646542754597996	0.018894334989159524	0.01023943527395559	One-way ANOVA	8.129795697580755	0.0011840554359443885	2.9266279640310504	0.0015787405812591846	2.8016892274227505	yes	39	1	*	*	*	2.9266279640310504
yes	40:1	0.5807205038670706	0.6328295191246295	0.4214451363360185	0.12421082662708298	0.20265032565774851	0.05984787968486639	One-way ANOVA	6.661387026017705	0.003381327857799632	2.470912717453692	0.004271150978273219	2.3694550766949147	yes	40	1	*	*	*	2.470912717453692
yes	40:2	0.3743748367137485	0.39691247741943575	0.2810839795113205	0.07477746176916004	0.10901814321590328	0.04979007237120051	One-way ANOVA	6.791073579135331	0.0030745571602575597	2.5122174284109473	0.003953002063188291	2.4030729589858795	yes	40	2	*	*	*	2.5122174284109473
no	40:3	0.015459063332142926	0.02494159969862515	0.017578818528168245	0.009486477160634095	0.011441203186447283	0.010088822014568287	One-way ANOVA	0.8892817850600399	0.4195513403042905	0.3772148871676487	0.4315385214558416	0.36498043075063713	no	40	3	ns	ns		0.3772148871676487
yes	40:4	0.15524668244050427	0.04464242709554081	0.024878119330093436	0.05413419512471841	0.018536099727466056	0.018639520301641316	One-way ANOVA	60.308382110490875	2.2703214760987863e-12	11.643912642626004	5.1082233212222695e-12	11.291730124514642	yes	40	4	*	*	*	11.643912642626004
yes	40:5	0.7026622040753451	0.19000673508627702	0.16818800333948733	0.16471368233668338	0.06876396965421296	0.060946921339926186	One-way ANOVA	94.79690519642317	2.751966278493927e-15	14.560356892076692	9.435312954836322e-15	14.025243690379343	yes	40	5	*	*	*	14.560356892076692
yes	40:6	1.8819578892279674	0.3780073399967583	0.407946932442576	0.570062963995842	0.11432882278541041	0.13896346675989216	One-way ANOVA	100.37983883521207	1.1302516091161442e-15	14.946824865997039	4.5210064364645766e-15	14.344764874669076	yes	40	6	*	*	*	14.946824865997039
yes	40:7	0.2639005694925062	0.03861946723164844	0.03318260649427058	0.05472308443310031	0.013113662888430123	0.014785474683317422	One-way ANOVA	38.979405475665864	7.792916580478592e-10	9.108299972654919	1.4765526152485752e-9	8.83075107284046	yes	40	7	*	*	*	9.108299972654919
yes	40:8	0.12389447059377105	0.02240289155410246	0.022943842611959916	0.020208121616020775	0.011103264985980221	0.007290263351930439	One-way ANOVA	35.15248184778823	2.787824138228835e-9	8.554734625913238	5.146752255191696e-9	8.288466736508468	yes	40	8	*	*	*	8.554734625913238
