feature	BS-064D03	BS-082D03	BS-336D03	BS-346D03	BS-351D03	BS-364D03	BS-377D03	BS-671D03	JV-035D03	JV-048D03	JV-071D03	JV-138D03	JV-148D03	JV-157D03	KT-193D03	KT-247D03	KT-312D03	KT-313D03	KT-347D03	KT-352D03	KT-412D03	KT-417D03	KT-434D03	KT-445D03	KT-515D03	KT-522D03	KT-525D03	KT-537D03	KT-538D03	KT-539D03	KT-565D03	KT-612D03	KT-663D03	KT-695D03	KT-705D03	KT-716D03	KT-718D03	KT-723D03	KT-771D03	KT-805D03	KT-880D03	KT-974D03
8-HETE	13.815850000000001	258.91165	74.30454	6.940416666666666	4.02584	3.0046999999999997	13.396283333333335	12.4113	5.409966666666667	24.431049999999995	18.30855	4.390183333333334	16.24365	13.411966666666668	7.6308333333333325	4.87325	6.976583333333333	3.5760666666666667	14.5988	6.695433333333333	3.1761166666666667	2.638233333333333	6.457116666666667	243.05183333333332	6.8549500000000005	10.7155	3.402866666666667	7.361383333333333	14.6826	6.36575	6.630683333333334	5.91225	11.6869	13.414733333333334	6.681116666666667	4.668666666666667	7.956316666666667	9.8413	2.4120833333333334	5.267816666666667	229.2537714285714	11.911616666666667
12-HETE	148.58415000000002	1049.3517166666668	307.5918	368.4640166666667	413.76472	321.05681666666663	396.72839999999997	444.51615000000004	694.1896166666667	227.21941666666666	202.76486666666668	252.69985	411.47065	499.15445	605.2746166666667	433.9258666666666	370.3676833333333	239.15995000000004	148.85865	287.6450833333334	205.26735000000002	67.82501666666667	569.9489166666666	644.4697	291.71861666666666	943.4239333333334	135.34196666666668	610.1278	834.2667333333334	621.5379333333333	149.26168333333334	461.1065833333334	579.4662999999999	777.5275333333334	221.90058333333334	483.97148333333337	804.2590333333333	1126.48895	198.63013333333336	346.6533	601.7862	927.7404833333334
15-HETE	5.650883333333334	128.57378333333332	33.1252	4.554716666666667	3.14468	2.0231666666666666	4.886666666666667	6.99615	6.056533333333333	11.916066666666666	7.3690500000000005	3.182166666666667	8.828033333333334	6.045583333333334	3.922083333333333	3.2707833333333336	3.0195999999999996	1.8955166666666667	6.2506	3.7029333333333336	1.5156666666666667	1.1818833333333336	3.87955	123.93554999999999	2.8230500000000003	5.740683333333333	2.5605333333333333	4.258866666666667	9.191816666666666	4.864733333333334	3.378716666666667	4.157033333333334	8.1455	8.069033333333334	3.4638833333333334	3.105266666666666	5.5875	6.397216666666666	1.2123666666666668	3.173966666666667	121.50745714285713	7.2202
5-oxo-ETE	5.1174333333333335	37.299083333333336	1.8527999999999998	2.198516666666667	0.78836	0.19061666666666666	9.375066666666667	1.47055	0.21674999999999997	1.1416499999999998	7.039266666666666	1.733466666666667	1.7455166666666668	1.3267333333333333	1.1201	0.5177333333333334	2.664216666666667	0.5735333333333333	19.71345	0.40166666666666667	0.27904999999999996	0.9583999999999999	0.3575666666666667	18.124000000000002	4.117900000000001	0.16716666666666666	3.162266666666667	1.1470833333333335	2.593566666666667	0.7164	3.748366666666667	0.82565	0.6813	0.54875	2.2576666666666663	0.10238333333333333	0.9077833333333333	0.52325	0.2637333333333333	1.2035666666666667	17.189857142857143	7.482233333333332
LTB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LxA4	3.238466666666667	16.595333333333333	8.17376	1.6592833333333334	0	0	2.28655	2.03055	0	1.3127666666666664	2.9774999999999996	1.00035	2.613983333333333	1.33485	0.49251666666666666	0	1.2329	0.15875	4.546916666666666	0.3093666666666667	0.23538333333333336	0.5765833333333333	0.24193333333333333	8.031266666666667	2.5199833333333332	0.46265	0.7070666666666666	0.6030333333333334	1.8382833333333333	0.22716666666666666	2.949666666666667	0.35011666666666663	0.6735000000000001	0.9284166666666667	2.0568666666666666	0.14601666666666666	0.15261666666666668	0.3627	0.15811666666666666	0.43776666666666664	7.166942857142857	5.653616666666666
LXB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8isoPGA2	0	3.6180666666666665	0	0.28851666666666664	0.2048	0	0.18573333333333333	0.26415	0	0	0.18053333333333332	0.11828333333333332	0.34548333333333336	0.14618333333333336	0.3217166666666666	0.10483333333333333	0	0.09501666666666668	0.39296666666666674	0	0	0	0	1.1549833333333335	0	0	0.08211666666666667	0.26056666666666667	0	0	0.11183333333333335	0.29378333333333334	0	0	0	0	0.28663333333333335	0.7885666666666666	0	0.13248333333333334	1.2374857142857143	1.0163666666666666
PGD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE2	0.63815	7.018516666666667	1.91874	0.575	0	0	0.8439833333333334	0.5322166666666667	0	0.32306666666666667	1.0291333333333335	0	0.6602166666666667	0.6211	0.6374666666666667	0	0	0.42739999999999995	1.0176666666666667	0	0	0	0	2.2117500000000003	0	0	0	0	1.2604166666666667	0	0	1.409616666666667	0	0	0.28350000000000003	0	0.7245000000000001	2.1157666666666666	0	0.4528	2.231742857142857	1.8032333333333335
