feature	BS-064D10	BS-082D10	BS-336D10	BS-346D10	BS-351D10	BS-364D10	BS-377D10	BS-671D10	JV-035D10	JV-048D10	JV-138D10	JV-148D10	JV-157D10	KT-193D10	KT-247D10	KT-312D10	KT-313D10	KT-347D10	KT-352D10	KT-412D10	KT-417D10	KT-434D10	KT-445D10	KT-515D10	KT-522D10	KT-525D10	KT-537D10	KT-538D10	KT-539D10	KT-565D10	KT-612D10	KT-663D10	KT-695D10	KT-705D10	KT-716D10	KT-718D10	KT-723D10	KT-771D10	KT-805D10	KT-880D10	KT-974D10
15-HETE	1.6075666666666668	5.3709333333333324	4.222616666666666	7.306633333333333	18.390833333333333	7.103716666666667	33.24955	5.986633333333334	3.4544	2.1001833333333333	9.472733333333334	6.504840000000001	5.0020999999999995	8.383916666666666	3.550883333333333	2.6258166666666662	2.3218	2.733283333333333	3.4745166666666667	4.006883333333334	3.419333333333333	14.12655	5.461083333333334	3.0940166666666666	2.582733333333333	1.8178000000000003	5.837316666666666	1.5492	1.8888333333333334	4.4525500000000005	5.596416666666666	4.185833333333333	3.0210999999999997	97.23951666666667	3.4717166666666666	2.2328	8.931016666666666	3.7121666666666666	22.2188	12.185283333333333	5.104416666666666
5-oxo-ETE	1.2324	4.489833333333333	0.8755833333333333	0.42815	1.4889999999999999	0.9175166666666665	11.912583333333334	1.5116	1.2690166666666665	0.09141666666666666	2.593433333333333	0.35628	0.7275666666666667	5.816683333333334	0.4238166666666666	3.5515666666666665	0.08171666666666667	3.3905833333333333	0.1951166666666667	10.742366666666667	0.3843833333333333	6.0017	6.55395	2.2794499999999998	2.0132333333333334	1.5568	1.5260833333333332	2.1162666666666667	1.2454500000000002	0.37911666666666666	2.8135666666666665	0.3202833333333333	1.5365666666666666	42.10305	1.8917	0.4248166666666667	0.86285	0.7240000000000001	1.7314333333333332	1.6353499999999999	0.39766666666666667
LTB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LxA4	0.5978666666666667	1.7554666666666667	1.8282666666666667	0	1.4378833333333332	1.4204833333333333	8.044883333333333	0.8547999999999999	0.7873333333333333	0.44460000000000005	1.2309333333333332	0	1.7577166666666668	2.6840833333333336	0.6808833333333334	0.46458333333333335	0	1.2262666666666666	0.1996666666666667	4.6592	0.15308333333333335	2.4972333333333334	4.0343333333333335	0.4192166666666666	0.7417166666666667	0.9143166666666667	1.2778666666666667	0	0	0.6736833333333332	1.2433666666666667	0.45821666666666666	2.2971500000000002	11.893733333333332	0.48153333333333337	0.4451	0.6804666666666666	0.19846666666666668	1.7591	1.0279833333333335	0.4319833333333333
LXB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8isoPGA2	0	0.25495	0	0.32271666666666665	0	0	1.2461	0	0	0	0.4018333333333333	0	0	0.2769833333333333	0	0	0.13216666666666668	0	0	0	0	0	0.48364999999999997	0.06098333333333333	0	0	0.12281666666666666	0	0	0.1844166666666667	0	0.11863333333333334	0	1.6492333333333336	0.06503333333333333	0	0.2027	0	0	0.47283333333333333	0.048183333333333335
PGD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE2	0	0	0.4624333333333333	0.7575500000000001	0.56195	0	2.189333333333333	0	0.36293333333333333	0	0.8879666666666667	0	0.4944	0	0	0	0.5244333333333333	0	0	0.6092166666666666	0	0.6577833333333333	1.7373	0	0	0	0	0	0	0.698	0.47385	0.6852166666666667	0	1.5463666666666667	0	0	0.5498833333333334	0	0.5396666666666667	0.9270999999999999	0
PGF2a	0.39481666666666665	1.2662499999999999	1.833883333333333	2.8646000000000003	0	0	0	0	1.9694	0	7.171016666666666	0	0	2.44775	0	0.8110833333333335	3.7424666666666666	0	1.27685	0	1.7430666666666665	10.336833333333335	2.7706166666666667	2.1952833333333333	0.8519666666666665	1.2272	2.1637166666666667	0	0	4.74415	0	2.4259666666666666	0.7472833333333333	0	0.8199166666666666	0	5.876433333333334	1.2625	0	7.104616666666667	3.4591833333333333
11B-PGF2a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
