feature	BS-064D60	BS-082D60	BS-336D60	BS-346D60	BS-351D60	BS-364D60	BS-377D60	BS-671D60	JV-035D60	JV-071D60	JV-138D60	JV-148D60	JV-157D60	KT-193D60	KT-247D60	KT-312D60	KT-313D60	KT-347D60	KT-352D60	KT-412D60	KT-417D60	KT-434D60	KT-445D60	KT-515D60	KT-522D60	KT-525D60	KT-537D60	KT-538D60	KT-539D60	KT-612D60	KT-663D60	KT-695D60	KT-705D60	KT-716D60	KT-718D60	KT-723D60	KT-771D60	KT-805D60	KT-880D60	KT-974D60
5,6-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8,9-EET	2.77595	3.0104333333333333	1.0815333333333332	5.26895	0	1.4082999999999999	0.6642500000000001	0.43715	0.5656833333333334	0.24400000000000002	0	3.2365166666666667	0.5365	1.5818166666666664	6.313083333333334	1.03725	0	0	0.5594666666666667	0	2.0626	0	3.092233333333333	1.0328333333333333	3.1566333333333336	0	0	0.9791333333333333	1.1598666666666666	0	0.9873166666666666	0.33565	1.6943000000000004	1.7926833333333334	0.6175999999999999	2.0067333333333335	0	0.5648666666666666	4.45565	0
11,12-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14,15-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-HETE	163.02405000000002	145.09745	16.011599999999998	305.6185	188.69903333333332	790.7950000000001	205.29680000000002	188.79878333333332	154.27348333333333	104.67716666666666	254.16910000000001	16.7148	518.7511333333333	36.38948333333334	2309.7009666666663	162.15625	101.32588333333334	252.17774999999997	229.30823333333333	125.04509999999999	390.0989666666667	29.21441666666666	743.57585	394.17758333333336	104.69818333333335	218.3559166666667	285.1839	129.58323333333334	105.61505000000001	22.660000000000004	19.923499999999997	26.569366666666667	49.465500000000006	1541.3184833333335	142.31935000000001	168.174	63.54306666666666	202.09326666666666	50.09831666666666	28.531366666666667
8-HETE	9.764550000000002	16.568716666666667	2.1109833333333334	20.809816666666666	4.691783333333333	46.34621666666666	5.555133333333334	8.51885	4.827333333333333	5.981399999999999	19.323950000000004	6.370433333333334	33.30903333333333	9.73615	258.38666666666666	5.0983	6.4125499999999995	11.142983333333332	8.237716666666666	3.94405	15.7731	3.364416666666666	37.944383333333334	18.423199999999998	14.423533333333333	3.9125500000000004	13.566366666666665	8.293149999999999	6.255766666666667	6.131166666666667	3.1765666666666665	0.9148499999999999	7.884466666666667	30.70221666666667	6.147166666666667	10.454033333333335	6.08265	4.3516	13.592616666666666	2.1349833333333335
12-HETE	387.3217333333334	989.11405	159.16388333333333	1046.1483833333334	273.8611833333333	263.32365	483.73651666666666	167.24761666666666	205.36454999999998	15.52295	235.06438333333332	544.6209833333334	339.4882666666666	925.0169833333333	1269.2368333333334	214.27083333333334	542.1408833333334	592.9479666666667	227.80636666666666	138.65638333333334	641.1897666666666	269.6453666666667	634.7568833333333	299.46948333333336	276.6507833333333	148.64535000000004	485.25783333333334	280.0083	346.07214999999997	19.222383333333333	273.56620000000004	88.99606666666666	594.9565166666666	172.69731666666667	221.6979	438.9652	250.42771666666667	133.4171777777778	1245.4189666666666	216.58351666666664
15-HETE	5.566166666666666	5.287583333333333	1.7725833333333334	10.631583333333333	2.5810999999999997	23.247116666666667	4.820083333333333	3.417566666666667	2.0534166666666662	2.113166666666667	11.044016666666666	4.612366666666666	19.176766666666666	10.3817	165.56955	4.27745	3.0166666666666666	5.758616666666666	3.924	1.6251	6.603516666666667	1.6402499999999998	26.416150000000002	10.047216666666666	8.75595	1.6731833333333332	6.252566666666667	3.19075	4.094083333333333	3.1640333333333337	2.6310999999999996	0.8892666666666666	5.3078	16.983166666666666	2.338	6.8487833333333334	2.7203500000000003	1.8668444444444448	9.232583333333332	3.471233333333333
5-oxo-ETE	3.2697833333333337	2.6386499999999997	0.31973333333333337	4.10265	1.5260666666666665	2.71455	0.40859999999999996	3.4410666666666665	2.84625	3.273566666666667	0.5901166666666667	0.6631666666666667	1.8921333333333334	0.7908833333333334	45.88576666666666	2.4383500000000002	0.7935	1.19305	6.602650000000001	1.2228833333333333	10.56865	0.20331666666666667	13.402500000000002	2.62405	6.2833499999999995	3.9123	0.9576666666666668	0.2820833333333333	0.6104333333333333	0.04956666666666667	0.32083333333333336	0.3736666666666667	0.6908833333333333	68.60473333333333	3.4865333333333335	0.8304833333333334	1.3182833333333333	3.051244444444445	2.09265	0.18694999999999998
LTB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
