feature	BS-064D0	BS-082D0	BS-336D0	BS-346D0	BS-351D0	BS-364D0	BS-377D0	BS-671D0	JV-035D0	JV-048D0	JV-071D0	JV-138D0	JV-148D0	JV-157D0	KT-193D0	KT-247D0	KT-312D0	KT-313D0	KT-347D0	KT-352D0	KT-412D0	KT-417D0	KT-434D0	KT-445D0	KT-515D0	KT-522D0	KT-525D0	KT-537D0	KT-538D0	KT-539D0	KT-565D0	KT-612D0	KT-663D0	KT-695D0	KT-705D0	KT-716D0	KT-718D0	KT-723D0	KT-771D0	KT-805D0	KT-880D0	KT-926D0	KT-974D0
5,6-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8,9-EET	1.7687166666666665	1.61555	0	0.30360000000000004	0	2.2586333333333335	1.4956500000000001	0.36184999999999995	4.528283333333333	0	1.8024999999999998	0.8286333333333334	3.841416666666667	4.675133333333333	0	0.8475333333333334	0	0.3932166666666667	1.0163	0	1.4871	0	10.2252	0	0	0.4451	2.0115166666666666	2.1832833333333337	0	1.1946666666666668	0.43873333333333336	2.3373500000000003	0.5671833333333333	0	1.622166666666667	1.3866166666666664	0	0	0	0	3.8379666666666665	0	0
11,12-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14,15-EET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5-HETE	40.64261666666667	1754.82675	122.38018333333335	113.31355	431.7800857142857	118.98988333333334	79.96865	85.30096666666667	230.306	73.04053333333333	198.5768	173.93033333333335	19.331466666666664	1199.7205500000002	83.31513333333334	65.45926666666666	113.5991142857143	380.5844333333334	70.25055	91.76855	11.9487	20.31015	34.86573333333333	102.22284999999998	42.308616666666666	313.7303166666667	271.4021333333333	204.27706666666666	81.48141666666668	83.90893333333334	182.49086666666668	69.51188333333333	63.4129	344.64445	254.17478333333335	117.50406666666667	179.95055	14.536016666666665	17.121316666666665	59.57688	249.4905666666667	87.07393333333333	115.0843
8-HETE	4.750166666666667	136.25606666666667	4.358616666666666	5.30785	22.4168	11.544283333333333	6.9361	5.013	17.604966666666666	4.0095	9.022716666666666	7.966083333333334	4.261833333333334	60.126549999999995	6.529933333333333	4.771216666666667	9.64257142857143	29.8309	6.610783333333334	2.4981333333333335	4.4873	2.863633333333333	16.789116666666665	4.00195	1.4133333333333336	9.515366666666667	21.414550000000002	12.643333333333334	4.359416666666666	6.868516666666666	6.410916666666666	10.789499999999999	3.0799500000000006	35.93085	20.681449999999998	10.534233333333333	4.33885	1.4800833333333332	1.7356833333333332	1.9552800000000001	21.16541666666667	12.245216666666666	5.6876
12-HETE	480.37016666666665	881.7319833333332	153.40625	74.3683	273.9361428571429	954.2748499999999	640.5307333333333	78.02621666666667	658.19275	336.9789166666667	818.3693333333334	399.92991666666666	459.8498833333333	770.84855	86.49408333333334	210.14045	235.9330857142857	436.7483166666667	294.7330166666667	129.83495	497.23676666666665	249.89201666666668	1847.8667666666665	233.64596666666665	97.02248333333334	174.66626666666664	637.1892666666666	602.1359166666666	161.65234999999998	567.5326166666667	151.71956666666668	1052.9700833333334	118.16533333333334	264.2789666666667	382.31733333333335	740.55665	81.02476666666666	181.32031666666668	170.12871666666666	169.421	187.03519999999997	30.13605	282.60433333333333
15-HETE	2.851133333333333	73.14831666666667	2.06645	2.1014166666666667	14.07977142857143	7.1347	2.7878666666666665	2.301483333333333	7.082183333333333	2.6596166666666665	5.5885	4.513850000000001	2.9693666666666663	41.959966666666666	3.291233333333333	3.5447	5.163285714285714	15.588750000000001	2.7003333333333335	1.2238666666666667	5.130683333333334	1.8058	9.8157	2.03815	0.63331666666666675	4.064766666666666	9.9145	6.514933333333333	2.816333333333333	4.842849999999999	2.8630500000000003	5.982100000000001	1.7943166666666668	15.296483333333333	9.5396	4.2114666666666665	1.9823333333333333	1.0527833333333334	1.7254166666666666	0.96796	12.596116666666667	6.939800000000001	3.8154166666666662
5-oxo-ETE	0.7857	29.012116666666664	0.53015	2.65985	1.2348285714285714	1.8797333333333333	1.6960166666666665	1.8983166666666667	1.8708666666666667	0.9439166666666666	1.3916666666666666	2.1341166666666664	1.1988666666666667	15.032549999999999	0.40841666666666665	0.10206666666666668	0.26117142857142855	2.439516666666667	2.1862666666666666	1.0131666666666665	0.37361666666666665	0.39375	0.36200000000000004	1.7323666666666666	0.67525	3.515333333333333	1.4819833333333332	1.6130833333333332	0.40425	0.7531999999999999	2.8988500000000004	2.3289833333333334	0.40048333333333325	4.249933333333334	4.005866666666667	2.2044833333333336	3.801933333333333	0.7779	0.17119999999999996	1.7422799999999998	3.0274999999999994	0.26516666666666666	0.5185000000000001
LTB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LxA4	0	14.796600000000002	0.6100333333333334	0.9579333333333333	2.3194	0.9019499999999999	0.6388	0.4465833333333334	2.6540166666666662	0.5149333333333334	1.4694	1.0921166666666666	0.24323333333333336	29.350883333333332	0.44743333333333335	0.6317833333333334	0.4312571428571429	2.5124166666666667	0.63045	0.5962833333333334	0	0	0.28445	0.5568000000000001	0	3.5039333333333333	2.16915	2.0124666666666666	0.6334333333333333	0.77435	1.5848666666666666	1.1166000000000003	0.3879666666666666	2.957233333333334	2.604916666666667	1.0203833333333334	1.1752833333333332	0	0	0	1.3974666666666666	0.9221499999999999	0.7448333333333335
LXB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8isoPGA2	0	1.9778166666666666	0	0	0.23374285714285717	0.17503333333333335	0.24083333333333334	0	0.3835666666666667	0.17476666666666668	0.28661666666666663	0.11028333333333332	0	3.9592666666666667	0	0	0	0	0	0.02625	0	0	0	0.027949999999999996	0	0.09973333333333333	0	0.6161666666666666	0	0.25935	0.09696666666666666	0.6536833333333333	0	0.5054833333333334	0.4251	0.2823833333333333	0	0.052000000000000005	0.05081666666666666	0	0	0.4343833333333334	0
PGD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGE2	0	4.673533333333333	0	0	0	0	0.5299833333333334	0	0.8348333333333334	0.32006666666666667	1.2648666666666666	0.4966166666666666	0	10.152099999999999	0	0.4891	0	0	0	0	0	0	0	0	0	0	0.27901666666666664	1.2789	0	0	0.4628333333333334	1.65575	0	0.9705166666666667	0.9542166666666667	0.7882166666666668	0	0.1591	0	0	0.35649999999999993	0.5466333333333334	0
