"","BS-346D60","KT-193D60","KT-412D60","KT-716D60","BS-082D60","KT-771D60","KT-705D60","BS-336D60","KT-445D60","KT-522D60","JV-148D60","KT-352D60","KT-515D60","KT-926D60","KT-525D60","BS-377D60","JV-138D60","KT-612D60","KT-663D60","KT-537D60","KT-805D60","KT-434D60","KT-417D60","KT-538D60","KT-974D60","KT-347D60","JV-071D60","KT-880D60","KT-313D60","JV-157D60","BS-671D60","KT-718D60","BS-351D60","KT-723D60","JV-035D60","BS-064D60","KT-539D60","KT-312D60","BS-364D60","KT-247D60","KT-695D60"
"JV-138D60",0.849505230434842,0.851424096262914,0.900302234389333,0.89195867661112,0.90381059547976,0.885911467098443,0.920336218087416,0.855106391455159,0.908789161347947,0.868639347692099,0.84865448670092,0.919341021606789,0.848218400394683,0.84937997953056,0.808232965803139,0.903502422971009,1,0.849755581758401,0.845826100232402,0.859350570437618,0.853914095734271,0.914975727953128,0.849749927200969,0.872851621589196,0.828980737753422,0.867062482343519,0.913621224886768,0.849113789489875,0.902436541908634,0.891005578224468,0.892162240103139,0.838178332928091,0.844891150706184,0.899680236588941,0.886625482439052,0.856501468774716,0.80900763360072,0.879854451294262,0.829106104346272,0.874559652584974,0.891993214602894
"BS-377D60",0.852926208665035,0.819586200657058,0.965493258395881,0.895928164705483,0.89385012072446,0.882360425110751,0.943728989907617,0.851996358488611,0.931234927074068,0.778686902385651,0.820635916975017,0.850491519628844,0.854896394960711,0.849396943154895,0.727288662720137,1,0.903502422971009,0.876979448514519,0.844686710131242,0.750386632577636,0.836226590079414,0.831045606578404,0.764826956409246,0.868325148364921,0.812967031106143,0.77695787391686,0.952841124349021,0.791601285849524,0.835574416592686,0.849331489951005,0.893295975662854,0.78766631420025,0.84743002545884,0.86946810706626,0.888867527138662,0.821078493742273,0.72722080860648,0.852607889274465,0.803496758546492,0.894893383621055,0.795171048924219
"BS-364D60",0.975422744073042,0.955004113671088,0.843494486853266,0.948252610274105,0.891568819819282,0.927701441899915,0.887837150127227,0.963652299393705,0.879592194485051,0.820245462953414,0.932464411521097,0.836488549618321,0.889770992366412,0.890084506886529,0.91159482161851,0.803496758546492,0.829106104346272,0.934992564292948,0.903268032992112,0.827269745823282,0.965085935171287,0.86056545094713,0.911294381096735,0.870734355311378,0.938707598022347,0.846313694338428,0.864181125762927,0.84972773384301,0.892049454483222,0.887191898187201,0.949530533027637,0.935948362877258,0.950265902559912,0.929669211195929,0.944995137127291,0.926151688743609,0.890633614270978,0.940686519851647,1,0.944229415410659,0.860608253867579
"BS-351D60",0.947300269718577,0.946881538041714,0.888326580929248,0.939230986726918,0.892027141659723,0.907303061063674,0.909434805107381,0.949527277798795,0.897740734385513,0.828459146182314,0.907864380841746,0.841818372018145,0.887795058541692,0.874221091334304,0.874504526409237,0.84743002545884,0.844891150706184,0.919109186092394,0.903720667246565,0.828177790677525,0.915306278295898,0.875620934069278,0.874568489057438,0.859182525285429,0.914732583387677,0.882307705356487,0.892733955343647,0.821540349309589,0.86888888890278,0.862416913847572,0.939807746693,0.896104042988598,1,0.9132911696639,0.932413902388068,0.89305313278059,0.870139269780776,0.925043398664744,0.950265902559912,0.926694939228838,0.843902494190024
"BS-346D60",1,0.953259824725446,0.871572316734281,0.950743568010676,0.912270285567312,0.942965951471251,0.917385022946774,0.966513616351859,0.888738729855915,0.810562623705353,0.914316249113732,0.83105787091689,0.893551332909048,0.900938648586639,0.886819978399896,0.852926208665035,0.849505230434842,0.94495602196224,0.899281877311521,0.801126387920487,0.960864918720866,0.876028057600172,0.910469071192126,0.885368632682773,0.942049595876679,0.838858700261802,0.886423522773572,0.852120022988024,0.897466779771204,0.895739032373278,0.968391292070896,0.93790217700114,0.947300269718577,0.923016898457468,0.944899165199008,0.926788031664752,0.882047599391578,0.938212825690902,0.975422744073042,0.966169069848638,0.85736015063528
"BS-336D60",0.966513616351859,0.954276860850295,0.878677957084645,0.965619999270106,0.902053752736555,0.943615261831093,0.910428476603219,1,0.915406864177823,0.837260456832566,0.943939608131415,0.857835140531579,0.941169651912699,0.901587247791573,0.898183751147057,0.851996358488611,0.855106391455159,0.944926815096771,0.9367928209729,0.822016958308699,0.966538683389688,0.860453215426878,0.912110219912762,0.899624815903752,0.934166070608933,0.881751560789134,0.900532663885643,0.86146177620411,0.909512177250877,0.893956057969408,0.968419028939999,0.942772566176763,0.949527277798795,0.927214125256984,0.950354970868197,0.941644307385163,0.886054691161597,0.947428836403869,0.963652299393705,0.952266648632826,0.863758708167346
"BS-082D60",0.912270285567312,0.902826705268336,0.921003452091473,0.946021747366397,1,0.908263806234352,0.960585130298242,0.902053752736555,0.935789673085502,0.806784318825665,0.923086057498512,0.857661457909727,0.885156587949786,0.900101216291865,0.83103760250127,0.89385012072446,0.90381059547976,0.895896770403104,0.889858014464317,0.818286942168849,0.893103116815147,0.86554952092379,0.857711544065153,0.844926589711517,0.913985699627908,0.791919705978168,0.927565324090043,0.816113792317022,0.881955792794983,0.888704173349665,0.9126316801339,0.918636803148449,0.892027141659723,0.955990828363528,0.926346145723818,0.85059245625833,0.825015549914235,0.942934045070716,0.891568819819282,0.925665398164536,0.839372349462104
"JV-071D60",0.886423522773572,0.860406335348235,0.980766131658236,0.949957308212091,0.927565324090043,0.893776912010674,0.95915453535734,0.900532663885643,0.950525449753161,0.779416338232051,0.89769687928069,0.867602113665084,0.89088744950158,0.891280131637725,0.793101498457689,0.952841124349021,0.913621224886768,0.916445432110806,0.894384474891009,0.792620760853516,0.891697955320507,0.832436619841099,0.828256954402132,0.889529738734729,0.846461802054291,0.816448968065074,1,0.801001987580139,0.879275540150072,0.89431914887959,0.914757787717205,0.832563373273244,0.892733955343647,0.920245745680086,0.942006531084649,0.862817609426203,0.763686740187499,0.918472360459812,0.864181125762927,0.942566822543526,0.816663839424987
"KT-718D60",0.93790217700114,0.938721734360952,0.810649733251002,0.929606613551674,0.918636803148449,0.902009901077682,0.873872982398128,0.942772566176763,0.861627325086778,0.844092983279521,0.935707136737305,0.844000124402933,0.899346619586913,0.901763651476684,0.904811987574544,0.78766631420025,0.838178332928091,0.897383919007706,0.898834599008193,0.848018773267333,0.919464738094859,0.858735817746768,0.910140600574183,0.846108392214794,0.957593646543097,0.828249929331873,0.832563373273244,0.836065898215653,0.885501190280974,0.876710857036501,0.910850499578737,1,0.896104042988598,0.939538986543157,0.902268904031664,0.899408250568344,0.91453208935587,0.926920293147905,0.935948362877258,0.913649497593993,0.866898501568849
"KT-705D60",0.917385022946774,0.908232706344332,0.96407690132881,0.953121156693537,0.960585130298242,0.926061634153237,1,0.910428476603219,0.963499934988177,0.786504909544873,0.908177950019356,0.865484874187164,0.898512864009047,0.880166469233004,0.790684787436614,0.943728989907617,0.920336218087416,0.903771013704093,0.888472967130967,0.779562109884286,0.897169045853978,0.865038167938931,0.823159870863433,0.863171406128621,0.875198615782246,0.810814784241905,0.95915453535734,0.824624397097702,0.869682979033668,0.867909911859574,0.946126508701855,0.873872982398128,0.909434805107381,0.940882103477523,0.946968583250641,0.851305350906179,0.785024639458497,0.9394990627909,0.887837150127227,0.94183472387915,0.818408768991767
