"feature","KT-539_D0_D60","BS-671_D0_D60","BS-064_D0_D60","KT-805_D0_D60","KT-926_D0_D60","KT-705_D0_D60","BS-336_D0_D60","BS-082_D0_D60","BS-351_D0_D60","KT-347_D0_D60","BS-377_D0_D60","KT-313_D0_D60","BS-364_D0_D60","KT-880_D0_D60","JV-138_D0_D60","KT-412_D0_D60","KT-515_D0_D60","KT-771_D0_D60","KT-723_D0_D60","KT-718_D0_D60","KT-417_D0_D60","KT-522_D0_D60","KT-312_D0_D60","JV-157_D0_D60","KT-538_D0_D60","KT-193_D0_D60","JV-035_D0_D60","KT-434_D0_D60","KT-247_D0_D60","KT-716_D0_D60","KT-974_D0_D60","KT-537_D0_D60","KT-612_D0_D60","KT-445_D0_D60","KT-525_D0_D60","KT-352_D0_D60","JV-148_D0_D60","BS-346_D0_D60","KT-663_D0_D60","KT-695_D0_D60"
"TG 52:1","0.2502","-0.63548","0.23896","0.25082","0.2827","-0.26075","-0.39036","-0.13424","0.00014","-0.18516","-0.45635","-0.47625","-0.0503","-0.07659","-0.38617","-0.92122","-0.24398","-0.40145","-0.31111","0.27438","0.23158","-0.12023","-0.16902","0.30103","-0.05622","0.26778","0.22767","-0.08164","-0.03563","-0.04804","0.14649","-0.18971","-0.30988","-0.50866","0.59411","-0.21881","-0.00148","-0.31423","-0.57287","-0.28952"
"TG 52:2","-0.03983","-0.17609","-0.0932","-0.09701","0.21219","-0.32845","0.00099","-0.06072","-0.01586","0","-0.19698","-0.00162","-0.00975","0.05756","-0.28607","-0.2168","0.04786","-0.45332","-0.12284","0","-0.09919","-0.02332","-0.11394","0","0","-0.19933","-0.00061","0.00479","0","0.15836","0.04856","0","0","-0.16498","-0.09074","-0.14014","-0.09861","0","-0.17319","0"
"TG 52:3","-0.03983","0","-0.0932","-0.09701","0","-0.0172","0.00099","0.15676","0.08105","0","-0.18708","-0.00162","-0.00975","0.05756","0.12723","0.01274","0.04786","-0.08717","0.02017","0","-0.09919","-0.02332","0","0","0","0.00749","0.13611","0.00479","0","0","0.04856","0","0","0","-0.09074","-0.14014","0.0086","0","0","0"
"TG 52:4","-0.03983","0","0.06816","0.0779","0.23553","-0.04402","0.00099","-0.02793","0.14251","0","-0.32355","-0.00162","-0.00975","0.05756","-0.0189","-0.38209","-0.09827","-0.14507","0.02017","0","0.06517","-0.02332","-0.02555","0.23805","0","0.22234","0.2449","0.00479","0.18469","-0.18184","0.04856","0","0","-0.26144","0.08245","-0.14014","-0.10199","0","-0.15836","0"
"TG 52:5","0.23433","0","0.26663","-0.17477","-0.24304","0.35501","0.00099","0.25241","-0.02457","-0.03342","-0.81899","-0.00162","0.30976","0.10831","0.03177","-0.02913","0.04786","-0.13732","0.01585","0.66652","0.17033","0.36762","-0.22272","0","0.26482","0.00749","0.17257","-0.26705","0.16085","0","-0.12753","0","0.18979","-0.26845","-0.23062","-0.14014","0","0.00432","0.33244","0"
"TG 54:2","0.16772","-0.70858","0.27244","0.34697","0.07554","-0.04724","-0.48122","-0.60746","0.22789","0.06332","-0.13685","-0.66798","-0.02789","0.44978","0.05226","-0.94696","-0.32164","0.03487","-0.35762","0.57927","0.41249","0.13754","0.34152","0.46268","-0.3295","0.74181","0.3494","-0.02196","0.13784","-0.03294","0.28523","-0.27031","-0.58202","-0.7258","1.12798","-0.02614","0.21808","-0.59333","-0.69788","-0.74095"
"TG 54:3","0.20979","-0.95957","-0.08468","0.41719","0.30175","0.19816","-0.89838","-0.06745","0.35063","0.00369","-0.32632","-0.58269","0.17545","0.04358","-0.00967","-0.67126","-0.58785","0.16501","-0.08512","0.29851","0.90773","0.41802","0.23231","0.08203","-0.60007","0.55082","0.69836","-0.14096","-0.11017","0.3102","0.09804","0.33199","-0.76289","-0.78557","0.78658","0.05609","-0.09487","-0.80766","-1.04573","-0.0506"
"TG 54:4","-0.03983","-0.51455","0.93861","0.37833","-0.53796","-0.38977","-0.14203","-0.76906","0.5689","0","-0.41168","0.18307","0.09517","-0.228","0.10073","-1.2088","-0.47197","0.77876","-0.52637","1.08063","0.61346","-0.02332","0.12094","0.41028","-0.23684","0.3584","-0.69634","0.00479","0.04114","0.01797","-0.13896","-0.2878","0.10288","-0.82292","0.46556","-0.439","-0.67083","-0.26482","-0.55388","0.33846"
"TG 54:5","-0.03983","0","0.05908","0.10165","0.33041","-0.27043","0.00099","-0.15073","0.11448","0","-0.51246","-0.00162","-0.00975","0.05756","-0.37108","-0.58997","-0.16433","0.04637","-0.16167","0.20952","-0.09919","-0.02332","-0.11059","0","0","-0.22803","-0.02042","0.00479","0","-0.00309","0.04856","0","0","-0.03779","-0.09074","-0.14014","-0.17892","0","-0.21219","0"
"TG 54:6","-0.03983","-0.1959","0.58984","0.30372","-0.30103","0.15365","0.00099","0.15676","0.80171","0","-0.14757","-0.00162","0.20244","0.05756","0.60949","-0.47544","0.04786","0.04637","-0.15301","0.44091","0.33218","0.21972","0.15229","0.46538","0.15229","0.09385","-0.29947","0.00479","0.68931","0","0.04856","0","0.10721","-0.06695","0.13457","-0.14014","-0.19823","0","0","0"
