feature	p_time_Percentage	fdr_time_Percentage	p_interaction_Percentage	fdr_interaction_Percentage	p_time_PQN	fdr_time_PQN	p_interaction_PQN	fdr_interaction_PQN
PC 38:3;P/38:4;O	1.2673976130305138e-12	5.800781382716582e-12	0.005281397565721212	0.036969782960048485	1.1334135899802828e-7	2.28603757979074e-7	0.001735523699354434	0.015391061382600843
PC 38:4	0.09806012345665412	0.11329276399361009	0.1871273219327375	0.3323604673133696	5.149932743326821e-8	1.0943607079569495e-7	0.6110647809947952	0.7163781386729752
PC 38:4;P/38:5;O	2.1580030126810845e-10	8.025073703407783e-10	2.922514861738831e-4	0.008694481713673022	2.2492514749715486e-9	5.8187157722090064e-9	6.312004639773664e-5	0.0037556427606653298
PC 38:5	0.07872818302771284	0.09275894831978047	0.14117524387033797	0.2666643495328606	3.243366788847003e-16	2.1442258215155183e-15	0.658340028439428	0.7532929171566531
PC 38:6	2.1223982747934527e-4	3.557259080287618e-4	0.05341555696882725	0.14257192305629712	5.171022120371789e-4	7.504288199076133e-4	0.17954103338604627	0.32371792383241677
PC 38:7	2.6141526093010114e-5	4.937843817568577e-5	0.04138599237572843	0.12804844842155633	0.963094121935944	0.963094121935944	0.27553665005264183	0.43143238626663655
PC 40:3;P/40:4;O	8.953860514830389e-4	0.0013154437052652055	0.2925855710713952	0.4251111095475216	0.00511755751971059	0.006605656761518188	0.30166095055384423	0.45398411051451987
PC 40:4	1.0801402930255496e-4	1.8902455127947117e-4	0.2920093807716434	0.4251111095475216	9.41845310754641e-14	4.3107535376847024e-13	0.14523705394201844	0.2944316924547607
PC 40:5	0.04838195087136665	0.05757452153692631	0.27590300378592175	0.42275479369073093	8.096933617743095e-14	4.014729585464284e-13	0.5860990367761095	0.7163781386729752
PC 40:6	0.26394993408325945	0.2804468049634632	0.2522002298842677	0.39489246521352445	2.2272630092312855e-6	3.955885046246612e-6	0.6140384045768358	0.7163781386729752
PC 40:7	0.3873761486596255	0.3945909974076283	0.786712684731105	0.8588881603945091	0.013642016546909748	0.016565305806961837	0.7313768446654083	0.8288937572874627
PC 40:8	0.2541127239543734	0.27242715450964355	0.954687211342689	0.9675473260378801	0.016910302898848966	0.019924020247158683	0.9655668341810962	0.9655668341810962
PC O-32:0	1.4879187028303111e-7	3.688798450766813e-7	0.300623031504966	0.4258826279653685	1.1640342117758923e-4	1.8226325158069893e-4	0.26524755300101055	0.4208594507616034
PE 38:4	2.403798386395259e-4	3.9729445552921637e-4	0.2913527020670664	0.4251111095475216	7.174007935609761e-4	9.926824934157693e-4	0.29012950528605186	0.4426334760133355
PI 36:2	5.600025884408768e-4	8.543629233905684e-4	0.0012759720948381252	0.015184067928573691	1.2050992033894699e-4	1.862426041601908e-4	0.0010759915004260503	0.011640271686427272
PI 38:3	1.4694671974089269e-15	7.948481658711923e-15	0.34525079674952625	0.4722395955539497	2.419060169826185e-17	2.2143704631485846e-16	0.3205348331117303	0.4651664041499501
PI 38:4	3.4872611257751423e-6	7.54516498122258e-6	0.004918881813525696	0.036969782960048485	1.21650163122669e-8	2.895273882319522e-8	0.0067675372513866655	0.03660622422340969
SM 32:1;O2	5.215479579124216e-5	9.548339537165872e-5	0.6234388915269854	0.7133579624203006	0.03385420242972555	0.038737020087859036	0.38106206451304425	0.5334868903182619
SM 33:1;O2	2.528117876924337e-4	4.1211784569040566e-4	0.053288998704874406	0.14257192305629712	0.015191976117893401	0.01826106220231631	0.020775759404780686	0.09067509957931803
SM 34:1;O2	8.422846007408243e-28	1.2528983436019761e-26	0.01506916231541967	0.06701372865291264	3.137860139798847e-14	1.6972970756184671e-13	0.06410263430619037	0.18162413053420606
SM 34:2;O2	7.681946313493729e-28	1.2528983436019761e-26	0.0643371717926146	0.16289624347491782	2.023157749800327e-13	8.916880452823664e-13	0.07630494501005249	0.20178418791547212
SM 35:1;O2	0.0018724802432478005	0.0025612086085803247	0.5970557611012638	0.6898022870975766	0.005314963755329479	0.006728517945576681	0.5326226669392582	0.674277631550763
SM 36:1;O2	7.504447073739283e-27	9.922546686388607e-26	0.03575238441795516	0.1247015265501061	3.333039866350804e-17	2.644211627304971e-16	0.07919822876455423	0.20488237441265117
SM 36:2;O2	1.1304444907327875e-24	1.1210241199766808e-23	0.025109975682438633	0.1030374864210413	9.143807950216005e-14	4.3107535376847024e-13	0.025866137123020397	0.09929259089159442
SM 38:1;O2	1.2302621897747556e-19	1.0457228613085422e-18	0.009463982414967136	0.049825372200380136	6.087192340158753e-10	1.8573740730227987e-9	0.003960693297601498	0.023566125120728913
SM 38:2;O2	9.330098226163909e-8	2.556990263655281e-7	0.3751595112629045	0.4960442426698404	1.284033296614455e-4	1.958973875604104e-4	0.14246098954352118	0.2944316924547607
SM 39:1;O2	1.9978179341446225e-4	3.3962904880458584e-4	0.9675473260378801	0.9675473260378801	4.937653088157373e-4	7.254082931984288e-4	0.9248995306267908	0.9407097790135734
SM 40:1;O2	1.608354550032857e-18	1.2759612763594e-17	0.007587512231955912	0.04752178713698703	1.7730098199159693e-9	4.906701594651171e-9	0.0020564767688700135	0.016314715699702106
SM 40:2;O2	1.1912639429177449e-26	1.4176040920721166e-25	0.015767936153626504	0.06701372865291264	2.384869635174333e-17	2.2143704631485846e-16	0.012068241429168871	0.05856571095196618
SM 40:3;O2	5.5569215496291146e-11	2.3616916585923735e-10	0.5700502663253161	0.6801087037196794	9.756652723103128e-10	2.9026041851231807e-9	0.4971803365098649	0.6430919570073252
SM 41:1;O2	4.581333665262196e-16	2.69736873626469e-15	0.00963011395469532	0.049825372200380136	2.1939947117212982e-9	5.8187157722090064e-9	0.0018107131038353932	0.015391061382600843
SM 41:2;O2	6.196224993664149e-25	6.703188856782125e-24	0.015432623027429896	0.06701372865291264	2.957574133628886e-19	3.910570243353749e-18	0.0034496449035443808	0.02280598575121007
SM 42:1;O2	6.099952231232725e-18	4.536839471979339e-17	0.041965457886056275	0.12804844842155633	1.8030926446184136e-10	6.130514991702606e-10	0.01230372078822819	0.05856571095196618
SM 42:2;O2	1.9167243713559871e-32	7.603006673045415e-31	0.027945760760221008	0.10727566227310645	2.2483464138503283e-19	3.3444152906023634e-18	0.10890825133170443	0.2492323443937082
SM 42:3;O2	6.1758592230701293e-33	3.674636237726727e-31	0.0705793187638277	0.16885260364651597	3.5116237932229946e-22	1.0447080784838409e-20	0.09117923880596392	0.22848208900157854
SM 42:4;O2	2.110882011489489e-6	4.694192254289699e-6	0.4389212655591177	0.5556556446971809	5.286209902629523e-4	7.57902383630016e-4	0.352224004138276	0.49898400586255764
TG 48:1	2.2624605404922167e-10	8.15856982783557e-10	0.8196967962714645	0.878774042849588	1.0927586852936546e-12	4.33460945166483e-12	0.7850613919916736	0.8416423932162986
TG 48:2	7.397038817831544e-8	2.095827665052271e-7	0.8097092004438894	0.8759581350256621	2.2268184737692614e-9	5.8187157722090064e-9	0.7778622943225402	0.8416423932162986
TG 49:1	0.022998069157041636	0.028508023225916192	0.779769368423607	0.8588881603945091	0.06257559430138016	0.06959341796134802	0.7555855739931845	0.836389093899073
TG 49:2	1.2954851725387603e-5	2.569378925535208e-5	0.1295421844672033	0.2612799991796134	4.61566013262571e-7	8.718469139404119e-7	0.10710663594422061	0.2492323443937082
TG 50:0	7.768099963239469e-7	1.7776997992798014e-6	0.20078384591668189	0.3415209245491884	1.588917910432371e-8	3.567570402668909e-8	0.17800543249454798	0.32371792383241677
TG 50:1	4.475926362145494e-6	9.511343519559175e-6	0.7140272984521634	0.7941051263159574	5.4597257480142044e-8	1.1398374807257725e-7	0.7416628802738943	0.8326215354018247
TG 51:1	4.993258661256022e-8	1.4492628797304063e-7	5.543833901838099e-4	0.009424517633124768	1.6127850475364707e-9	4.569557634686667e-9	9.8309253692345e-5	0.0038996003964630183
TG 51:2	1.0542085152683318e-7	2.734373661185156e-7	0.009126929652081136	0.049825372200380136	4.448511472152611e-9	1.1028601358045015e-8	0.002950340653519871	0.020652384574639096
TG 52:1	4.737585878091337e-4	7.418062098590383e-4	0.012534319421400722	0.06214933379777857	4.26556725091274e-5	6.953458943268712e-5	0.010072822686020593	0.052115908679845675
TG 52:4	3.486578073114129e-4	5.606794468926775e-4	0.18105779988796383	0.3264526997979954	9.20959969756987e-5	1.4612564853477527e-4	0.16153900223725695	0.3100506655844125
TG 52:5	0.001736031297322937	0.002402182841644529	0.396871512011479	0.5189858233996264	6.622969049633303e-4	9.290916443496117e-4	0.3982391164584461	0.5385278961199442
TG 54:2	1.1409234198168706e-10	4.681720239938193e-10	8.77372334347852e-4	0.011600811976377154	3.248506299092371e-10	1.0738118044222004e-9	3.771632825919354e-4	0.006411775804062902
TG 54:3	2.940809979698688e-8	9.209378620635365e-8	0.06642367403806909	0.16467535855271295	4.794255116097314e-7	8.914318106493443e-7	0.055657217634995294	0.16982586919395998
TG 54:4	0.04735927646691912	0.05692680706629672	0.2770997807384623	0.42275479369073093	0.028386389343527555	0.03279592555223086	0.23810770525989194	0.3881481770674951
TG 54:5	0.21406261356907277	0.2358652871733302	0.9070915293617191	0.9468762455617944	0.06963930689692759	0.0767321992660591	0.8524865644732281	0.889876326072931
TG 54:6	0.0882251003099662	0.10292928369496059	0.5715199190921676	0.6801087037196794	0.1983584627771936	0.20348842302143139	0.5995653057326729	0.7163781386729752
TG 56:5	0.1171536265427826	0.13277411008182027	0.595366720761995	0.6898022870975766	0.19551250529662037	0.20231294026345933	0.5307746587180912	0.674277631550763
TG 56:6	3.9672172391516734e-4	6.294651352787322e-4	0.031644428998072426	0.11767772033658183	0.001116424280518493	0.0015097101066102348	0.029866647852188174	0.1045332674826586
TG 56:7	0.24923960472875534	0.2696319360247444	0.17221160402739438	0.31527970583476816	0.2815239926763863	0.28633636861957235	0.1337938049819864	0.2843118355867211
TG 56:8	0.8065100977326842	0.8065100977326842	0.3374375922155462	0.46691945899593024	0.9231390770355143	0.9309622895527645	0.305199402026568	0.45398411051451987
TG 58:11	0.0019040463896397468	0.0025747900041719306	0.48012685543023464	0.5951572478770617	0.0051624040237074915	0.006605656761518188	0.43314273927893643	0.5791459098223981
TG 58:5	0.001038120246355176	0.001488389268870674	0.03739750326137565	0.1247015265501061	0.00202807315506742	0.002681563393922477	0.02699427027217659	0.1003849425746567
TG 58:7	1.903581037469837e-4	3.282987586361023e-4	0.07094647212038487	0.16885260364651597	0.001529397066938703	0.002044924168153996	0.05151708364218616	0.16132981456368825
TG 58:8	0.0015543755619770016	0.002176125786767802	0.19591938227085615	0.3415209245491884	0.009837197976422773	0.012194026658274062	0.15308758247955873	0.3036237052511248
TG 58:9	0.003453156262876468	0.004466582557416301	0.20663450897093755	0.3415209245491884	0.012375194838136691	0.015181940059157385	0.17767632295178207	0.32371792383241677
