sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44
KT-537D0	1	-4.388351733689954	-2.2826316998623004	1.5419366735848223	-1.4579088235121802	1.0133559602331554	-0.7640102066670649	-1.7450066649021307	0.11119382147635351	-0.33972619769388723	-1.3329572410300468	-2.148071739814116	-1.7194312586654135	-0.45822913935045956	0.9296845089830492	3.201352461883957	-0.5949630580407708	1.2895411916715527	0.22661707010049958	1.9633349078389517	0.3951430954029711	-1.315354434038301	0.657542186935672	0.24264693345677807	0.9382473930878876	0.8718523961847449	1.2467171375727386	0.15846381796022468	0.6572778249365165	1.3154216507001038	0.4238362131193633	0.4676835582281948	-0.40859143651537255	-0.08471724821758819	-0.061522662947603696	0.8127082415857844	-0.6162500137507444	-0.6064239507657699	0.14037950885264722	0.570458434276032	0.2781794685371669	-0.3122686260752047	-0.024790978554437404	0.35168685994087545	-1.7468665403086447e-15
KT-538D0	1	-3.987617403940835	0.43471362128502156	-5.287921993445486	-7.064806750255537	0.16422807796904476	-0.8529963741321964	0.4733710661115216	0.016250147555918616	-3.361489132768669	0.3224385276229653	-2.3131979197379327	3.0721451651767713	1.1891935592896976	0.5423127772365922	-0.7055860749700866	-1.0583275165356012	0.8322344705879715	0.12536233064730187	-0.8338352745627783	-1.0579367726283075	-0.7984099831078737	-1.3645797073303985	-0.7846634185883853	0.9437857944936711	-0.9767565118254984	1.0378249945710454	0.4202942803541951	-0.14472670800884002	0.5224053677378819	-0.7787031235675329	0.08528608255303816	0.584746834781399	0.013104542905853514	0.46639110464794925	-0.37696165926948744	-0.005246466586177091	0.4226078600645405	0.546490739426279	-0.1839390537603667	-0.2530022716093997	-0.32647695027103774	0.1654089788054712	0.08049473971132709	-9.159339953157541e-16
KT-539D0	1	-13.445746467631022	3.963743157340951	0.49641401011939346	1.6423714410431545	0.05451449067090752	0.07627775949830677	0.8953801214296352	-1.9426206223027522	1.138641575732976	1.7242995829286354	0.44648568885944734	0.2570438949028727	2.0333842469394106	-0.9374284358379427	-1.7247923750148566	1.1060287684503014	2.0585004341315907	0.7280279495463562	-0.3226248512191943	-1.2854702804807445	0.03001315116270903	2.7715807118111155	-0.8825683054853886	-0.087603435052185	0.11999586529084771	0.11787885161717936	1.479747428267318	0.6643089436432834	0.5579758029013177	-0.2773613667764614	0.09452839813900692	-0.03998998094026075	0.18335349277912283	-0.43034985875855813	-0.2377278507287632	0.435354597560364	-0.6481955821186486	0.12802153436088787	0.020779747472985402	0.1503025205658612	0.12343444237355947	0.05024847879978274	-0.29554240151261346	-1.3357370765021415e-15
KT-663D0	1	-7.474598437050093	-3.086579586471443	-1.1884267645784503	-0.5719692709760166	2.832133778870742	-3.357512678320067	6.86074755872121	-0.19022235910328086	-0.058647075291510295	0.5138342745628688	1.6480237714321837	2.3951439111957904	0.007354296009674591	0.6825718708910284	0.17914026970056687	0.26758881620543984	1.1595547285509962	-0.3145226955761913	-0.7943644946522805	0.23907629510500666	-0.7517489964388916	-0.08924018149216717	1.428929636780037	-1.7023572550826174	-0.004610904884486525	0.1388757533313882	-1.3343778104784936	0.5370834139776884	-0.34410804648523874	0.23629125714406174	-0.42051953757962707	0.020907044313060022	0.018629945606891962	0.4345642460482534	0.6385744018004982	-0.45821123976102024	-0.41920666582093286	-0.8023468799890113	-0.24334670257142396	0.08520221460156786	0.14509488067940346	-0.058854267689170014	0.3093504311968586	-1.1102230246251565e-15
KT-695D0	1	-7.206459591268881	-1.4193548129147464	-0.41980448918518115	0.06419214172865116	-2.017310393025895	0.31565843500780355	-2.7189075100613462	1.397374114429463	1.4688967439030762	1.1520646029848802	0.33010684619377434	0.6312322819965701	0.3686530560704462	-1.0038325149986311	0.9355188121579893	1.4380467447373797	-0.8151217066646906	-0.5383660668909124	-0.5356064183935927	-1.159570851587463	-1.2248506845788398	-0.907643626035443	-2.3760853316426966	-1.4110055276675058	1.4176486023645385	-1.9311552134988492	-0.42275514345476073	-0.2602953181836727	0.2699068391813668	0.17735795322998263	0.5571175003609762	0.2547867940561214	0.0822760008333441	0.543687360043982	0.04385170338259299	-0.6721199746604845	0.2653311557256071	0.1635881700598469	-0.13835161563158488	0.4914167357452527	-0.48288931256134965	-0.29134887833865786	0.279241146953124	-1.5178830414797062e-15
KT-716D0	2	0.9756683844643509	-1.1502351690842323	-3.4563318461005417	-0.14893530642385874	-0.6487715948507331	-0.8329922092661302	-2.9722914159849183	-0.3679942107045545	-1.7199320629853663	1.7045443288159643	-0.17850632503810754	-1.9422129221307074	0.4133338369245416	-0.29852182399609095	-0.9152658821041243	0.021683629128830526	1.2593450224336293	-1.2456013475677137	-0.5531419135488891	-0.06466709552994324	1.3056153475857815	-1.201891658521214	0.010323781838057974	0.026927547026850563	0.1524308662461629	-0.19336265468777183	1.36416681233143	0.0764785726832859	-0.30732023301446854	-0.22092915329483107	-0.444376883564162	0.4105782258997286	-0.341082075220412	0.5162200394367652	0.025629969621783343	-0.6855649489617328	-0.12660495434644553	-1.354312891919572	1.214077088523812	-0.08296840555372939	0.5670328895090231	-0.34452629233813015	0.12085222261574496	-2.418204525511669e-15
KT-723D0	1	-4.332842031194869	-1.381899536681169	0.3266095814652747	1.7722579834524788	1.224759512917438	-3.199191685880539	0.34546008248116217	-2.635519326592282	-3.0416923095713737	2.352784179599821	0.5281918738571652	-1.154489990318911	-0.06322916476246487	-1.3467822107805563	1.8591562255514889	0.3002880893176352	-0.42183614021215177	-1.7052051514881383	0.3725439889341955	0.24596938572902968	0.7412519324387955	-0.01708204412516455	0.09078831760722202	0.23489559624914538	0.4605556725179647	0.8863442658582388	-0.3887689824518106	0.3317991332018355	-0.1363097041127725	0.6296572876714243	0.7173428584944764	0.09830846668305106	-0.6067942809267518	-0.26887276504944047	-0.686104632487157	0.8989324432244915	1.251888838582765	-0.43294419753473984	-0.28870180604913565	0.6596499981196421	-0.3415211422425617	0.2810983352488418	-0.31136709578448496	-1.294103713078698e-15
KT-771D0	1	-4.890898603980248	3.856613585070875	-3.2045263714447336	-3.1312891475705564	0.1319742151323281	0.7578626580390898	-0.37949282255941785	0.017203927193652734	-1.7245391356162105	-0.487082085923876	2.093367240284024	-1.7689636818229733	-0.025818395221365573	-0.1572248930703409	-1.9445643272679471	-0.23080712655330016	0.44459515461406474	-0.8112469149245757	1.2391822055026145	1.269938348769742	-0.31651367456088936	-1.0974206501497237	-0.7487358313036379	0.5296376775694276	0.5474678034289363	-0.40579701928219586	-0.36605915882817397	-0.6137507677151783	0.13278144262593566	0.4135792319425213	-0.2146623021170534	-0.4749693744483705	-0.6543013332582105	-1.0576667646421232	1.2937524956749442	-0.2443545388464985	-0.24821690368744495	-0.019598828365699532	-0.8747464097368203	-0.2498581692266713	0.05680149110863388	-0.2707246345594143	-0.7653336830719056	-1.7555401576885288e-15
KT-805D0	2	1.951605596133087	1.1221320450075059	-5.1108383650079565	-1.0701673791159605	-3.3453853659674295	0.5501176174398359	-2.1703902942109705	0.645757344684074	0.9035435544603406	-1.0191379893602874	-0.3800558307353361	0.6595937414630133	0.30964690662425104	0.30603232223432714	0.6646338441358559	1.2018630403085535	0.22697518507141903	-0.3822237709010911	-1.3110511748973155	1.1804027602016638	-0.44426984112620543	-0.6247266737205818	1.1548344487356184	-0.09075328435366553	-0.8222000851050081	-0.8992415457275283	1.222684124997104	1.3689037881615436	-0.38357676872359087	-0.08186018203914727	0.6572085790578669	-1.6815863873779942	0.6518286805223321	-0.38869915021366847	0.5244249483534985	0.4494721486916209	0.19131418380306572	-0.24712369129807268	-0.340342353023493	0.40410787406178045	0.12019066702474973	0.8400727177218525	0.21282593426206892	-1.6653345369377348e-15
KT-880D0	1	-7.174248673492037	6.069456656818076	5.777930312942171	-1.8800679713038575	1.72161991440764	1.3023507829461294	-0.4055052192394456	1.3713912697156405	-1.728487030988052	-3.2453648121991585	-0.900837299554002	-1.9697486083119906	2.1182168156261083	-2.096955003746458	-0.1420060341569558	-1.0841020033636177	-1.3282718798920532	1.5984561565978008	0.11172615034359007	0.6827934891551898	0.20771557107291969	0.3237567584470027	1.4637484524077922	-1.5882306270190667	-0.7049801182804267	-0.39508736823310814	0.9321420057454809	-0.7111821700361096	-0.38968178937113346	-0.16542460483068544	0.09259287737117655	0.6984076656766672	-0.2653010835298562	0.514418041998708	0.250728689416435	-0.20001863025086902	0.31344859198309183	-0.3674127135517184	-0.18049669135693064	0.10872517346440293	-0.4150041585820659	0.2762093906248895	0.13046613444891236	-1.2455314557513475e-15
