feature	n_obs	n_patients	p_time	p_severity	p_interaction	singular_fit	error	fdr_time	fdr_severity	fdr_interaction	max_abs_group_log2fc
PC 32:2	169	43	7.122048062133288e-15	0.4900711235775839	0.9316442343269986	FALSE	NA	3.531348830807755e-14	0.7078457082176967	0.95573848176649	5.296176556487921
PC 38:3	169	43	1.900538557719326e-13	0.17619251427115987	0.41591925885652753	FALSE	NA	9.046563534743992e-13	0.5040324803881546	0.5321977613325459	0.9516589134512244
PC 38:3;P/38:4;O	169	43	1.2673976130305138e-12	0.0074308427765134785	0.005281397565721212	FALSE	NA	5.800781382716582e-12	0.12889037177755447	0.036969782960048485	0.8888883426052632
LPC 17:0	169	43	5.435682656653269e-12	0.6693162475116712	0.29994300655456807	FALSE	NA	2.3957268005249592e-11	0.8042842185943253	0.4258826279653685	7.740205884150812
SM 40:3;O2	169	43	5.5569215496291146e-11	0.6434221901718804	0.5700502663253161	FALSE	NA	2.3616916585923735e-10	0.7975754232338934	0.6801087037196794	5.570212810379771
TG 54:2	169	43	1.1409234198168706e-10	0.04498138855456871	8.77372334347852e-4	TRUE	NA	4.681720239938193e-10	0.29075885844326527	0.011600811976377154	1.6664340767098633
CAR 18:2	169	43	1.1939982173246286e-10	0.0011534498756528746	0.2261647386436524	FALSE	NA	4.736192928721027e-10	0.06863026760134604	0.35884805198126185	4.018395846879538
Cer 42:2;O2	169	43	1.7493414607504887e-10	0.3404108940164362	0.054843272437015894	TRUE	NA	6.715213994493811e-10	0.6046103938500882	0.14257192305629712	3.2377989860972165
PC 38:4;P/38:5;O	169	43	2.1580030126810845e-10	0.0073452893607039976	2.922514861738831e-4	FALSE	NA	8.025073703407783e-10	0.12889037177755447	0.008694481713673022	0.8273408266502054
TG 48:1	169	43	2.2624605404922167e-10	0.7458440939193207	0.8196967962714645	FALSE	NA	8.15856982783557e-10	0.8042842185943253	0.878774042849588	4.47837193786436
PC 34:1	169	43	5.219008958586009e-10	0.36219225715399556	2.5587712917284168e-5	FALSE	NA	1.8266531355051033e-9	0.6070546281876827	0.001522468918578408	0.8569999265983542
LPC 18:0	169	43	1.9180886148264063e-9	0.6274409052138492	1.9844070554384033e-5	FALSE	NA	6.5215012904097816e-9	0.7943134863877452	0.001522468918578408	0.6676266216443735
DG 32:1	169	43	9.913915674645716e-9	0.7287123290660363	0.21677440194577416	FALSE	NA	3.277099903563445e-8	0.8042842185943253	0.3533719702951661	5.206967459029778
PC 36:3;P/36:3;O	169	43	1.8852638234850536e-8	0.0033766040241725685	0.003664749921415882	FALSE	NA	6.063416080938416e-8	0.12889037177755447	0.03634210338737416	0.6636841180027635
TG 54:3	169	43	2.940809979698688e-8	8.285949577050922e-4	0.06642367403806909	TRUE	NA	9.209378620635365e-8	0.06863026760134604	0.16467535855271295	1.6568113358149497
PC 32:1	169	43	4.2846317237834534e-8	0.23899260813100032	0.00291034073735552	FALSE	NA	1.3073619875134127e-7	0.511511183863833	0.03148459524957335	1.0311795607091419
CAR 16:0	169	43	4.441317833169428e-8	0.044343379879204885	0.038803387526961546	FALSE	NA	1.321292055367905e-7	0.29075885844326527	0.12480008420833578	3.867257862475582
TG 51:1	169	43	4.993258661256022e-8	0.19943145410637847	5.543833901838099e-4	FALSE	NA	1.4492628797304063e-7	0.511511183863833	0.009424517633124768	1.3417843484306489
TG 48:2	169	43	7.397038817831544e-8	0.4581000502347746	0.8097092004438894	FALSE	NA	2.095827665052271e-7	0.6988962304863869	0.8759581350256621	5.19385482273862
PC 36:1	169	43	9.454417781582551e-8	0.17577532429981604	0.15803975554816369	FALSE	NA	2.556990263655281e-7	0.5040324803881546	0.29385517047236687	0.7873505934083629
SM 38:2;O2	169	43	9.330098226163909e-8	0.49595802519625737	0.3751595112629045	FALSE	NA	2.556990263655281e-7	0.7078457082176967	0.4960442426698404	1.077781804155083
PC 34:3	169	43	1.0569847765925813e-7	0.4946477977132764	0.05511183580327452	FALSE	NA	2.734373661185156e-7	0.7078457082176967	0.14257192305629712	0.6514862007285291
TG 51:2	169	43	1.0542085152683318e-7	0.08418449450492682	0.009126929652081136	TRUE	NA	2.734373661185156e-7	0.357784101645939	0.049825372200380136	1.3557751211535232
FA 18:3	169	43	1.2309221134155317e-7	0.680550585708078	0.3578906841172876	FALSE	NA	3.1165900318393247e-7	0.8042842185943253	0.48396581147678663	5.543660937742814
PC O-32:0	169	43	1.4879187028303111e-7	0.7218324623458195	0.300623031504966	FALSE	NA	3.688798450766813e-7	0.8042842185943253	0.4258826279653685	1.7224878658323641
DG 36:1	169	43	3.4509129838913326e-7	0.3568298662769961	0.09989823105756007	FALSE	NA	8.380788675164664e-7	0.6066107726708934	0.2085594648394675	2.6619020077058018
PC 36:3	169	43	5.935502621489796e-7	0.5447144291514926	0.09716995973285085	FALSE	NA	1.4126496239145713e-6	0.7237312879982606	0.20648616443230805	0.48151058374127964
FA 14:0	169	43	6.21224620410234e-7	0.9291208355630043	0.032922139403350544	FALSE	NA	1.449524114290546e-6	0.9369947409491314	0.11871922996965802	2.688271106016166
TG 50:0	169	43	7.768099963239469e-7	0.10183554102915096	0.20078384591668189	FALSE	NA	1.7776997992798014e-6	0.40394764608229883	0.3415209245491884	4.111887635517114
DG 36:2	169	43	2.1301376616104514e-6	0.29798069189242793	4.930339104475293e-4	FALSE	NA	4.694192254289699e-6	0.556987293173109	0.009424517633124768	1.5801537170826763
SM 42:4;O2	169	43	2.110882011489489e-6	0.8580674036858641	0.4389212655591177	FALSE	NA	4.694192254289699e-6	0.8879132264227637	0.5556556446971809	1.852742166275181
PI 38:4	169	43	3.4872611257751423e-6	0.02370008206534084	0.004918881813525696	TRUE	NA	7.54516498122258e-6	0.23502581381463	0.036969782960048485	2.4251470230257657
TG 50:1	169	43	4.475926362145494e-6	0.6983692482110448	0.7140272984521634	FALSE	NA	9.511343519559175e-6	0.8042842185943253	0.7941051263159574	3.743700123128748
LPC 20:3	169	43	6.38758348634726e-6	0.3042367567752276	0.11929887965196861	FALSE	NA	1.3335481313602173e-5	0.556987293173109	0.24476839101007355	2.245183571187335
Cer 40:1;O2	169	43	7.923073356291582e-6	0.28415760469007956	0.857976519179243	FALSE	NA	1.6255960851701697e-5	0.5543402452150732	0.9035327945338931	2.7004737944991737
LPC 18:1	169	43	1.0058403952861698e-5	0.23571025816434882	0.07792219812240885	FALSE	NA	2.0287289328653254e-5	0.511511183863833	0.17832195339551254	0.3404791849369047
TG 49:2	169	43	1.2954851725387603e-5	0.3020876458527498	0.1295421844672033	TRUE	NA	2.569378925535208e-5	0.556987293173109	0.2612799991796134	3.071389694206199
PC 36:2;P/36:3;O	169	43	2.2010119621185222e-5	0.012760191949185349	0.00498096471279402	FALSE	NA	4.293777434296789e-5	0.1687180935503396	0.036969782960048485	0.49905927376891973
DG 32:0	169	43	2.5239597213576616e-5	0.42282598708702324	7.182076684307319e-4	FALSE	NA	4.8443743038961573e-5	0.6708838995114103	0.010683339067907137	3.7738121524949704
PC 38:7	169	43	2.6141526093010114e-5	0.23888752438690458	0.04138599237572843	FALSE	NA	4.937843817568577e-5	0.511511183863833	0.12804844842155633	0.45883908482433305
LPC 16:0	169	43	2.9228580759389837e-5	0.5077251643481907	0.008980338009246027	FALSE	NA	5.434689234949048e-5	0.7078457082176967	0.049825372200380136	0.36860992580022184
SM 32:1;O2	169	43	5.215479579124216e-5	0.7422043914107964	0.6234388915269854	FALSE	NA	9.548339537165872e-5	0.8042842185943253	0.7133579624203006	0.8706284355684875
DG 34:1	169	43	5.6051375049720165e-5	0.35627087503480254	5.462760124962235e-4	FALSE	NA	1.010623277411621e-4	0.6066107726708934	0.009424517633124768	1.0207178768515848
LPC 16:1	169	43	6.414338488866472e-5	0.17789381660758397	0.1387434810167376	FALSE	NA	1.1392631047389705e-4	0.5040324803881546	0.2666643495328606	3.2780261339307564
PC 40:4	169	43	1.0801402930255496e-4	0.039302550386826236	0.2920093807716434	FALSE	NA	1.8902455127947117e-4	0.29075885844326527	0.4251111095475216	0.6574064921723243
TG 58:7	169	43	1.903581037469837e-4	0.3806095114519268	0.07094647212038487	TRUE	NA	3.282987586361023e-4	0.6290629425386012	0.16885260364651597	1.9153193371060373
SM 39:1;O2	169	43	1.9978179341446225e-4	0.042125556219929305	0.9675473260378801	FALSE	NA	3.3962904880458584e-4	0.29075885844326527	0.9675473260378801	2.496337815149862
PC 38:6	169	43	2.1223982747934527e-4	0.6945275260562624	0.05341555696882725	FALSE	NA	3.557259080287618e-4	0.8042842185943253	0.14257192305629712	0.3503433012289835
PE 38:4	169	43	2.403798386395259e-4	0.8538312457017458	0.2913527020670664	FALSE	NA	3.9729445552921637e-4	0.8879132264227637	0.4251111095475216	4.828905574579456
SM 33:1;O2	169	43	2.528117876924337e-4	0.5389805572593876	0.053288998704874406	FALSE	NA	4.1211784569040566e-4	0.7237312879982606	0.14257192305629712	1.7217454083146193
TG 52:4	169	43	3.486578073114129e-4	0.11873868673835314	0.18105779988796383	TRUE	NA	5.606794468926775e-4	0.41173205373624355	0.3264526997979954	3.3830071295498643
TG 56:6	169	43	3.9672172391516734e-4	0.06382428222197668	0.031644428998072426	TRUE	NA	6.294651352787322e-4	0.317005468428681	0.11767772033658183	3.065866120404286
TG 52:1	169	43	4.737585878091337e-4	0.06393387598561634	0.012534319421400722	TRUE	NA	7.418062098590383e-4	0.317005468428681	0.06214933379777857	2.2663021903078335
DG 36:3	169	43	5.528939167408012e-4	0.12109766286360105	0.04729863936126485	TRUE	NA	8.543629233905684e-4	0.41173205373624355	0.13970164045274783	2.220913692261985
PI 36:2	169	43	5.600025884408768e-4	0.14246524317011428	0.0012759720948381252	FALSE	NA	8.543629233905684e-4	0.45819902533090806	0.015184067928573691	5.545269689537864
PC 34:1;P/34:2;O	169	43	6.37319403766869e-4	0.22377087885484265	0.006851368080291005	FALSE	NA	9.600127727627521e-4	0.511511183863833	0.045295155641923865	0.5553301733684751
PC 30:0	169	43	8.149383750818497e-4	0.517500643823022	0.29293370573862837	FALSE	NA	0.0012122208329342515	0.7078457082176967	0.4251111095475216	2.067887972459391
PC 40:3;P/40:4;O	169	43	8.953860514830389e-4	0.020411512201587354	0.2925855710713952	FALSE	NA	0.0013154437052652055	0.22956137301637086	0.4251111095475216	2.849122633235543
PC 36:5	169	43	9.684124038584837e-4	0.7502146912938665	0.33260530403708793	FALSE	NA	0.001405378976331214	0.8042842185943253	0.4656474256519231	0.35069910050832537
TG 58:5	169	43	0.001038120246355176	0.18992135897253626	0.03739750326137565	TRUE	NA	0.001488389268870674	0.50991472847501	0.1247015265501061	2.6087536591001252
DG 34:2	169	43	0.001505841178500831	0.048867035032481555	0.004558379707736828	FALSE	NA	0.0021332750028761776	0.29075885844326527	0.036969782960048485	3.5353965831418885
TG 58:8	169	43	0.0015543755619770016	0.06175833890960986	0.19591938227085615	FALSE	NA	0.002176125786767802	0.317005468428681	0.3415209245491884	2.8794112189190075
TG 52:5	169	43	0.001736031297322937	0.6802445340821643	0.396871512011479	FALSE	NA	0.002402182841644529	0.8042842185943253	0.5189858233996264	2.7030022717211986
SM 35:1;O2	169	43	0.0018724802432478005	0.9616283511099265	0.5970557611012638	FALSE	NA	0.0025612086085803247	0.9616283511099265	0.6898022870975766	2.5286267286253206
TG 58:11	169	43	0.0019040463896397468	0.19282489732248276	0.48012685543023464	TRUE	NA	0.0025747900041719306	0.50991472847501	0.5951572478770617	2.1685799111480817
PC 36:1;P/36:2;O	169	43	0.0028293329659249706	0.7021866677253992	0.5481786680926539	FALSE	NA	0.003783040707247994	0.8042842185943253	0.672507850546658	1.5295551781336634
LPC 22:5	169	43	0.0029682119845183233	0.850330030960536	0.5859737551124344	FALSE	NA	0.00392463584619645	0.8879132264227637	0.6898022870975766	3.5092295463057184
CE 18:2	169	43	0.0033187895034254627	0.20643244587157664	0.07404822943222673	FALSE	NA	0.004339955504479452	0.511511183863833	0.17277920200852906	3.8725744929744264
TG 58:9	169	43	0.003453156262876468	0.2253017914689229	0.20663450897093755	FALSE	NA	0.004466582557416301	0.511511183863833	0.3415209245491884	3.2050217416366085
LPC 20:4	169	43	0.005649678302604123	0.7373075967845648	0.711515257049221	FALSE	NA	0.007229158258170867	0.8042842185943253	0.7941051263159574	0.27122654222717335
PC 32:1;O/32:0;P	169	43	0.010727348139156915	0.4580732827561105	0.05289135189536124	FALSE	NA	0.013580366261273116	0.6988962304863869	0.14257192305629712	1.8552366808884335
Cer 42:1;O2	169	43	0.021904271852061768	0.5799783709466989	0.5588944614256655	FALSE	NA	0.02743798263574053	0.7584332543149139	0.6786575603025937	2.7154512049145083
TG 49:1	169	43	0.022998069157041636	0.0898253766463751	0.779769368423607	TRUE	NA	0.028508023225916192	0.3685937869282289	0.8588881603945091	1.9704763020220262
CE 18:1	169	43	0.039466459498398894	0.41874445955143336	0.8306368081893615	TRUE	NA	0.04841761526092236	0.6708838995114103	0.8825516087011965	2.5347078286613085
Cer 41:1;O2	169	43	0.04291779267740022	0.29974204643916785	0.9594823912046077	FALSE	NA	0.052114462536843126	0.556987293173109	0.9675473260378801	1.268080258495631
TG 54:4	169	43	0.04735927646691912	0.7119442408858692	0.2770997807384623	FALSE	NA	0.05692680706629672	0.8042842185943253	0.42275479369073093	2.8961978944864497
PC 40:5	169	43	0.04838195087136665	0.1472546580298246	0.27590300378592175	FALSE	NA	0.05757452153692631	0.46113958698813495	0.42275479369073093	0.1862942454642938
PC 38:5	169	43	0.07872818302771284	0.2789850536226094	0.14117524387033797	FALSE	NA	0.09275894831978047	0.5538271398538459	0.2666643495328606	0.14288136418783254
TG 54:6	169	43	0.0882251003099662	0.3107181094263126	0.5715199190921676	TRUE	NA	0.10292928369496059	0.5602341669959273	0.6801087037196794	2.9370042387940125
PC 38:4	169	43	0.09806012345665412	0.2792405747162248	0.1871273219327375	FALSE	NA	0.11329276399361009	0.5538271398538459	0.3323604673133696	0.24771297756863075
LPC O-16:0	169	43	0.1140853207333363	0.11279093320552194	1.9229020676800757e-4	FALSE	NA	0.13053993430064442	0.4067309409532458	0.0076275115351309665	5.372331639067268
TG 56:5	169	43	0.1171536265427826	0.5136553330874402	0.595366720761995	FALSE	NA	0.13277411008182027	0.7078457082176967	0.6898022870975766	2.318341006778991
PC 34:2	169	43	0.13692726292066762	0.04666034277676346	0.0047577452247321485	FALSE	NA	0.15372022912791933	0.29075885844326527	0.036969782960048485	0.4154426813969306
PC 38:2;P/38:3;O	169	43	0.14643312668231595	0.10692199224852703	0.205671824858206	FALSE	NA	0.16285553341304299	0.4067309409532458	0.3415209245491884	1.658611351518816
TG 54:5	169	43	0.21406261356907277	0.5993467823672157	0.9070915293617191	TRUE	NA	0.2358652871733302	0.7669060978677277	0.9468762455617944	1.585822591908802
LPC 13:0	169	43	0.21745718818567492	0.347315146008711	0.40129121680888075	TRUE	NA	0.23740738893665425	0.6066107726708934	0.5190614652201827	3.3791465567136734
TG 56:7	169	43	0.24923960472875534	0.21598216278284646	0.17221160402739438	FALSE	NA	0.2696319360247444	0.511511183863833	0.31527970583476816	1.3772595406709205
PC 40:8	169	43	0.2541127239543734	0.5041508619864684	0.954687211342689	TRUE	NA	0.27242715450964355	0.7078457082176967	0.9675473260378801	0.5099815926083212
PC 40:6	169	43	0.26394993408325945	0.7924329543852714	0.2522002298842677	FALSE	NA	0.2804468049634632	0.8419600140343508	0.39489246521352445	0.26337407299040577
LPC 18:3	169	43	0.3163657167679079	0.6638275842318428	0.2199006102574996	FALSE	NA	0.3331638964193013	0.8042842185943253	0.35362395433300614	0.6890273644389768
PC 36:4	169	43	0.33022604744499295	0.5473597976457433	0.03772483156137664	FALSE	NA	0.3447096460171417	0.7237312879982606	0.1247015265501061	0.2645088367709118
PC 38:2	169	43	0.33832544841917145	0.3957826361835961	0.20398541593731	FALSE	NA	0.3500932901033165	0.6451799137787388	0.3415209245491884	1.0259223419188195
PC 36:2	169	43	0.38795921593859256	0.0712745429529296	0.013697970319313801	FALSE	NA	0.3945909974076283	0.31789875262135636	0.0652023387199337	0.29454260002499555
PC 40:7	169	43	0.3873761486596255	0.15227170538990756	0.786712684731105	TRUE	NA	0.3945909974076283	0.4646239215743333	0.8588881603945091	0.47041743643956985
LPC 22:6	169	43	0.42639118670783926	0.7113051181097254	0.6418703276093547	FALSE	NA	0.43000467134095655	0.8042842185943253	0.7274530379572687	0.6305891619727039
TG 56:8	169	43	0.8065100977326842	0.2542196851143357	0.3374375922155462	FALSE	NA	0.8065100977326842	0.5215886642863095	0.46691945899593024	1.5885318902992074
