feature	severity	contrast	estimate	se	p_value	fdr_posthoc
PI 36:2	mild	D10 - D0	1.669292510597186	0.32340909875628193	2.6189286410627233e-6	1.5873914416237322e-5
SM 40:1;O2	severe	D10 - D0	-0.20195527513048908	0.03928040798122247	2.836470469946839e-6	1.7018822819681034e-5
TG 50:0	mild	D10 - D0	1.2378015170904835	0.2408913086129621	2.899916659027113e-6	1.7225504954621054e-05
TG 48:1	severe	D10 - D0	1.281070560629653	0.2504777406265675	3.1956182684478307e-6	1.879403219265358e-5
TG 51:1	mild	D3 - D0	0.40391733659007917	0.07915398301547813	3.393686957231523e-6	1.9763235809760045e-5
DG 34:1	mild	D3 - D0	0.30726669804277706	0.06073250353653023	4.1102316330476896e-6	2.370366592262454e-5
SM 41:1;O2	severe	D10 - D0	-0.23753306870166713	0.04719908405830637	4.5903478245179485e-6	2.596825340727297e-5
PI 38:4	mild	D3 - D0	0.6551300290141139	0.1301289535418678	4.568273379801369e-6	2.596825340727297e-5
SM 34:2;O2	severe	D60 - D0	-0.1314947163273525	0.026265214556186217	5.119078658299969e-6	2.8686157764435677e-5
PC 38:3;P/38:4;O	mild	D60 - D0	-0.16928259991832664	0.033824973663533195	5.222426387341272e-6	2.899178760823099e-5
LPC 18:2	severe	D10 - D0	0.22384955534685566	0.045211460773067313	6.54643696118562e-6	3.600540328652091e-5
PC 32:0	mild	D10 - D0	-0.17019781183785923	0.03458540820177835	7.50146297168186e-6	4.0879532157605735e-5
SM 40:2;O2	mild	D3 - D0	-0.14626436306289392	0.030023688427150124	9.27968930997114e-6	5.011032227384416e-5
PC 38:4;P/38:5;O	mild	D3 - D0	-0.16894700540138505	0.0347169146638588	9.488625659637151e-6	5.077696974616638e-5
SM 36:2;O2	mild	D3 - D0	-0.14978037198835217	0.030838372473144672	9.880562215291988e-6	5.240226746324501e-5
FA 18:3	severe	D60 - D0	-1.7487998348211575	0.3606574599409839	1.005793044117631e-5	5.287089099167016e-5
SM 42:4;O2	mild	D10 - D0	-0.5577309662802992	0.11543509969993135	1.1009266080774793e-5	5.73640706314055e-5
SM 42:3;O2	severe	D60 - D0	-0.15172473420202445	0.03144560991148857	1.115706165255581e-5	5.7628648883636104e-5
TG 51:2	mild	D3 - D0	0.4081289788421781	0.08492644287662732	1.2151621871847595e-5	6.222468441273682e-5
CAR 18:1	severe	D60 - D0	-0.9453310578964963	0.1974749509511567	1.3137798619000662e-5	6.66995929887726e-5
CAR 18:2	mild	D3 - D0	-0.8798173630478239	0.1891293616666689	2.3451088051795743e-5	1.1805039239632772e-4
CAR 16:0	mild	D3 - D0	-0.9163153917155242	0.19839927592996054	2.694557907334527e-5	1.3450146192913522e-4
SM 40:3;O2	severe	D10 - D0	-1.309932746825376	0.28451576392796685	2.840777712997955e-5	1.4061849679339878e-4
TG 54:3	mild	D3 - D0	0.4987499092364062	0.10855432867055985	2.946449979401855e-5	1.4464390807972742e-4
CAR 18:1	mild	D60 - D0	-0.8594193741601468	0.18716638346951656	3.0097897658953876e-5	1.4654222302802134e-4
TG 52:1	mild	D3 - D0	0.6822249385216315	0.14976172672180366	3.461019166106638e-5	1.6714190119246691e-4
PC 38:3;P/38:4;O	severe	D10 - D0	-0.15820227588877286	0.035152600584813815	4.3586961105512856e-5	2.0879560400544062e-4
PC 36:2;P/36:3;O	mild	D3 - D0	-0.15023181101872665	0.03341636682149304	4.457796771872857e-5	2.1183450259939818e-4
PC 36:3;P/36:3;O	mild	D3 - D0	-0.14584545538634947	0.03275946803815596	5.3222686663523255e-5	2.509069514137525e-4
PC 38:4;P/38:5;O	mild	D60 - D0	-0.15419002925524677	0.03471691466385879	5.5564637500005176e-5	2.539864448674489e-4
TG 48:2	mild	D10 - D0	1.4882588513460595	0.33480863222298735	5.472257950200898e-5	2.539864448674489e-4
SM 38:2;O2	mild	D3 - D0	-0.2784114241944037	0.06268828209883494	5.558625897772451e-5	2.539864448674489e-4
DG 34:2	mild	D3 - D0	1.0642604180936488	0.23942846934299472	5.474016007667171e-5	2.539864448674489e-4
DG 36:3	mild	D3 - D0	0.6685616391517019	0.15233034737891057	6.80973528994766e-5	3.0877731009380994e-4
PI 36:2	mild	D3 - D0	1.4166247243889687	0.323409098756282	7.099120587650276e-5	3.194604264442624e-4
