"","JV-071D03","KT-312D03","KT-771D03","KT-663D03","KT-880D03","JV-138D03","KT-695D03","KT-434D03","KT-352D03","KT-445D03","BS-082D03","KT-537D03","KT-412D03","KT-926D03","KT-525D03","KT-522D03","KT-538D03","JV-035D03","KT-718D03","KT-716D03","KT-417D03","KT-805D03","KT-313D03","KT-247D03","BS-336D03","BS-671D03","BS-346D03","KT-612D03","BS-364D03","JV-148D03","KT-515D03","KT-193D03","JV-048D03","BS-064D03","BS-377D03","KT-723D03","KT-974D03","JV-157D03","BS-351D03","KT-565D03","KT-705D03","KT-347D03","KT-539D03"
"KT-538D03",0.918335075763014,0.894764890407566,0.962911299917641,0.847786646818979,0.847198399533777,0.937648518327338,0.910464364610945,0.733708994093414,0.93138142817184,0.897977250682656,0.871526958842513,0.903149152346985,0.94028346860665,0.950106438437185,0.945912495502199,0.896034572666717,1,0.891975083975762,0.944349639254036,0.905428781116839,0.919511811589541,0.925956557099691,0.91187673640554,0.921926189561469,0.907525240909987,0.824199377385997,0.862522750859497,0.898111207595133,0.875719656520301,0.922994487337595,0.953723306671953,0.915277830392566,0.900163952124231,0.889584558905294,0.902138366279517,0.928714122651107,0.915810502298638,0.920775904028522,0.926562490962527,0.903911564641182,0.957852832930234,0.900734437625938,0.93246804685075
"KT-537D03",0.889616913500948,0.903391701154394,0.887561626925373,0.791189206665032,0.910223444005991,0.858379247297579,0.889981886906738,0.798272563406307,0.916017996802527,0.920069423817262,0.873514483155955,1,0.898090526110584,0.877397748981487,0.881796896975533,0.942201009331392,0.903149152346985,0.891743375746726,0.889265516980297,0.866515626288736,0.870179035297639,0.897148198735884,0.915678017926721,0.889704918800384,0.884951732004242,0.858969169526658,0.89388728563945,0.930442227386298,0.887946021663826,0.907977693361576,0.924998907998432,0.911993989467957,0.865208490468058,0.886219488756487,0.900625223870073,0.889585201939397,0.888897948738998,0.8986916018524,0.885334218603486,0.914585493148804,0.873085300950171,0.894774546020371,0.902325879379592
"KT-445D03",0.877624892649866,0.863001132803305,0.894046832096092,0.844975349234939,0.908901359072221,0.888959102625475,0.906644767878671,0.785179921901762,0.888947130889061,1,0.873828986110246,0.920069423817262,0.905248505452797,0.918504928761445,0.878191687768012,0.910048719124876,0.897977250682656,0.882232518051365,0.863231585507196,0.884576407428019,0.872668872104167,0.922360999080781,0.911222546433002,0.88381960238816,0.897377655503894,0.867702603231824,0.890806321513158,0.922416554551861,0.917503647385783,0.885901076054134,0.909652149891293,0.912593878226452,0.880194061105023,0.868924687971392,0.88492910538324,0.868612330967917,0.889596850298726,0.905928124011913,0.871187368592712,0.903461309989813,0.887657398470483,0.860601171839545,0.913467502632027
"KT-412D03",0.94134948602313,0.925956341503506,0.95843234560598,0.85112640952564,0.848662752829918,0.907758211519509,0.912965610927518,0.774655352279323,0.953612510572684,0.905248505452797,0.862665043784164,0.898090526110584,1,0.92652377764465,0.949948600271365,0.897764071442885,0.94028346860665,0.945208391639935,0.936192642348792,0.948178606930367,0.91473568035268,0.942846659275596,0.916250476956003,0.936102180661775,0.955886892470856,0.858795298612648,0.84935089152554,0.893533065707588,0.8810688659623,0.941413553118853,0.95763417689967,0.934750955240008,0.93696999354041,0.920455571410908,0.945627737460483,0.951183927396073,0.935778747877093,0.954955269843932,0.943676778601635,0.929331287110549,0.956076309549548,0.933023870783529,0.893920068087858
"KT-313D03",0.885330304784874,0.877305276403921,0.915360355510773,0.825592535756579,0.8490173181514,0.937154189348327,0.888391895118783,0.741248518490384,0.907130272752624,0.911222546433002,0.900608330255217,0.915678017926721,0.916250476956003,0.897118478754077,0.938455176734438,0.916274749055275,0.91187673640554,0.882500429535741,0.869981770423823,0.909658237152728,0.879320085280904,0.933234710848839,1,0.867660462966372,0.894395666831842,0.80964376102446,0.820346011494484,0.890273094193909,0.881286091611992,0.883402495701966,0.921463620646996,0.897753911657083,0.902599615026672,0.865182674331242,0.896117321937305,0.925275774922798,0.877453435698466,0.902325879379592,0.881274789020321,0.920266980411419,0.916574450504194,0.868216286750739,0.897258857827257
"JV-138D03",0.873442382346966,0.850382212907113,0.909649237762124,0.844249333861091,0.829680106003897,1,0.879462777682682,0.669202118855929,0.888527139462056,0.888959102625475,0.858009825395224,0.858379247297579,0.907758211519509,0.903935141372469,0.936643466675853,0.885551624226589,0.937648518327338,0.842219601337312,0.858012323978722,0.906821318951409,0.855675987349808,0.953554944018953,0.937154189348327,0.860210544711637,0.848936932323129,0.781089195728007,0.797881169638802,0.88753509069753,0.902194266082248,0.853730274062788,0.913242261785563,0.891014720660747,0.88516140305272,0.829220491807795,0.867356833970393,0.926131499094335,0.836715260022016,0.87231904949481,0.875843050021261,0.914203509671107,0.916058521698108,0.825550242578496,0.896824356794088
"BS-377D03",0.964559660348223,0.975526797050635,0.921443464687999,0.8079389393004,0.849002318023506,0.867356833970393,0.890718323110851,0.797174124498811,0.956312573910929,0.88492910538324,0.854541960072502,0.900625223870073,0.945627737460483,0.891995783284493,0.92656476155091,0.896877074864005,0.902138366279517,0.968188330673625,0.904737082738979,0.970625664326543,0.911515892780405,0.926295006348356,0.896117321937305,0.915479504711761,0.952555956148179,0.882754985615755,0.842567516423821,0.888915744754014,0.879928712040909,0.943312929187738,0.960005125324238,0.913813789327773,0.965812065370592,0.956874987263701,1,0.934702019544143,0.92138208186299,0.971810970424816,0.949757860439616,0.929466066778355,0.913787329464117,0.943531501627496,0.881795361623315
"BS-364D03",0.866963313293329,0.85734836748244,0.871282717329264,0.857019301331407,0.906195762326876,0.902194266082248,0.869888205200589,0.738146407388217,0.907820171596729,0.917503647385783,0.843907069944831,0.887946021663826,0.8810688659623,0.855722581073006,0.8977550373559,0.907249938846113,0.875719656520301,0.850085615441065,0.8101293837779,0.877706431372845,0.874275979560777,0.917768407319829,0.881286091611992,0.851099022702652,0.846767852685055,0.831728753201521,0.868222878424035,0.934801410616171,1,0.840122424983817,0.907511488276689,0.876090577642139,0.884780253701266,0.839727778638784,0.879928712040909,0.881195125151161,0.815704946202442,0.87982096471712,0.862197398350176,0.929326286059358,0.861346263053493,0.834712211887813,0.899713450360517
"BS-351D03",0.976275135085815,0.936787450098178,0.929093731166413,0.825982754657736,0.840083052563718,0.875843050021261,0.945800499711705,0.832588330196687,0.929046724652877,0.871187368592712,0.862943689414519,0.885334218603486,0.943676778601635,0.931912229392426,0.918769220157022,0.882547022837372,0.926562490962527,0.957917512387688,0.939865695199157,0.936251441500346,0.922617036906002,0.902005550430881,0.881274789020321,0.964062004040232,0.964306411021234,0.912604508633607,0.879245425878585,0.86905864332349,0.862197398350176,0.922401316303637,0.936824939245698,0.935867232390972,0.925465277801925,0.968634063098795,0.949757860439616,0.916778296792448,0.959594753595234,0.957445755208677,1,0.926146489782624,0.948432713268424,0.966234318412642,0.879139887655629
"BS-346D03",0.851745506703173,0.845363106380711,0.841420159712347,0.765042312431801,0.882253245520179,0.797881169638802,0.941837337911209,0.846301688992429,0.873166839509901,0.890806321513158,0.815806639487478,0.89388728563945,0.84935089152554,0.827365490626783,0.810342668772559,0.890564301496184,0.862522750859497,0.875066249672673,0.886776024395211,0.785825152841457,0.832657245144575,0.832870313760857,0.820346011494484,0.900686666798425,0.879049260971237,0.920097613960144,1,0.918197199180361,0.868222878424035,0.838245058240423,0.86699320906533,0.922940727684423,0.804361120346317,0.887078879091936,0.842567516423821,0.784922407622332,0.86281475962605,0.871292203230871,0.879245425878585,0.888627448730318,0.841143050204349,0.911388276577673,0.830633841795345
