feature	KT-695_D0_D3	KT-723_D0_D3	KT-247_D0_D3	KT-718_D0_D3	KT-880_D0_D3	KT-926_D0_D3	JV-138_D0_D3	KT-974_D0_D3	KT-193_D0_D3	KT-412_D0_D3	KT-805_D0_D3	BS-671_D0_D3	BS-351_D0_D3	JV-157_D0_D3	KT-522_D0_D3	KT-538_D0_D3	KT-539_D0_D3	KT-663_D0_D3	KT-515_D0_D3	BS-064_D0_D3	KT-771_D0_D3	BS-364_D0_D3	KT-417_D0_D3	KT-537_D0_D3	KT-716_D0_D3	KT-352_D0_D3	BS-336_D0_D3	KT-313_D0_D3	KT-525_D0_D3	KT-445_D0_D3	BS-377_D0_D3	KT-312_D0_D3	KT-612_D0_D3	JV-035_D0_D3	KT-434_D0_D3	BS-346_D0_D3	KT-705_D0_D3	BS-082_D0_D3	JV-148_D0_D3	KT-347_D0_D3
SM 32:1;O2	0.9411764705882353	0.7302752293577981	1.1363636363636362	0.8347529812606475	1.528	0.8106312292358805	1.7285714285714286	0.7142857142857142	1.1066666666666667	1.2812499999999998	1.44043321299639	0.7417061611374406	1.102112676056338	1.0546075085324234	0.9088050314465408	0.8671875	1.1859296482412063	0.8940269749518305	0.8976377952755905	1.2712933753943216	0.9621513944223109	1.0886850152905199	1.0158311345646438	1.4389140271493213	1.0607287449392715	1.59915611814346	1.1367781155015197	0.9098901098901101	1.2136222910216719	1.5910931174089071	1.2713178294573642	0.8122605363984675	1.2529644268774702	1.045945945945946	1.0153846153846153	1.1435768261964736	1.0487238979118327	2.8600000000000003	1.2267206477732795	0.7964071856287426
SM 33:1;O2	0.8897637795275589	0.8	1.0514469453376207	0.8502304147465438	1.4088397790055247	0.7183098591549296	1.5201612903225807	0.7661290322580645	1.0079051383399207	1.1617021276595745	1.321608040201005	0.9075342465753424	1.0136363636363634	1.0886699507389161	0.9568965517241377	0.8389261744966443	1.098901098901099	0.8121693121693122	0.914396887159533	1.2521739130434784	0.9646017699115044	1.0861244019138756	1.0817307692307692	2.19	1.0347222222222223	1.4767441860465116	1.1806167400881056	0.9881422924901185	1.1077586206896552	1.3934426229508194	1.3910614525139666	0.9277108433734941	1.1382488479262671	1.0900473933649286	1.018633540372671	0.9940828402366864	1.0242214532871974	2.23	1.2476635514018692	1.0504587155963305
SM 34:0;O2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SM 34:1;O2	0.8743789017709263	0.7688620258441018	1.0069204152249136	0.8211104205510669	1.7187112763320942	0.42913712128188597	1.803367496339678	0.8565930388219545	0.9133786848072563	1.4613031508106455	1.419016161377846	0.9520798340084973	1.001888049755664	1.0097114707952146	1.1011084076777506	0.8323918971562134	1.1964137931034484	0.6352040816326531	0.9338214183175424	1.6536807177092294	0.8720956633618406	0.8566133643969077	0.954157408490235	1.785637956828382	0.9184091840918408	1.7422324510932106	1.1942604856512142	0.8193858415377403	0.9202925498946324	1.6548414023372287	1.5560172606680518	0.8966754364984454	1.261587639850826	1.3389028125870233	1.2385163350528126	1.3109304991143067	0.9910065721203736	1.1719551586547596	1.4991404011461318	1.4346326319420493
SM 34:2;O2	0.9475609756097562	0.8045112781954885	1.079505300353357	0.7618374558303886	1.7063063063063064	0.6898340248962656	1.6432225063938617	0.7704081632653061	0.964818763326226	1.3364737550471064	1.5283236994219653	0.8633484162895926	1.0219638242894056	0.9755784061696657	0.8402597402597403	0.7228525121555915	1.1947261663286004	0.8225108225108224	0.7852348993288589	1.23558648111332	0.944967414916727	1.111878453038674	0.9849362688296641	1.7525	1.342003853564547	1.6417910447761197	1.2515566625155665	0.9799247176913425	1.3207547169811322	1.6337349397590362	1.4635854341736694	0.779768177028451	1.2286931818181819	1.3540022547914317	1.1355140186915889	1.1621315192743764	1.0057306590257877	1.4122621564482027	1.3487603305785125	0.9805389221556886
SM 35:1;O2	1.0169491525423728	0.8509615384615384	1.02	0.8583333333333334	1.8199999999999998	0.7004830917874395	1.5416666666666665	0.625	1.0350877192982457	1.1624999999999999	1.87	1.75	1.096774193548387	0.7092198581560284	0.6211180124223603	1.0058479532163742	1.1010101010101008	0.8199233716475094	0.982142857142857	1.1883116883116884	1.0	1.58	1.5899999999999999	1.0	0.994764397905759	1.6800000000000002	1.10126582278481	1.58	0.9213483146067416	1.0	2.0	0.9631578947368422	2.0700000000000003	1.53	1.0	2.25	1.1111111111111112	1.63	1.74	1.114864864864865
SM 36:0;O2	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
SM 36:1;O2	0.9788155994222436	0.7068534267133568	0.9950099800399202	0.7874114214255941	2.1715575620767495	0.3117378048780488	1.8220295767465577	0.6659356725146198	1.047400611620795	1.4227005870841487	1.4326436781609195	1.0682376043200785	1.173162583518931	1.1866197183098592	1.3130026809651474	0.9050876442924327	1.063822407214707	0.672419627749577	0.7308153477218226	2.0762041696621134	0.9979388526279629	1.05622009569378	1.1148197596795726	1.9546061415220295	1.0928050052137643	2.176066024759285	1.1849056603773584	0.7559002022926501	0.7655408712677435	1.6227897838899803	2.1081750619322874	0.9279176201372997	1.4465838509316769	1.4073208722741433	1.3068181818181819	1.3869426751592355	1.166313559322034	1.6152832674571804	1.594488188976378	1.4045045045045046
SM 36:2;O2	1.0965417867435159	0.8243243243243242	1.1955241460541814	0.7727272727272727	1.7506112469437654	0.5813397129186603	1.6878612716763006	0.855787476280835	0.9807692307692307	1.3803278688524592	1.2942477876106195	1.1321044546850998	1.1985294117647056	1.042128603104213	1.159090909090909	0.9571428571428572	1.2740825688073396	0.8737316798196166	0.8676716917922948	1.4656616415410386	1.017982017982018	1.179930795847751	1.1477045908183634	1.8047945205479452	1.3571428571428572	1.8146853146853146	1.4843137254901961	0.919776119402985	0.90711175616836	1.5099337748344372	1.7701375245579567	0.926391382405745	1.6161790017211706	1.2760736196319018	1.216117216117216	1.6163636363636364	1.18503937007874	1.546979865771812	1.4474393530997305	1.2653562653562653
SM 37:1;O2	1.0	1.0	1.0	0.6493506493506493	1.0	0.684931506849315	1.75	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.9675324675324675	1.0	1.0	1.49	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.49	1.0	1.0	1.0	1.3900000000000001	1.0	1.0	1.0
