sample_name	group	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
BS-007-RAN-02-M3	1	33.88130314309311	3.61480858938258	1.1789215276981748	0.5968204516923886	-0.6296996605329201	-0.15266851910738977	-0.3260057003382945	0.19589654404663184	-0.18635583924216598	0.12405512353433347	0.017365925002513254	-0.20177779764600112	-0.01085944391763096	0.02464939956176119	-0.055623009935203124	0.04726916287253814	-0.002298778034577051	-0.018131730743862817	-0.012698333747042587	-0.005138419081817247	-0.007469135977678211	0.0013475045113853293	6.994405055138486e-15
KT-004-SOC-16-M1	2	-1.8891891808962888	-0.09560943669519836	-6.166929044243622	3.4507931393218296	-4.086774368842358	-1.8029001796470567	-2.8568417293334476	-2.142833587634196	0.5861249560855192	1.1462214879143613	-1.705052094083483	0.43137229616048894	1.0308997080839686	-0.5542100135046808	-0.34577532841481107	-0.16934042384395637	0.07645628024349933	-0.1367127738500253	0.1357659375546334	0.060736388348252436	0.011074608612250465	-0.020847611736757393	-5.551115123125783e-16
BS-135-RAN-IC-M3	2	-1.7484657229935416	3.8873405541481625	-1.9125144088219295	-1.1127376257543549	1.7990058723608375	-0.3157442458866743	-1.152712520283174	0.8980020915418843	0.05822869126327603	-0.07520491940610591	0.7090684675743238	-0.6426270337910894	0.7524932920839151	-0.854062152666086	0.5835708195577616	1.1620409692925555	0.5622714828501851	1.0078757580510727	-0.010064703011153735	0.9762588388516809	0.06098816762525676	-0.1185921241432946	-6.574601973952099e-16
JV-070-DAV-07-M3	2	-1.7908076896122782	2.4181615006787047	3.1974155262852397	0.15850462483393873	0.06859604978567052	0.06409292693216549	2.8285806976771846	-1.4695821398324955	0.620669259455789	-0.19043300652567535	-1.3638188968426395	0.375052500652191	-0.8019303489299298	-1.1560909345786896	-0.3758982086116493	-0.5210075706871817	-0.037256874463343775	0.19842017808126167	1.154792817461331	0.4600548953386925	0.012600288453480121	0.40388953126287025	-2.6568374236757286e-15
JV-036-SOC-10-M2	2	-2.165021119456185	3.4373741411986702	-0.2740076744108943	-0.9795815739926201	1.4867750863073494	0.38853723944643503	0.34528004182021044	-0.3312872980797932	0.14441300381457733	-1.026413183175415	-1.0097736049498462	-0.37227862766805486	-0.21090903119523147	-1.0235123102603896	-0.8016275911424284	1.147360743017906	0.7052719901340844	-0.7002289693126137	-0.3934455472700583	-0.35532030594001207	-0.985487849291608	0.11385469462647142	-1.3183898417423734e-15
BS-126-RAT-05-M2	2	-1.8560549298841054	2.4862942292250745	1.1070777332422583	0.06857084817388705	0.04476634243948739	-0.8550796818100604	0.7185753504544736	-0.30164159843038413	1.8653272602134066	2.678184466668109	1.6631878134569997	2.932432413803972	-0.4495259647857719	0.4844151216863064	-0.28736316276834956	0.9838790293789405	-0.12384204836434205	0.49560290062429907	-0.16140179526321125	-0.48310235095730136	0.06945653156786846	0.13862637373548276	-2.1441182163073336e-15
JV-070-DAV-04-M1	2	-1.3386258767494412	4.277917979612623	-2.845740313633708	-1.6890851532215543	2.232961329293258	-0.12046628003996764	-2.239068148285124	0.6480184022833738	-0.21962027153110972	-0.7874733631237876	0.6036424570603175	-0.7045129907290226	0.2444226758623602	0.07362040862398178	0.46510804974093123	-0.9292957592331241	-0.027033451703215267	0.7358318534449397	0.7269975945946492	-0.9826096016162471	-0.28470944587656494	0.07522857026087666	-4.176346768414163e-16
BS-356-RAN-03-M4	2	0.17211291091583547	-10.086376233632038	3.3947240103560437	-3.7482311188630626	1.4280162340452889	1.6022750241742094	-3.019640175410904	-2.7740302047419028	0.1486094281328849	2.5558611166637024	-0.3612615232018687	-1.467825327277655	-0.5343944171013983	0.32728896090305476	-0.006933632495707607	0.08587930919803802	-0.0035581989069981904	-0.07788090642934689	0.030078662064330967	0.06616797383608819	0.0066575217645344	-0.019433522438439967	-2.220446049250313e-15
BS-391-RAN-06-M2	2	-3.516908063327115	0.2858795574405903	-0.23383476134532308	1.7924271332943837	-1.050757564743514	-1.7679971044770717	0.1881645205259499	1.3753908386211744	-4.484237109143519	2.0513198934724173	1.2920652244117576	-0.3225732404521399	-1.9119876967665617	-0.6963282837774571	0.07485530452413304	-0.2100000216469212	0.21386983971830742	-0.18544933871739414	0.008353576421245746	0.022123361280976372	-0.0699364195198865	-0.021143767524638105	-3.094746681142624e-15
JV-061-MIN-03-M5	2	-2.969881294824185	-0.08978886341414734	1.6415207550990747	1.9242522043789654	-1.7181156612217559	-2.677809775587033	-1.4372063484729027	-1.416071816023349	0.9258847582473345	-3.1732709718244507	1.136562177148747	-0.9108250301686255	-1.9396466260049863	1.5893227564654342	0.12335160036311826	0.7136317636749476	-0.20877686734655937	-0.012131571187733569	0.14379131393113756	0.08475976785821074	0.04448234782350699	-0.03210376525793619	-2.1024848528838902e-15
